date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,675.44,,,,,,,100.0,-30.1936
2000-01-04,642.25,-4.9138,,,,,,95.0862,-33.6237
2000-01-05,632.31,-1.5477,,,,,,93.6145,-34.651
2000-01-06,624.21,-1.281,,,,,,92.4153,-35.4882
2000-01-07,644.86,3.3082,,,,,,95.4726,-33.354
2000-01-10,655.14,1.5941,-3.0054,,,,,96.9946,-32.2916
2000-01-11,648.94,-0.9464,1.0417,,,,,96.0766,-32.9323
2000-01-12,638.4,-1.6242,0.9631,,,,,94.5162,-34.0216
2000-01-13,642.21,0.5968,2.8836,,,,,95.0802,-33.6279
2000-01-14,655.6,2.085,1.6655,,,,,97.0627,-32.244
2000-01-17,661.51,0.9015,0.9723,,,,,97.9376,-31.6332
2000-01-18,647.72,-2.0846,-0.188,,,,,95.896,-33.0584
2000-01-19,642.59,-0.792,0.6563,,,,,95.1365,-33.5886
2000-01-20,644.79,0.3424,0.4017,,,,,95.4622,-33.3612
2000-01-21,641.47,-0.5149,-2.1553,,,,,94.9707,-33.7044
2000-01-24,645.53,0.6329,-2.4157,,,,,95.5718,-33.2848
2000-01-25,640.03,-0.852,-1.1872,,,,,94.7575,-33.8532
2000-01-26,637.39,-0.4125,-0.8092,,,,,94.3666,-34.126
2000-01-27,634.87,-0.3954,-1.5385,,,,,93.9935,-34.3865
2000-01-28,632.46,-0.3796,-1.4046,,,,,93.6367,-34.6355
2000-01-31,612.38,-3.1749,-5.1353,,,,,90.6639,-36.7108
2000-02-01,619.23,1.1186,-3.2499,-8.322,,,,91.678,-36.0029
2000-02-02,629.15,1.602,-1.2928,-2.0397,,,,93.1467,-34.9776
2000-02-03,649.59,3.2488,2.3186,2.7328,,,,96.1729,-32.8652
2000-02-04,660.95,1.7488,4.5046,5.8858,,,,97.8547,-31.6911
2000-02-07,652.42,-1.2906,6.5384,1.1723,,,,96.5918,-32.5727
2000-02-08,667.66,2.3359,7.821,1.911,,,,98.8482,-30.9976
2000-02-09,667.15,-0.0764,6.0399,2.8061,,,,98.7727,-31.0503
2000-02-10,661.29,-0.8784,1.8011,3.5855,,,,97.9051,-31.656
2000-02-11,662.68,0.2102,0.2617,3.1874,,,,98.1109,-31.5123
2000-02-14,654.72,-1.2012,0.3525,-0.1342,,,,96.9324,-32.335
2000-02-15,652.34,-0.3635,-2.2946,-1.3862,,,,96.58,-32.5809
2000-02-16,660.72,1.2846,-0.9638,2.007,,,,97.8207,-31.7149
2000-02-17,667.97,1.0973,1.0101,3.9496,,,,98.894,-30.9656
2000-02-18,655.17,-1.9163,-1.1333,1.6098,,,,96.999,-32.2885
2000-02-21,649.34,-0.8898,-0.8217,1.2269,,,,96.1359,-32.891
2000-02-22,647.28,-0.3172,-0.7757,0.2711,,,,95.8309,-33.1039
2000-02-23,652.52,0.8095,-1.2411,1.9515,,,,96.6067,-32.5623
2000-02-24,653.55,0.1578,-2.1588,2.5353,,,,96.7591,-32.4559
2000-02-25,662.56,1.3786,1.128,4.3615,,,,98.0931,-31.5247
2000-02-28,654.54,-1.2105,0.8008,3.4911,,,,96.9057,-32.3536
2000-02-29,664.28,1.4881,2.6264,8.4751,,,,98.3477,-31.347
2000-03-01,668.64,0.6563,2.4704,7.9793,,,,98.9933,-30.8964
2000-03-02,672.59,0.5908,2.9133,6.9046,,,,99.5781,-30.4881
2000-03-03,680.51,1.1775,2.7092,4.7599,,,,100.7506,-29.6696
2000-03-06,680.22,-0.0426,3.9234,2.9155,,,,100.7077,-29.6996
2000-03-07,677.21,-0.4425,1.9465,3.7997,,,,100.2621,-30.0106
2000-03-08,674.75,-0.3633,0.9138,1.0619,,,,99.8978,-30.2649
2000-03-09,668.09,-0.987,-0.6691,0.1409,,,,98.9118,-30.9532
2000-03-10,676.61,1.2753,-0.5731,2.3167,,,,100.1732,-30.0727
2000-03-13,658.06,-2.7416,-3.2578,-0.6972,,,,97.4269,-31.9898
2000-03-14,661.19,0.4756,-2.3656,0.9882,,,,97.8903,-31.6663
2000-03-15,644.03,-2.5953,-4.5528,-1.2739,,,,95.3497,-33.4398
2000-03-16,663.39,3.0061,-0.7035,0.4041,,,,98.216,-31.4389
2000-03-17,672.18,1.325,-0.6547,0.6303,,,,99.5174,-30.5305
2000-03-20,671.65,-0.0788,2.0652,2.5154,,,,99.4389,-30.5853
2000-03-21,672.6,0.1414,1.7257,3.5821,,,,99.5795,-30.4871
2000-03-22,679.35,1.0036,5.4842,4.9546,,,,100.5789,-29.7895
2000-03-23,671.89,-1.0981,1.2813,2.9685,,,,99.4744,-30.5605
2000-03-24,683.48,1.725,1.6811,4.5796,,,,101.1903,-29.3626
2000-03-27,682.12,-0.199,1.5588,2.9522,,,,100.989,-29.5032
2000-03-28,687.94,0.8532,2.2807,5.1028,,,,101.8506,-28.9017
2000-03-29,682.73,-0.7573,0.4975,2.7774,,,,101.0793,-29.4402
2000-03-30,664.46,-2.676,-1.1058,-0.6251,-1.6256,,,98.3744,-31.3284
2000-03-31,662.29,-0.3266,-3.1003,-1.5314,3.1203,,,98.0531,-31.5526
2000-04-03,650.92,-1.7168,-4.574,-4.3482,2.9432,,,96.3698,-32.7277
2000-04-04,655.85,0.7574,-4.6647,-3.5827,5.0688,,,97.0997,-32.2182
2000-04-05,640.57,-2.3298,-6.1752,-5.4104,-0.6653,,,94.8374,-33.7974
2000-04-06,658.62,2.8178,-0.8789,-2.3905,0.5312,,,97.5098,-31.9319
2000-04-07,671.34,1.9313,1.3665,0.4865,3.4518,,,99.393,-30.6173
2000-04-10,672.03,0.1028,3.2431,-0.6769,5.2679,,,99.4951,-30.546
2000-04-11,660.62,-1.6978,0.7273,0.389,2.8667,,,97.8059,-31.7252
2000-04-12,661.29,0.1014,3.2346,0.0151,0.8679,,,97.9051,-31.656
2000-04-13,660.26,-0.1558,0.249,2.5201,-0.189,,,97.7526,-31.7624
2000-04-14,650.54,-1.4722,-3.0983,-1.937,0.4354,,,96.3135,-32.767
2000-04-17,637.87,-1.9476,-5.0831,-5.1043,-0.7345,,,94.4377,-34.0764
2000-04-18,646.43,1.342,-2.148,-3.7549,0.2543,,,95.705,-33.1917
2000-04-19,654.17,1.1973,-1.0767,-2.7401,1.9798,,,96.8509,-32.3918
2000-04-20,657.97,0.5809,-0.3468,-3.1471,1.9271,,,97.4135,-31.9991
2000-04-25,659.31,0.2037,1.3481,-1.8723,3.0124,,,97.6119,-31.8606
2000-04-26,666.36,1.0693,4.4664,-2.5048,4.5451,,,98.6557,-31.132
2000-04-27,649.92,-2.4671,0.5399,-4.7206,2.3706,,,96.2217,-32.8311
2000-04-28,661.38,1.7633,1.1022,-3.8608,4.5726,,,97.9184,-31.6467
2000-05-01,667.48,0.9223,1.4454,-2.2337,8.9977,,,98.8215,-31.0162
2000-05-02,673.54,0.9079,2.1583,1.3665,8.7706,,,99.7187,-30.3899
2000-05-03,669.84,-0.5493,0.5222,1.14,6.4675,,,99.1709,-30.7723
2000-05-04,665.07,-0.7121,2.3311,2.1739,2.383,,,98.4647,-31.2653
2000-05-05,670.27,0.7819,1.3442,2.1987,1.4101,,,99.2346,-30.7279
2000-05-08,668.87,-0.2089,0.2082,4.4179,2.5214,,,99.0273,-30.8726
2000-05-09,663.46,-0.8088,-1.4966,0.7349,-0.6291,,,98.2263,-31.4317
2000-05-10,657.5,-0.8983,-1.8422,-2.0616,-1.4465,,,97.344,-32.0477
2000-05-11,658.83,0.2023,-0.9382,-1.9642,-0.372,,,97.5409,-31.9102
2000-05-12,668.3,1.4374,-0.2939,1.1625,0.8481,,,98.9429,-30.9315
2000-05-15,667.06,-0.1855,-0.2706,0.8725,1.8848,,,98.7593,-31.0596
2000-05-16,676.81,1.4616,2.0122,2.5066,3.7511,,,100.2028,-30.052
2000-05-17,668.17,-1.2766,1.6228,2.7101,1.1276,,,98.9237,-30.9449
2000-05-18,668.22,0.0075,1.4252,4.758,0.0374,,,98.9311,-30.9398
2000-05-19,652.45,-2.36,-2.3717,0.9313,-0.4152,,,96.5963,-32.5696
2000-05-22,641.8,-1.6323,-3.7868,-1.8909,-1.1612,,,95.0195,-33.6703
