date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,3093.7,,,,,,,100.0,-64.5535
2000-01-05,3018.7,-2.4243,,,,,,97.5757,-65.4128
2000-01-06,2999.3,-0.6427,,,,,,96.9486,-65.6351
2000-01-07,3023.3999,0.8035,,,,,,97.7276,-65.359
2000-01-10,3084.0,2.0044,,,,,,99.6865,-64.6646
2000-01-11,3160.8,2.4903,2.1689,,,,,102.1689,-63.7847
2000-01-12,3088.3999,-2.2906,2.3089,,,,,99.8287,-64.6142
2000-01-13,3078.8999,-0.3076,2.6539,,,,,99.5216,-64.7231
2000-01-14,3115.3999,1.1855,3.0429,,,,,100.7014,-64.3049
2000-01-17,3121.5,0.1958,1.216,,,,,100.8986,-64.235
2000-01-18,3128.0,0.2082,-1.0377,,,,,101.1087,-64.1605
2000-01-19,3080.5,-1.5185,-0.2558,,,,,99.5733,-64.7047
2000-01-20,3112.5,1.0388,1.0913,,,,,100.6077,-64.3381
2000-01-21,3073.3999,-1.2562,-1.3481,,,,,99.3438,-64.7861
2000-01-24,3069.7,-0.1204,-1.6595,,,,,99.2242,-64.8285
2000-01-25,3048.7,-0.6841,-2.5352,,,,,98.5454,-65.0691
2000-01-27,3051.3999,0.0886,-0.9447,,,,,98.6327,-65.0382
2000-01-28,3064.6001,0.4326,-1.539,,,,,99.0594,-64.8869
2000-01-31,3080.2,0.509,0.2213,,,,,99.5636,-64.7082
2000-02-01,3072.3,-0.2565,0.0847,,,,,99.3083,-64.7987
2000-02-02,3110.3,1.2369,2.0205,,,,,100.5366,-64.3633
2000-02-03,3142.3999,1.0321,2.9822,1.5742,,,,101.5742,-63.9955
2000-02-04,3118.7,-0.7542,1.7653,3.3127,,,,100.8081,-64.2671
2000-02-07,3136.8999,0.5836,1.8408,4.5877,,,,101.3964,-64.0585
2000-02-08,3134.6001,-0.0733,2.0278,3.678,,,,101.322,-64.0849
2000-02-09,3149.8999,0.4881,1.2732,2.1368,,,,101.8166,-63.9096
2000-02-10,3192.3,1.3461,1.588,0.9966,,,,103.1871,-63.4238
2000-02-11,3167.3,-0.7831,1.5583,2.5547,,,,102.379,-63.7102
2000-02-14,3122.2,-1.4239,-0.4686,1.4063,,,,100.9212,-64.227
2000-02-15,3152.3,0.9641,0.5647,1.1844,,,,101.8942,-63.8821
2000-02-16,3150.3999,-0.0603,0.0159,0.9258,,,,101.8328,-63.9038
2000-02-17,3140.8,-0.3047,-1.6133,0.4092,,,,101.5225,-64.0138
2000-02-18,3114.8999,-0.8246,-1.6544,1.1167,,,,100.6853,-64.3106
2000-02-21,3114.8999,0.0,-0.2338,0.0771,,,,100.6853,-64.3106
2000-02-22,3097.0,-0.5747,-1.7543,0.7679,,,,100.1067,-64.5157
2000-02-23,3101.1001,0.1324,-1.5649,1.0229,,,,100.2392,-64.4687
2000-02-24,3099.6001,-0.0484,-1.3118,1.6696,,,,100.1907,-64.4859
2000-02-25,3111.2,0.3742,-0.1188,1.9598,,,,100.5657,-64.353
2000-02-28,3106.7,-0.1446,-0.2632,1.3737,,,,100.4202,-64.4045
2000-02-29,3124.6001,0.5762,0.8912,1.4415,,,,100.9988,-64.1995
2000-03-01,3187.2,2.0035,2.7764,3.7399,,,,103.0223,-63.4822
2000-03-02,3219.8,1.0228,3.8779,3.5206,,,,104.076,-63.1087
2000-03-03,3232.6001,0.3975,3.902,2.8704,,,,104.4898,-62.962
2000-03-06,3214.0,-0.5754,3.4538,3.0558,,,,103.8885,-63.1751
2000-03-07,3232.5,0.5756,3.4532,3.0476,,,,104.4865,-62.9632
2000-03-08,3207.8999,-0.761,0.6495,2.3384,,,,103.6914,-63.245
2000-03-09,3188.0,-0.6203,-0.9876,1.2096,,,,103.0481,-63.473
2000-03-10,3189.3,0.0408,-1.3395,-0.094,,,,103.0902,-63.4581
2000-03-13,3185.8999,-0.1066,-0.8743,0.5872,,,,102.9802,-63.4971
2000-03-14,3178.7,-0.226,-1.6643,1.8096,,,,102.7475,-63.5796
2000-03-15,3159.7,-0.5977,-1.5025,0.2347,,,,102.1334,-63.7973
2000-03-16,3171.8,0.383,-0.5082,0.6793,,,,102.5245,-63.6587
2000-03-17,3200.3999,0.9017,0.348,1.8976,,,,103.4489,-63.331
2000-03-20,3237.7,1.1655,1.6259,3.9423,,,,104.6546,-62.9036
2000-03-21,3248.8,0.3428,2.2053,4.2987,,,,105.0134,-62.7764
2000-03-22,3276.3999,0.8495,3.6934,5.7927,,,,105.9055,-62.4602
2000-03-23,3248.8,-0.8424,2.4276,4.7628,,,,105.0134,-62.7764
2000-03-24,3251.5,0.0831,1.5967,4.9006,,,,105.1007,-62.7455
2000-03-27,3227.8999,-0.7258,-0.3027,3.751,,,,104.3378,-63.0159
2000-03-28,3230.2,0.0713,-0.5725,3.9753,,,,104.4122,-62.9895
2000-03-29,3225.8999,-0.1331,-1.5413,3.242,,,,104.2732,-63.0388
2000-03-30,3194.1001,-0.9858,-1.6837,0.2165,,,,103.2453,-63.4031
2000-03-31,3133.3,-1.9035,-3.6352,-2.6865,,,,101.28,-64.0998
2000-04-03,3191.0,1.8415,-1.1432,-1.2869,3.1451,,,103.1451,-63.4387
2000-04-04,3176.8,-0.445,-1.6531,-1.1574,5.2374,,,102.6861,-63.6014
2000-04-05,3155.3999,-0.6736,-2.1854,-2.3852,5.2045,,,101.9944,-63.8466
2000-04-06,3157.1001,0.0539,-1.1584,-1.5836,4.4222,,,102.0493,-63.8271
2000-04-07,3182.0,0.7887,1.5543,-0.1882,3.1777,,,102.8542,-63.5418
2000-04-10,3201.3999,0.6097,0.3259,0.3794,1.2845,,,103.4813,-63.3195
2000-04-11,3173.0,-0.8871,-0.1196,-0.4049,2.7393,,,102.5633,-63.6449
2000-04-12,3148.7,-0.7658,-0.2123,-0.9438,2.267,,,101.7778,-63.9233
2000-04-13,3099.7,-1.5562,-1.8181,-1.8989,-0.5039,,,100.1939,-64.4847
2000-04-14,3111.8999,0.3936,-2.203,-1.8885,-0.3075,,,100.5883,-64.345
2000-04-17,2943.8999,-5.3986,-8.0434,-8.0146,-5.8856,,,95.1579,-66.2699
2000-04-18,3010.3,2.2555,-5.1276,-7.0235,-2.2788,,,97.3042,-65.5091
2000-04-19,3069.2,1.9566,-2.5249,-5.5282,-1.3912,,,99.2081,-64.8342
2000-04-26,3117.3,1.5672,0.5678,-4.8559,1.4284,,,100.7628,-64.2831
2000-04-27,3106.3,-0.3529,-0.1799,-4.3862,1.1923,,,100.4073,-64.4091
2000-04-28,3115.8,0.3058,5.8392,-4.1735,2.2009,,,100.7144,-64.3003
2000-05-01,3102.0,-0.4429,3.0462,-3.9004,1.6583,,,100.2683,-64.4584
2000-05-02,3131.1001,0.9381,2.0168,-3.0679,2.1699,,,101.2089,-64.125
2000-05-03,3107.5,-0.7537,-0.3144,-3.6703,0.8863,,,100.4461,-64.3954
2000-05-04,3053.8,-1.7281,-1.6901,-4.3925,-0.6022,,,98.7103,-65.0107
2000-05-05,3107.2,1.7486,-0.276,-0.833,-0.0997,,,100.4364,-64.3988
2000-05-08,3106.2,-0.0322,0.1354,-2.6575,-1.152,,,100.404,-64.4103
2000-05-09,3086.1001,-0.6471,-1.4372,-2.8551,-1.0453,,,99.7543,-64.6406
2000-05-10,3043.3999,-1.3836,-2.0628,-3.5495,-2.9806,,,98.3741,-65.1298
2000-05-11,2996.3999,-1.5443,-1.8796,-5.0901,-4.4089,,,96.8549,-65.6683
2000-05-12,3034.8,1.2815,-2.3301,-4.626,-3.6541,,,98.0961,-65.2283
2000-05-15,3051.1001,0.5371,-1.7739,-4.6948,-4.4231,,,98.623,-65.0416
2000-05-16,3089.2,1.2487,0.1004,-2.641,-2.4658,,,99.8545,-64.6051
2000-05-17,3074.8,-0.4661,1.0317,-2.347,-1.5182,,,99.3891,-64.77
