date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,3311.05,,,,,,,100.0,-35.2362
2000-01-04,3172.21,-4.1932,,,,,,95.8068,-37.9519
2000-01-05,3057.53,-3.6151,,,,,,92.3432,-40.195
2000-01-06,3061.0901,0.1164,,,,,,92.4507,-40.1254
2000-01-07,3138.55,2.5305,,,,,,94.7902,-38.6103
2000-01-10,3203.75,2.0774,-3.2407,,,,,96.7593,-37.335
2000-01-11,3148.8999,-1.7121,-0.7348,,,,,95.1028,-38.4078
2000-01-12,3110.25,-1.2274,1.7243,,,,,93.9355,-39.1638
2000-01-13,3133.5801,0.7501,2.3681,,,,,94.6401,-38.7075
2000-01-14,3128.5,-0.1621,-0.3202,,,,,94.4866,-38.8068
2000-01-17,3074.1799,-1.7363,-4.0443,,,,,92.8461,-39.8693
2000-01-18,2972.1001,-3.3206,-5.6147,,,,,89.7631,-41.866
2000-01-19,2977.53,0.1827,-4.2672,,,,,89.9271,-41.7598
2000-01-20,2971.5701,-0.2002,-5.1701,,,,,89.7471,-41.8764
2000-01-21,2930.97,-1.3663,-6.3139,,,,,88.5209,-42.6705
2000-01-24,2925.3501,-0.1917,-4.8413,,,,,88.3511,-42.7804
2000-01-25,2857.8201,-2.3084,-3.8451,,,,,86.3116,-44.1013
2000-01-26,2878.8301,0.7352,-3.3148,,,,,86.9461,-43.6904
2000-01-27,2891.47,0.4391,-2.6955,,,,,87.3279,-43.4431
2000-01-28,2884.6001,-0.2376,-1.5821,,,,,87.1204,-43.5775
2000-01-31,2806.29,-2.7148,-4.0699,,,,,84.7553,-45.1092
2000-02-01,2786.03,-0.7219,-2.5121,-15.8566,,,,84.1434,-45.5055
2000-02-02,2789.5801,0.1274,-3.1002,-12.0619,,,,84.2506,-45.4361
2000-02-03,2888.3999,3.5425,-0.1062,-5.5316,,,,87.2352,-43.5032
2000-02-04,2924.1299,1.237,1.3704,-4.4742,,,,88.3143,-42.8043
2000-02-07,2891.6201,-1.1118,3.0407,-7.8676,,,,87.3324,-43.4402
2000-02-08,2910.99,0.6699,4.4852,-9.138,,,,87.9174,-43.0613
2000-02-09,2815.0601,-3.2954,0.9134,-10.6018,,,,85.0202,-44.9377
2000-02-10,2741.6299,-2.6085,-5.0814,-11.8518,,,,82.8024,-46.374
2000-02-11,2769.49,1.0162,-5.2884,-11.619,,,,83.6439,-45.829
2000-02-14,2839.9099,2.5427,-1.7883,-9.2246,,,,85.7707,-44.4516
2000-02-15,2832.3501,-0.2662,-2.7015,-7.8665,,,,85.5424,-44.5995
2000-02-16,2830.28,-0.0731,0.5407,-4.7717,,,,85.4798,-44.64
2000-02-17,2820.6899,-0.3388,2.8837,-5.2675,,,,85.1902,-44.8276
2000-02-18,2800.1001,-0.73,1.1053,-5.7703,,,,84.5683,-45.2303
2000-02-21,2780.48,-0.7007,-2.0927,-5.1345,,,,83.9758,-45.6141
2000-02-22,2721.3401,-2.127,-3.9194,-6.9739,,,,82.1896,-46.7709
2000-02-23,2730.0,0.3182,-3.5431,-4.4726,,,,82.4512,-46.6015
2000-02-24,2765.79,1.311,-1.9463,-3.9266,,,,83.5321,-45.9014
2000-02-25,2761.46,-0.1566,-1.38,-4.4963,,,,83.4013,-45.9861
2000-02-28,2727.49,-1.2301,-1.9058,-5.4465,,,,82.3754,-46.6506
2000-02-29,2746.0801,0.6816,0.9091,-2.1455,,,,82.9368,-46.2869
2000-03-01,2756.03,0.3623,0.9535,-1.0768,,,,83.2373,-46.0923
2000-03-02,2777.1799,0.7674,0.4118,-0.4445,,,,83.8761,-45.6786
2000-03-03,2746.8401,-1.0925,-0.5294,-4.901,,,,82.9598,-46.2721
2000-03-06,2733.4299,-0.4882,0.2178,-6.5216,,,,82.5548,-46.5344
2000-03-07,2698.78,-1.2676,-1.7225,-6.6689,,,,81.5083,-47.2121
2000-03-08,2690.0601,-0.3231,-2.3937,-7.5895,,,,81.2449,-47.3827
2000-03-09,2655.6499,-1.2792,-4.376,-5.6628,,,,80.2057,-48.0557
2000-03-10,2594.0701,-2.3188,-5.5617,-5.3822,,,,78.3458,-49.2602
2000-03-13,2532.24,-2.3835,-7.3603,-8.5666,,,,76.4785,-50.4696
2000-03-14,2579.05,1.8486,-4.4364,-9.1855,,,,77.8922,-49.554
2000-03-15,2721.8201,5.5358,1.1806,-3.9024,,,,82.2041,-46.7615
2000-03-16,2906.6599,6.791,9.4519,2.6987,,,,87.7866,-43.146
2000-03-17,2835.0801,-2.4626,9.2908,0.5102,,,,85.6248,-44.5461
2000-03-20,2852.02,0.5975,12.6283,1.8542,,,,86.1364,-44.2148
2000-03-21,2800.3899,-1.8103,8.5822,0.7161,,,,84.5771,-45.2246
2000-03-22,2891.0,3.2356,6.2157,6.2344,,,,87.3137,-43.4523
2000-03-23,2907.9299,0.5856,0.0437,6.5176,,,,87.825,-43.1212
2000-03-24,2919.3301,0.392,2.9717,5.5514,,,,88.1693,-42.8982
2000-03-27,2821.4199,-3.3539,-1.0729,2.1713,,,,85.2122,-44.8133
2000-03-28,2851.8401,1.0782,1.8373,4.5591,,,,86.131,-44.2183
2000-03-29,2826.8201,-0.8773,-2.22,2.9402,,,,85.3753,-44.7077
2000-03-30,2778.29,-1.7168,-4.4582,0.8077,-16.0904,,,83.9096,-45.6569
2000-03-31,2777.8401,-0.0162,-4.8467,0.0238,-12.432,,,83.896,-45.6657
2000-04-03,2824.1201,1.666,0.0957,2.8134,-7.6339,,,85.2938,-44.7605
2000-04-04,2900.0601,2.689,1.6908,6.096,-5.2605,,,87.5873,-43.2751
2000-04-05,2885.79,-0.4921,2.0861,6.9294,-8.0534,,,87.1563,-43.5542
2000-04-06,2898.22,0.4307,4.3167,7.7381,-9.5366,,,87.5317,-43.3111
2000-04-07,2868.1699,-1.0368,3.2518,8.0026,-8.9152,,,86.6242,-43.8989
2000-04-10,2861.3701,-0.2371,1.319,10.3043,-8.0019,,,86.4188,-44.0319
2000-04-11,2913.3701,1.8173,0.459,15.0511,-7.0274,,,87.9893,-43.0148
2000-04-12,2970.73,1.9688,2.9434,15.187,-5.043,,,89.7217,-41.8928
2000-04-13,2994.05,0.785,3.3065,10.0018,-2.6065,,,90.426,-41.4367
2000-04-14,2951.1399,-1.4332,2.8928,1.5303,-0.7052,,,89.13,-42.276
2000-04-17,2897.1001,-1.8311,1.2487,2.1876,-2.7012,,,87.4979,-43.333
2000-04-18,2934.8,1.3013,0.7356,2.9025,-1.2374,,,88.6365,-42.5956
2000-04-19,2881.72,-1.8086,-2.9962,2.9042,-1.6803,,,87.0334,-43.6338
2000-04-20,2843.73,-1.3183,-5.0206,-1.6351,-2.7901,,,85.886,-44.3769
2000-04-25,2830.3601,-0.4702,-4.0926,-2.6675,-0.9609,,,85.4823,-44.6384
