date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.7533,,,,
2000-02-01,5.7722,0.0189,,,
2000-03-01,5.5851,-0.1871,,,
2000-04-01,5.4877,-0.0974,-0.2656,,
2000-05-01,5.6624,0.1747,-0.1098,,
2000-06-01,5.515,-0.1474,-0.0701,,
2000-07-01,5.597,0.082,0.1093,-0.1563,
2000-08-01,5.5428,-0.0542,-0.1196,-0.2294,
2000-09-01,5.5665,0.0237,0.0515,-0.0186,
2000-10-01,5.5152,-0.0513,-0.0818,0.0275,
2000-11-01,5.4556,-0.0596,-0.0872,-0.2068,
2000-12-01,5.212,-0.2436,-0.3545,-0.303,
2001-01-01,5.0996,-0.1124,-0.4156,-0.4974,-0.6537
2001-02-01,5.0983,-0.0013,-0.3573,-0.4445,-0.6739
2001-03-01,5.0094,-0.0889,-0.2026,-0.5571,-0.5757
2001-04-01,5.1608,0.1514,0.0612,-0.3544,-0.3269
2001-05-01,5.3443,0.1835,0.246,-0.1113,-0.3181
2001-06-01,5.2723,-0.072,0.2629,0.0603,-0.2427
2001-07-01,5.2923,0.02,0.1315,0.1927,-0.3047
2001-08-01,5.0979,-0.1944,-0.2464,-0.0004,-0.4449
2001-09-01,5.0806,-0.0173,-0.1917,0.0712,-0.4859
2001-10-01,4.8475,-0.2331,-0.4448,-0.3133,-0.6677
2001-11-01,4.7045,-0.143,-0.3934,-0.6398,-0.7511
2001-12-01,4.9545,0.25,-0.1261,-0.3178,-0.2575
2002-01-01,5.0646,0.1101,0.2171,-0.2277,-0.035
2002-02-01,5.1192,0.0546,0.4147,0.0213,0.0209
2002-03-01,5.3575,0.2383,0.403,0.2769,0.3481
2002-04-01,5.3473,-0.0102,0.2827,0.4998,0.1865
2002-05-01,5.3684,0.0211,0.2492,0.6639,0.0241
2002-06-01,5.2177,-0.1507,-0.1398,0.2632,-0.0546
2002-07-01,5.0607,-0.157,-0.2866,-0.0039,-0.2316
2002-08-01,4.7739,-0.2868,-0.5945,-0.3453,-0.324
2002-09-01,4.5708,-0.2031,-0.6469,-0.7867,-0.5098
2002-10-01,4.6421,0.0713,-0.4186,-0.7052,-0.2054
2002-11-01,4.6152,-0.0269,-0.1587,-0.7532,-0.0893
2002-12-01,4.4282,-0.187,-0.1426,-0.7895,-0.5263
2003-01-01,4.2233,-0.2049,-0.4188,-0.8374,-0.8413
2003-02-01,4.0091,-0.2142,-0.6061,-0.7648,-1.1101
2003-03-01,4.032,0.0229,-0.3962,-0.5388,-1.3255
2003-04-01,4.1584,0.1264,-0.0649,-0.4837,-1.1889
2003-05-01,3.8511,-0.3073,-0.158,-0.7641,-1.5173
2003-06-01,3.7575,-0.0936,-0.2745,-0.6707,-1.4602
2003-07-01,4.0613,0.3038,-0.0971,-0.162,-0.9994
2003-08-01,4.2159,0.1546,0.3648,0.2068,-0.558
2003-09-01,4.2447,0.0288,0.4872,0.2127,-0.3261
2003-10-01,4.3182,0.0735,0.2569,0.1598,-0.3239
2003-11-01,4.4386,0.1204,0.2227,0.5875,-0.1766
2003-12-01,4.3803,-0.0583,0.1356,0.6228,-0.0479
