date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,7.1779,,,,
2000-02-01,6.9576,-0.2203,,,
2000-03-01,6.5704,-0.3872,,,
2000-04-01,6.2647,-0.3057,-0.9132,,
2000-05-01,6.4657,0.2009,-0.492,,
2000-06-01,6.1724,-0.2933,-0.3981,,
2000-07-01,6.1619,-0.0105,-0.1028,-1.016,
2000-08-01,6.2274,0.0655,-0.2383,-0.7302,
2000-09-01,6.1362,-0.0912,-0.0362,-0.4342,
2000-10-01,6.108,-0.0282,-0.054,-0.1568,
2000-11-01,5.9895,-0.1184,-0.2378,-0.4761,
2000-12-01,5.5432,-0.4464,-0.593,-0.6292,
2001-01-01,5.4055,-0.1377,-0.7025,-0.7564,-1.7724
2001-02-01,5.3212,-0.0842,-0.6683,-0.9061,-1.6364
2001-03-01,5.1307,-0.1906,-0.4125,-1.0055,-1.4398
2001-04-01,5.5772,0.4465,0.1717,-0.5307,-0.6875
2001-05-01,5.9435,0.3663,0.6222,-0.0461,-0.5222
2001-06-01,5.8968,-0.0467,0.7661,0.3536,-0.2756
2001-07-01,6.0864,0.1896,0.5091,0.6809,-0.0755
2001-08-01,5.7615,-0.3248,-0.182,0.4403,-0.4659
2001-09-01,5.5782,-0.1833,-0.3185,0.4476,-0.5579
2001-10-01,5.4076,-0.1706,-0.6788,-0.1696,-0.7003
2001-11-01,5.4577,0.0501,-0.3038,-0.4858,-0.5318
2001-12-01,5.8168,0.3591,0.2386,-0.0799,0.2737
2002-01-01,5.8583,0.0415,0.4507,-0.228,0.4529
2002-02-01,5.9458,0.0874,0.488,0.1842,0.6245
2002-03-01,6.309,0.3632,0.4922,0.7308,1.1783
2002-04-01,6.294,-0.015,0.4357,0.8864,0.7168
2002-05-01,6.2152,-0.0788,0.2695,0.7575,0.2717
2002-06-01,6.0076,-0.2076,-0.3014,0.1908,0.1109
2002-07-01,5.8598,-0.1478,-0.4342,0.0014,-0.2266
2002-08-01,5.6484,-0.2114,-0.5668,-0.2973,-0.1131
2002-09-01,5.4357,-0.2127,-0.5719,-0.8733,-0.1425
2002-10-01,5.6591,0.2234,-0.2007,-0.6349,0.2515
2002-11-01,5.4995,-0.1596,-0.1489,-0.7157,0.0418
2002-12-01,5.395,-0.1045,-0.0407,-0.6126,-0.4218
2003-01-01,5.275,-0.12,-0.3841,-0.5848,-0.5833
2003-02-01,5.1678,-0.1073,-0.3318,-0.4807,-0.778
2003-03-01,5.2717,0.1039,-0.1233,-0.164,-1.0373
2003-04-01,5.3461,0.0744,0.0711,-0.3131,-0.9479
2003-05-01,5.0282,-0.3179,-0.1396,-0.4713,-1.187
2003-06-01,4.8027,-0.2254,-0.4689,-0.5922,-1.2049
2003-07-01,5.2328,0.4301,-0.1132,-0.0422,-0.627
2003-08-01,5.524,0.2912,0.4959,0.3563,-0.1244
2003-09-01,5.513,-0.0111,0.7102,0.2413,0.0772
2003-10-01,5.6087,0.0957,0.3759,0.2626,-0.0504
2003-11-01,5.874,0.2653,0.35,0.8458,0.3745
2003-12-01,5.7574,-0.1166,0.2444,0.9546,0.3624
2004-01-01,5.7005,-0.0569,0.0918,0.4677,0.4255
2004-02-01,5.6205,-0.08,-0.2535,0.0965,0.4528
2004-03-01,5.4154,-0.2051,-0.3419,-0.0975,0.1438
2004-04-01,5.803,0.3876,0.1025,0.1943,0.4569
2004-05-01,5.9581,0.1551,0.3376,0.0841,0.9299
2004-06-01,5.8455,-0.1126,0.43,0.0881,1.0427
2004-07-01,5.7177,-0.1277,-0.0853,0.0172,0.4849
2004-08-01,5.5832,-0.1345,-0.3749,-0.0373,0.0591
2004-09-01,5.412,-0.1711,-0.4334,-0.0034,-0.1009
2004-10-01,5.4014,-0.0106,-0.3163,-0.4016,-0.2073
2004-11-01,5.4,-0.0014,-0.1832,-0.5581,-0.474
2004-12-01,5.2319,-0.1681,-0.1801,-0.6136,-0.5255
2005-01-01,5.3518,0.1199,-0.0496,-0.3659,-0.3487
2005-02-01,5.3978,0.0459,-0.0023,-0.1854,-0.2227
2005-03-01,5.6526,0.2549,0.4207,0.2406,0.2372
2005-04-01,5.472,-0.1806,0.1202,0.0706,-0.331
2005-05-01,5.2877,-0.1843,-0.11,-0.1123,-0.6704
2005-06-01,5.1405,-0.1473,-0.5121,-0.0914,-0.705
2005-07-01,5.1902,0.0498,-0.2818,-0.1616,-0.5275
2005-08-01,5.2187,0.0285,-0.069,-0.1791,-0.3645
2005-09-01,5.1864,-0.0323,0.0459,-0.4663,-0.2257
2005-10-01,5.4002,0.2139,0.21,-0.0718,-0.0012
2005-11-01,5.4352,0.035,0.2165,0.1475,0.0352
2005-12-01,5.3465,-0.0887,0.1601,0.206,0.1146
2006-01-01,5.2035,-0.143,-0.1967,0.0133,-0.1483
2006-02-01,5.272,0.0685,-0.1632,0.0533,-0.1258
2006-03-01,5.3413,0.0693,-0.0052,0.1549,-0.3113
2006-04-01,5.5797,0.2384,0.3762,0.1795,0.1077
2006-05-01,5.75,0.1703,0.478,0.3148,0.4623
2006-06-01,5.7379,-0.0121,0.3966,0.3914,0.5974
2006-07-01,5.834,0.0962,0.2543,0.6305,0.6438
2006-08-01,5.7733,-0.0608,0.0233,0.5013,0.5546
2006-09-01,5.6017,-0.1716,-0.1362,0.2604,0.4153
2006-10-01,5.665,0.0633,-0.169,0.0853,0.2648
2006-11-01,5.5995,-0.0655,-0.1737,-0.1505,0.1643
2006-12-01,5.6966,0.097,0.0949,-0.0413,0.3501
2007-01-01,5.8776,0.181,0.2126,0.0436,0.6741
2007-02-01,5.8092,-0.0684,0.2097,0.036,0.5372
2007-03-01,5.7368,-0.0724,0.0402,0.1352,0.3955
2007-04-01,5.9097,0.1729,0.0321,0.2447,0.33
2007-05-01,5.9209,0.0111,0.1116,0.3213,0.1709
2007-06-01,6.2048,0.2839,0.4679,0.5082,0.4669
2007-07-01,6.1498,-0.055,0.2401,0.2722,0.3157
2007-08-01,5.9259,-0.2239,0.005,0.1167,0.1526
2007-09-01,5.9921,0.0662,-0.2126,0.2553,0.3904
2007-10-01,6.1743,0.1822,0.0246,0.2646,0.5093
2007-11-01,6.0255,-0.1489,0.0995,0.1046,0.4259
2007-12-01,6.2076,0.1822,0.2155,0.0029,0.5111
2008-01-01,6.0764,-0.1312,-0.0979,-0.0733,0.1988
2008-02-01,6.2945,0.2181,0.2691,0.3686,0.4853
2008-03-01,6.0855,-0.209,-0.1221,0.0934,0.3487
2008-04-01,6.1705,0.0849,0.094,-0.0039,0.2608
2008-05-01,6.355,0.1845,0.0605,0.3295,0.4341
2008-06-01,6.5868,0.2317,0.5012,0.3791,0.382
2008-07-01,6.3665,-0.2202,0.196,0.2901,0.2167
2008-08-01,5.8625,-0.504,-0.4925,-0.432,-0.0634
2008-09-01,5.6459,-0.2166,-0.9408,-0.4396,-0.3462
2008-10-01,5.2152,-0.4307,-1.1513,-0.9552,-0.9591
2008-11-01,4.9408,-0.2745,-0.9217,-1.4142,-1.0847
2008-12-01,4.2157,-0.725,-1.4302,-2.371,-1.9919
2009-01-01,4.0858,-0.13,-1.1295,-2.2808,-1.9907
2009-02-01,4.253,0.1673,-0.6878,-1.6095,-2.0415
2009-03-01,4.3277,0.0747,0.112,-1.3182,-1.7578
2009-04-01,4.512,0.1843,0.4262,-0.7032,-1.6585
2009-05-01,5.0043,0.4923,0.7513,0.0635,-1.3507
2009-06-01,5.5567,0.5524,1.2289,1.341,-1.0301
2009-07-01,5.4878,-0.0688,0.9758,1.4021,-0.8787
2009-08-01,5.5332,0.0454,0.529,1.2802,-0.3293
2009-09-01,5.3236,-0.2096,-0.233,0.9959,-0.3223
2009-10-01,5.4502,0.1266,-0.0376,0.9382,0.235
2009-11-01,5.4667,0.0164,-0.0666,0.4624,0.5259
2009-12-01,5.4731,0.0064,0.1495,-0.0836,1.2574
2010-01-01,5.5575,0.0844,0.1073,0.0697,1.4718
2010-02-01,5.4775,-0.08,0.0108,-0.0557,1.2245
2010-03-01,5.62,0.1425,0.1469,0.2964,1.2923
2010-04-01,5.795,0.175,0.2375,0.3448,1.283
2010-05-01,5.48,-0.315,0.0025,0.0133,0.4757
2010-06-01,5.3275,-0.1525,-0.2925,-0.1456,-0.2292
2010-07-01,5.145,-0.1825,-0.65,-0.4125,-0.3428
2010-08-01,4.97,-0.175,-0.51,-0.5075,-0.5632
2010-09-01,5.0025,0.0325,-0.325,-0.6175,-0.3211
2010-10-01,5.085,0.0825,-0.06,-0.71,-0.3652
2010-11-01,5.3775,0.2925,0.4075,-0.1025,-0.0892
2010-12-01,5.555,0.1775,0.5525,0.2275,0.0819
2011-01-01,5.52,-0.035,0.435,0.375,-0.0375
2011-02-01,5.61,0.09,0.2325,0.64,0.1325
2011-03-01,5.435,-0.175,-0.12,0.4325,-0.185
2011-04-01,5.5125,0.0775,-0.0075,0.4275,-0.2825
2011-05-01,5.325,-0.1875,-0.285,-0.0525,-0.155
2011-06-01,5.16,-0.165,-0.275,-0.395,-0.1675
2011-07-01,5.02,-0.14,-0.4925,-0.5,-0.125
2011-08-01,4.4925,-0.5275,-0.8325,-1.1175,-0.4775
2011-09-01,4.2025,-0.29,-0.9575,-1.2325,-0.8
2011-10-01,4.37,0.1675,-0.65,-1.1425,-0.715
2011-11-01,4.0825,-0.2875,-0.41,-1.2425,-1.295
2011-12-01,3.825,-0.2575,-0.3775,-1.335,-1.73
2012-01-01,3.795,-0.03,-0.575,-1.225,-1.725
