date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.793,,,,
2000-02-01,5.795,0.002,,,
2000-03-01,5.62,-0.175,,,
2000-04-01,5.521,-0.099,-0.272,,
2000-05-01,5.687,0.166,-0.108,,
2000-06-01,5.526,-0.161,-0.094,,
2000-07-01,5.6,0.074,0.079,-0.193,
2000-08-01,5.56,-0.04,-0.127,-0.235,
2000-09-01,5.629,0.069,0.103,0.009,
2000-10-01,5.582,-0.047,-0.018,0.061,
2000-11-01,5.524,-0.058,-0.036,-0.163,
2000-12-01,5.276,-0.248,-0.353,-0.25,
2001-01-01,5.164,-0.112,-0.418,-0.436,-0.629
2001-02-01,5.156,-0.008,-0.368,-0.404,-0.639
2001-03-01,5.078,-0.078,-0.198,-0.551,-0.542
2001-04-01,5.205,0.127,0.041,-0.377,-0.316
2001-05-01,5.377,0.172,0.221,-0.147,-0.31
2001-06-01,5.329,-0.048,0.251,0.053,-0.197
2001-07-01,5.346,0.017,0.141,0.182,-0.254
2001-08-01,5.152,-0.194,-0.225,-0.004,-0.408
2001-09-01,5.135,-0.017,-0.194,0.057,-0.494
2001-10-01,4.887,-0.248,-0.459,-0.318,-0.695
2001-11-01,4.747,-0.14,-0.405,-0.63,-0.777
2001-12-01,4.974,0.227,-0.161,-0.355,-0.302
2002-01-01,5.08,0.106,0.193,-0.266,-0.084
2002-02-01,5.151,0.071,0.404,-0.001,-0.005
2002-03-01,5.372,0.221,0.398,0.237,0.294
2002-04-01,5.373,0.001,0.293,0.486,0.168
2002-05-01,5.377,0.004,0.226,0.63,0.0
2002-06-01,5.242,-0.135,-0.13,0.268,-0.087
2002-07-01,5.088,-0.154,-0.285,0.008,-0.258
2002-08-01,4.803,-0.285,-0.574,-0.348,-0.349
2002-09-01,4.596,-0.207,-0.646,-0.776,-0.539
2002-10-01,4.659,0.063,-0.429,-0.714,-0.228
2002-11-01,4.637,-0.022,-0.166,-0.74,-0.11
2002-12-01,4.456,-0.181,-0.14,-0.786,-0.518
2003-01-01,4.284,-0.172,-0.375,-0.804,-0.796
2003-02-01,4.112,-0.172,-0.525,-0.691,-1.039
2003-03-01,4.15,0.038,-0.306,-0.446,-1.222
2003-04-01,4.286,0.136,0.002,-0.373,-1.087
2003-05-01,3.947,-0.339,-0.165,-0.69,-1.43
2003-06-01,3.737,-0.21,-0.413,-0.719,-1.505
2003-07-01,4.059,0.322,-0.227,-0.225,-1.029
2003-08-01,4.224,0.165,0.277,0.112,-0.579
2003-09-01,4.25,0.026,0.513,0.1,-0.346
2003-10-01,4.307,0.057,0.248,0.021,-0.352
2003-11-01,4.429,0.122,0.205,0.482,-0.208
2003-12-01,4.375,-0.054,0.125,0.638,-0.081
2004-01-01,4.257,-0.118,-0.05,0.198,-0.027
2004-02-01,4.262,0.005,-0.167,0.038,0.15
2004-03-01,4.071,-0.191,-0.304,-0.179,-0.079
2004-04-01,4.26,0.189,0.003,-0.047,-0.026
2004-05-01,4.398,0.138,0.136,-0.031,0.451
2004-06-01,4.457,0.059,0.386,0.082,0.72
2004-07-01,4.343,-0.114,0.083,0.086,0.284
2004-08-01,4.179,-0.164,-0.219,-0.083,-0.045
2004-09-01,4.107,-0.072,-0.35,0.036,-0.143
2004-10-01,3.976,-0.131,-0.367,-0.284,-0.331
2004-11-01,3.855,-0.121,-0.324,-0.543,-0.574
2004-12-01,3.659,-0.196,-0.448,-0.798,-0.716
2005-01-01,3.59,-0.069,-0.386,-0.753,-0.667
2005-02-01,3.566,-0.024,-0.289,-0.613,-0.696
2005-03-01,3.76,0.194,0.101,-0.347,-0.311
2005-04-01,3.6,-0.16,0.01,-0.376,-0.66
2005-05-01,3.435,-0.165,-0.131,-0.42,-0.963
2005-06-01,3.265,-0.17,-0.495,-0.394,-1.192
2005-07-01,3.297,0.032,-0.303,-0.293,-1.046
2005-08-01,3.313,0.016,-0.122,-0.253,-0.866
2005-09-01,3.145,-0.168,-0.12,-0.615,-0.962
2005-10-01,3.299,0.154,0.002,-0.301,-0.677
2005-11-01,3.493,0.194,0.18,0.058,-0.362
2005-12-01,3.39,-0.103,0.245,0.125,-0.269
2006-01-01,3.372,-0.018,0.073,0.075,-0.218
2006-02-01,3.538,0.166,0.045,0.225,-0.028
2006-03-01,3.702,0.164,0.312,0.557,-0.058
2006-04-01,3.956,0.254,0.584,0.657,0.356
2006-05-01,4.027,0.071,0.489,0.534,0.592
2006-06-01,4.016,-0.011,0.314,0.626,0.751
2006-07-01,4.042,0.026,0.086,0.67,0.745
2006-08-01,3.915,-0.127,-0.112,0.377,0.602
2006-09-01,3.789,-0.126,-0.227,0.087,0.644
2006-10-01,3.835,0.046,-0.207,-0.121,0.536
2006-11-01,3.76,-0.075,-0.155,-0.267,0.267
2006-12-01,3.82,0.06,0.031,-0.196,0.43
2007-01-01,4.064,0.244,0.229,0.022,0.692
2007-02-01,4.108,0.044,0.348,0.193,0.57
2007-03-01,4.009,-0.099,0.189,0.22,0.307
2007-04-01,4.222,0.213,0.158,0.387,0.266
2007-05-01,4.345,0.123,0.237,0.585,0.318
2007-06-01,4.638,0.293,0.629,0.818,0.622
2007-07-01,4.617,-0.021,0.395,0.553,0.575
2007-08-01,4.437,-0.18,0.092,0.329,0.522
2007-09-01,4.392,-0.045,-0.246,0.383,0.603
2007-10-01,4.423,0.031,-0.194,0.201,0.588
2007-11-01,4.28,-0.143,-0.157,-0.065,0.52
2007-12-01,4.412,0.132,0.02,-0.226,0.592
2008-01-01,4.252,-0.16,-0.171,-0.365,0.188
2008-02-01,4.231,-0.021,-0.049,-0.206,0.123
2008-03-01,4.225,-0.006,-0.187,-0.167,0.216
2008-04-01,4.375,0.15,0.123,-0.048,0.153
2008-05-01,4.514,0.139,0.283,0.234,0.169
2008-06-01,4.836,0.322,0.611,0.424,0.198
2008-07-01,4.852,0.016,0.477,0.6,0.235
2008-08-01,4.578,-0.274,0.064,0.347,0.141
2008-09-01,4.558,-0.02,-0.278,0.333,0.166
2008-10-01,4.459,-0.099,-0.393,0.084,0.036
2008-11-01,4.261,-0.198,-0.317,-0.253,-0.019
2008-12-01,3.866,-0.395,-0.692,-0.97,-0.546
2009-01-01,4.133,0.267,-0.326,-0.719,-0.119
2009-02-01,4.238,0.105,-0.023,-0.34,0.007
2009-03-01,4.035,-0.203,0.169,-0.523,-0.19
2009-04-01,3.929,-0.106,-0.204,-0.53,-0.446
2009-05-01,4.029,0.1,-0.209,-0.232,-0.485
2009-06-01,4.122,0.093,0.087,0.256,-0.714
2009-07-01,3.915,-0.207,-0.014,-0.218,-0.937
2009-08-01,3.773,-0.142,-0.256,-0.465,-0.805
2009-09-01,3.722,-0.051,-0.4,-0.313,-0.836
2009-10-01,3.678,-0.044,-0.237,-0.251,-0.781
2009-11-01,3.643,-0.035,-0.13,-0.386,-0.618
2009-12-01,3.608,-0.035,-0.114,-0.514,-0.258
2010-01-01,3.745,0.137,0.067,-0.17,-0.388
2010-02-01,3.731,-0.014,0.088,-0.042,-0.507
2010-03-01,3.626,-0.105,0.018,-0.096,-0.409
2010-04-01,3.542,-0.084,-0.203,-0.136,-0.387
2010-05-01,3.306,-0.236,-0.425,-0.337,-0.723
2010-06-01,3.472,0.166,-0.154,-0.136,-0.65
2010-07-01,3.293,-0.179,-0.249,-0.452,-0.622
2010-08-01,3.029,-0.264,-0.277,-0.702,-0.744
2010-09-01,3.12,0.091,-0.352,-0.506,-0.602
2010-10-01,3.209,0.089,-0.084,-0.333,-0.469
2010-11-01,3.479,0.27,0.45,0.173,-0.164
2010-12-01,3.989,0.51,0.869,0.517,0.381
2011-01-01,4.136,0.147,0.927,0.843,0.391
2011-02-01,4.214,0.078,0.735,1.185,0.483
2011-03-01,4.213,-0.001,0.224,1.093,0.587
2011-04-01,4.287,0.074,0.151,1.078,0.745
2011-05-01,4.211,-0.076,-0.003,0.732,0.905
2011-06-01,4.137,-0.074,-0.076,0.148,0.665
2011-07-01,4.225,0.088,-0.062,0.089,0.932
2011-08-01,4.105,-0.12,-0.106,-0.109,1.076
2011-09-01,3.877,-0.228,-0.26,-0.336,0.757
2011-10-01,4.201,0.324,-0.024,-0.086,0.992
2011-11-01,4.838,0.637,0.733,0.627,1.359
2011-12-01,4.352,-0.486,0.475,0.215,0.363
2012-01-01,4.108,-0.244,-0.093,-0.117,-0.028
2012-02-01,3.703,-0.405,-1.135,-0.402,-0.511
2012-03-01,3.53,-0.173,-0.822,-0.347,-0.683
2012-04-01,3.524,-0.006,-0.584,-0.677,-0.763
2012-05-01,3.304,-0.22,-0.399,-1.534,-0.907
2012-06-01,3.169,-0.135,-0.361,-1.183,-0.968
2012-07-01,2.695,-0.474,-0.829,-1.413,-1.53
2012-08-01,2.54,-0.155,-0.764,-1.163,-1.565
2012-09-01,2.606,0.066,-0.563,-0.924,-1.271
2012-10-01,2.436,-0.17,-0.259,-1.088,-1.765
2012-11-01,2.288,-0.148,-0.252,-1.016,-2.55
2012-12-01,2.104,-0.184,-0.502,-1.065,-2.248
2013-01-01,2.312,0.208,-0.124,-0.383,-1.796
2013-02-01,2.465,0.153,0.177,-0.075,-1.238
2013-03-01,2.255,-0.21,0.151,-0.351,-1.275
2013-04-01,2.044,-0.211,-0.268,-0.392,-1.48
2013-05-01,2.058,0.014,-0.407,-0.23,-1.246
2013-06-01,2.441,0.383,0.186,0.337,-0.728
2013-07-01,2.543,0.102,0.499,0.231,-0.152
2013-08-01,2.65,0.107,0.592,0.185,0.11
2013-09-01,2.752,0.102,0.311,0.497,0.146
2013-10-01,2.569,-0.183,0.026,0.525,0.133
2013-11-01,2.416,-0.153,-0.234,0.358,0.128
2013-12-01,2.435,0.019,-0.317,-0.006,0.331
2014-01-01,2.45,0.015,-0.119,-0.093,0.138
2014-02-01,2.398,-0.052,-0.018,-0.252,-0.067
2014-03-01,2.264,-0.134,-0.171,-0.488,0.009
2014-04-01,2.16,-0.104,-0.29,-0.409,0.116
2014-05-01,1.995,-0.165,-0.403,-0.421,-0.063
2014-06-01,1.827,-0.168,-0.437,-0.608,-0.614
2014-07-01,1.614,-0.213,-0.546,-0.836,-0.929
2014-08-01,1.404,-0.21,-0.591,-0.994,-1.246
2014-09-01,1.299,-0.105,-0.528,-0.965,-1.453
2014-10-01,1.179,-0.12,-0.435,-0.981,-1.39
2014-11-01,1.066,-0.113,-0.338,-0.929,-1.35
2014-12-01,0.905,-0.161,-0.394,-0.922,-1.53
2015-01-01,0.733,-0.172,-0.446,-0.881,-1.717
2015-02-01,0.633,-0.1,-0.433,-0.771,-1.765
2015-03-01,0.495,-0.138,-0.41,-0.804,-1.769
2015-04-01,0.415,-0.08,-0.318,-0.764,-1.745
2015-05-01,0.859,0.444,0.226,-0.207,-1.136
2015-06-01,1.206,0.347,0.711,0.301,-0.621
2015-07-01,1.15,-0.056,0.735,0.417,-0.464
2015-08-01,1.0,-0.15,0.141,0.367,-0.404
2015-09-01,1.009,0.009,-0.197,0.514,-0.29
2015-10-01,0.855,-0.154,-0.295,0.44,-0.324
2015-11-01,0.84,-0.015,-0.16,-0.019,-0.226
2015-12-01,0.893,0.053,-0.116,-0.313,-0.012
2016-01-01,0.858,-0.035,0.003,-0.292,0.125
2016-02-01,0.716,-0.142,-0.124,-0.284,0.083
2016-03-01,0.617,-0.099,-0.276,-0.392,0.122
2016-04-01,0.55,-0.067,-0.308,-0.305,0.135
2016-05-01,0.551,0.001,-0.165,-0.289,-0.308
2016-06-01,0.427,-0.124,-0.19,-0.466,-0.779
2016-07-01,0.198,-0.229,-0.352,-0.66,-0.952
2016-08-01,0.147,-0.051,-0.404,-0.569,-0.853
2016-09-01,0.18,0.033,-0.247,-0.437,-0.829
2016-10-01,0.267,0.087,0.069,-0.283,-0.588
2016-11-01,0.567,0.3,0.42,0.016,-0.273
2016-12-01,0.615,0.048,0.435,0.188,-0.278
2017-01-01,0.696,0.081,0.429,0.498,-0.162
2017-02-01,0.874,0.178,0.307,0.727,0.158
2017-03-01,0.874,0.0,0.259,0.694,0.257
2017-04-01,0.783,-0.091,0.087,0.516,0.233
2017-05-01,0.774,-0.009,-0.1,0.207,0.223
2017-06-01,0.625,-0.149,-0.249,0.01,0.198
2017-07-01,0.833,0.208,0.05,0.137,0.635
2017-08-01,0.726,-0.107,-0.048,-0.148,0.579
2017-09-01,0.696,-0.03,0.071,-0.178,0.516
2017-10-01,0.694,-0.002,-0.139,-0.089,0.427
2017-11-01,0.582,-0.112,-0.144,-0.192,0.015
2017-12-01,0.533,-0.049,-0.163,-0.092,-0.082
2018-01-01,0.705,0.172,0.011,-0.128,0.009
2018-02-01,0.972,0.267,0.39,0.246,0.098
2018-03-01,0.872,-0.1,0.339,0.176,-0.002
2018-04-01,0.812,-0.06,0.107,0.118,0.029
2018-05-01,0.827,0.015,-0.145,0.245,0.053
2018-06-01,0.786,-0.041,-0.086,0.253,0.161
2018-07-01,0.683,-0.103,-0.129,-0.022,-0.15
2018-08-01,0.715,0.032,-0.112,-0.257,-0.011
2018-09-01,0.772,0.057,-0.014,-0.1,0.076
2018-10-01,0.852,0.08,0.169,0.04,0.158
2018-11-01,0.808,-0.044,0.093,-0.019,0.226
2018-12-01,0.745,-0.063,-0.027,-0.041,0.212
2019-01-01,0.765,0.02,-0.087,0.082,0.06
2019-02-01,0.687,-0.078,-0.121,-0.028,-0.285
2019-03-01,0.537,-0.15,-0.208,-0.235,-0.335
2019-04-01,0.467,-0.07,-0.298,-0.385,-0.345
2019-05-01,0.407,-0.06,-0.28,-0.401,-0.42
2019-06-01,0.148,-0.259,-0.389,-0.597,-0.638
2019-07-01,-0.003,-0.151,-0.47,-0.768,-0.686
2019-08-01,-0.277,-0.274,-0.684,-0.964,-0.992
2019-09-01,-0.239,0.038,-0.387,-0.776,-1.011
2019-10-01,-0.155,0.084,-0.152,-0.622,-1.007
2019-11-01,-0.042,0.113,0.235,-0.449,-0.85
2019-12-01,0.006,0.048,0.245,-0.142,-0.739
2020-01-01,-0.025,-0.031,0.13,-0.022,-0.79
2020-02-01,-0.126,-0.101,-0.084,0.151,-0.813
2020-03-01,-0.018,0.108,-0.024,0.221,-0.555
2020-04-01,0.142,0.16,0.167,0.297,-0.325
2020-05-01,0.038,-0.104,0.164,0.08,-0.369
2020-06-01,-0.044,-0.082,-0.026,-0.05,-0.192
2020-07-01,-0.168,-0.124,-0.31,-0.143,-0.165
2020-08-01,-0.207,-0.039,-0.245,-0.081,0.07
2020-09-01,-0.246,-0.039,-0.202,-0.228,-0.007
2020-10-01,-0.345,-0.099,-0.177,-0.487,-0.19
2020-11-01,-0.383,-0.038,-0.176,-0.421,-0.341
2020-12-01,-0.388,-0.005,-0.142,-0.344,-0.394
2021-01-01,-0.358,0.03,-0.013,-0.19,-0.333
2021-02-01,-0.212,0.146,0.171,-0.005,-0.086
2021-03-01,-0.036,0.176,0.352,0.21,-0.018
2021-04-01,0.044,0.08,0.402,0.389,-0.098
2021-05-01,0.179,0.135,0.391,0.562,0.141
2021-06-01,0.122,-0.057,0.158,0.51,0.166
2021-07-01,-0.028,-0.15,-0.072,0.33,0.14
2021-08-01,-0.135,-0.107,-0.314,0.077,0.072
2021-09-01,0.008,0.143,-0.114,0.044,0.254
2021-10-01,0.162,0.154,0.19,0.118,0.507
2021-11-01,0.07,-0.092,0.205,-0.109,0.453
2021-12-01,0.03,-0.04,0.022,-0.092,0.418
2022-01-01,0.26,0.23,0.098,0.288,0.618
2022-02-01,0.59,0.33,0.52,0.725,0.802
2022-03-01,0.79,0.2,0.76,0.782,0.826
2022-04-01,1.3,0.51,1.04,1.138,1.256
2022-05-01,1.58,0.28,0.99,1.51,1.401
2022-06-01,2.13,0.55,1.34,2.1,2.008
2022-07-01,1.8,-0.33,0.5,1.54,1.828
2022-08-01,1.71,-0.09,0.13,1.12,1.845
2022-09-01,2.45,0.74,0.32,1.66,2.442
2022-10-01,2.84,0.39,1.04,1.54,2.678
2022-11-01,2.65,-0.19,0.94,1.07,2.58
2022-12-01,2.7,0.05,0.25,0.57,2.67
2023-01-01,2.79,0.09,-0.05,0.99,2.53
2023-02-01,2.96,0.17,0.31,1.25,2.37
2023-03-01,3.04,0.08,0.34,0.59,2.25
2023-04-01,3.05,0.01,0.26,0.21,1.75
2023-05-01,3.04,-0.01,0.08,0.39,1.46
2023-06-01,3.05,0.01,0.01,0.35,0.92
2023-07-01,3.14,0.09,0.09,0.35,1.34
2023-08-01,3.22,0.08,0.18,0.26,1.51
2023-09-01,3.32,0.1,0.27,0.28,0.87
2023-10-01,3.52,0.2,0.38,0.47,0.68
2023-11-01,3.23,-0.29,0.01,0.19,0.58
2023-12-01,2.7,-0.53,-0.62,-0.35,0.0
2024-01-01,2.81,0.11,-0.71,-0.33,0.02
2024-02-01,2.95,0.14,-0.28,-0.27,-0.01
2024-03-01,2.91,-0.04,0.21,-0.41,-0.13
2024-04-01,3.01,0.1,0.2,-0.51,-0.04
2024-05-01,3.06,0.05,0.11,-0.17,0.02
2024-06-01,3.12,0.06,0.21,0.42,0.07
2024-07-01,3.06,-0.06,0.05,0.25,-0.08
2024-08-01,2.83,-0.23,-0.23,-0.12,-0.39
2024-09-01,2.79,-0.04,-0.33,-0.12,-0.53
2024-10-01,2.84,0.05,-0.22,-0.17,-0.68
2024-11-01,2.92,0.08,0.09,-0.14,-0.31
2024-12-01,2.8,-0.12,0.01,-0.32,0.1
2025-01-01,3.1,0.3,0.26,0.04,0.29
2025-02-01,3.01,-0.09,0.09,0.18,0.06
2025-03-01,3.32,0.31,0.52,0.53,0.41
2025-04-01,3.14,-0.18,0.04,0.3,0.13
2025-05-01,3.14,0.0,0.13,0.22,0.08
