date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,6.4915,,,,
2000-02-01,6.3386,-0.1529,,,
2000-03-01,6.0283,-0.3103,,,
2000-04-01,5.9242,-0.1041,-0.5673,,
2000-05-01,6.215,0.2908,-0.1236,,
2000-06-01,5.8955,-0.3195,-0.1328,,
2000-07-01,5.8635,-0.032,-0.0607,-0.628,
2000-08-01,5.7664,-0.0971,-0.4486,-0.5722,
2000-09-01,5.7295,-0.0369,-0.166,-0.2988,
2000-10-01,5.7233,-0.0062,-0.1402,-0.2009,
2000-11-01,5.7271,0.0038,-0.0392,-0.4879,
2000-12-01,5.4021,-0.325,-0.3274,-0.4933,
2001-01-01,5.4186,0.0165,-0.3047,-0.4449,-1.0729
2001-02-01,5.43,0.0114,-0.2971,-0.3364,-0.9086
2001-03-01,5.3014,-0.1286,-0.1007,-0.4281,-0.7269
2001-04-01,5.5915,0.2901,0.1729,-0.1318,-0.3327
2001-05-01,5.8514,0.2599,0.4214,0.1242,-0.3636
2001-06-01,5.7181,-0.1333,0.4167,0.316,-0.1774
2001-07-01,5.8005,0.0824,0.209,0.3818,-0.063
2001-08-01,5.5309,-0.2696,-0.3205,0.1009,-0.2355
2001-09-01,5.3026,-0.2283,-0.4155,0.0013,-0.4269
2001-10-01,5.2327,-0.0699,-0.5677,-0.3588,-0.4906
2001-11-01,5.1771,-0.0556,-0.3538,-0.6742,-0.55
2001-12-01,5.4084,0.2313,0.1058,-0.3097,0.0063
2002-01-01,5.3436,-0.0648,0.1109,-0.4568,-0.075
2002-02-01,5.321,-0.0226,0.1439,-0.2099,-0.109
2002-03-01,5.667,0.346,0.2586,0.3644,0.3656
2002-04-01,5.6586,-0.0084,0.315,0.4259,0.0671
2002-05-01,5.5959,-0.0627,0.2749,0.4188,-0.2555
2002-06-01,5.424,-0.1719,-0.243,0.0156,-0.2941
2002-07-01,5.2905,-0.1335,-0.3682,-0.0532,-0.51
2002-08-01,5.1205,-0.17,-0.4754,-0.2005,-0.4104
2002-09-01,4.8855,-0.235,-0.5385,-0.7815,-0.4171
2002-10-01,5.1273,0.2418,-0.1632,-0.5314,-0.1055
2002-11-01,5.0895,-0.0378,-0.031,-0.5064,-0.0876
2002-12-01,4.9675,-0.122,0.082,-0.4565,-0.4409
2003-01-01,4.9618,-0.0057,-0.1655,-0.3286,-0.3818
2003-02-01,5.012,0.0502,-0.0775,-0.1085,-0.309
2003-03-01,4.9971,-0.0149,0.0296,0.1116,-0.6699
2003-04-01,5.0519,0.0548,0.0901,-0.0754,-0.6067
2003-05-01,4.6719,-0.38,-0.3401,-0.4176,-0.924
2003-06-01,4.2881,-0.3838,-0.709,-0.6794,-1.1359
2003-07-01,4.6832,0.3951,-0.3687,-0.2786,-0.6073
2003-08-01,4.902,0.2188,0.2301,-0.11,-0.2185
2003-09-01,4.7571,-0.1449,0.469,-0.24,-0.1284
2003-10-01,4.8155,0.0583,0.1323,-0.2365,-0.3118
2003-11-01,4.8568,0.0414,-0.0452,0.1849,-0.2327
2003-12-01,4.729,-0.1278,-0.0281,0.441,-0.2385
2004-01-01,4.5862,-0.1429,-0.2293,-0.097,-0.3756
2004-02-01,4.4515,-0.1347,-0.4053,-0.4505,-0.5605
2004-03-01,4.2604,-0.1911,-0.4686,-0.4967,-0.7367
2004-04-01,4.6129,0.3524,0.0267,-0.2026,-0.439
2004-05-01,4.773,0.1601,0.3215,-0.0838,0.1011
2004-06-01,4.9327,0.1597,0.6723,0.2037,0.6446
2004-07-01,4.75,-0.1827,0.1371,0.1638,0.0668
2004-08-01,4.631,-0.119,-0.142,0.1795,-0.271
2004-09-01,4.6024,-0.0286,-0.3303,0.3419,-0.1548
2004-10-01,4.55,-0.0524,-0.2,-0.0629,-0.2655
2004-11-01,4.4848,-0.0652,-0.1462,-0.2882,-0.3721
2004-12-01,4.3205,-0.1643,-0.2819,-0.6123,-0.4086
2005-01-01,4.2605,-0.06,-0.2895,-0.4895,-0.3257
2005-02-01,4.205,-0.0555,-0.2798,-0.426,-0.2465
2005-03-01,4.3582,0.1532,0.0377,-0.2442,0.0977
2005-04-01,4.1938,-0.1644,-0.0667,-0.3562,-0.419
2005-05-01,4.0738,-0.12,-0.1312,-0.411,-0.6992
2005-06-01,3.8282,-0.2456,-0.53,-0.4923,-1.1045
2005-07-01,3.8995,0.0713,-0.2943,-0.361,-0.8505
2005-08-01,3.9205,0.021,-0.1534,-0.2845,-0.7105
2005-09-01,3.8686,-0.0519,0.0404,-0.4896,-0.7338
2005-10-01,4.047,0.1784,0.1475,-0.1468,-0.503
2005-11-01,4.1071,0.0601,0.1867,0.0333,-0.3776
2005-12-01,4.041,-0.0661,0.1724,0.2128,-0.2795
2006-01-01,4.029,-0.012,-0.018,0.1295,-0.2315
2006-02-01,4.17,0.141,0.0629,0.2495,-0.035
2006-03-01,4.1996,0.0296,0.1586,0.331,-0.1586
2006-04-01,4.4158,0.2162,0.3867,0.3688,0.222
2006-05-01,4.3995,-0.0162,0.2295,0.2924,0.3257
2006-06-01,4.4414,0.0418,0.2418,0.4004,0.6132
2006-07-01,4.444,0.0026,0.0282,0.415,0.5445
2006-08-01,4.2527,-0.1913,-0.1468,0.0827,0.3323
2006-09-01,4.0686,-0.1842,-0.3728,-0.131,0.2
2006-10-01,4.1067,0.0381,-0.3373,-0.3091,0.0597
2006-11-01,3.9995,-0.1071,-0.2532,-0.4,-0.1076
2006-12-01,3.9663,-0.0332,-0.1023,-0.475,-0.0747
2007-01-01,4.1218,0.1555,0.0152,-0.3222,0.0928
2007-02-01,4.1175,-0.0043,0.118,-0.1352,-0.0525
2007-03-01,4.0459,-0.0716,0.0796,-0.0227,-0.1537
2007-04-01,4.1715,0.1256,0.0497,0.0648,-0.2443
2007-05-01,4.2927,0.1212,0.1752,0.2932,-0.1068
2007-06-01,4.6129,0.3201,0.5669,0.6465,0.1715
2007-07-01,4.59,-0.0229,0.4185,0.4682,0.146
2007-08-01,4.4286,-0.1614,0.1359,0.3111,0.1759
2007-09-01,4.3563,-0.0723,-0.2565,0.3104,0.2877
2007-10-01,4.3627,0.0064,-0.2273,0.1912,0.2561
2007-11-01,4.1214,-0.2413,-0.3072,-0.1713,0.1219
2007-12-01,4.0158,-0.1056,-0.3405,-0.5971,0.0495
2008-01-01,3.8482,-0.1676,-0.5145,-0.7418,-0.2736
2008-02-01,3.828,-0.0202,-0.2934,-0.6006,-0.2895
2008-03-01,3.509,-0.319,-0.5068,-0.8473,-0.5369
2008-04-01,3.6286,0.1196,-0.2195,-0.7341,-0.5429
2008-05-01,3.6214,-0.0072,-0.2066,-0.5,-0.6713
2008-06-01,3.76,0.1386,0.251,-0.2558,-0.8529
2008-07-01,3.7505,-0.0095,0.1218,-0.0977,-0.8395
2008-08-01,3.5915,-0.159,-0.0299,-0.2365,-0.8371
2008-09-01,3.541,-0.0505,-0.219,0.032,-0.8154
2008-10-01,3.6682,0.1272,-0.0823,0.0395,-0.6945
2008-11-01,3.5716,-0.0966,-0.0199,-0.0498,-0.5498
2008-12-01,2.9457,-0.6259,-0.5952,-0.8143,-1.0701
2009-01-01,2.8124,-0.1333,-0.8558,-0.9381,-1.0358
2009-02-01,2.9605,0.1481,-0.6111,-0.631,-0.8675
2009-03-01,2.8859,-0.0746,-0.0598,-0.655,-0.6231
2009-04-01,2.9543,0.0684,0.1419,-0.7139,-0.6744
2009-05-01,3.202,0.2477,0.2415,-0.3696,-0.4194
2009-06-01,3.4591,0.2571,0.5732,0.5134,-0.3009
2009-07-01,3.4291,-0.03,0.4748,0.6167,-0.3214
2009-08-01,3.4645,0.0354,0.2625,0.504,-0.127
2009-09-01,3.3657,-0.0988,-0.0934,0.4798,-0.1752
2009-10-01,3.4252,0.0595,-0.0039,0.471,-0.2429
2009-11-01,3.3925,-0.0327,-0.072,0.1905,-0.1791
2009-12-01,3.4162,0.0237,0.0505,-0.0429,0.4705
2010-01-01,3.485,0.0688,0.0598,0.0559,0.6726
2010-02-01,3.4237,-0.0613,0.0312,-0.0408,0.4632
2010-03-01,3.4904,0.0668,0.0742,0.1247,0.6045
2010-04-01,3.67,0.1796,0.185,0.2448,0.7157
2010-05-01,3.4455,-0.2245,0.0218,0.053,0.2435
2010-06-01,3.2977,-0.1478,-0.1927,-0.1185,-0.1614
2010-07-01,3.1852,-0.1125,-0.4848,-0.2998,-0.2439
2010-08-01,2.9495,-0.2357,-0.496,-0.4742,-0.515
2010-09-01,2.8814,-0.0681,-0.4163,-0.609,-0.4843
2010-10-01,2.766,-0.1154,-0.4192,-0.904,-0.6592
2010-11-01,3.0224,0.2564,0.0729,-0.4231,-0.3701
2010-12-01,3.2048,0.1824,0.3233,-0.093,-0.2114
2011-01-01,3.253,0.0482,0.487,0.0678,-0.232
2011-02-01,3.4174,0.1644,0.395,0.4678,-0.0063
2011-03-01,3.2665,-0.1508,0.0618,0.3851,-0.2239
2011-04-01,3.328,0.0615,0.075,0.562,-0.342
2011-05-01,3.1519,-0.1761,-0.2655,0.1295,-0.2936
2011-06-01,2.9877,-0.1642,-0.2788,-0.217,-0.31
2011-07-01,2.9385,-0.0492,-0.3895,-0.3145,-0.2467
2011-08-01,2.4464,-0.4921,-0.7055,-0.971,-0.5032
2011-09-01,2.1967,-0.2497,-0.7911,-1.0699,-0.6848
2011-10-01,2.296,0.0993,-0.6425,-1.032,-0.47
2011-11-01,2.1224,-0.1736,-0.324,-1.0295,-0.9
2011-12-01,1.992,-0.1304,-0.2047,-0.9957,-1.2128
2012-01-01,1.98,-0.012,-0.316,-0.9585,-1.273
2012-02-01,2.021,0.041,-0.1014,-0.4254,-1.3964
2012-03-01,2.1068,0.0858,0.1148,-0.0898,-1.1597
2012-04-01,2.0645,-0.0423,0.0845,-0.2315,-1.2635
2012-05-01,1.9223,-0.1422,-0.0987,-0.2001,-1.2296
2012-06-01,1.7476,-0.1747,-0.3592,-0.2444,-1.2401
2012-07-01,1.6562,-0.0914,-0.4083,-0.3238,-1.2823
2012-08-01,1.8268,0.1706,-0.0955,-0.1942,-0.6195
2012-09-01,1.8379,0.0111,0.0903,-0.2689,-0.3588
2012-10-01,1.8118,-0.0261,0.1556,-0.2527,-0.4842
2012-11-01,1.7381,-0.0737,-0.0887,-0.1842,-0.3843
2012-12-01,1.7679,0.0298,-0.07,0.0203,-0.2241
2013-01-01,1.9314,0.1635,0.1195,0.2752,-0.0486
2013-02-01,1.9679,0.0365,0.2298,0.1411,-0.0531
2013-03-01,1.8515,-0.1164,0.0836,0.0136,-0.2553
2013-04-01,1.7486,-0.1029,-0.1827,-0.0632,-0.3159
2013-05-01,1.9018,0.1532,-0.0661,0.1637,-0.0205
2013-06-01,2.2445,0.3427,0.393,0.4766,0.4969
2013-07-01,2.4382,0.1937,0.6895,0.5068,0.782
2013-08-01,2.6114,0.1732,0.7096,0.6435,0.7846
2013-09-01,2.698,0.0866,0.4535,0.8465,0.8601
2013-10-01,2.5182,-0.1798,0.08,0.7695,0.7064
2013-11-01,2.5585,0.0403,-0.0529,0.6567,0.8204
2013-12-01,2.6735,0.115,-0.0245,0.429,0.9056
2014-01-01,2.5341,-0.1394,0.0159,0.0959,0.6027
2014-02-01,2.42,-0.1141,-0.1385,-0.1914,0.4521
2014-03-01,2.4543,0.0343,-0.2192,-0.2437,0.6028
2014-04-01,2.4448,-0.0095,-0.0893,-0.0734,0.6961
2014-05-01,2.3152,-0.1295,-0.1048,-0.2433,0.4134
2014-06-01,2.2986,-0.0167,-0.1557,-0.3749,0.0541
2014-07-01,2.1945,-0.104,-0.2502,-0.3395,-0.2436
2014-08-01,2.062,-0.1325,-0.2532,-0.358,-0.5494
2014-09-01,2.181,0.119,-0.1176,-0.2733,-0.517
2014-10-01,2.0105,-0.1705,-0.1841,-0.4343,-0.5077
2014-11-01,2.0032,-0.0073,-0.0588,-0.3121,-0.5553
2014-12-01,1.8519,-0.1513,-0.329,-0.4467,-0.8216
2015-01-01,1.5257,-0.3262,-0.4847,-0.6688,-1.0084
2015-02-01,1.3795,-0.1462,-0.6237,-0.6825,-1.0405
2015-03-01,1.4214,0.0419,-0.4305,-0.7596,-1.0329
2015-04-01,1.411,-0.0104,-0.1148,-0.5995,-1.0338
2015-05-01,1.744,0.333,0.3645,-0.2592,-0.5712
2015-06-01,1.78,0.036,0.3586,-0.0719,-0.5186
