date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,3.784,,,,
2000-02-01,3.868,0.084,,,
2000-03-01,4.155,0.287,,,
2000-04-01,4.076,-0.079,0.292,,
2000-05-01,4.19,0.114,0.322,,
2000-06-01,4.008,-0.182,-0.147,,
2000-07-01,3.976,-0.032,-0.1,0.192,
2000-08-01,3.84,-0.136,-0.35,-0.028,
2000-09-01,3.954,0.114,-0.054,-0.201,
2000-10-01,3.927,-0.027,-0.049,-0.149,
2000-11-01,3.771,-0.156,-0.069,-0.419,
2000-12-01,3.552,-0.219,-0.402,-0.456,
2001-01-01,3.497,-0.055,-0.43,-0.479,-0.287
2001-02-01,3.492,-0.005,-0.279,-0.348,-0.376
2001-03-01,3.327,-0.165,-0.225,-0.627,-0.828
2001-04-01,3.529,0.202,0.032,-0.398,-0.547
2001-05-01,3.556,0.027,0.064,-0.215,-0.634
2001-06-01,3.383,-0.173,0.056,-0.169,-0.625
2001-07-01,3.357,-0.026,-0.172,-0.14,-0.619
2001-08-01,3.317,-0.04,-0.239,-0.175,-0.523
2001-09-01,3.302,-0.015,-0.081,-0.025,-0.652
2001-10-01,3.005,-0.297,-0.352,-0.524,-0.922
2001-11-01,3.261,0.256,-0.056,-0.295,-0.51
2001-12-01,3.555,0.294,0.253,0.172,0.003
2002-01-01,3.59,0.035,0.585,0.233,0.093
2002-02-01,3.61,0.02,0.349,0.293,0.118
2002-03-01,3.636,0.026,0.081,0.334,0.309
2002-04-01,3.528,-0.108,-0.062,0.523,-0.001
2002-05-01,3.465,-0.063,-0.145,0.204,-0.091
2002-06-01,3.299,-0.166,-0.337,-0.256,-0.084
2002-07-01,3.248,-0.051,-0.28,-0.342,-0.109
2002-08-01,3.192,-0.056,-0.273,-0.418,-0.125
2002-09-01,2.761,-0.431,-0.538,-0.875,-0.541
2002-10-01,2.863,0.102,-0.385,-0.665,-0.142
2002-11-01,2.799,-0.064,-0.393,-0.666,-0.462
2002-12-01,2.396,-0.403,-0.365,-0.903,-1.159
2003-01-01,2.396,0.0,-0.467,-0.852,-1.194
2003-02-01,2.375,-0.021,-0.424,-0.817,-1.235
2003-03-01,2.537,0.162,0.141,-0.224,-1.099
2003-04-01,2.659,0.122,0.263,-0.204,-0.869
2003-05-01,2.358,-0.301,-0.017,-0.441,-1.107
2003-06-01,2.607,0.249,0.07,0.211,-0.692
2003-07-01,2.666,0.059,0.007,0.27,-0.582
2003-08-01,2.875,0.209,0.517,0.5,-0.317
2003-09-01,2.777,-0.098,0.17,0.24,0.016
2003-10-01,2.882,0.105,0.216,0.223,0.019
2003-11-01,2.993,0.111,0.118,0.635,0.194
2003-12-01,2.78,-0.213,0.003,0.173,0.384
2004-01-01,2.852,0.072,-0.03,0.186,0.456
2004-02-01,2.681,-0.171,-0.312,-0.194,0.306
2004-03-01,2.632,-0.049,-0.148,-0.145,0.095
2004-04-01,2.809,0.177,-0.043,-0.073,0.15
2004-05-01,2.888,0.079,0.207,-0.105,0.53
2004-06-01,3.04,0.152,0.408,0.26,0.433
2004-07-01,2.957,-0.083,0.148,0.105,0.291
2004-08-01,2.825,-0.132,-0.063,0.144,-0.05
2004-09-01,2.75,-0.075,-0.29,0.118,-0.027
2004-10-01,2.623,-0.127,-0.334,-0.186,-0.259
2004-11-01,2.443,-0.18,-0.382,-0.445,-0.55
2004-12-01,2.382,-0.061,-0.368,-0.658,-0.398
2005-01-01,2.249,-0.133,-0.374,-0.708,-0.603
2005-02-01,2.381,0.132,-0.062,-0.444,-0.3
2005-03-01,2.355,-0.026,-0.027,-0.395,-0.277
2005-04-01,2.074,-0.281,-0.175,-0.549,-0.735
2005-05-01,2.014,-0.06,-0.367,-0.429,-0.874
