date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.5395,,,,
2000-02-01,5.5086,-0.031,,,
2000-03-01,5.333,-0.1755,,,
2000-04-01,5.2256,-0.1075,-0.314,,
2000-05-01,5.3782,0.1526,-0.1304,,
2000-06-01,5.1914,-0.1868,-0.1417,,
2000-07-01,5.2662,0.0748,0.0406,-0.2733,
2000-08-01,5.2104,-0.0558,-0.1677,-0.2981,
2000-09-01,5.2633,0.0529,0.072,-0.0697,
2000-10-01,5.2071,-0.0562,-0.059,-0.0184,
2000-11-01,5.1536,-0.0535,-0.0568,-0.2245,
2000-12-01,4.8905,-0.2631,-0.3728,-0.3008,
2001-01-01,4.8032,-0.0873,-0.404,-0.463,-0.7363
2001-02-01,4.7775,-0.0257,-0.3761,-0.4329,-0.7311
2001-03-01,4.6677,-0.1098,-0.2228,-0.5956,-0.6653
2001-04-01,4.8279,0.1602,0.0247,-0.3792,-0.3977
2001-05-01,5.0468,0.2189,0.2693,-0.1068,-0.3314
2001-06-01,5.0,-0.0468,0.3323,0.1095,-0.1914
2001-07-01,5.0159,0.0159,0.188,0.2127,-0.2503
2001-08-01,4.8239,-0.192,-0.2229,0.0464,-0.3865
2001-09-01,4.813,-0.0109,-0.187,0.1453,-0.4503
2001-10-01,4.5996,-0.2134,-0.4163,-0.2283,-0.6076
2001-11-01,4.4477,-0.1518,-0.3762,-0.5991,-0.7059
2001-12-01,4.7359,0.2882,-0.0771,-0.2641,-0.1546
2002-01-01,4.8627,0.1268,0.2632,-0.1532,0.0595
2002-02-01,4.9195,0.0568,0.4718,0.0956,0.142
2002-03-01,5.161,0.2415,0.4251,0.348,0.4933
2002-04-01,5.1552,-0.0058,0.2925,0.5557,0.3273
2002-05-01,5.1677,0.0125,0.2482,0.72,0.1209
2002-06-01,5.0175,-0.1502,-0.1435,0.2816,0.0175
2002-07-01,4.8674,-0.1501,-0.2878,0.0047,-0.1485
2002-08-01,4.5895,-0.2778,-0.5782,-0.33,-0.2344
2002-09-01,4.3852,-0.2043,-0.6323,-0.7758,-0.4278
2002-10-01,4.4639,0.0787,-0.4035,-0.6913,-0.1357
2002-11-01,4.4776,0.0137,-0.1119,-0.6901,0.0299
2002-12-01,4.3356,-0.1421,-0.0497,-0.6819,-0.4003
2003-01-01,4.18,-0.1556,-0.2839,-0.6874,-0.6827
2003-02-01,3.955,-0.225,-0.5226,-0.6345,-0.9645
2003-03-01,4.0005,0.0455,-0.3351,-0.3848,-1.1605
2003-04-01,4.147,0.1465,-0.033,-0.3169,-1.0082
2003-05-01,3.8152,-0.3318,-0.1398,-0.6624,-1.3525
2003-06-01,3.6167,-0.1986,-0.3838,-0.7189,-1.4008
2003-07-01,3.9726,0.3559,-0.1744,-0.2074,-0.8948
2003-08-01,4.13,0.1574,0.3148,0.175,-0.4595
2003-09-01,4.1714,0.0414,0.5547,0.1709,-0.2139
2003-10-01,4.2213,0.0499,0.2487,0.0743,-0.2426
2003-11-01,4.353,0.1317,0.223,0.5378,-0.1246
