date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.7575,,,,
2000-02-01,5.7315,-0.026,,,
2000-03-01,5.5501,-0.1813,,,
2000-04-01,5.4521,-0.098,-0.3054,,
2000-05-01,5.6266,0.1745,-0.1049,,
2000-06-01,5.455,-0.1716,-0.0952,,
2000-07-01,5.5341,0.0792,0.082,-0.2233,
2000-08-01,5.5006,-0.0336,-0.126,-0.2309,
2000-09-01,5.5591,0.0586,0.1042,0.009,
2000-10-01,5.4947,-0.0645,-0.0395,0.0426,
2000-11-01,5.4456,-0.049,-0.055,-0.181,
2000-12-01,5.2035,-0.2422,-0.3557,-0.2515,
2001-01-01,5.0769,-0.1266,-0.4178,-0.4572,-0.6806
2001-02-01,5.1168,0.0398,-0.3289,-0.3838,-0.6147
2001-03-01,5.0409,-0.0758,-0.1626,-0.5182,-0.5092
2001-04-01,5.1795,0.1386,0.1026,-0.3151,-0.2726
2001-05-01,5.3632,0.1837,0.2464,-0.0825,-0.2634
2001-06-01,5.3266,-0.0366,0.2857,0.1231,-0.1284
2001-07-01,5.3479,0.0213,0.1683,0.271,-0.1863
2001-08-01,5.1558,-0.1921,-0.2074,0.039,-0.3448
2001-09-01,5.1384,-0.0173,-0.1881,0.0975,-0.4207
2001-10-01,4.909,-0.2295,-0.4389,-0.2706,-0.5857
2001-11-01,4.7607,-0.1482,-0.3951,-0.6025,-0.6849
2001-12-01,4.9678,0.2071,-0.1707,-0.3588,-0.2357
2002-01-01,5.0453,0.0775,0.1364,-0.3025,-0.0316
2002-02-01,5.1064,0.0611,0.3457,-0.0493,-0.0103
2002-03-01,5.3363,0.2298,0.3685,0.1978,0.2954
2002-04-01,5.3357,-0.0006,0.2903,0.4267,0.1561
2002-05-01,5.3614,0.0257,0.255,0.6007,-0.0018
2002-06-01,5.2311,-0.1303,-0.1052,0.2633,-0.0955
2002-07-01,5.069,-0.1621,-0.2667,0.0236,-0.2789
2002-08-01,4.7777,-0.2912,-0.5837,-0.3287,-0.3781
2002-09-01,4.576,-0.2018,-0.6551,-0.7603,-0.5625
2002-10-01,4.625,0.049,-0.444,-0.7107,-0.284
2002-11-01,4.6023,-0.0227,-0.1754,-0.7591,-0.1584
2002-12-01,4.4255,-0.1768,-0.1504,-0.8056,-0.5423
2003-01-01,4.2394,-0.1861,-0.3856,-0.8295,-0.8059
2003-02-01,4.0108,-0.2287,-0.5915,-0.767,-1.0957
2003-03-01,4.0352,0.0245,-0.3903,-0.5407,-1.3011
2003-04-01,4.1884,0.1532,-0.051,-0.4366,-1.1473
2003-05-01,3.8767,-0.3117,-0.1341,-0.7256,-1.4847
2003-06-01,3.6881,-0.1885,-0.3471,-0.7374,-1.543
2003-07-01,4.0312,0.3431,-0.1572,-0.2082,-1.0377
2003-08-01,4.1914,0.1602,0.3147,0.1806,-0.5863
2003-09-01,4.209,0.0176,0.5209,0.1738,-0.367
2003-10-01,4.2687,0.0597,0.2374,0.0803,-0.3563
2003-11-01,4.3984,0.1297,0.207,0.5217,-0.2039
2003-12-01,4.3393,-0.059,0.1303,0.6512,-0.0862
2004-01-01,4.1916,-0.1477,-0.0771,0.1604,-0.0478
2004-02-01,4.1482,-0.0434,-0.2502,-0.0432,0.1374
2004-03-01,4.0117,-0.1365,-0.3276,-0.1973,-0.0235
2004-04-01,4.199,0.1874,0.0075,-0.0696,0.0107
2004-05-01,4.3344,0.1353,0.1862,-0.064,0.4577
2004-06-01,4.3902,0.0558,0.3785,0.0509,0.702
2004-07-01,4.2815,-0.1087,0.0825,0.0899,0.2503
2004-08-01,4.1511,-0.1304,-0.1833,0.0029,-0.0403
