date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.74,,,,
2000-02-01,5.72,-0.02,,,
2000-03-01,5.5,-0.22,,,
2000-04-01,5.46,-0.04,-0.28,,
2000-05-01,5.59,0.13,-0.13,,
2000-06-01,5.39,-0.2,-0.11,,
2000-07-01,5.48,0.09,0.02,-0.26,
2000-08-01,5.43,-0.05,-0.16,-0.29,
2000-09-01,5.49,0.06,0.1,-0.01,
2000-10-01,5.45,-0.04,-0.03,-0.01,
2000-11-01,5.4,-0.05,-0.03,-0.19,
2000-12-01,5.14,-0.26,-0.35,-0.25,
2001-01-01,5.02,-0.12,-0.43,-0.46,-0.72
2001-02-01,5.02,0.0,-0.38,-0.41,-0.7
2001-03-01,4.94,-0.08,-0.2,-0.55,-0.56
2001-04-01,5.1,0.16,0.08,-0.35,-0.36
2001-05-01,5.29,0.19,0.27,-0.11,-0.3
2001-06-01,5.26,-0.03,0.32,0.12,-0.13
2001-07-01,5.27,0.01,0.17,0.25,-0.21
2001-08-01,5.06,-0.21,-0.23,0.04,-0.37
2001-09-01,5.06,0.0,-0.2,0.12,-0.43
2001-10-01,4.83,-0.23,-0.44,-0.27,-0.62
2001-11-01,4.69,-0.14,-0.37,-0.6,-0.71
2001-12-01,4.98,0.29,-0.08,-0.28,-0.16
2002-01-01,5.05,0.07,0.22,-0.22,0.03
2002-02-01,5.1,0.05,0.41,0.04,0.08
2002-03-01,5.33,0.23,0.35,0.27,0.39
2002-04-01,5.32,-0.01,0.27,0.49,0.22
2002-05-01,5.4,0.08,0.3,0.71,0.11
2002-06-01,5.26,-0.14,-0.07,0.28,0.0
2002-07-01,5.1,-0.16,-0.22,0.05,-0.17
2002-08-01,4.81,-0.29,-0.59,-0.29,-0.25
2002-09-01,4.61,-0.2,-0.65,-0.72,-0.45
2002-10-01,4.68,0.07,-0.42,-0.64,-0.15
2002-11-01,4.66,-0.02,-0.15,-0.74,-0.03
2002-12-01,4.45,-0.21,-0.16,-0.81,-0.53
2003-01-01,4.26,-0.19,-0.42,-0.84,-0.79
2003-02-01,4.06,-0.2,-0.6,-0.75,-1.04
2003-03-01,4.09,0.03,-0.36,-0.52,-1.24
2003-04-01,4.23,0.14,-0.03,-0.45,-1.09
2003-05-01,3.91,-0.32,-0.15,-0.75,-1.49
2003-06-01,3.7,-0.21,-0.39,-0.75,-1.56
2003-07-01,4.01,0.31,-0.22,-0.25,-1.09
2003-08-01,4.18,0.17,0.27,0.12,-0.63
2003-09-01,4.2,0.02,0.5,0.11,-0.41
2003-10-01,4.26,0.06,0.25,0.03,-0.42
2003-11-01,4.39,0.13,0.21,0.48,-0.27
2003-12-01,4.33,-0.06,0.13,0.63,-0.12
2004-01-01,4.16,-0.17,-0.1,0.15,-0.1
2004-02-01,4.11,-0.05,-0.28,-0.07,0.05
2004-03-01,3.92,-0.19,-0.41,-0.28,-0.17
2004-04-01,4.1,0.18,-0.06,-0.16,-0.13
2004-05-01,4.25,0.15,0.14,-0.14,0.34
2004-06-01,4.48,0.23,0.56,0.15,0.78
2004-07-01,4.36,-0.12,0.26,0.2,0.35
2004-08-01,4.21,-0.15,-0.04,0.1,0.03
2004-09-01,4.14,-0.07,-0.34,0.22,-0.06
2004-10-01,4.01,-0.13,-0.35,-0.09,-0.25
2004-11-01,3.89,-0.12,-0.32,-0.36,-0.5
2004-12-01,3.68,-0.21,-0.46,-0.8,-0.65
2005-01-01,3.6,-0.08,-0.41,-0.76,-0.56
2005-02-01,3.57,-0.03,-0.32,-0.64,-0.54
2005-03-01,3.72,0.15,0.04,-0.42,-0.2
2005-04-01,3.51,-0.21,-0.09,-0.5,-0.59
2005-05-01,3.33,-0.18,-0.24,-0.56,-0.92
2005-06-01,3.16,-0.17,-0.56,-0.52,-1.32
2005-07-01,3.18,0.02,-0.33,-0.42,-1.18
2005-08-01,3.21,0.03,-0.12,-0.36,-1.0
2005-09-01,3.04,-0.17,-0.12,-0.68,-1.1
2005-10-01,3.19,0.15,0.01,-0.32,-0.82
2005-11-01,3.4,0.21,0.19,0.07,-0.49
2005-12-01,3.3,-0.1,0.26,0.14,-0.38
2006-01-01,3.28,-0.02,0.09,0.1,-0.32
2006-02-01,3.44,0.16,0.04,0.23,-0.13
2006-03-01,3.62,0.18,0.32,0.58,-0.1
2006-04-01,3.88,0.26,0.6,0.69,0.37
2006-05-01,3.94,0.06,0.5,0.54,0.61
2006-06-01,4.02,0.08,0.4,0.72,0.86
2006-07-01,4.06,0.04,0.18,0.78,0.88
2006-08-01,3.94,-0.12,0.0,0.5,0.73
2006-09-01,3.8,-0.14,-0.22,0.18,0.76
2006-10-01,3.84,0.04,-0.22,-0.04,0.65
