date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.66,,,,
2000-02-01,5.62,-0.04,,,
2000-03-01,5.43,-0.19,,,
2000-04-01,5.33,-0.1,-0.33,,
2000-05-01,5.5,0.17,-0.12,,
2000-06-01,5.32,-0.18,-0.11,,
2000-07-01,5.4,0.08,0.07,-0.26,
2000-08-01,5.36,-0.04,-0.14,-0.26,
2000-09-01,5.42,0.06,0.1,-0.01,
2000-10-01,5.36,-0.06,-0.04,0.03,
2000-11-01,5.29,-0.07,-0.07,-0.21,
2000-12-01,5.04,-0.25,-0.38,-0.28,
2001-01-01,4.94,-0.1,-0.42,-0.46,-0.72
2001-02-01,4.93,-0.01,-0.36,-0.43,-0.69
2001-03-01,4.84,-0.09,-0.2,-0.58,-0.59
2001-04-01,5.0,0.16,0.06,-0.36,-0.33
2001-05-01,5.21,0.21,0.28,-0.08,-0.29
2001-06-01,5.15,-0.06,0.31,0.11,-0.17
2001-07-01,5.15,0.0,0.15,0.21,-0.25
2001-08-01,4.95,-0.2,-0.26,0.02,-0.41
2001-09-01,4.94,-0.01,-0.21,0.1,-0.48
2001-10-01,4.72,-0.22,-0.43,-0.28,-0.64
2001-11-01,4.57,-0.15,-0.38,-0.64,-0.72
2001-12-01,4.87,0.3,-0.07,-0.28,-0.17
2002-01-01,4.93,0.06,0.21,-0.22,-0.01
2002-02-01,4.99,0.06,0.42,0.04,0.06
2002-03-01,5.24,0.25,0.37,0.3,0.4
2002-04-01,5.24,0.0,0.31,0.52,0.24
2002-05-01,5.26,0.02,0.27,0.69,0.05
2002-06-01,5.11,-0.15,-0.13,0.24,-0.04
2002-07-01,4.96,-0.15,-0.28,0.03,-0.19
2002-08-01,4.67,-0.29,-0.59,-0.32,-0.28
2002-09-01,4.46,-0.21,-0.65,-0.78,-0.48
2002-10-01,4.55,0.09,-0.41,-0.69,-0.17
2002-11-01,4.53,-0.02,-0.14,-0.73,-0.04
2002-12-01,4.38,-0.15,-0.08,-0.73,-0.49
2003-01-01,4.22,-0.16,-0.33,-0.74,-0.71
2003-02-01,4.01,-0.21,-0.52,-0.66,-0.98
2003-03-01,4.1,0.09,-0.28,-0.36,-1.14
2003-04-01,4.22,0.12,0.0,-0.33,-1.02
2003-05-01,3.89,-0.33,-0.12,-0.64,-1.37
2003-06-01,3.69,-0.2,-0.41,-0.69,-1.42
2003-07-01,4.01,0.32,-0.21,-0.21,-0.95
2003-08-01,4.16,0.15,0.27,0.15,-0.51
2003-09-01,4.23,0.07,0.54,0.13,-0.23
2003-10-01,4.28,0.05,0.27,0.06,-0.27
2003-11-01,4.41,0.13,0.25,0.52,-0.12
2003-12-01,4.34,-0.07,0.11,0.65,-0.04
2004-01-01,4.2,-0.14,-0.08,0.19,-0.02
2004-02-01,4.14,-0.06,-0.27,-0.02,0.13
2004-03-01,3.98,-0.16,-0.36,-0.25,-0.12
2004-04-01,4.18,0.2,-0.02,-0.1,-0.04
2004-05-01,4.34,0.16,0.2,-0.07,0.45
2004-06-01,4.39,0.05,0.41,0.05,0.7
2004-07-01,4.27,-0.12,0.09,0.07,0.26
2004-08-01,4.11,-0.16,-0.23,-0.03,-0.05
2004-09-01,4.09,-0.02,-0.3,0.11,-0.14
2004-10-01,3.98,-0.11,-0.29,-0.2,-0.3
2004-11-01,3.86,-0.12,-0.25,-0.48,-0.55
2004-12-01,3.64,-0.22,-0.45,-0.75,-0.7
2005-01-01,3.58,-0.06,-0.4,-0.69,-0.62
2005-02-01,3.6,0.02,-0.26,-0.51,-0.54
2005-03-01,3.75,0.15,0.11,-0.34,-0.23
2005-04-01,3.54,-0.21,-0.04,-0.44,-0.64
2005-05-01,3.38,-0.16,-0.22,-0.48,-0.96
2005-06-01,3.2,-0.18,-0.55,-0.44,-1.19
2005-07-01,3.27,0.07,-0.27,-0.31,-1.0
2005-08-01,3.3,0.03,-0.08,-0.3,-0.81
2005-09-01,3.13,-0.17,-0.07,-0.62,-0.96
2005-10-01,3.29,0.16,0.02,-0.25,-0.69
2005-11-01,3.5,0.21,0.2,0.12,-0.36
2005-12-01,3.38,-0.12,0.25,0.18,-0.26
2006-01-01,3.34,-0.04,0.05,0.07,-0.24
2006-02-01,3.51,0.17,0.01,0.21,-0.09
2006-03-01,3.69,0.18,0.31,0.56,-0.06
2006-04-01,3.95,0.26,0.61,0.66,0.41
2006-05-01,4.0,0.05,0.49,0.5,0.62
2006-06-01,4.01,0.01,0.32,0.63,0.81
2006-07-01,4.03,0.02,0.08,0.69,0.76
2006-08-01,3.9,-0.13,-0.1,0.39,0.6
2006-09-01,3.77,-0.13,-0.24,0.08,0.64
2006-10-01,3.81,0.04,-0.22,-0.14,0.52
2006-11-01,3.74,-0.07,-0.16,-0.26,0.24
2006-12-01,3.81,0.07,0.04,-0.2,0.43
2007-01-01,4.07,0.26,0.26,0.04,0.73
2007-02-01,4.1,0.03,0.36,0.2,0.59
2007-03-01,4.0,-0.1,0.19,0.23,0.31
2007-04-01,4.21,0.21,0.14,0.4,0.26
2007-05-01,4.34,0.13,0.24,0.6,0.34
2007-06-01,4.62,0.28,0.62,0.81,0.61
2007-07-01,4.58,-0.04,0.37,0.51,0.55
