date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,6.6,,,,
2000-02-01,6.49,-0.11,,,
2000-03-01,6.24,-0.25,,,
2000-04-01,6.11,-0.13,-0.49,,
2000-05-01,6.22,0.11,-0.27,,
2000-06-01,6.06,-0.16,-0.18,,
2000-07-01,6.08,0.02,-0.03,-0.52,
2000-08-01,6.04,-0.04,-0.18,-0.45,
2000-09-01,6.05,0.01,-0.01,-0.19,
2000-10-01,5.97,-0.08,-0.11,-0.14,
2000-11-01,5.87,-0.1,-0.17,-0.35,
2000-12-01,5.54,-0.33,-0.51,-0.52,
2001-01-01,5.35,-0.19,-0.62,-0.73,-1.25
2001-02-01,5.35,0.0,-0.52,-0.69,-1.14
2001-03-01,5.28,-0.07,-0.26,-0.77,-0.96
2001-04-01,5.39,0.11,0.04,-0.58,-0.72
2001-05-01,5.54,0.15,0.19,-0.33,-0.68
2001-06-01,5.48,-0.06,0.2,-0.06,-0.58
2001-07-01,5.52,0.04,0.13,0.17,-0.56
2001-08-01,5.33,-0.19,-0.21,-0.02,-0.71
2001-09-01,5.31,-0.02,-0.17,0.03,-0.74
2001-10-01,5.07,-0.24,-0.45,-0.32,-0.9
2001-11-01,4.9,-0.17,-0.43,-0.64,-0.97
2001-12-01,5.13,0.23,-0.18,-0.35,-0.41
2002-01-01,5.23,0.1,0.16,-0.29,-0.12
2002-02-01,5.31,0.08,0.41,-0.02,-0.04
2002-03-01,5.51,0.2,0.38,0.2,0.23
2002-04-01,5.51,0.0,0.28,0.44,0.12
2002-05-01,5.52,0.01,0.21,0.62,-0.02
2002-06-01,5.36,-0.16,-0.15,0.23,-0.12
2002-07-01,5.21,-0.15,-0.3,-0.02,-0.31
2002-08-01,4.95,-0.26,-0.57,-0.36,-0.38
2002-09-01,4.73,-0.22,-0.63,-0.78,-0.58
2002-10-01,4.79,0.06,-0.42,-0.72,-0.28
2002-11-01,4.76,-0.03,-0.19,-0.76,-0.14
2002-12-01,4.58,-0.18,-0.15,-0.78,-0.55
2003-01-01,4.43,-0.15,-0.36,-0.78,-0.8
2003-02-01,4.24,-0.19,-0.52,-0.71,-1.07
2003-03-01,4.26,0.02,-0.32,-0.47,-1.25
2003-04-01,4.38,0.12,-0.05,-0.41,-1.13
2003-05-01,4.02,-0.36,-0.22,-0.74,-1.5
2003-06-01,3.81,-0.21,-0.45,-0.77,-1.55
2003-07-01,4.12,0.31,-0.26,-0.31,-1.09
2003-08-01,4.29,0.17,0.27,0.05,-0.66
2003-09-01,4.32,0.03,0.51,0.06,-0.41
2003-10-01,4.38,0.06,0.26,0.0,-0.41
2003-11-01,4.51,0.13,0.22,0.49,-0.25
2003-12-01,4.45,-0.06,0.13,0.64,-0.13
2004-01-01,4.37,-0.08,-0.01,0.25,-0.06
2004-02-01,4.35,-0.02,-0.16,0.06,0.11
2004-03-01,4.17,-0.18,-0.28,-0.15,-0.09
2004-04-01,4.35,0.18,-0.02,-0.03,-0.03
2004-05-01,4.49,0.14,0.14,-0.02,0.47
2004-06-01,4.55,0.06,0.38,0.1,0.74
2004-07-01,4.44,-0.11,0.09,0.07,0.32
2004-08-01,4.28,-0.16,-0.21,-0.07,-0.01
2004-09-01,4.22,-0.06,-0.33,0.05,-0.1
2004-10-01,4.11,-0.11,-0.33,-0.24,-0.27
2004-11-01,3.97,-0.14,-0.31,-0.52,-0.54
2004-12-01,3.77,-0.2,-0.45,-0.78,-0.68
2005-01-01,3.69,-0.08,-0.42,-0.75,-0.68
2005-02-01,3.69,0.0,-0.28,-0.59,-0.66
2005-03-01,3.92,0.23,0.15,-0.3,-0.25
2005-04-01,3.76,-0.16,0.07,-0.35,-0.59
2005-05-01,3.6,-0.16,-0.09,-0.37,-0.89
2005-06-01,3.44,-0.16,-0.48,-0.33,-1.11
2005-07-01,3.46,0.02,-0.3,-0.23,-0.98
2005-08-01,3.47,0.01,-0.13,-0.22,-0.81
2005-09-01,3.3,-0.17,-0.14,-0.62,-0.92
2005-10-01,3.45,0.15,-0.01,-0.31,-0.66
2005-11-01,3.67,0.22,0.2,0.07,-0.3
2005-12-01,3.57,-0.1,0.27,0.13,-0.2
2006-01-01,3.6,0.03,0.15,0.14,-0.09
2006-02-01,3.77,0.17,0.1,0.3,0.08
2006-03-01,3.95,0.18,0.38,0.65,0.03
2006-04-01,4.23,0.28,0.63,0.78,0.47
2006-05-01,4.3,0.07,0.53,0.63,0.7
2006-06-01,4.31,0.01,0.36,0.74,0.87
2006-07-01,4.33,0.02,0.1,0.73,0.87
2006-08-01,4.19,-0.14,-0.11,0.42,0.72
2006-09-01,4.06,-0.13,-0.25,0.11,0.76
2006-10-01,4.08,0.02,-0.25,-0.15,0.63
2006-11-01,3.98,-0.1,-0.21,-0.32,0.31
2006-12-01,4.04,0.06,-0.02,-0.27,0.47
2007-01-01,4.28,0.24,0.2,-0.05,0.68
2007-02-01,4.3,0.02,0.32,0.11,0.53
2007-03-01,4.2,-0.1,0.16,0.14,0.25
2007-04-01,4.4,0.2,0.12,0.32,0.17
2007-05-01,4.51,0.11,0.21,0.53,0.21
2007-06-01,4.8,0.29,0.6,0.76,0.49
2007-07-01,4.79,-0.01,0.39,0.51,0.46
2007-08-01,4.62,-0.17,0.11,0.32,0.43
2007-09-01,4.56,-0.06,-0.24,0.36,0.5
2007-10-01,4.58,0.02,-0.21,0.18,0.5
2007-11-01,4.43,-0.15,-0.19,-0.08,0.45
2007-12-01,4.53,0.1,-0.03,-0.27,0.49
2008-01-01,4.4,-0.13,-0.18,-0.39,0.12
2008-02-01,4.36,-0.04,-0.07,-0.26,0.06
2008-03-01,4.42,0.06,-0.11,-0.14,0.22
2008-04-01,4.54,0.12,0.14,-0.04,0.14
2008-05-01,4.74,0.2,0.38,0.31,0.23
2008-06-01,5.17,0.43,0.75,0.64,0.37
2008-07-01,5.15,-0.02,0.61,0.75,0.36
2008-08-01,4.87,-0.28,0.13,0.51,0.25
2008-09-01,4.88,0.01,-0.29,0.46,0.32
2008-10-01,4.93,0.05,-0.22,0.39,0.35
2008-11-01,5.09,0.16,0.22,0.35,0.66
2008-12-01,5.08,-0.01,0.2,-0.09,0.55
2009-01-01,5.6,0.52,0.67,0.45,1.2
2009-02-01,5.7,0.1,0.61,0.83,1.34
2009-03-01,5.87,0.17,0.79,0.99,1.45
2009-04-01,5.5,-0.37,-0.1,0.57,0.96
2009-05-01,5.22,-0.28,-0.48,0.13,0.48
2009-06-01,5.33,0.11,-0.54,0.25,0.16
2009-07-01,4.89,-0.44,-0.61,-0.71,-0.26
2009-08-01,4.52,-0.37,-0.7,-1.18,-0.35
2009-09-01,4.56,0.04,-0.77,-1.31,-0.32
2009-10-01,4.57,0.01,-0.32,-0.93,-0.36
2009-11-01,4.84,0.27,0.32,-0.38,-0.25
2009-12-01,5.49,0.65,0.93,0.16,0.41
2010-01-01,6.02,0.53,1.45,1.13,0.42
2010-02-01,6.46,0.44,1.62,1.94,0.76
2010-03-01,6.24,-0.22,0.75,1.68,0.37
2010-04-01,7.83,1.59,1.81,3.26,2.33
2010-05-01,7.97,0.14,1.51,3.13,2.75
2010-06-01,9.1,1.13,2.86,3.61,3.77
2010-07-01,10.34,1.24,2.51,4.32,5.45
2010-08-01,10.7,0.36,2.73,4.24,6.18
2010-09-01,11.34,0.64,2.24,5.1,6.78
2010-10-01,9.57,-1.77,-0.77,1.74,5.0
2010-11-01,11.52,1.95,0.82,3.55,6.68
2010-12-01,12.01,0.49,0.67,2.91,6.52
2011-01-01,11.73,-0.28,2.16,1.39,5.71
2011-02-01,11.4,-0.33,-0.12,0.7,4.94
2011-03-01,12.44,1.04,0.43,1.1,6.2
2011-04-01,13.86,1.42,2.13,4.29,6.03
2011-05-01,15.94,2.08,4.54,4.42,7.97
2011-06-01,16.69,0.75,4.25,4.68,7.59
2011-07-01,16.15,-0.54,2.29,4.42,5.81
2011-08-01,15.9,-0.25,-0.04,4.5,5.2
2011-09-01,17.78,1.88,1.09,5.34,6.44
2011-10-01,18.04,0.26,1.89,4.18,8.47
2011-11-01,17.92,-0.12,2.02,1.98,6.4
2011-12-01,21.14,3.22,3.36,4.45,9.13
2012-01-01,25.91,4.77,7.87,9.76,14.18
2012-02-01,29.24,3.33,11.32,13.34,17.84
2012-03-01,19.06,-10.18,-2.08,1.28,6.62
2012-04-01,21.48,2.42,-4.43,3.44,7.62
2012-05-01,26.9,5.42,-2.34,8.98,10.96
2012-06-01,27.82,0.92,8.76,6.68,11.13
2012-07-01,25.82,-2.0,4.34,-0.09,9.67
2012-08-01,24.34,-1.48,-2.56,-4.9,8.44
2012-09-01,20.91,-3.43,-6.91,1.85,3.13
2012-10-01,17.96,-2.95,-7.86,-3.52,-0.08
2012-11-01,17.2,-0.76,-7.14,-9.7,-0.72
2012-12-01,13.33,-3.87,-7.58,-14.49,-7.81
2013-01-01,11.1,-2.23,-6.86,-14.72,-14.81
2013-02-01,10.95,-0.15,-6.25,-13.39,-18.29
2013-03-01,11.38,0.43,-1.95,-9.53,-7.68
2013-04-01,11.58,0.2,0.48,-6.38,-9.9
2013-05-01,9.07,-2.51,-1.88,-8.13,-17.83
2013-06-01,10.07,1.0,-1.31,-3.26,-17.75
2013-07-01,10.53,0.46,-1.05,-0.57,-15.29
2013-08-01,10.01,-0.52,0.94,-0.94,-14.33
2013-09-01,10.15,0.14,0.08,-1.23,-10.76
2013-10-01,8.74,-1.41,-1.79,-2.84,-9.22
2013-11-01,8.41,-0.33,-1.6,-0.66,-8.79
2013-12-01,8.66,0.25,-1.49,-1.41,-4.67
2014-01-01,8.18,-0.48,-0.56,-2.35,-2.92
2014-02-01,7.7,-0.48,-0.71,-2.31,-3.25
2014-03-01,6.9,-0.8,-1.76,-3.25,-4.48
2014-04-01,6.2,-0.7,-1.98,-2.54,-5.38
2014-05-01,6.38,0.18,-1.32,-2.03,-2.69
