date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.748,,,,
2000-02-01,5.726,-0.022,,,
2000-03-01,5.577,-0.149,,,
2000-04-01,5.466,-0.111,-0.282,,
2000-05-01,5.665,0.199,-0.061,,
2000-06-01,5.51,-0.155,-0.067,,
2000-07-01,5.591,0.081,0.125,-0.157,
2000-08-01,5.563,-0.028,-0.102,-0.163,
2000-09-01,5.632,0.069,0.122,0.055,
2000-10-01,5.578,-0.054,-0.013,0.112,
2000-11-01,5.548,-0.03,-0.015,-0.117,
2000-12-01,5.298,-0.25,-0.334,-0.212,
2001-01-01,5.183,-0.115,-0.395,-0.408,-0.565
2001-02-01,5.184,0.001,-0.364,-0.379,-0.542
2001-03-01,5.13,-0.054,-0.168,-0.502,-0.447
2001-04-01,5.282,0.152,0.099,-0.296,-0.184
2001-05-01,5.449,0.167,0.265,-0.099,-0.216
2001-06-01,5.399,-0.05,0.269,0.101,-0.111
2001-07-01,5.416,0.017,0.134,0.233,-0.175
2001-08-01,5.215,-0.201,-0.234,0.031,-0.348
2001-09-01,5.196,-0.019,-0.203,0.066,-0.436
2001-10-01,4.964,-0.232,-0.452,-0.318,-0.614
2001-11-01,4.8,-0.164,-0.415,-0.649,-0.748
2001-12-01,5.047,0.247,-0.149,-0.352,-0.251
2002-01-01,5.142,0.095,0.178,-0.274,-0.041
2002-02-01,5.199,0.057,0.399,-0.016,0.015
2002-03-01,5.411,0.212,0.364,0.215,0.281
2002-04-01,5.404,-0.007,0.262,0.44,0.122
2002-05-01,5.406,0.002,0.207,0.606,-0.043
2002-06-01,5.255,-0.151,-0.156,0.208,-0.144
2002-07-01,5.109,-0.146,-0.295,-0.033,-0.307
2002-08-01,4.828,-0.281,-0.578,-0.371,-0.387
2002-09-01,4.618,-0.21,-0.637,-0.793,-0.578
2002-10-01,4.757,0.139,-0.352,-0.647,-0.207
2002-11-01,4.735,-0.022,-0.093,-0.671,-0.065
2002-12-01,4.548,-0.187,-0.07,-0.707,-0.499
2003-01-01,4.375,-0.173,-0.382,-0.734,-0.767
2003-02-01,4.157,-0.218,-0.578,-0.671,-1.042
2003-03-01,4.185,0.028,-0.363,-0.433,-1.226
2003-04-01,4.312,0.127,-0.063,-0.445,-1.092
2003-05-01,4.035,-0.277,-0.122,-0.7,-1.371
2003-06-01,3.822,-0.213,-0.363,-0.726,-1.433
2003-07-01,4.132,0.31,-0.18,-0.243,-0.977
2003-08-01,4.293,0.161,0.258,0.136,-0.535
2003-09-01,4.314,0.021,0.492,0.129,-0.304
2003-10-01,4.382,0.068,0.25,0.07,-0.375
2003-11-01,4.511,0.129,0.218,0.476,-0.224
2003-12-01,4.459,-0.052,0.145,0.637,-0.089
2004-01-01,4.317,-0.142,-0.065,0.185,-0.058
2004-02-01,4.343,0.026,-0.168,0.05,0.186
2004-03-01,4.169,-0.174,-0.29,-0.145,-0.016
2004-04-01,4.351,0.182,0.034,-0.031,0.039
2004-05-01,4.493,0.142,0.15,-0.018,0.458
2004-06-01,4.544,0.051,0.375,0.085,0.722
2004-07-01,4.44,-0.104,0.089,0.123,0.308
2004-08-01,4.277,-0.163,-0.216,-0.066,-0.016
2004-09-01,4.251,-0.026,-0.293,0.082,-0.063
2004-10-01,4.129,-0.122,-0.311,-0.222,-0.253
2004-11-01,4.0,-0.129,-0.277,-0.493,-0.511
2004-12-01,3.792,-0.208,-0.459,-0.752,-0.667
2005-01-01,3.711,-0.081,-0.418,-0.729,-0.606
2005-02-01,3.678,-0.033,-0.322,-0.599,-0.665
2005-03-01,3.837,0.159,0.045,-0.414,-0.332
2005-04-01,3.653,-0.184,-0.058,-0.476,-0.698
2005-05-01,3.553,-0.1,-0.125,-0.447,-0.94
2005-06-01,3.405,-0.148,-0.432,-0.387,-1.139
2005-07-01,3.438,0.033,-0.215,-0.273,-1.002
2005-08-01,3.449,0.011,-0.104,-0.229,-0.828
2005-09-01,3.287,-0.162,-0.118,-0.55,-0.964
2005-10-01,3.444,0.157,0.006,-0.209,-0.685
2005-11-01,3.655,0.211,0.206,0.102,-0.345
2005-12-01,3.553,-0.102,0.266,0.148,-0.239
2006-01-01,3.544,-0.009,0.1,0.106,-0.167
2006-02-01,3.697,0.153,0.042,0.248,0.019
2006-03-01,3.923,0.226,0.37,0.636,0.086
2006-04-01,4.222,0.299,0.678,0.778,0.569
2006-05-01,4.285,0.063,0.588,0.63,0.732
2006-06-01,4.295,0.01,0.372,0.742,0.89
2006-07-01,4.306,0.011,0.084,0.762,0.868
2006-08-01,4.171,-0.135,-0.114,0.474,0.722
2006-09-01,4.036,-0.135,-0.259,0.113,0.749
2006-10-01,4.07,0.034,-0.236,-0.152,0.626
2006-11-01,3.97,-0.1,-0.201,-0.315,0.315
2006-12-01,4.038,0.068,0.002,-0.257,0.485
2007-01-01,4.263,0.225,0.193,-0.043,0.719
2007-02-01,4.28,0.017,0.31,0.109,0.583
2007-03-01,4.176,-0.104,0.138,0.14,0.253
2007-04-01,4.37,0.194,0.107,0.3,0.148
2007-05-01,4.49,0.12,0.21,0.52,0.205
2007-06-01,4.772,0.282,0.596,0.734,0.477
2007-07-01,4.76,-0.012,0.39,0.497,0.454
2007-08-01,4.584,-0.176,0.094,0.304,0.413
