date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,1.691,,,,
2000-02-01,1.796,0.105,,,
2000-03-01,1.819,0.023,,,
2000-04-01,1.74,-0.079,0.049,,
2000-05-01,1.705,-0.035,-0.091,,
2000-06-01,1.664,-0.041,-0.155,,
2000-07-01,1.689,0.025,-0.051,-0.002,
2000-08-01,1.75,0.061,0.045,-0.046,
2000-09-01,1.876,0.126,0.212,0.057,
2000-10-01,1.815,-0.061,0.126,0.075,
2000-11-01,1.764,-0.051,0.014,0.059,
2000-12-01,1.624,-0.14,-0.252,-0.04,
2001-01-01,1.508,-0.116,-0.307,-0.181,-0.183
2001-02-01,1.415,-0.093,-0.349,-0.335,-0.381
2001-03-01,1.169,-0.246,-0.455,-0.707,-0.65
2001-04-01,1.315,0.146,-0.193,-0.5,-0.425
2001-05-01,1.25,-0.065,-0.165,-0.514,-0.455
2001-06-01,1.152,-0.098,-0.017,-0.472,-0.512
2001-07-01,1.305,0.153,-0.01,-0.203,-0.384
2001-08-01,1.343,0.038,0.093,-0.072,-0.407
2001-09-01,1.346,0.003,0.194,0.177,-0.53
2001-10-01,1.363,0.017,0.058,0.048,-0.452
2001-11-01,1.328,-0.035,-0.015,0.078,-0.436
2001-12-01,1.334,0.006,-0.012,0.182,-0.29
2002-01-01,1.42,0.086,0.057,0.115,-0.088
2002-02-01,1.501,0.081,0.173,0.158,0.086
2002-03-01,1.421,-0.08,0.087,0.075,0.252
2002-04-01,1.394,-0.027,-0.026,0.031,0.079
2002-05-01,1.365,-0.029,-0.136,0.037,0.115
2002-06-01,1.328,-0.037,-0.093,-0.006,0.176
2002-07-01,1.296,-0.032,-0.098,-0.124,-0.009
2002-08-01,1.255,-0.041,-0.11,-0.246,-0.088
2002-09-01,1.129,-0.126,-0.199,-0.292,-0.217
2002-10-01,1.095,-0.034,-0.201,-0.299,-0.268
2002-11-01,0.979,-0.116,-0.276,-0.386,-0.349
2002-12-01,0.975,-0.004,-0.154,-0.353,-0.359
2003-01-01,0.836,-0.139,-0.259,-0.46,-0.584
2003-02-01,0.828,-0.008,-0.151,-0.427,-0.673
2003-03-01,0.724,-0.104,-0.251,-0.405,-0.697
2003-04-01,0.663,-0.061,-0.173,-0.432,-0.731
2003-05-01,0.577,-0.086,-0.251,-0.402,-0.788
2003-06-01,0.529,-0.048,-0.195,-0.446,-0.799
2003-07-01,0.956,0.427,0.293,0.12,-0.34
2003-08-01,1.406,0.45,0.829,0.578,0.151
2003-09-01,1.42,0.014,0.891,0.696,0.291
2003-10-01,1.437,0.017,0.481,0.774,0.342
2003-11-01,1.333,-0.104,-0.073,0.756,0.354
2003-12-01,1.33,-0.003,-0.09,0.801,0.355
2004-01-01,1.33,0.0,-0.107,0.374,0.494
2004-02-01,1.211,-0.119,-0.122,-0.195,0.383
2004-03-01,1.418,0.207,0.088,-0.002,0.694
2004-04-01,1.52,0.102,0.19,0.083,0.857
2004-05-01,1.505,-0.015,0.294,0.172,0.928
2004-06-01,1.807,0.302,0.389,0.477,1.278
2004-07-01,1.808,0.001,0.288,0.478,0.852
2004-08-01,1.588,-0.22,0.083,0.377,0.182
2004-09-01,1.393,-0.195,-0.414,-0.025,-0.027
2004-10-01,1.483,0.09,-0.325,-0.037,0.046
2004-11-01,1.452,-0.031,-0.136,-0.053,0.119
2004-12-01,1.397,-0.055,0.004,-0.41,0.067
2005-01-01,1.31,-0.087,-0.173,-0.498,-0.02
2005-02-01,1.419,0.109,-0.033,-0.169,0.208
2005-03-01,1.325,-0.094,-0.072,-0.068,-0.093
2005-04-01,1.257,-0.068,-0.053,-0.226,-0.263
2005-05-01,1.238,-0.019,-0.181,-0.214,-0.267
2005-06-01,1.143,-0.095,-0.182,-0.254,-0.664
2005-07-01,1.295,0.152,0.038,-0.015,-0.513
2005-08-01,1.365,0.07,0.127,-0.054,-0.223
2005-09-01,1.45,0.085,0.307,0.125,0.057
