date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-10-01,8.25,,,,
2000-11-01,7.86,-0.39,,,
2000-12-01,7.18,-0.68,,,
2001-01-01,6.65,-0.53,-1.6,,
2001-02-01,6.41,-0.24,-1.45,,
2001-03-01,7.0,0.59,-0.18,,
2001-04-01,7.74,0.74,1.09,-0.51,
2001-05-01,7.58,-0.16,1.17,-0.28,
2001-06-01,7.14,-0.44,0.14,-0.04,
2001-07-01,6.83,-0.31,-0.91,0.18,
2001-08-01,6.29,-0.54,-1.29,-0.12,
2001-09-01,6.19,-0.1,-0.95,-0.81,
2001-10-01,6.54,0.35,-0.29,-1.2,-1.71
2001-11-01,6.88,0.34,0.59,-0.7,-0.98
2001-12-01,7.01,0.13,0.82,-0.13,-0.17
2002-01-01,7.1,0.09,0.56,0.27,0.45
2002-02-01,7.0,-0.1,0.12,0.71,0.59
2002-03-01,7.17,0.17,0.16,0.98,0.17
2002-04-01,7.3,0.13,0.2,0.76,-0.44
2002-05-01,7.09,-0.21,0.09,0.21,-0.49
2002-06-01,6.76,-0.33,-0.41,-0.25,-0.38
2002-07-01,6.54,-0.22,-0.76,-0.56,-0.29
2002-08-01,6.24,-0.3,-0.85,-0.76,-0.05
2002-09-01,6.16,-0.08,-0.6,-1.01,-0.03
2002-10-01,6.11,-0.05,-0.43,-1.19,-0.43
2002-11-01,5.8,-0.31,-0.44,-1.29,-1.08
2002-12-01,5.77,-0.03,-0.39,-0.99,-1.24
2003-01-01,5.43,-0.34,-0.68,-1.11,-1.67
2003-02-01,5.15,-0.28,-0.65,-1.09,-1.85
2003-03-01,5.2,0.05,-0.57,-0.96,-1.97
2003-04-01,5.03,-0.17,-0.4,-1.08,-2.27
2003-05-01,4.68,-0.35,-0.47,-1.12,-2.41
2003-06-01,4.46,-0.22,-0.74,-1.31,-2.3
2003-07-01,4.95,0.49,-0.08,-0.48,-1.59
2003-08-01,5.26,0.31,0.58,0.11,-0.98
2003-09-01,4.77,-0.49,0.31,-0.43,-1.39
2003-10-01,4.87,0.1,-0.08,-0.16,-1.24
2003-11-01,5.35,0.48,0.09,0.67,-0.45
2003-12-01,5.43,0.08,0.66,0.97,-0.34
2004-01-01,5.42,-0.01,0.55,0.47,-0.01
2004-02-01,5.43,0.01,0.08,0.17,0.28
2004-03-01,5.26,-0.17,-0.17,0.49,0.06
2004-04-01,5.25,-0.01,-0.17,0.38,0.22
2004-05-01,5.16,-0.09,-0.27,-0.19,0.48
2004-06-01,5.01,-0.15,-0.25,-0.42,0.55
2004-07-01,4.88,-0.13,-0.37,-0.54,-0.07
2004-08-01,4.33,-0.55,-0.83,-1.1,-0.93
2004-09-01,4.14,-0.19,-0.87,-1.12,-0.63
2004-10-01,4.05,-0.09,-0.83,-1.2,-0.82
2004-11-01,3.96,-0.09,-0.37,-1.2,-1.39
2004-12-01,3.85,-0.11,-0.29,-1.16,-1.58
2005-01-01,4.42,0.57,0.37,-0.46,-1.0
2005-02-01,4.88,0.46,0.92,0.55,-0.55
2005-03-01,4.77,-0.11,0.92,0.63,-0.49
2005-04-01,4.69,-0.08,0.27,0.64,-0.56
2005-05-01,4.42,-0.27,-0.46,0.46,-0.74
2005-06-01,4.46,0.04,-0.31,0.61,-0.55
2005-07-01,4.89,0.43,0.2,0.47,0.01
2005-08-01,5.08,0.19,0.66,0.2,0.75
2005-09-01,5.15,0.07,0.69,0.38,1.01
2005-10-01,5.36,0.21,0.47,0.67,1.31
2005-11-01,5.68,0.32,0.6,1.26,1.72
2005-12-01,5.6,-0.08,0.45,1.14,1.75
2006-01-01,5.58,-0.02,0.22,0.69,1.16
2006-02-01,5.28,-0.3,-0.4,0.2,0.4
2006-03-01,5.42,0.14,-0.18,0.27,0.65
2006-04-01,5.45,0.03,-0.13,0.09,0.76
2006-05-01,5.2,-0.25,-0.08,-0.48,0.78
2006-06-01,5.25,0.05,-0.17,-0.35,0.79
2006-07-01,5.16,-0.09,-0.29,-0.42,0.27
2006-08-01,4.94,-0.22,-0.26,-0.34,-0.14
2006-09-01,4.89,-0.05,-0.36,-0.53,-0.26
2006-10-01,4.79,-0.1,-0.37,-0.66,-0.57
2006-11-01,4.91,0.12,-0.03,-0.29,-0.77
2006-12-01,4.95,0.04,0.06,-0.3,-0.65
2007-01-01,5.04,0.09,0.25,-0.12,-0.54
2007-02-01,5.01,-0.03,0.1,0.07,-0.27
2007-03-01,4.94,-0.07,-0.01,0.05,-0.48
2007-04-01,5.07,0.13,0.03,0.28,-0.38
2007-05-01,5.22,0.15,0.21,0.31,0.02
2007-06-01,5.48,0.26,0.54,0.53,0.23
2007-07-01,5.52,0.04,0.45,0.48,0.36
2007-08-01,5.42,-0.1,0.2,0.41,0.48
2007-09-01,5.52,0.1,0.04,0.58,0.63
2007-10-01,5.56,0.04,0.04,0.49,0.77
2007-11-01,5.61,0.05,0.19,0.39,0.7
2007-12-01,5.82,0.21,0.3,0.34,0.87
2008-01-01,5.56,-0.26,0.0,0.04,0.52
2008-02-01,5.28,-0.28,-0.33,-0.14,0.27
2008-03-01,5.36,0.08,-0.46,-0.16,0.42
2008-04-01,5.17,-0.19,-0.39,-0.39,0.1
2008-05-01,5.5,0.33,0.22,-0.11,0.28
2008-06-01,5.89,0.39,0.53,0.07,0.41
2008-07-01,6.03,0.14,0.86,0.47,0.51
2008-08-01,5.91,-0.12,0.41,0.63,0.49
2008-09-01,5.99,0.08,0.1,0.63,0.47
2008-10-01,5.53,-0.46,-0.5,0.36,-0.03
2008-11-01,5.73,0.2,-0.18,0.23,0.12
2008-12-01,4.87,-0.86,-1.12,-1.02,-0.95
2009-01-01,4.42,-0.45,-1.11,-1.61,-1.14
2009-02-01,5.24,0.82,-0.49,-0.67,-0.04
2009-03-01,4.97,-0.27,0.1,-1.02,-0.39
2009-04-01,4.9,-0.07,0.48,-0.63,-0.27
2009-05-01,5.05,0.15,-0.19,-0.68,-0.45
2009-06-01,5.26,0.21,0.29,0.39,-0.63
2009-07-01,5.18,-0.08,0.28,0.76,-0.85
2009-08-01,5.44,0.26,0.39,0.2,-0.47
2009-09-01,5.38,-0.06,0.12,0.41,-0.61
2009-10-01,5.45,0.07,0.27,0.55,-0.08
2009-11-01,5.39,-0.06,-0.05,0.34,-0.34
2009-12-01,5.31,-0.08,-0.07,0.05,0.44
2010-01-01,5.35,0.04,-0.1,0.17,0.93
2010-02-01,5.3,-0.05,-0.09,-0.14,0.06
2010-03-01,4.92,-0.38,-0.39,-0.46,-0.05
2010-04-01,4.91,-0.01,-0.44,-0.54,0.01
2010-05-01,4.95,0.04,-0.35,-0.44,-0.1
2010-06-01,4.93,-0.02,0.01,-0.38,-0.33
2010-07-01,4.91,-0.02,0.0,-0.44,-0.27
2010-08-01,4.68,-0.23,-0.27,-0.62,-0.76
2010-09-01,4.28,-0.4,-0.65,-0.64,-1.1
2010-10-01,4.11,-0.17,-0.8,-0.8,-1.34
2010-11-01,4.48,0.37,-0.2,-0.47,-0.91
2010-12-01,4.46,-0.02,0.18,-0.47,-0.85
2011-01-01,4.69,0.23,0.58,-0.22,-0.66
2011-02-01,4.76,0.07,0.28,0.08,-0.54
2011-03-01,4.51,-0.25,0.05,0.23,-0.41
2011-04-01,4.48,-0.03,-0.21,0.37,-0.43
2011-05-01,4.34,-0.14,-0.42,-0.14,-0.61
2011-06-01,4.24,-0.1,-0.27,-0.22,-0.69
2011-07-01,4.23,-0.01,-0.25,-0.46,-0.68
2011-08-01,3.96,-0.27,-0.38,-0.8,-0.72
2011-09-01,3.75,-0.21,-0.49,-0.76,-0.53
2011-10-01,3.86,0.11,-0.37,-0.62,-0.25
2011-11-01,3.8,-0.06,-0.16,-0.54,-0.68
2011-12-01,3.81,0.01,0.06,-0.43,-0.65
2012-01-01,3.8,-0.01,-0.06,-0.43,-0.89
2012-02-01,3.81,0.01,0.01,-0.15,-0.95
2012-03-01,3.95,0.14,0.14,0.2,-0.56
2012-04-01,3.9,-0.05,0.1,0.04,-0.58
2012-05-01,3.75,-0.15,-0.06,-0.05,-0.59
2012-06-01,3.63,-0.12,-0.32,-0.18,-0.61
2012-07-01,3.3,-0.33,-0.6,-0.5,-0.93
2012-08-01,3.09,-0.21,-0.66,-0.72,-0.87
2012-09-01,3.05,-0.04,-0.58,-0.9,-0.7
2012-10-01,2.97,-0.08,-0.33,-0.93,-0.89
2012-11-01,2.99,0.02,-0.1,-0.76,-0.81
2012-12-01,3.13,0.14,0.08,-0.5,-0.68
2013-01-01,3.05,-0.08,0.08,-0.25,-0.75
2013-02-01,3.04,-0.01,0.05,-0.05,-0.77
2013-03-01,2.91,-0.13,-0.22,-0.14,-1.04
2013-04-01,2.84,-0.07,-0.21,-0.13,-1.06
2013-05-01,2.9,0.06,-0.14,-0.09,-0.85
2013-06-01,3.31,0.41,0.4,0.18,-0.32
2013-07-01,3.47,0.16,0.63,0.42,0.17
2013-08-01,3.61,0.14,0.71,0.57,0.52
