date,value,chg_1m,chg_3m,chg_6m,chg_1y
2001-07-01,10.9,,,,
2001-10-01,11.09,0.19,,,
2001-12-01,10.28,-0.81,,,
2002-01-01,9.98,-0.3,-0.92,,
2002-02-01,9.93,-0.05,-1.16,,
2002-03-01,9.72,-0.21,-0.56,,
2002-04-01,9.85,0.13,-0.13,-1.05,
2002-05-01,9.2,-0.65,-0.73,-1.89,
2002-06-01,9.95,0.75,0.23,-0.33,
2002-07-01,10.17,0.22,0.32,0.19,
2002-08-01,10.23,0.06,1.03,0.3,
2002-09-01,10.22,-0.01,0.27,0.5,
2002-10-01,11.17,0.95,1.0,1.32,0.27
2002-11-01,10.96,-0.21,0.73,1.76,-0.13
2002-12-01,10.12,-0.84,-0.1,0.17,-0.16
2003-01-01,10.12,0.0,-1.05,-0.05,0.14
2003-02-01,10.09,-0.03,-0.87,-0.14,0.16
2003-03-01,10.58,0.49,0.46,0.36,0.86
2003-04-01,9.53,-1.05,-0.59,-1.64,-0.32
2003-05-01,8.49,-1.04,-1.6,-2.47,-0.71
2003-06-01,8.07,-0.42,-2.51,-2.05,-1.88
2003-07-01,8.74,0.67,-0.79,-1.38,-1.43
2003-08-01,8.88,0.14,0.39,-1.21,-1.35
2003-09-01,8.37,-0.51,0.3,-2.21,-1.85
2003-10-01,8.24,-0.13,-0.5,-1.29,-2.93
2003-11-01,8.35,0.11,-0.53,-0.14,-2.61
2003-12-01,8.32,-0.03,-0.05,0.25,-1.8
2004-01-01,8.32,0.0,0.08,-0.42,-1.8
2004-02-01,8.38,0.06,0.03,-0.5,-1.71
2004-03-01,8.6,0.22,0.28,0.23,-1.98
2004-04-01,8.92,0.32,0.6,0.68,-0.61
2004-05-01,10.1,1.18,1.72,1.75,1.61
2004-06-01,10.3,0.2,1.7,1.98,2.23
2004-07-01,9.78,-0.52,0.86,1.46,1.04
2004-08-01,10.03,0.25,-0.07,1.65,1.15
2004-09-01,10.27,0.24,-0.03,1.67,1.9
2004-10-01,9.69,-0.58,-0.09,0.77,1.45
2004-11-01,10.35,0.66,0.32,0.25,2.0
2004-12-01,9.72,-0.63,-0.55,-0.58,1.4
2005-01-01,10.02,0.3,0.33,0.24,1.7
2005-02-01,9.62,-0.4,-0.73,-0.41,1.24
2005-03-01,10.26,0.64,0.54,-0.01,1.66
2005-04-01,10.41,0.15,0.39,0.72,1.49
2005-05-01,9.84,-0.57,0.22,-0.51,-0.26
2005-06-01,9.56,-0.28,-0.7,-0.16,-0.74
2005-07-01,9.37,-0.19,-1.04,-0.65,-0.41
2005-08-01,9.4,0.03,-0.44,-0.22,-0.63
2005-09-01,8.5,-0.9,-1.06,-1.76,-1.77
2005-10-01,8.85,0.35,-0.52,-1.56,-0.84
2005-11-01,8.73,-0.12,-0.67,-1.11,-1.62
2005-12-01,8.45,-0.28,-0.05,-1.11,-1.27
2006-01-01,8.25,-0.2,-0.6,-1.12,-1.77
2006-02-01,8.21,-0.04,-0.52,-1.19,-1.41
2006-03-01,8.25,0.04,-0.2,-0.25,-2.01
2006-04-01,8.57,0.32,0.32,-0.28,-1.84
2006-05-01,8.81,0.24,0.6,0.08,-1.03
2006-06-01,9.73,0.92,1.48,1.28,0.17
2006-07-01,8.69,-1.04,0.12,0.44,-0.68
2006-08-01,8.08,-0.61,-0.73,-0.13,-1.32
2006-09-01,8.23,0.15,-1.5,-0.02,-0.27
2006-10-01,8.4,0.17,-0.29,-0.17,-0.45
2006-11-01,7.88,-0.52,-0.2,-0.93,-0.85
2006-12-01,7.56,-0.32,-0.67,-2.17,-0.89
2007-01-01,7.43,-0.13,-0.97,-1.26,-0.82
2007-02-01,7.96,0.53,0.08,-0.12,-0.25
2007-03-01,7.82,-0.14,0.26,-0.41,-0.43
2007-04-01,7.62,-0.2,0.19,-0.78,-0.95
2007-05-01,7.7,0.08,-0.26,-0.18,-1.11
2007-06-01,7.56,-0.14,-0.26,0.0,-2.17
2007-07-01,7.62,0.06,0.0,0.19,-1.07
2007-08-01,7.9,0.28,0.2,-0.06,-0.18
2007-09-01,7.88,-0.02,0.32,0.06,-0.35
2007-11-01,7.93,0.05,0.31,0.31,-0.47
2007-12-01,8.09,0.16,0.19,0.39,0.21
2008-01-01,7.65,-0.44,-0.23,0.09,0.09
2008-03-01,7.53,-0.12,-0.4,-0.09,0.1
2008-04-01,7.72,0.19,-0.37,-0.18,-0.24
2008-06-01,8.25,0.53,0.6,0.37,0.43
2008-07-01,9.26,1.01,1.73,1.33,1.64
2008-08-01,8.55,-0.71,0.83,0.46,0.85
2008-10-01,8.5,-0.05,0.25,0.85,0.94
2008-11-01,9.82,1.32,0.56,2.29,2.2
2008-12-01,7.99,-1.83,-0.56,0.27,0.09
2009-02-01,8.24,0.25,-0.26,-0.01,0.36
2009-03-01,7.75,-0.49,-2.07,-1.51,-0.18
2009-05-01,7.55,-0.2,-0.44,-1.0,-0.54
2009-06-01,8.22,0.67,-0.02,-0.28,0.57
2009-07-01,8.09,-0.13,0.34,-1.73,0.56
2009-09-01,8.0,-0.09,0.45,0.01,0.28
2009-10-01,8.05,0.05,-0.17,-0.19,-0.2
2009-12-01,7.81,-0.24,-0.28,0.06,-1.45
2010-02-01,7.66,-0.15,-0.34,0.11,-0.89
2010-04-01,7.54,-0.12,-0.51,-0.68,-0.96
2010-05-01,7.49,-0.05,-0.32,-0.6,-2.33
2010-07-01,6.88,-0.61,-0.78,-1.12,-1.11
2010-08-01,6.49,-0.39,-1.05,-1.56,-1.75
2010-09-01,6.25,-0.24,-1.24,-1.56,-1.5
2010-11-01,6.13,-0.12,-0.75,-1.53,-1.42
2010-12-01,7.16,1.03,0.67,-0.38,-1.06
2011-04-01,7.28,0.12,1.03,-0.21,-0.81
2011-06-01,6.92,-0.36,0.79,0.04,-1.08
2011-07-01,6.9,-0.02,-0.26,0.41,-1.15
2011-08-01,5.78,-1.12,-1.5,-0.47,-2.03
2011-10-01,6.85,1.07,-0.07,0.72,-0.81
2011-11-01,6.38,-0.47,-0.52,-0.78,-1.16
2011-12-01,6.46,0.08,0.68,-0.82,-1.03
2012-05-01,6.22,-0.24,-0.63,-0.7,-0.66
