date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.666,,,,
2000-02-01,5.655,-0.011,,,
2000-03-01,5.479,-0.176,,,
2000-04-01,5.381,-0.098,-0.285,,
2000-05-01,5.501,0.12,-0.154,,
2000-06-01,5.309,-0.192,-0.17,,
2000-07-01,5.401,0.092,0.02,-0.265,
2000-08-01,5.361,-0.04,-0.14,-0.294,
2000-09-01,5.414,0.053,0.105,-0.065,
2000-10-01,5.348,-0.066,-0.053,-0.033,
2000-11-01,5.296,-0.052,-0.065,-0.205,
2000-12-01,5.029,-0.267,-0.385,-0.28,
2001-01-01,4.93,-0.099,-0.418,-0.471,-0.736
2001-02-01,4.916,-0.014,-0.38,-0.445,-0.739
2001-03-01,4.826,-0.09,-0.203,-0.588,-0.653
2001-04-01,5.016,0.19,0.086,-0.332,-0.365
2001-05-01,5.221,0.205,0.305,-0.075,-0.28
2001-06-01,5.17,-0.051,0.344,0.141,-0.139
2001-07-01,5.172,0.002,0.156,0.242,-0.229
2001-08-01,4.979,-0.193,-0.242,0.063,-0.382
2001-09-01,4.979,0.0,-0.191,0.153,-0.435
2001-10-01,4.765,-0.214,-0.407,-0.251,-0.583
2001-11-01,4.62,-0.145,-0.359,-0.601,-0.676
2001-12-01,4.89,0.27,-0.089,-0.28,-0.139
2002-01-01,4.969,0.079,0.204,-0.203,0.039
2002-02-01,5.025,0.056,0.405,0.046,0.109
2002-03-01,5.272,0.247,0.382,0.293,0.446
2002-04-01,5.25,-0.022,0.281,0.485,0.234
2002-05-01,5.306,0.056,0.281,0.686,0.085
2002-06-01,5.162,-0.144,-0.11,0.272,-0.008
2002-07-01,4.993,-0.169,-0.257,0.024,-0.179
2002-08-01,4.711,-0.282,-0.595,-0.314,-0.268
2002-09-01,4.497,-0.214,-0.665,-0.775,-0.482
2002-10-01,4.58,0.083,-0.413,-0.67,-0.185
2002-11-01,4.555,-0.025,-0.156,-0.751,-0.065
2002-12-01,4.363,-0.192,-0.134,-0.799,-0.527
2003-01-01,4.189,-0.174,-0.391,-0.804,-0.78
2003-02-01,3.971,-0.218,-0.584,-0.74,-1.054
2003-03-01,4.013,0.042,-0.35,-0.484,-1.259
2003-04-01,4.232,0.219,0.043,-0.348,-1.018
2003-05-01,3.913,-0.319,-0.058,-0.642,-1.393
2003-06-01,3.722,-0.191,-0.291,-0.641,-1.44
2003-07-01,4.036,0.314,-0.196,-0.153,-0.957
2003-08-01,4.185,0.149,0.272,0.214,-0.526
2003-09-01,4.212,0.027,0.49,0.199,-0.285
2003-10-01,4.27,0.058,0.234,0.038,-0.31
2003-11-01,4.409,0.139,0.224,0.496,-0.146
2003-12-01,4.326,-0.083,0.114,0.604,-0.037
2004-01-01,4.181,-0.145,-0.089,0.145,-0.008
2004-02-01,4.122,-0.059,-0.287,-0.063,0.151
2004-03-01,3.934,-0.188,-0.392,-0.278,-0.079
2004-04-01,4.127,0.193,-0.054,-0.143,-0.105
2004-05-01,4.371,0.244,0.249,-0.038,0.458
2004-06-01,4.422,0.051,0.488,0.096,0.7
2004-07-01,4.306,-0.116,0.179,0.125,0.27
2004-08-01,4.146,-0.16,-0.225,0.024,-0.039
2004-09-01,4.09,-0.056,-0.332,0.156,-0.122
2004-10-01,3.964,-0.126,-0.342,-0.163,-0.306
2004-11-01,3.845,-0.119,-0.301,-0.526,-0.564
2004-12-01,3.632,-0.213,-0.458,-0.79,-0.694
2005-01-01,3.558,-0.074,-0.406,-0.748,-0.623
2005-02-01,3.547,-0.011,-0.298,-0.599,-0.575
2005-03-01,3.689,0.142,0.057,-0.401,-0.245
2005-04-01,3.477,-0.212,-0.081,-0.487,-0.65
2005-05-01,3.304,-0.173,-0.243,-0.541,-1.067
2005-06-01,3.134,-0.17,-0.555,-0.498,-1.288
2005-07-01,3.269,0.135,-0.208,-0.289,-1.037
2005-08-01,3.283,0.014,-0.021,-0.264,-0.863
2005-09-01,3.116,-0.167,-0.018,-0.573,-0.974
2005-10-01,3.279,0.163,0.01,-0.198,-0.685
2005-11-01,3.478,0.199,0.195,0.174,-0.367
2005-12-01,3.353,-0.125,0.237,0.219,-0.279
2006-01-01,3.327,-0.026,0.048,0.058,-0.231
2006-02-01,3.476,0.149,-0.002,0.193,-0.071
2006-03-01,3.656,0.18,0.303,0.54,-0.033
2006-04-01,3.921,0.265,0.594,0.642,0.444
2006-05-01,3.964,0.043,0.488,0.486,0.66
2006-06-01,3.973,0.009,0.317,0.62,0.839
2006-07-01,3.994,0.021,0.073,0.667,0.725
2006-08-01,3.903,-0.091,-0.061,0.427,0.62
2006-09-01,3.778,-0.125,-0.195,0.122,0.662
2006-10-01,3.82,0.042,-0.174,-0.101,0.541
2006-11-01,3.749,-0.071,-0.154,-0.215,0.271
2006-12-01,3.819,0.07,0.041,-0.154,0.466
2007-01-01,4.052,0.233,0.232,0.058,0.725
2007-02-01,4.074,0.022,0.325,0.171,0.598
2007-03-01,3.978,-0.096,0.159,0.2,0.322
2007-04-01,4.194,0.216,0.142,0.374,0.273
2007-05-01,4.328,0.134,0.254,0.579,0.364
2007-06-01,4.614,0.286,0.636,0.795,0.641
2007-07-01,4.564,-0.05,0.37,0.512,0.57
2007-08-01,4.383,-0.181,0.055,0.309,0.48
2007-09-01,4.343,-0.04,-0.271,0.365,0.565
2007-10-01,4.376,0.033,-0.188,0.182,0.556
2007-11-01,4.209,-0.167,-0.174,-0.119,0.46
2007-12-01,4.338,0.129,-0.005,-0.276,0.519
2008-01-01,4.131,-0.207,-0.245,-0.433,0.079
2008-02-01,4.046,-0.085,-0.163,-0.337,-0.028
2008-03-01,3.974,-0.072,-0.364,-0.369,-0.004
2008-04-01,4.21,0.236,0.079,-0.166,0.016
2008-05-01,4.362,0.152,0.316,0.153,0.034
2008-06-01,4.734,0.372,0.76,0.396,0.12
2008-07-01,4.687,-0.047,0.477,0.556,0.123
2008-08-01,4.398,-0.289,0.036,0.352,0.015
2008-09-01,4.353,-0.045,-0.381,0.379,0.01
2008-10-01,4.228,-0.125,-0.459,0.018,-0.148
2008-11-01,3.963,-0.265,-0.435,-0.399,-0.246
2008-12-01,3.647,-0.316,-0.706,-1.087,-0.691
2009-01-01,3.763,0.116,-0.465,-0.924,-0.368
2009-02-01,3.797,0.034,-0.166,-0.601,-0.249
2009-03-01,3.658,-0.139,0.011,-0.695,-0.316
2009-04-01,3.771,0.113,0.008,-0.457,-0.439
2009-05-01,3.853,0.082,0.056,-0.11,-0.509
2009-06-01,3.956,0.103,0.298,0.309,-0.778
2009-07-01,3.764,-0.192,-0.007,0.001,-0.923
2009-08-01,3.609,-0.155,-0.244,-0.188,-0.789
2009-09-01,3.58,-0.029,-0.376,-0.078,-0.773
2009-10-01,3.533,-0.047,-0.231,-0.238,-0.695
2009-11-01,3.52,-0.013,-0.089,-0.333,-0.443
2009-12-01,3.438,-0.082,-0.142,-0.518,-0.209
2010-01-01,3.467,0.029,-0.066,-0.297,-0.296
2010-02-01,3.356,-0.111,-0.164,-0.253,-0.441
2010-03-01,3.368,0.012,-0.07,-0.212,-0.29
2010-04-01,3.321,-0.047,-0.146,-0.212,-0.45
2010-05-01,3.018,-0.303,-0.338,-0.502,-0.835
2010-06-01,2.899,-0.119,-0.469,-0.539,-1.057
2010-07-01,2.853,-0.046,-0.468,-0.614,-0.911
2010-08-01,2.558,-0.295,-0.46,-0.798,-1.051
2010-09-01,2.524,-0.034,-0.375,-0.844,-1.056
2010-10-01,2.577,0.053,-0.276,-0.744,-0.956
2010-11-01,2.785,0.208,0.227,-0.233,-0.735
2010-12-01,3.155,0.37,0.631,0.256,-0.283
2011-01-01,3.228,0.073,0.651,0.375,-0.239
2011-02-01,3.408,0.18,0.623,0.85,0.052
2011-03-01,3.423,0.015,0.268,0.899,0.055
2011-04-01,3.647,0.224,0.419,1.07,0.326
2011-05-01,3.403,-0.244,-0.005,0.618,0.385
2011-06-01,3.283,-0.12,-0.14,0.128,0.384
2011-07-01,3.172,-0.111,-0.475,-0.056,0.319
2011-08-01,2.677,-0.495,-0.726,-0.731,0.119
2011-09-01,2.336,-0.341,-0.947,-1.087,-0.188
2011-10-01,2.464,0.128,-0.708,-1.183,-0.113
2011-11-01,2.446,-0.018,-0.231,-0.957,-0.339
2011-12-01,2.376,-0.07,0.04,-0.907,-0.779
2012-01-01,2.197,-0.179,-0.267,-0.975,-1.031
2012-02-01,2.236,0.039,-0.21,-0.441,-1.172
2012-03-01,2.249,0.013,-0.127,-0.087,-1.174
2012-04-01,2.291,0.042,0.094,-0.173,-1.356
2012-05-01,1.961,-0.33,-0.275,-0.485,-1.442
2012-06-01,1.926,-0.035,-0.323,-0.45,-1.357
2012-07-01,1.747,-0.179,-0.544,-0.45,-1.425
2012-08-01,1.757,0.01,-0.204,-0.479,-0.92
2012-09-01,1.844,0.087,-0.082,-0.405,-0.492
2012-10-01,1.767,-0.077,0.02,-0.524,-0.697
2012-11-01,1.65,-0.117,-0.107,-0.311,-0.796
2012-12-01,1.562,-0.088,-0.282,-0.364,-0.814
2013-01-01,1.738,0.176,-0.029,-0.009,-0.459
2013-02-01,1.827,0.089,0.177,0.07,-0.409
2013-03-01,1.669,-0.158,0.107,-0.175,-0.58
2013-04-01,1.663,-0.006,-0.075,-0.104,-0.628
2013-05-01,1.691,0.028,-0.136,0.041,-0.27
2013-06-01,2.0,0.309,0.331,0.438,0.074
2013-07-01,2.032,0.032,0.369,0.294,0.285
2013-08-01,2.196,0.164,0.505,0.369,0.439
2013-09-01,2.322,0.126,0.322,0.653,0.478
2013-10-01,2.177,-0.145,0.145,0.514,0.41
2013-11-01,2.056,-0.121,-0.14,0.365,0.406
2013-12-01,2.156,0.1,-0.166,0.156,0.594
2014-01-01,2.098,-0.058,-0.079,0.066,0.36
2014-02-01,1.891,-0.207,-0.165,-0.305,0.064
2014-03-01,1.81,-0.081,-0.346,-0.512,0.141
2014-04-01,1.846,0.036,-0.252,-0.331,0.183
2014-05-01,1.709,-0.137,-0.182,-0.347,0.018
2014-06-01,1.598,-0.111,-0.212,-0.558,-0.402
2014-07-01,1.407,-0.191,-0.439,-0.691,-0.625
2014-08-01,1.2,-0.207,-0.509,-0.691,-0.996
2014-09-01,1.154,-0.046,-0.444,-0.656,-1.168
2014-10-01,1.032,-0.122,-0.375,-0.814,-1.145
2014-11-01,0.934,-0.098,-0.266,-0.775,-1.122
2014-12-01,0.777,-0.157,-0.377,-0.821,-1.379
2015-01-01,0.52,-0.257,-0.512,-0.887,-1.578
2015-02-01,0.416,-0.104,-0.518,-0.784,-1.475
2015-03-01,0.326,-0.09,-0.451,-0.828,-1.484
2015-04-01,0.314,-0.012,-0.206,-0.718,-1.532
2015-05-01,0.754,0.44,0.338,-0.18,-0.955
2015-06-01,1.054,0.3,0.728,0.277,-0.544
2015-07-01,0.986,-0.068,0.672,0.466,-0.421
2015-08-01,0.853,-0.133,0.099,0.437,-0.347
2015-09-01,0.866,0.013,-0.188,0.54,-0.288
2015-10-01,0.725,-0.141,-0.261,0.411,-0.307
2015-11-01,0.716,-0.009,-0.137,-0.038,-0.218
2015-12-01,0.754,0.038,-0.112,-0.3,-0.023
2016-01-01,0.646,-0.108,-0.079,-0.34,0.126
2016-02-01,0.371,-0.275,-0.345,-0.482,-0.045
2016-03-01,0.32,-0.051,-0.434,-0.546,-0.006
2016-04-01,0.395,0.075,-0.251,-0.33,0.081
2016-05-01,0.384,-0.011,0.013,-0.332,-0.37
2016-06-01,0.25,-0.134,-0.07,-0.504,-0.804
2016-07-01,0.062,-0.188,-0.333,-0.584,-0.924
2016-08-01,0.027,-0.035,-0.357,-0.344,-0.826
2016-09-01,0.061,0.034,-0.189,-0.259,-0.805
2016-10-01,0.156,0.095,0.094,-0.239,-0.569
2016-11-01,0.385,0.229,0.358,0.001,-0.331
2016-12-01,0.436,0.051,0.375,0.186,-0.318
2017-01-01,0.481,0.045,0.325,0.419,-0.165
2017-02-01,0.486,0.005,0.101,0.459,0.115
2017-03-01,0.485,-0.001,0.049,0.424,0.165
2017-04-01,0.498,0.013,0.017,0.342,0.103
2017-05-01,0.589,0.091,0.103,0.204,0.205
2017-06-01,0.503,-0.086,0.018,0.067,0.253
2017-07-01,0.688,0.185,0.19,0.207,0.626
2017-08-01,0.542,-0.146,-0.047,0.056,0.515
2017-09-01,0.532,-0.01,0.029,0.047,0.471
2017-10-01,0.541,0.009,-0.147,0.043,0.385
2017-11-01,0.468,-0.073,-0.074,-0.121,0.083
2017-12-01,0.452,-0.016,-0.08,-0.051,0.016
2018-01-01,0.611,0.159,0.07,-0.077,0.13
2018-02-01,0.761,0.15,0.293,0.219,0.275
2018-03-01,0.626,-0.135,0.174,0.094,0.141
2018-04-01,0.69,0.064,0.079,0.149,0.192
2018-05-01,0.671,-0.019,-0.09,0.203,0.082
2018-06-01,0.565,-0.106,-0.061,0.113,0.062
2018-07-01,0.474,-0.091,-0.216,-0.137,-0.214
2018-08-01,0.473,-0.001,-0.198,-0.288,-0.069
2018-09-01,0.551,0.078,-0.014,-0.075,0.019
2018-10-01,0.582,0.031,0.108,-0.108,0.041
2018-11-01,0.518,-0.064,0.045,-0.153,0.05
2018-12-01,0.401,-0.117,-0.15,-0.164,-0.051
2019-01-01,0.332,-0.069,-0.25,-0.142,-0.279
2019-02-01,0.236,-0.096,-0.282,-0.237,-0.525
2019-03-01,0.15,-0.086,-0.251,-0.401,-0.476
2019-04-01,0.195,0.045,-0.137,-0.387,-0.495
2019-05-01,0.11,-0.085,-0.126,-0.408,-0.561
2019-06-01,-0.092,-0.202,-0.242,-0.493,-0.657
2019-07-01,-0.206,-0.114,-0.401,-0.538,-0.68
2019-08-01,-0.499,-0.293,-0.609,-0.735,-0.972
2019-09-01,-0.427,0.072,-0.335,-0.577,-0.978
2019-10-01,-0.314,0.113,-0.108,-0.509,-0.896
2019-11-01,-0.192,0.122,0.307,-0.302,-0.71
2019-12-01,-0.135,0.057,0.292,-0.043,-0.536
2020-01-01,-0.17,-0.035,0.144,0.036,-0.502
2020-02-01,-0.335,-0.165,-0.143,0.164,-0.571
2020-03-01,-0.326,0.009,-0.191,0.101,-0.476
2020-04-01,-0.218,0.108,-0.048,0.096,-0.413
2020-05-01,-0.312,-0.094,0.023,-0.12,-0.422
2020-06-01,-0.293,0.019,0.033,-0.158,-0.201
2020-07-01,-0.391,-0.098,-0.173,-0.221,-0.185
2020-08-01,-0.412,-0.021,-0.1,-0.077,0.087
2020-09-01,-0.441,-0.029,-0.148,-0.115,-0.014
2020-10-01,-0.528,-0.087,-0.137,-0.31,-0.214
2020-11-01,-0.543,-0.015,-0.131,-0.231,-0.351
2020-12-01,-0.553,-0.01,-0.112,-0.26,-0.418
2021-01-01,-0.532,0.021,-0.004,-0.141,-0.362
2021-02-01,-0.392,0.14,0.151,0.02,-0.057
2021-03-01,-0.331,0.061,0.222,0.11,-0.005
2021-04-01,-0.296,0.035,0.236,0.232,-0.078
2021-05-01,-0.186,0.11,0.206,0.357,0.126
2021-06-01,-0.236,-0.05,0.095,0.317,0.057
2021-07-01,-0.381,-0.145,-0.085,0.151,0.01
2021-08-01,-0.48,-0.099,-0.294,-0.088,-0.068
2021-09-01,-0.339,0.141,-0.103,-0.008,0.102
2021-10-01,-0.178,0.161,0.203,0.118,0.35
2021-11-01,-0.268,-0.09,0.212,-0.082,0.275
2021-12-01,-0.318,-0.05,0.021,-0.082,0.235
2022-01-01,-0.098,0.22,0.08,0.283,0.434
2022-02-01,0.237,0.335,0.505,0.717,0.629
2022-03-01,0.343,0.106,0.661,0.682,0.674
2022-04-01,0.854,0.511,0.952,1.032,1.15
2022-05-01,1.054,0.2,0.817,1.322,1.24
2022-06-01,1.819,0.765,1.476,2.137,2.055
2022-07-01,1.467,-0.352,0.613,1.565,1.848
2022-08-01,1.414,-0.053,0.36,1.177,1.894
2022-09-01,2.142,0.728,0.323,1.799,2.481
2022-10-01,2.52,0.378,1.053,1.666,2.698
2022-11-01,2.351,-0.169,0.937,1.297,2.619
2022-12-01,2.429,0.078,0.287,0.61,2.747
2023-01-01,2.499,0.07,-0.021,1.032,2.597
2023-02-01,2.678,0.179,0.327,1.264,2.441
2023-03-01,2.758,0.08,0.329,0.616,2.415
2023-04-01,2.719,-0.039,0.22,0.199,1.865
2023-05-01,2.728,0.009,0.05,0.377,1.674
2023-06-01,2.75,0.022,-0.008,0.321,0.931
2023-07-01,2.84,0.09,0.121,0.341,1.373
2023-08-01,2.917,0.077,0.189,0.239,1.503
2023-09-01,3.036,0.119,0.286,0.278,0.894
2023-10-01,3.207,0.171,0.367,0.488,0.687
2023-11-01,2.95,-0.257,0.033,0.222,0.599
2023-12-01,2.422,-0.528,-0.614,-0.328,-0.007
2024-01-01,2.506,0.084,-0.701,-0.334,0.007
2024-02-01,2.643,0.137,-0.307,-0.274,-0.035
2024-03-01,2.616,-0.027,0.194,-0.42,-0.142
2024-04-01,2.718,0.102,0.212,-0.489,-0.001
2024-05-01,2.829,0.111,0.186,-0.121,0.101
2024-06-01,2.822,-0.007,0.206,0.4,0.072
2024-07-01,2.765,-0.057,0.047,0.259,-0.075
