date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,6.36,,,,
2000-02-01,6.33,-0.03,,,
2000-03-01,6.14,-0.19,,,
2000-04-01,6.09,-0.05,-0.27,,
2000-05-01,6.25,0.16,-0.08,,
2000-06-01,6.09,-0.16,-0.05,,
2000-07-01,6.22,0.13,0.13,-0.14,
2000-08-01,6.18,-0.04,-0.07,-0.15,
2000-09-01,6.34,0.16,0.25,0.2,
2000-10-01,6.37,0.03,0.15,0.28,
2000-11-01,6.24,-0.13,0.06,-0.01,
2000-12-01,6.01,-0.23,-0.33,-0.08,
2001-01-01,5.95,-0.06,-0.42,-0.27,-0.41
2001-02-01,5.96,0.01,-0.28,-0.22,-0.37
2001-03-01,6.01,0.05,0.0,-0.33,-0.13
2001-04-01,6.22,0.21,0.27,-0.15,0.13
2001-05-01,6.48,0.26,0.52,0.24,0.23
2001-06-01,6.59,0.11,0.58,0.58,0.5
2001-07-01,6.65,0.06,0.43,0.7,0.43
2001-08-01,6.45,-0.2,-0.03,0.49,0.27
2001-09-01,6.4,-0.05,-0.19,0.39,0.06
2001-10-01,6.1,-0.3,-0.55,-0.12,-0.27
2001-11-01,5.86,-0.24,-0.59,-0.62,-0.38
2001-12-01,6.17,0.31,-0.23,-0.42,0.16
2002-01-01,6.23,0.06,0.13,-0.42,0.28
2002-02-01,6.35,0.12,0.49,-0.1,0.39
2002-03-01,6.63,0.28,0.46,0.23,0.62
2002-04-01,6.71,0.08,0.48,0.61,0.49
2002-05-01,6.77,0.06,0.42,0.91,0.29
2002-06-01,6.78,0.01,0.15,0.61,0.19
2002-07-01,6.56,-0.22,-0.15,0.33,-0.09
2002-08-01,6.31,-0.25,-0.46,-0.04,-0.14
2002-09-01,6.06,-0.25,-0.72,-0.57,-0.34
2002-10-01,6.16,0.1,-0.4,-0.55,0.06
2002-11-01,6.12,-0.04,-0.19,-0.65,0.26
2002-12-01,5.93,-0.19,-0.13,-0.85,-0.24
2003-01-01,5.68,-0.25,-0.48,-0.88,-0.55
2003-02-01,5.32,-0.36,-0.8,-0.99,-1.03
2003-03-01,5.25,-0.07,-0.68,-0.81,-1.38
2003-04-01,5.31,0.06,-0.37,-0.85,-1.4
2003-05-01,4.97,-0.34,-0.35,-1.15,-1.8
