date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.81,,,,
2000-02-01,5.78,-0.03,,,
2000-03-01,5.61,-0.17,,,
2000-04-01,5.52,-0.09,-0.29,,
2000-05-01,5.68,0.16,-0.1,,
2000-06-01,5.54,-0.14,-0.07,,
2000-07-01,5.61,0.07,0.09,-0.2,
2000-08-01,5.57,-0.04,-0.11,-0.21,
2000-09-01,5.63,0.06,0.09,0.02,
2000-10-01,5.58,-0.05,-0.03,0.06,
2000-11-01,5.53,-0.05,-0.04,-0.15,
2000-12-01,5.28,-0.25,-0.35,-0.26,
2001-01-01,5.16,-0.12,-0.42,-0.45,-0.65
2001-02-01,5.14,-0.02,-0.39,-0.43,-0.64
2001-03-01,5.09,-0.05,-0.19,-0.54,-0.52
2001-04-01,5.27,0.18,0.11,-0.31,-0.25
2001-05-01,5.42,0.15,0.28,-0.11,-0.26
2001-06-01,5.38,-0.04,0.29,0.1,-0.16
2001-07-01,5.39,0.01,0.12,0.23,-0.22
2001-08-01,5.19,-0.2,-0.23,0.05,-0.38
2001-09-01,5.17,-0.02,-0.21,0.08,-0.46
2001-10-01,4.92,-0.25,-0.47,-0.35,-0.66
2001-11-01,4.76,-0.16,-0.43,-0.66,-0.77
2001-12-01,5.01,0.25,-0.16,-0.37,-0.27
2002-01-01,5.08,0.07,0.16,-0.31,-0.08
2002-02-01,5.15,0.07,0.39,-0.04,0.01
2002-03-01,5.39,0.24,0.38,0.22,0.3
2002-04-01,5.39,0.0,0.31,0.47,0.12
2002-05-01,5.4,0.01,0.25,0.64,-0.02
2002-06-01,5.26,-0.14,-0.13,0.25,-0.12
2002-07-01,5.12,-0.14,-0.27,0.04,-0.27
2002-08-01,4.85,-0.27,-0.55,-0.3,-0.34
2002-09-01,4.63,-0.22,-0.63,-0.76,-0.54
2002-10-01,4.7,0.07,-0.42,-0.69,-0.22
2002-11-01,4.65,-0.05,-0.2,-0.75,-0.11
2002-12-01,4.45,-0.2,-0.18,-0.81,-0.56
2003-01-01,4.27,-0.18,-0.43,-0.85,-0.81
2003-02-01,4.04,-0.23,-0.61,-0.81,-1.11
2003-03-01,4.08,0.04,-0.37,-0.55,-1.31
2003-04-01,4.18,0.1,-0.09,-0.52,-1.21
2003-05-01,3.91,-0.27,-0.13,-0.74,-1.49
2003-06-01,3.77,-0.14,-0.31,-0.68,-1.49
2003-07-01,4.1,0.33,-0.08,-0.17,-1.02
2003-08-01,4.26,0.16,0.35,0.22,-0.59
2003-09-01,4.29,0.03,0.52,0.21,-0.34
2003-10-01,4.36,0.07,0.26,0.18,-0.34
2003-11-01,4.48,0.12,0.22,0.57,-0.17
2003-12-01,4.4,-0.08,0.11,0.63,-0.05
2004-01-01,4.25,-0.15,-0.11,0.15,-0.02
2004-02-01,4.19,-0.06,-0.29,-0.07,0.15
2004-03-01,4.0,-0.19,-0.4,-0.29,-0.08
2004-04-01,4.25,0.25,0.0,-0.11,0.07
2004-05-01,4.42,0.17,0.23,-0.06,0.51
2004-06-01,4.47,0.05,0.47,0.07,0.7
2004-07-01,4.35,-0.12,0.1,0.1,0.25
2004-08-01,4.18,-0.17,-0.24,-0.01,-0.08
2004-09-01,4.12,-0.06,-0.35,0.12,-0.17
2004-10-01,3.99,-0.13,-0.36,-0.26,-0.37
2004-11-01,3.86,-0.13,-0.32,-0.56,-0.62
2004-12-01,3.64,-0.22,-0.48,-0.83,-0.76
2005-01-01,3.56,-0.08,-0.43,-0.79,-0.69
2005-02-01,3.55,-0.01,-0.31,-0.63,-0.64
2005-03-01,3.7,0.15,0.06,-0.42,-0.3
2005-04-01,3.5,-0.2,-0.06,-0.49,-0.75
2005-05-01,3.35,-0.15,-0.2,-0.51,-1.07
2005-06-01,3.19,-0.16,-0.51,-0.45,-1.28
2005-07-01,3.35,0.16,-0.15,-0.21,-1.0
2005-08-01,3.39,0.04,0.04,-0.16,-0.79
2005-09-01,3.23,-0.16,0.04,-0.47,-0.89
2005-10-01,3.39,0.16,0.04,-0.11,-0.6
2005-11-01,3.58,0.19,0.19,0.23,-0.28
2005-12-01,3.46,-0.12,0.23,0.27,-0.18
2006-01-01,3.45,-0.01,0.06,0.1,-0.11
2006-02-01,3.6,0.15,0.02,0.21,0.05
2006-03-01,3.77,0.17,0.31,0.54,0.07
2006-04-01,4.03,0.26,0.58,0.64,0.53
2006-05-01,4.07,0.04,0.47,0.49,0.72
2006-06-01,4.1,0.03,0.33,0.64,0.91
2006-07-01,4.14,0.04,0.11,0.69,0.79
2006-08-01,4.06,-0.08,-0.01,0.46,0.67
2006-09-01,3.93,-0.13,-0.17,0.16,0.7
2006-10-01,3.98,0.05,-0.16,-0.05,0.59
2006-11-01,3.89,-0.09,-0.17,-0.18,0.31
2006-12-01,3.96,0.07,0.03,-0.14,0.5
2007-01-01,4.18,0.22,0.2,0.04,0.73
2007-02-01,4.19,0.01,0.3,0.13,0.59
2007-03-01,4.1,-0.09,0.14,0.17,0.33
2007-04-01,4.3,0.2,0.12,0.32,0.27
2007-05-01,4.44,0.14,0.25,0.55,0.37
2007-06-01,4.74,0.3,0.64,0.78,0.64
2007-07-01,4.73,-0.01,0.43,0.55,0.59
2007-08-01,4.55,-0.18,0.11,0.36,0.49
2007-09-01,4.5,-0.05,-0.24,0.4,0.57
2007-10-01,4.52,0.02,-0.21,0.22,0.54
2007-11-01,4.36,-0.16,-0.19,-0.08,0.47
2007-12-01,4.47,0.11,-0.03,-0.27,0.51
2008-01-01,4.31,-0.16,-0.21,-0.42,0.13
