date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.95,,,,
2000-02-01,5.9,-0.05,,,
2000-03-01,5.51,-0.39,,,
2000-04-01,5.42,-0.09,-0.53,,
2000-05-01,5.34,-0.08,-0.56,,
2000-06-01,5.13,-0.21,-0.38,,
2000-07-01,5.31,0.18,-0.11,-0.64,
2000-08-01,5.31,0.0,-0.03,-0.59,
2000-09-01,5.26,-0.05,0.13,-0.25,
2000-10-01,5.23,-0.03,-0.08,-0.19,
2000-11-01,5.13,-0.1,-0.18,-0.21,
2000-12-01,4.92,-0.21,-0.34,-0.21,
2001-01-01,4.89,-0.03,-0.34,-0.42,-1.06
2001-02-01,4.86,-0.03,-0.27,-0.45,-1.04
2001-03-01,4.75,-0.11,-0.17,-0.51,-0.76
2001-04-01,4.93,0.18,0.04,-0.3,-0.49
2001-05-01,5.27,0.34,0.41,0.14,-0.07
2001-06-01,5.38,0.11,0.63,0.46,0.25
2001-07-01,5.42,0.04,0.49,0.53,0.11
2001-08-01,5.16,-0.26,-0.11,0.3,-0.15
2001-09-01,5.26,0.1,-0.12,0.51,0.0
2001-10-01,5.17,-0.09,-0.25,0.24,-0.06
2001-11-01,4.96,-0.21,-0.2,-0.31,-0.17
2001-12-01,5.24,0.28,-0.02,-0.14,0.32
2002-01-01,5.27,0.03,0.1,-0.15,0.38
2002-02-01,5.36,0.09,0.4,0.2,0.5
2002-03-01,5.63,0.27,0.39,0.37,0.88
2002-04-01,5.69,0.06,0.42,0.52,0.76
2002-05-01,5.69,0.0,0.33,0.73,0.42
2002-06-01,5.52,-0.17,-0.11,0.28,0.14
2002-07-01,5.37,-0.15,-0.32,0.1,-0.05
2002-08-01,5.13,-0.24,-0.56,-0.23,-0.03
2002-09-01,4.97,-0.16,-0.55,-0.66,-0.29
2002-10-01,5.07,0.1,-0.3,-0.62,-0.1
2002-11-01,5.05,-0.02,-0.08,-0.64,0.09
2002-12-01,4.89,-0.16,-0.08,-0.63,-0.35
2003-01-01,4.7,-0.19,-0.37,-0.67,-0.57
2003-02-01,4.47,-0.23,-0.58,-0.66,-0.89
2003-03-01,4.57,0.1,-0.32,-0.4,-1.06
2003-04-01,4.72,0.15,0.02,-0.35,-0.97
2003-05-01,4.37,-0.35,-0.1,-0.68,-1.32
2003-06-01,4.2,-0.17,-0.37,-0.69,-1.32
2003-07-01,4.51,0.31,-0.21,-0.19,-0.86
2003-08-01,4.7,0.19,0.33,0.23,-0.43
2003-09-01,4.73,0.03,0.53,0.16,-0.24
2003-10-01,4.85,0.12,0.34,0.13,-0.22
2003-11-01,4.98,0.13,0.28,0.61,-0.07
2003-12-01,4.86,-0.12,0.13,0.66,-0.03
2004-01-01,4.65,-0.21,-0.2,0.14,-0.05
2004-02-01,4.55,-0.1,-0.43,-0.15,0.08
2004-03-01,4.31,-0.24,-0.55,-0.42,-0.26
2004-04-01,4.55,0.24,-0.1,-0.3,-0.17
2004-05-01,4.68,0.13,0.13,-0.3,0.31
2004-06-01,4.72,0.04,0.41,-0.14,0.52
2004-07-01,4.57,-0.15,0.02,-0.08,0.06
2004-08-01,4.42,-0.15,-0.26,-0.13,-0.28
2004-09-01,4.37,-0.05,-0.35,0.06,-0.36
2004-10-01,4.25,-0.12,-0.32,-0.3,-0.6
2004-11-01,4.13,-0.12,-0.29,-0.55,-0.85
2004-12-01,3.9,-0.23,-0.47,-0.82,-0.96
2005-01-01,3.84,-0.06,-0.41,-0.73,-0.81
2005-02-01,3.76,-0.08,-0.37,-0.66,-0.79
2005-03-01,3.86,0.1,-0.04,-0.51,-0.45
2005-04-01,3.58,-0.28,-0.26,-0.67,-0.97
2005-05-01,3.34,-0.24,-0.42,-0.79,-1.34
2005-06-01,3.11,-0.23,-0.75,-0.79,-1.61
2005-07-01,3.06,-0.05,-0.52,-0.78,-1.51
