date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.8227,,,,
2000-02-01,5.6347,-0.188,,,
2000-03-01,5.3707,-0.264,,,
2000-04-01,5.3213,-0.0494,-0.5014,,
2000-05-01,5.4033,0.082,-0.2314,,
2000-06-01,5.2097,-0.1936,-0.161,,
2000-07-01,5.2388,0.0291,-0.0825,-0.5839,
2000-08-01,5.3312,0.0924,-0.0721,-0.3035,
2000-09-01,5.3873,0.0561,0.1776,0.0166,
2000-10-01,5.2179,-0.1694,-0.0209,-0.1034,
2000-11-01,5.0983,-0.1196,-0.2329,-0.305,
2000-12-01,4.9118,-0.1865,-0.4755,-0.2979,
2001-01-01,4.8471,-0.0647,-0.3708,-0.3917,-0.9756
2001-02-01,4.8248,-0.0223,-0.2735,-0.5064,-0.8099
2001-03-01,4.703,-0.1218,-0.2088,-0.6843,-0.6677
2001-04-01,4.9468,0.2438,0.0997,-0.2711,-0.3745
2001-05-01,5.1153,0.1685,0.2905,0.017,-0.288
2001-06-01,5.1951,0.0798,0.4921,0.2833,-0.0146
2001-07-01,5.2037,0.0086,0.2569,0.3566,-0.0351
2001-08-01,4.9854,-0.2183,-0.1299,0.1606,-0.3458
2001-09-01,4.9876,0.0022,-0.2075,0.2846,-0.3997
2001-10-01,4.8253,-0.1623,-0.3784,-0.1215,-0.3926
2001-11-01,4.6271,-0.1982,-0.3583,-0.4882,-0.4712
2001-12-01,4.8928,0.2657,-0.0948,-0.3023,-0.019
2002-01-01,4.9171,0.0243,0.0918,-0.2866,0.07
2002-02-01,4.9251,0.008,0.298,-0.0603,0.1003
2002-03-01,5.2202,0.2951,0.3274,0.2326,0.5172
2002-04-01,5.2331,0.0129,0.316,0.4078,0.2863
2002-05-01,5.2689,0.0358,0.3438,0.6418,0.1536
2002-06-01,5.099,-0.1699,-0.1212,0.2062,-0.0961
2002-07-01,5.0027,-0.0963,-0.2304,0.0856,-0.201
2002-08-01,4.746,-0.2567,-0.5229,-0.1791,-0.2394
2002-09-01,4.5006,-0.2454,-0.5984,-0.7196,-0.487
2002-10-01,4.616,0.1154,-0.3867,-0.6171,-0.2093
2002-11-01,4.6378,0.0218,-0.1082,-0.6311,0.0107
2002-12-01,4.5644,-0.0734,0.0638,-0.5346,-0.3284
2003-01-01,4.3899,-0.1745,-0.2261,-0.6128,-0.5272
2003-02-01,4.2131,-0.1768,-0.4247,-0.5329,-0.712
2003-03-01,4.3243,0.1112,-0.2401,-0.1763,-0.8959
2003-04-01,4.4663,0.142,0.0764,-0.1497,-0.7668
2003-05-01,4.2197,-0.2466,0.0066,-0.4181,-1.0492
2003-06-01,4.1127,-0.107,-0.2116,-0.4517,-0.9863
2003-07-01,4.4078,0.2951,-0.0585,0.0179,-0.5949
2003-08-01,4.604,0.1962,0.3843,0.3909,-0.142
2003-09-01,4.7132,0.1092,0.6005,0.3889,0.2126
2003-10-01,4.9071,0.1939,0.4993,0.4408,0.2911
2003-11-01,5.065,0.1579,0.461,0.8453,0.4272
2003-12-01,4.896,-0.169,0.1828,0.7833,0.3316
2004-01-01,4.7875,-0.1085,-0.1196,0.3797,0.3976
2004-02-01,4.8056,0.0181,-0.2594,0.2016,0.5925
2004-03-01,4.7088,-0.0968,-0.1872,-0.0044,0.3845
2004-04-01,4.957,0.2482,0.1695,0.0499,0.4907
2004-05-01,5.1118,0.1548,0.3062,0.0468,0.8921
2004-06-01,5.2,0.0882,0.4912,0.304,1.0873
2004-07-01,5.1083,-0.0917,0.1513,0.3208,0.7005
2004-08-01,5.0071,-0.1012,-0.1047,0.2015,0.4031
2004-09-01,4.9109,-0.0962,-0.2891,0.2021,0.1977
2004-10-01,4.7683,-0.1426,-0.34,-0.1887,-0.1388
2004-11-01,4.6903,-0.078,-0.3168,-0.4215,-0.3747
2004-12-01,4.5316,-0.1587,-0.3793,-0.6684,-0.3644
2005-01-01,4.5419,0.0103,-0.2264,-0.5664,-0.2456
2005-02-01,4.5884,0.0465,-0.1019,-0.4187,-0.2172
2005-03-01,4.796,0.2076,0.2644,-0.1149,0.0872
2005-04-01,4.6218,-0.1742,0.0799,-0.1465,-0.3352
2005-05-01,4.4173,-0.2045,-0.1711,-0.273,-0.6945
2005-06-01,4.2847,-0.1326,-0.5113,-0.2469,-0.9153
2005-07-01,4.3011,0.0164,-0.3207,-0.2408,-0.8072
2005-08-01,4.3249,0.0238,-0.0924,-0.2635,-0.6822
2005-09-01,4.2109,-0.114,-0.0738,-0.5851,-0.7
2005-10-01,4.3482,0.1373,0.0471,-0.2736,-0.4201
2005-11-01,4.3129,-0.0353,-0.012,-0.1044,-0.3774
2005-12-01,4.2186,-0.0943,0.0077,-0.0661,-0.313
2006-01-01,4.0752,-0.1434,-0.273,-0.2259,-0.4667
2006-02-01,4.1543,0.0791,-0.1586,-0.1706,-0.4341
2006-03-01,4.3177,0.1634,0.0991,0.1068,-0.4783
2006-04-01,4.5177,0.2,0.4425,0.1695,-0.1041
2006-05-01,4.6488,0.1311,0.4945,0.3359,0.2315
2006-06-01,4.6645,0.0157,0.3468,0.4459,0.3798
2006-07-01,4.656,-0.0085,0.1383,0.5808,0.3549
2006-08-01,4.6535,-0.0025,0.0047,0.4992,0.3286
2006-09-01,4.5522,-0.1013,-0.1123,0.2345,0.3413
2006-10-01,4.6155,0.0633,-0.0405,0.0978,0.2673
2006-11-01,4.5452,-0.0703,-0.1083,-0.1036,0.2323
2006-12-01,4.6195,0.0743,0.0673,-0.045,0.4009
2007-01-01,4.8694,0.2499,0.2539,0.2134,0.7942
2007-02-01,4.896,0.0266,0.3508,0.2425,0.7417
2007-03-01,4.8194,-0.0766,0.1999,0.2672,0.5017
2007-04-01,5.0439,0.2245,0.1745,0.4284,0.5262
2007-05-01,5.1458,0.1019,0.2498,0.6006,0.497
2007-06-01,5.4321,0.2863,0.6127,0.8126,0.7676
2007-07-01,5.4084,-0.0237,0.3645,0.539,0.7524
2007-08-01,5.1499,-0.2585,0.0041,0.2539,0.4964
2007-09-01,4.9928,-0.1571,-0.4393,0.1734,0.4406
2007-10-01,4.9576,-0.0352,-0.4508,-0.0863,0.3421
2007-11-01,4.7263,-0.2313,-0.4236,-0.4195,0.1811
2007-12-01,4.6937,-0.0326,-0.2991,-0.7384,0.0742
2008-01-01,4.4925,-0.2012,-0.4651,-0.9159,-0.3769
2008-02-01,4.6234,0.1309,-0.1029,-0.5265,-0.2726
2008-03-01,4.445,-0.1784,-0.2487,-0.5478,-0.3744
2008-04-01,4.6432,0.1982,0.1507,-0.3144,-0.4007
2008-05-01,4.8683,0.2251,0.2449,0.142,-0.2775
2008-06-01,5.2103,0.342,0.7653,0.5166,-0.2218
2008-07-01,5.0494,-0.1609,0.4062,0.5569,-0.359
2008-08-01,4.7267,-0.3227,-0.1416,0.1033,-0.4232
2008-09-01,4.5701,-0.1566,-0.6402,0.1251,-0.4227
2008-10-01,4.5789,0.0088,-0.4705,-0.0643,-0.3787
2008-11-01,4.2571,-0.3218,-0.4696,-0.6112,-0.4692
2008-12-01,3.6238,-0.6333,-0.9463,-1.5865,-1.0699
2009-01-01,3.6699,0.0461,-0.909,-1.3795,-0.8226
2009-02-01,3.6899,0.02,-0.5672,-1.0368,-0.9335
2009-03-01,3.2497,-0.4402,-0.3741,-1.3204,-1.1953
2009-04-01,3.4072,0.1575,-0.2627,-1.1717,-1.236
2009-05-01,3.6206,0.2134,-0.0693,-0.6365,-1.2477
2009-06-01,3.7221,0.1015,0.4724,0.0983,-1.4882
2009-07-01,3.8238,0.1017,0.4166,0.1539,-1.2256
2009-08-01,3.7142,-0.1096,0.0936,0.0243,-1.0125
2009-09-01,3.6566,-0.0576,-0.0655,0.4069,-0.9135
