date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,16930.0,,,,,,,100.0,-89.4543
2000-01-04,15851.0,-6.3733,,,,,,93.6267,-90.1264
2000-01-05,16245.0,2.4856,,,,,,95.9539,-89.881
2000-01-06,16107.0,-0.8495,,,,,,95.1388,-89.9669
2000-01-07,16309.0,1.2541,,,,,,96.332,-89.8411
2000-01-10,17022.0,4.3718,0.5434,,,,,100.5434,-89.397
2000-01-11,16573.0,-2.6378,4.5549,,,,,97.8913,-89.6767
2000-01-12,16617.0,0.2655,2.2899,,,,,98.1512,-89.6492
2000-01-13,17298.0,4.0982,7.3943,,,,,102.1737,-89.225
2000-01-14,17658.0,2.0812,8.2715,,,,,104.3001,-89.0008
2000-01-17,18053.0,2.2369,6.0569,,,,,106.6332,-88.7548
2000-01-18,17903.0,-0.8309,8.0251,,,,,105.7472,-88.8482
2000-01-19,17470.0,-2.4186,5.1333,,,,,103.1896,-89.1179
2000-01-20,17177.0,-1.6772,-0.6995,,,,,101.4589,-89.3004
2000-01-21,17034.0,-0.8325,-3.5338,,,,,100.6143,-89.3895
2000-01-24,16972.0,-0.364,-5.9879,,,,,100.2481,-89.4281
2000-01-26,17105.0,0.7836,-4.4574,,,,,101.0337,-89.3453
2000-01-27,17081.0,-0.1403,-2.2267,,,,,100.8919,-89.3602
2000-01-28,16734.0,-2.0315,-2.579,,,,,98.8423,-89.5764
2000-01-31,16388.0,-2.0676,-3.7924,,,,,96.7986,-89.7919
2000-02-01,16522.0,0.8177,-2.6514,,,,,97.5901,-89.7084
2000-02-02,16868.0,2.0942,-1.3856,-0.3662,,,,99.6338,-89.4929
2000-02-03,17457.0,3.4918,2.2013,10.1319,,,,103.1128,-89.126
2000-02-04,17932.0,2.721,7.1591,10.3847,,,,105.9185,-88.8301
2000-02-07,18126.0,1.0819,10.6053,12.5349,,,,107.0644,-88.7093
2000-02-08,18686.0,3.0895,13.0977,14.5748,,,,110.3721,-88.3605
2000-02-09,18361.0,-1.7393,8.8511,7.8663,,,,108.4525,-88.5629
