date,value,yoy_pct,mom_pct,chg_1m,chg_1y,pct_from_peak
1998-04-30,800652,,,,,-89.5314
1998-05-31,771888,,-3.5926,-28764.0,,-89.9075
1998-06-30,753964,,-2.3221,-17924.0,,-90.1418
1998-07-31,724375,,-3.9245,-29589.0,,-90.5287
1998-08-31,763742,,5.4346,39367.0,,-90.014
1998-09-30,783667,,2.6089,19925.0,,-89.7535
1998-10-31,775368,,-1.059,-8299.0,,-89.862
1998-11-30,883012,,13.883,107644.0,,-88.4545
1998-12-31,912382,,3.3261,29370.0,,-88.0705
1999-01-31,797188,,-12.6256,-115194.0,,-89.5767
1999-02-28,755897,,-5.1796,-41291.0,,-90.1166
1999-03-31,797450,,5.4972,41553.0,,-89.5732
1999-04-30,791152,-1.1865,-0.7898,-6298.0,-9500.0,-89.6556
1999-05-31,744742,-3.5168,-5.8661,-46410.0,-27146.0,-90.2624
1999-06-30,734211,-2.6199,-1.414,-10531.0,-19753.0,-90.4001
1999-07-31,686329,-5.2523,-6.5216,-47882.0,-38046.0,-91.0262
1999-08-31,680224,-10.9354,-0.8895,-6105.0,-83518.0,-91.106
1999-09-30,688207,-12.1812,1.1736,7983.0,-95460.0,-91.0016
1999-10-31,680064,-12.2915,-1.1832,-8143.0,-95304.0,-91.1081
1999-11-30,841508,-4.7003,23.7395,161444.0,-41504.0,-88.9972
1999-12-31,1113478,22.0408,32.3194,271970.0,201096.0,-85.4411
2000-01-31,905251,13.5555,-18.7006,-208227.0,108063.0,-88.1637
2000-02-29,941085,24.4991,3.9585,35834.0,185188.0,-87.6952
2000-03-31,1062017,33.1766,12.8503,120932.0,264567.0,-86.114
2000-04-30,797289,0.7757,-24.9269,-264728.0,6137.0,-89.5754
2000-05-31,838507,12.5903,5.1698,41218.0,93765.0,-89.0364
2000-06-30,837194,14.0263,-0.1566,-1313.0,102983.0,-89.0536
2000-07-31,807840,17.7045,-3.5062,-29354.0,121511.0,-89.4374
2000-08-31,885391,30.1617,9.5998,77551.0,205167.0,-88.4234
2000-09-30,853390,24.0019,-3.6143,-32001.0,165183.0,-88.8418
2000-10-31,920988,35.4267,7.9211,67598.0,240924.0,-87.958
2000-11-30,1054097,25.2629,14.4528,133109.0,212589.0,-86.2176
2000-12-31,1067962,-4.0877,1.3153,13865.0,-45516.0,-86.0363
2001-01-31,1078487,19.1368,0.9855,10525.0,173236.0,-85.8987
2001-02-28,1102160,17.1159,2.195,23673.0,161075.0,-85.5891
2001-03-31,1150959,8.3748,4.4276,48799.0,88942.0,-84.9511
2001-04-30,1123259,40.8848,-2.4067,-27700.0,325970.0,-85.3133
2001-05-31,1138146,35.7348,1.3253,14887.0,299639.0,-85.1186
2001-06-30,1169329,39.6724,2.7398,31183.0,332135.0,-84.7109
2001-07-31,1163779,44.0606,-0.4746,-5550.0,355939.0,-84.7835
2001-08-31,1133882,28.0657,-2.569,-29897.0,248491.0,-85.1744
2001-09-30,1156156,35.478,1.9644,22274.0,302766.0,-84.8831
2001-10-31,1107271,20.2264,-4.2282,-48885.0,186283.0,-85.5223
2001-11-30,1133942,7.5747,2.4087,26671.0,79845.0,-85.1736
2001-12-31,1175079,10.03,3.6278,41137.0,107117.0,-84.6357
2002-01-31,1224388,13.5283,4.1962,49309.0,145901.0,-83.991
2002-02-28,1313520,19.1769,7.2797,89132.0,211360.0,-82.8256
2002-03-31,1385648,20.3907,5.4912,72128.0,234689.0,-81.8825
2002-04-30,1328094,18.2358,-4.1536,-57554.0,204835.0,-82.635
2002-05-31,1279453,12.4155,-3.6625,-48641.0,141307.0,-83.271
2002-06-30,1241193,6.1457,-2.9903,-38260.0,71864.0,-83.7713
2002-07-31,1265421,8.7338,1.952,24228.0,101642.0,-83.4545
2002-08-31,1284793,13.3092,1.5309,19372.0,150911.0,-83.2012
2002-09-30,1244691,7.6577,-3.1213,-40102.0,88535.0,-83.7255
2002-10-31,1246432,12.5679,0.1399,1741.0,139161.0,-83.7028
2002-11-30,1250866,10.3113,0.3557,4434.0,116924.0,-83.6448
2002-12-31,1251263,6.4833,0.0317,397.0,76184.0,-83.6396
2003-01-31,1245386,1.715,-0.4697,-5877.0,20998.0,-83.7164
2003-02-28,1325273,0.8948,6.4146,79887.0,11753.0,-82.6719
2003-03-31,1411674,1.8783,6.5195,86401.0,26026.0,-81.5422
2003-04-30,1283101,-3.3878,-9.1078,-128573.0,-44993.0,-83.2233
2003-05-31,1306815,2.1386,1.8482,23714.0,27362.0,-82.9132
2003-06-30,1252605,0.9194,-4.1483,-54210.0,11412.0,-83.622
2003-07-31,1263771,-0.1304,0.8914,11166.0,-1650.0,-83.476
2003-08-31,1283228,-0.1218,1.5396,19457.0,-1565.0,-83.2216
2003-09-30,1339295,7.6006,4.3692,56067.0,94604.0,-82.4886
2003-10-31,1322521,6.1045,-1.2524,-16774.0,76089.0,-82.7079
2003-11-30,1347558,7.73,1.8931,25037.0,96692.0,-82.3805
2003-12-31,1313685,4.9887,-2.5137,-33873.0,62422.0,-82.8234
2004-01-31,1354300,8.7454,3.0917,40615.0,108914.0,-82.2924
2004-02-29,1405509,6.0543,3.7812,51209.0,80236.0,-81.6228
2004-03-31,1493819,5.819,6.2831,88310.0,82145.0,-80.4681
2004-04-30,1382514,7.7479,-7.451,-111305.0,99413.0,-81.9235
2004-05-31,1390667,6.4165,0.5897,8153.0,83852.0,-81.8169
2004-06-30,1347362,7.5648,-3.114,-43305.0,94757.0,-82.3831
2004-07-31,1314783,4.0365,-2.418,-32579.0,51012.0,-82.8091
2004-08-31,1382251,7.7167,5.1315,67468.0,99023.0,-81.9269
2004-09-30,1394564,4.1267,0.8908,12313.0,55269.0,-81.7659
2004-10-31,1384015,4.6498,-0.7564,-10549.0,61494.0,-81.9038
2004-11-30,1478802,9.7394,6.8487,94787.0,131244.0,-80.6645
2004-12-31,1445467,10.0315,-2.2542,-33335.0,131782.0,-81.1003
2005-01-31,1473561,8.8061,1.9436,28094.0,119261.0,-80.733
2005-02-28,1514085,7.725,2.7501,40524.0,108576.0,-80.2032
2005-03-31,1505173,0.7601,-0.5886,-8912.0,11354.0,-80.3197
2005-04-30,1473513,6.5821,-2.1034,-31660.0,90999.0,-80.7336
