date,value,yoy_pct,mom_pct,chg_1m,chg_1y,pct_from_peak
1999-01-31,694638.0,,,,,-92.1385
1999-02-28,692641.0,,-0.2875,-1997.0,,-92.1611
1999-03-31,699396.0,,0.9753,6755.0,,-92.0847
1999-04-30,698296.0,,-0.1573,-1100.0,,-92.0971
1999-05-31,705060.0,,0.9686,6764.0,,-92.0206
1999-06-30,695644.0,,-1.3355,-9416.0,,-92.1272
1999-07-31,739725.0,,6.3367,44081.0,,-91.6283
1999-08-31,733966.0,,-0.7785,-5759.0,,-91.6934
1999-09-30,728600.0,,-0.7311,-5366.0,,-91.7542
1999-10-31,742624.0,,1.9248,14024.0,,-91.5955
1999-11-30,743495.0,,0.1173,871.0,,-91.5856
1999-12-31,803192.0,,8.0292,59697.0,,-90.91
2000-01-31,772748.85,11.2448,-3.7903,-30443.15,78110.85,-91.2545
2000-02-29,752207.4057,8.5999,-2.6582,-20541.4443,59566.4057,-91.487
2000-03-31,774420.8192,10.7271,2.9531,22213.4135,75024.8192,-91.2356
2000-04-30,782962.0,12.1247,1.1029,8541.1808,84666.0,-91.1389
2000-05-31,779222.0,10.5185,-0.4777,-3740.0,74162.0,-91.1813
2000-06-30,812468.0,16.7936,4.2666,33246.0,116824.0,-90.805
2000-07-31,800725.2058,8.2463,-1.4453,-11742.7942,61000.2058,-90.9379
2000-08-31,796968.4467,8.5838,-0.4692,-3756.7591,63002.4467,-90.9804
2000-09-30,826309.5705,13.4106,3.6816,29341.1238,97709.5705,-90.6484
2000-10-31,822086.3493,10.7002,-0.5111,-4223.2212,79462.3493,-90.6962
2000-11-30,833102.9503,12.0523,1.3401,11016.601,89607.9503,-90.5715
2000-12-31,835065.0,3.9683,0.2355,1962.0497,31873.0,-90.5493
2001-01-31,853462.0,10.4449,2.2031,18397.0,80713.15,-90.3411
2001-02-28,871589.0,15.8708,2.1239,18127.0,119381.5943,-90.1359
2001-03-31,847959.0,9.4959,-2.7111,-23630.0,73538.1808,-90.4033
2001-04-30,839272.0,7.1919,-1.0245,-8687.0,56310.0,-90.5017
2001-05-31,825427.0,5.9296,-1.6496,-13845.0,46205.0,-90.6583
2001-06-30,862767.0,6.1909,4.5237,37340.0,50299.0,-90.2358
2001-07-31,862061.0,7.66,-0.0818,-706.0,61335.7942,-90.2437
2001-08-31,833389.0,4.5699,-3.326,-28672.0,36420.5533,-90.5682
