date,value,yoy_pct,mom_pct,chg_1m,chg_1y,pct_from_peak
2002-12-31,732059,,,,,-91.8107
2003-01-31,712809,,-2.6296,-19250.0,,-92.026
2003-02-28,721980,,1.2866,9171.0,,-91.9234
2003-03-31,725019,,0.4209,3039.0,,-91.8894
2003-04-30,746294,,2.9344,21275.0,,-91.6514
2003-05-31,744896,,-0.1873,-1398.0,,-91.6671
2003-06-30,744018,,-0.1179,-878.0,,-91.6769
2003-07-31,740295,,-0.5004,-3723.0,,-91.7186
2003-08-31,740637,,0.0462,342.0,,-91.7147
2003-09-30,741193,,0.0751,556.0,,-91.7085
2003-10-31,747272,,0.8202,6079.0,,-91.6405
2003-11-30,756964,,1.297,9692.0,,-91.5321
2003-12-31,771551,5.3946,1.927,14587.0,39492.0,-91.3689
2004-01-31,755279,5.9581,-2.109,-16272.0,42470.0,-91.5509
2004-02-29,750666,3.9732,-0.6108,-4613.0,28686.0,-91.6025
2004-03-31,760725,4.9248,1.34,10059.0,35706.0,-91.49
2004-04-30,772927,3.5687,1.604,12202.0,26633.0,-91.3535
2004-05-31,771108,3.5189,-0.2353,-1819.0,26212.0,-91.3739
2004-06-30,779578,4.7795,1.0984,8470.0,35560.0,-91.2791
2004-07-31,773916,4.5416,-0.7263,-5662.0,33621.0,-91.3424
2004-08-31,775437,4.6987,0.1965,1521.0,34800.0,-91.3254
2004-09-30,786330,6.0898,1.4048,10893.0,45137.0,-91.2036
2004-10-31,791336,5.8966,0.6366,5006.0,44064.0,-91.1476
2004-11-30,809956,7.0006,2.353,18620.0,52992.0,-90.9393
2004-12-31,810944,5.1057,0.122,988.0,39393.0,-90.9282
2005-01-31,807262,6.8826,-0.454,-3682.0,51983.0,-90.9694
2005-02-28,804576,7.1816,-0.3327,-2686.0,53910.0,-90.9995
2005-03-31,807551,6.1554,0.3698,2975.0,46826.0,-90.9662
2005-04-30,809797,4.7702,0.2781,2246.0,36870.0,-90.9411
2005-05-31,810160,5.0644,0.0448,363.0,39052.0,-90.937
2005-06-30,810082,3.9129,-0.0096,-78.0,30504.0,-90.9379
2005-07-31,814259,5.2128,0.5156,4177.0,40343.0,-90.8911
2005-08-31,823237,6.1643,1.1026,8978.0,47800.0,-90.7907
2005-09-30,823771,4.7615,0.0649,534.0,37441.0,-90.7847
2005-10-31,819105,3.5091,-0.5664,-4666.0,27769.0,-90.8369
2005-11-30,835059,3.0993,1.9477,15954.0,25103.0,-90.6585
2005-12-31,847700,4.5325,1.5138,12641.0,36756.0,-90.517
2006-01-31,828901,2.6805,-2.2176,-18799.0,21639.0,-90.7273
2006-02-28,840555,4.4718,1.406,11654.0,35979.0,-90.597
2006-03-31,833675,3.235,-0.8185,-6880.0,26124.0,-90.6739
2006-04-30,844572,4.2943,1.3071,10897.0,34775.0,-90.552
2006-05-31,851580,5.1126,0.8298,7008.0,41420.0,-90.4736
2006-06-30,844436,4.2408,-0.8389,-7144.0,34354.0,-90.5536
