date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,5917.3701,,,,,,,100.0,-27.7948
2000-01-04,5672.02,-4.1463,,,,,,95.8537,-30.7886
2000-01-05,5479.7002,-3.3907,,,,,,92.6036,-33.1353
2000-01-06,5450.1099,-0.54,,,,,,92.1036,-33.4964
2000-01-07,5539.6099,1.6422,,,,,,93.6161,-32.4043
2000-01-10,5646.1201,1.9227,-4.584,,,,,95.416,-31.1046
2000-01-11,5613.8999,-0.5707,-1.0247,,,,,94.8715,-31.4978
2000-01-12,5582.5,-0.5593,1.876,,,,,94.3409,-31.8809
2000-01-13,5633.2402,0.9089,3.3601,,,,,95.1984,-31.2618
2000-01-14,5787.4399,2.7373,4.4738,,,,,97.8043,-29.3802
2000-01-17,5842.7798,0.9562,3.4831,,,,,98.7395,-28.7049
2000-01-18,5672.9502,-2.9067,1.0519,,,,,95.8695,-30.7772
2000-01-19,5649.46,-0.4141,1.1995,,,,,95.4725,-31.0639
2000-01-20,5709.7402,1.067,1.358,,,,,96.4912,-30.3283
2000-01-21,5681.3198,-0.4978,-1.8336,,,,,96.0109,-30.6751
2000-01-24,5690.8599,0.1679,-2.6001,,,,,96.1721,-30.5587
2000-01-25,5597.5,-1.6405,-1.33,,,,,94.5944,-31.6979
2000-01-26,5646.3198,0.8722,-0.0556,,,,,95.4194,-31.1022
2000-01-27,5688.3501,0.7444,-0.3746,,,,,96.1297,-30.5893
2000-01-28,5731.0498,0.7507,0.8753,,,,,96.8513,-30.0683
2000-01-31,5659.8101,-1.243,-0.5456,,,,,95.6474,-30.9376
2000-02-01,5773.4199,2.0073,3.1428,-2.4327,,,,97.5673,-29.5513
2000-02-02,5946.8599,3.0041,5.3228,4.8455,,,,100.4984,-27.4349
2000-02-03,6149.6699,3.4104,8.1099,12.2264,,,,103.9257,-24.9602
2000-02-04,6275.7202,2.0497,9.5039,15.1485,,,,106.0559,-23.4221
2000-02-07,6203.5801,-1.1495,9.6076,11.9859,,,,104.8368,-24.3024
2000-02-08,6297.6602,1.5165,9.0802,11.5396,,,,106.4267,-23.1544
2000-02-09,6271.6001,-0.4138,5.4607,11.7156,,,,105.9863,-23.4724
2000-02-10,6207.52,-1.0218,0.9407,11.1961,,,,104.9034,-24.2543
2000-02-11,6287.0098,1.2805,0.1799,11.6056,,,,106.2467,-23.2843
2000-02-14,6268.3198,-0.2973,1.0436,8.309,,,,105.9308,-23.5124
2000-02-15,6092.6299,-2.8028,-3.2557,4.2762,,,,102.9618,-25.6562
2000-02-16,6046.27,-0.7609,-3.5929,6.5807,,,,102.1783,-26.2219
2000-02-17,6154.96,1.7976,-0.8467,8.9478,,,,104.0151,-24.8956
2000-02-18,6062.7202,-1.4986,-3.5675,6.1821,,,,102.4563,-26.0212
2000-02-21,5967.2798,-1.5742,-4.8026,5.0333,,,,100.8434,-27.1858
2000-02-22,5963.3101,-0.0665,-2.1226,4.7875,,,,100.7764,-27.2342
2000-02-23,6031.25,1.1393,-0.2484,7.749,,,,101.9245,-26.4052
2000-02-24,6078.7798,0.7881,-1.2377,7.6591,,,,102.7277,-25.8252
2000-02-25,6188.6401,1.8073,2.077,8.795,,,,104.5843,-24.4847
2000-02-28,6102.73,-1.3882,2.2699,6.4854,,,,103.1325,-25.533
2000-02-29,6190.96,1.4457,3.8175,9.3846,,,,104.6235,-24.4564
2000-03-01,6256.3198,1.0557,3.7317,8.3642,,,,105.728,-23.6588
2000-03-02,6477.5498,3.5361,6.56,8.9239,,,,109.4667,-20.9593
2000-03-03,6514.1099,0.5644,5.2591,5.9262,,,,110.0845,-20.5132
2000-03-06,6545.98,0.4892,7.2631,4.3064,,,,110.6231,-20.1243
2000-03-07,6441.8501,-1.5907,4.0525,3.8408,,,,108.8634,-21.3949
2000-03-08,6344.9702,-1.5039,1.417,0.7512,,,,107.2262,-22.5771
2000-03-09,6423.4302,1.2366,-0.8355,2.4209,,,,108.5521,-21.6197
2000-03-10,6510.2798,1.3521,-0.0588,4.8773,,,,110.0198,-20.5599
2000-03-13,6336.9302,-2.6627,-3.1936,0.794,,,,107.0903,-22.6752
2000-03-14,6350.3501,0.2118,-1.4204,1.3086,,,,107.3171,-22.5114
2000-03-15,6188.9399,-2.5418,-2.4591,1.5808,,,,104.5894,-24.481
2000-03-16,6258.5298,1.1244,-2.5672,3.5106,,,,105.7654,-23.6319
2000-03-17,6304.2798,0.731,-3.1642,2.426,,,,106.5385,-23.0736
2000-03-20,6352.5098,0.765,0.2459,4.7799,,,,107.3536,-22.4851
2000-03-21,6320.8701,-0.4981,-0.4642,5.9255,,,,106.8189,-22.8712
2000-03-22,6279.29,-0.6578,1.4599,5.2987,,,,106.1162,-23.3785
2000-03-23,6268.3101,-0.1749,0.1563,3.9305,,,,105.9307,-23.5125
2000-03-24,6364.2598,1.5307,0.9514,4.6963,,,,107.5522,-22.3417
2000-03-27,6450.8501,1.3606,1.5481,4.237,,,,109.0155,-21.2851
2000-03-28,6524.2998,1.1386,3.2184,6.9079,,,,110.2567,-20.3889
2000-03-29,6505.48,-0.2885,3.6022,5.0803,,,,109.9387,-20.6185
2000-03-30,6313.8198,-2.9461,0.726,0.9191,6.6998,,,106.6998,-22.9572
2000-03-31,6286.0498,-0.4398,-1.2289,-2.9564,10.8256,,,106.2305,-23.296
2000-04-03,6130.27,-2.4782,-4.9696,-5.8924,11.8724,,,103.5979,-25.1969
2000-04-04,6221.9399,1.4954,-4.6344,-4.9502,14.1617,,,105.147,-24.0783
2000-04-05,6036.9399,-2.9733,-7.2022,-6.2856,8.9777,,,102.0207,-26.3358
2000-04-06,6224.02,3.0989,-1.4223,-1.9062,10.2353,,,105.1822,-24.053
2000-04-07,6308.04,1.3499,0.3498,-1.7964,12.3647,,,106.6021,-23.0277
2000-04-10,6364.8999,0.9014,3.8274,-2.2331,14.0152,,,107.563,-22.3339
2000-04-11,6261.4199,-1.6258,0.6345,-1.1916,11.1513,,,105.8142,-23.5966
2000-04-12,6238.7002,-0.3629,3.3421,-1.7582,7.7972,,,105.4303,-23.8738
2000-04-13,6264.3398,0.411,0.6478,1.2183,7.2151,,,105.8636,-23.561
2000-04-14,6065.71,-3.1708,-3.8416,-3.0809,6.9234,,,102.5069,-25.9847
