date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2010-12-17,122.5,,,,,,,100.0,6.9869
2010-12-20,122.5,0.0,,,,,,100.0,6.9869
2010-12-21,123.25,0.6122,,,,,,100.6122,7.6419
2010-12-22,125.5,1.8256,,,,,,102.449,9.607
2010-12-23,125.25,-0.1992,,,,,,102.2449,9.3886
2010-12-27,125.0,-0.1996,2.0408,,,,,102.0408,9.1703
2010-12-28,125.0,0.0,2.0408,,,,,102.0408,9.1703
2010-12-29,131.0,4.8,6.288,,,,,106.9388,14.4105
2010-12-30,132.0,0.7634,5.1793,,,,,107.7551,15.2838
2010-12-31,132.0,0.0,5.3892,,,,,107.7551,15.2838
2011-01-03,132.0,0.0,5.6,,,,,107.7551,15.2838
2011-01-04,128.25,-2.8409,2.6,,,,,104.6939,12.0087
2011-01-05,123.5,-3.7037,-5.7252,,,,,100.8163,7.8603
2011-01-06,126.25,2.2267,-4.3561,,,,,103.0612,10.262
2011-01-07,129.75,2.7723,-1.7045,,,,,105.9184,13.3188
2011-01-10,130.25,0.3854,-1.3258,,,,,106.3265,13.7555
2011-01-11,129.5,-0.5758,0.9747,,,,,105.7143,13.1004
2011-01-12,128.25,-0.9653,3.8462,,,,,104.6939,12.0087
2011-01-13,128.0,-0.1949,1.3861,,,,,104.4898,11.7904
2011-01-14,127.5,-0.3906,-1.7341,,,,,104.0816,11.3537
2011-01-18,125.0,-1.9608,-4.0307,,,,,102.0408,9.1703
2011-01-19,125.75,0.6,-2.8958,2.6531,,,,102.6531,9.8253
2011-01-20,126.3,0.4374,-1.5205,3.102,,,,103.102,10.3057
2011-01-21,125.95,-0.2771,-1.6016,2.1907,,,,102.8163,10.0
2011-01-24,125.8,-0.1191,-1.3333,0.239,,,,102.6939,9.869
2011-01-25,124.85,-0.7552,-0.12,-0.3194,,,,101.9184,9.0393
2011-01-26,124.5,-0.2803,-0.994,-0.4,,,,101.6327,8.7336
2011-01-27,124.2,-0.241,-1.6627,-0.64,,,,101.3878,8.4716
2011-01-28,124.0,-0.161,-1.5482,-5.3435,,,,101.2245,8.2969
2011-01-31,119.25,-3.8306,-5.2067,-9.6591,,,,97.3469,4.1485
2011-02-01,119.2,-0.0419,-4.5254,-9.697,,,,97.3061,4.1048
2011-02-02,120.55,1.1326,-3.1727,-8.6742,,,,98.4082,5.2838
2011-02-03,121.75,0.9954,-1.9726,-5.0682,,,,99.3878,6.3319
2011-02-04,122.05,0.2464,-1.5726,-1.1741,,,,99.6327,6.5939
2011-02-07,120.0,-1.6796,0.6289,-4.9505,,,,97.9592,4.8035
2011-02-08,119.5,-0.4167,0.2517,-7.8998,,,,97.551,4.3668
2011-02-09,119.25,-0.2092,-1.0784,-8.4453,,,,97.3469,4.1485
2011-02-10,119.25,0.0,-2.0534,-7.9151,,,,97.3469,4.1485
2011-02-11,119.25,0.0,-2.2941,-7.0175,,,,97.3469,4.1485
2011-02-14,119.2,-0.0419,-0.6667,-6.875,,,,97.3061,4.1048
2011-02-15,119.15,-0.0419,-0.2929,-6.549,,,,97.2653,4.0611
