date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,830.0,,,,,,,100.0,-85.8627
2000-01-04,836.0,0.7229,,,,,,100.7229,-85.7605
2000-01-05,831.0,-0.5981,,,,,,100.1205,-85.8457
2000-01-06,841.0,1.2034,,,,,,101.3253,-85.6754
2000-01-07,853.0,1.4269,,,,,,102.7711,-85.471
2000-01-10,839.0,-1.6413,1.0843,,,,,101.0843,-85.7094
2000-01-11,846.0,0.8343,1.1962,,,,,101.9277,-85.5902
2000-01-12,854.0,0.9456,2.7677,,,,,102.8916,-85.4539
2000-01-13,871.0,1.9906,3.5672,,,,,104.9398,-85.1644
2000-01-14,850.0,-2.411,-0.3517,,,,,102.4096,-85.5221
2000-01-18,828.0,-2.5882,-1.3111,,,,,99.759,-85.8968
2000-01-19,844.0,1.9324,-0.2364,,,,,101.6867,-85.6243
2000-01-20,853.0,1.0664,-0.1171,,,,,102.7711,-85.471
2000-01-21,861.0,0.9379,-1.1481,,,,,103.7349,-85.3347
2000-01-24,844.0,-1.9744,-0.7059,,,,,101.6867,-85.6243
2000-01-25,838.0,-0.7109,1.2077,,,,,100.9639,-85.7265
2000-01-26,846.0,0.9547,0.237,,,,,101.9277,-85.5902
2000-01-27,823.0,-2.7187,-3.517,,,,,99.1566,-85.9819
2000-01-28,811.0,-1.4581,-5.8072,,,,,97.7108,-86.1863
2000-01-31,795.0,-1.9729,-5.8057,,,,,95.7831,-86.4589
2000-02-01,763.0,-4.0252,-8.9499,,,,,91.9277,-87.0039
2000-02-02,766.0,0.3932,-9.4563,-7.7108,,,,92.2892,-86.9528
2000-02-03,774.0,1.0444,-5.9538,-7.4163,,,,93.253,-86.8166
2000-02-04,765.0,-1.1628,-5.672,-7.9422,,,,92.1687,-86.9699
2000-02-07,783.0,2.3529,-1.5094,-6.8966,,,,94.3373,-86.6633
2000-02-08,767.0,-2.0434,0.5242,-10.0821,,,,92.4096,-86.9358
2000-02-09,784.0,2.2164,2.3499,-6.5554,,,,94.4578,-86.6462
2000-02-10,776.0,-1.0204,0.2584,-8.2742,,,,93.494,-86.7825
2000-02-11,759.0,-2.1907,-0.7843,-11.1241,,,,91.4458,-87.072
2000-02-14,740.0,-2.5033,-5.4917,-15.0402,,,,89.1566,-87.3957
2000-02-15,748.0,1.0811,-2.4772,-12.0,,,,90.1205,-87.2594
2000-02-16,764.0,2.139,-2.551,-7.7295,,,,92.0482,-86.9869
2000-02-17,781.0,2.2251,0.6443,-7.4645,,,,94.0964,-86.6973
2000-02-18,780.0,-0.128,2.7668,-8.558,,,,93.9759,-86.7144
2000-02-22,760.0,-2.5641,2.7027,-11.7305,,,,91.5663,-87.055
2000-02-23,769.0,1.1842,2.8075,-8.8863,,,,92.6506,-86.9017
2000-02-24,767.0,-0.2601,0.3927,-8.4726,,,,92.4096,-86.9358
2000-02-25,734.0,-4.3025,-6.0179,-13.2388,,,,88.4337,-87.4979
2000-02-28,740.0,0.8174,-5.1282,-10.0851,,,,89.1566,-87.3957
2000-02-29,753.0,1.7568,-0.9211,-7.1517,,,,90.7229,-87.1742
2000-03-01,759.0,0.7968,-1.3004,-4.5283,,,,91.4458,-87.072
2000-03-02,791.0,4.2161,3.1291,3.6697,,,,95.3012,-86.527
2000-03-03,805.0,1.7699,9.673,5.0914,,,,96.988,-86.2885
2000-03-06,802.0,-0.3727,8.3784,3.6176,,,,96.6265,-86.3396
2000-03-07,819.0,2.1197,8.7649,7.0588,,,,98.6747,-86.0501
2000-03-08,829.0,1.221,9.2227,5.8748,,,,99.8795,-85.8797
2000-03-09,819.0,-1.2063,3.5398,6.7797,,,,98.6747,-86.0501
2000-03-10,840.0,2.5641,4.3478,7.1429,,,,101.2048,-85.6924
2000-03-13,860.0,2.381,7.2319,10.8247,,,,103.6145,-85.3517
2000-03-14,880.0,2.3256,7.4481,15.942,,,,106.0241,-85.0111
2000-03-15,846.0,-3.8636,2.0507,14.3243,,,,101.9277,-85.5902
2000-03-16,878.0,3.7825,7.2039,17.3797,,,,105.7831,-85.0451
2000-03-17,898.0,2.2779,6.9048,17.5393,,,,108.1928,-84.7045
2000-03-20,857.0,-4.5657,-0.3488,9.7311,,,,103.253,-85.4028
2000-03-21,868.0,1.2835,-1.3636,11.2821,,,,104.5783,-85.2155
2000-03-22,871.0,0.3456,2.9551,14.6053,,,,104.9398,-85.1644
2000-03-23,876.0,0.5741,-0.2278,13.9142,,,,105.5422,-85.0792
2000-03-24,840.0,-4.1096,-6.4588,9.5176,,,,101.2048,-85.6924
2000-03-27,797.0,-5.119,-7.0012,8.5831,,,,96.0241,-86.4248
2000-03-28,815.0,2.2585,-6.106,10.1351,,,,98.1928,-86.1182
2000-03-29,796.0,-2.3313,-8.6108,5.7105,,,,95.9036,-86.4418
2000-03-30,794.0,-0.2513,-9.3607,4.6113,,,,95.6627,-86.4759
2000-03-31,800.0,0.7557,-4.7619,1.1378,,,,96.3855,-86.3737
2000-04-03,784.0,-2.0,-1.6311,-2.6087,-5.5422,,,94.4578,-86.6462
2000-04-04,809.0,3.1888,-0.7362,0.8728,-3.2297,,,97.4699,-86.2204
2000-04-05,811.0,0.2472,1.8844,-0.9768,-2.4067,,,97.7108,-86.1863
2000-04-06,825.0,1.7263,3.9043,-0.4825,-1.9025,,,99.3976,-85.9479
2000-04-07,810.0,-1.8182,1.25,-1.0989,-5.041,,,97.5904,-86.2034
2000-04-10,807.0,-0.3704,2.9337,-3.9286,-3.8141,,,97.2289,-86.2545
2000-04-11,803.0,-0.4957,-0.7417,-6.6279,-5.0827,,,96.747,-86.3226
2000-04-12,802.0,-0.1245,-1.1097,-8.8636,-6.089,,,96.6265,-86.3396
2000-04-13,815.0,1.6209,-1.2121,-3.6643,-6.4294,,,98.1928,-86.1182
2000-04-14,807.0,-0.9816,-0.3704,-8.0866,-5.0588,,,97.2289,-86.2545
2000-04-17,824.0,2.1066,2.1066,-8.2405,-0.4831,,,99.2771,-85.9649
2000-04-18,837.0,1.5777,4.2341,-2.3337,-0.8294,,,100.8434,-85.7435
2000-04-19,813.0,-2.8674,1.3716,-6.3364,-4.6893,,,97.9518,-86.1523
2000-04-20,803.0,-1.23,-1.4724,-7.8071,-6.7364,,,96.747,-86.3226
2000-04-24,764.0,-4.8568,-5.3284,-12.7854,-9.4787,,,92.0482,-86.9869
2000-04-25,769.0,0.6545,-6.6748,-8.4524,-8.2339,,,92.6506,-86.9017
2000-04-26,765.0,-0.5202,-8.6022,-4.0151,-9.5745,,,92.1687,-86.9699
2000-04-27,755.0,-1.3072,-7.1341,-7.362,-8.2625,,,90.9639,-87.1402
2000-04-28,747.0,-1.0596,-6.9738,-6.1558,-7.8915,,,90.0,-87.2764
2000-05-01,764.0,2.2758,0.0,-3.7783,-3.8994,,,92.0482,-86.9869
2000-05-02,763.0,-0.1309,-0.7802,-4.625,0.0,,,91.9277,-87.0039
2000-05-03,772.0,1.1796,0.915,-1.5306,0.7833,,,93.012,-86.8506
2000-05-04,772.0,0.0,2.2517,-4.5735,-0.2584,,,93.012,-86.8506
2000-05-05,771.0,-0.1295,3.2129,-4.9322,0.7843,,,92.8916,-86.8677
2000-05-08,748.0,-2.9831,-2.0942,-9.3333,-4.47,,,90.1205,-87.2594
2000-05-09,769.0,2.8075,0.7864,-5.0617,0.2608,,,92.6506,-86.9017
2000-05-10,765.0,-0.5202,-0.9067,-5.2045,-2.4235,,,92.1687,-86.9699
2000-05-11,796.0,4.0523,3.1088,-0.8717,2.5773,,,95.9036,-86.4418
2000-05-12,778.0,-2.2613,0.9079,-2.9925,2.5033,,,93.7349,-86.7484
2000-05-15,783.0,0.6427,4.6791,-3.9264,5.8108,,,94.3373,-86.6633
2000-05-16,837.0,6.8966,8.8427,3.7175,11.8984,,,100.8434,-85.7435
2000-05-17,821.0,-1.9116,7.3203,-0.3641,7.4607,,,98.9157,-86.016
2000-05-18,829.0,0.9744,4.1457,-0.9558,6.146,,,99.8795,-85.8797
2000-05-19,857.0,3.3776,10.1542,5.4121,9.8718,,,103.253,-85.4028
2000-05-22,840.0,-1.9837,7.2797,4.6077,10.5263,,,101.2048,-85.6924
2000-05-23,834.0,-0.7143,-0.3584,9.1623,8.4525,,,100.4819,-85.7946
2000-05-24,850.0,1.9185,3.5323,10.5332,10.8214,,,102.4096,-85.5221
2000-05-25,831.0,-2.2353,0.2413,8.6275,13.2153,,,100.1205,-85.8457
2000-05-26,835.0,0.4813,-2.5671,10.596,12.8378,,,100.6024,-85.7776
2000-05-30,830.0,-0.5988,-1.1905,11.1111,10.2258,,,100.0,-85.8627
2000-05-31,842.0,1.4458,0.9592,10.2094,10.9354,,,101.4458,-85.6583
2000-06-01,848.0,0.7126,-0.2353,11.1402,7.2061,,,102.1687,-85.5561
2000-06-02,848.0,0.0,2.0457,9.8446,5.3416,,,102.1687,-85.5561
2000-06-05,831.0,-2.0047,-0.479,7.6425,3.616,,,100.1205,-85.8457
