date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,116.5,,,,,,,100.0,-67.3943
2000-01-04,116.25,-0.2146,,,,,,99.7854,-67.4643
2000-01-05,118.6,2.0215,,,,,,101.8026,-66.8066
2000-01-06,116.85,-1.4755,,,,,,100.3004,-67.2964
2000-01-07,114.15,-2.3107,,,,,,97.9828,-68.0521
2000-01-10,117.55,2.9785,0.9013,,,,,100.9013,-67.1005
2000-01-11,117.8,0.2127,1.3333,,,,,101.1159,-67.0305
2000-01-12,118.95,0.9762,0.2951,,,,,102.103,-66.7086
2000-01-13,118.55,-0.3363,1.4549,,,,,101.7597,-66.8206
2000-01-14,112.55,-5.0612,-1.4017,,,,,96.6094,-68.4999
2000-01-18,115.75,2.8432,-1.5313,,,,,99.3562,-67.6043
2000-01-19,116.7,0.8207,-0.9338,,,,,100.1717,-67.3384
2000-01-20,112.0,-4.0274,-5.8428,,,,,96.1373,-68.6538
2000-01-21,111.2,-0.7143,-6.1999,,,,,95.4506,-68.8777
2000-01-24,111.9,0.6295,-0.5775,,,,,96.0515,-68.6818
2000-01-25,112.85,0.849,-2.5054,,,,,96.867,-68.4159
2000-01-26,115.15,2.0381,-1.3282,,,,,98.8412,-67.7722
2000-01-27,114.6,-0.4776,2.3214,,,,,98.3691,-67.9261
2000-01-28,114.7,0.0873,3.1475,,,,,98.4549,-67.8981
2000-01-31,111.1,-3.1386,-0.7149,,,,,95.3648,-68.9057
2000-02-01,111.65,0.4951,-1.0634,,,,,95.8369,-68.7517
2000-02-02,112.25,0.5374,-2.5185,-3.6481,,,,96.3519,-68.5838
2000-02-03,112.95,0.6236,-1.4398,-2.8387,,,,96.9528,-68.3879
2000-02-04,112.9,-0.0443,-1.5693,-4.8061,,,,96.9099,-68.4019
2000-02-07,111.7,-1.0629,0.5401,-4.4074,,,,95.8798,-68.7378
2000-02-08,108.55,-2.82,-2.7765,-4.9058,,,,93.176,-69.6194
2000-02-09,107.7,-0.7831,-4.0535,-8.3794,,,,92.4463,-69.8573
2000-02-10,108.75,0.9749,-3.7185,-7.6825,,,,93.3476,-69.5634
2000-02-11,108.8,0.046,-3.6315,-8.533,,,,93.3906,-69.5494
