date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-08-30,0.885,,,,,,,100.0,-84.3085
2000-08-31,0.885,0.0,,,,,,100.0,-84.3085
2000-09-01,0.889,0.452,,,,,,100.452,-84.2376
2000-09-05,0.906,1.9123,,,,,,102.3729,-83.9362
2000-09-06,0.9015,-0.4967,,,,,,101.8644,-84.016
2000-09-07,0.906,0.4992,2.3729,,,,,102.3729,-83.9362
2000-09-08,0.912,0.6622,3.0508,,,,,103.0508,-83.8298
2000-09-11,0.913,0.1096,2.6997,,,,,103.1638,-83.8121
2000-09-12,0.9285,1.6977,2.4834,,,,,104.9153,-83.5372
2000-09-13,0.9275,-0.1077,2.8841,,,,,104.8023,-83.555
2000-09-14,0.9255,-0.2156,2.1523,,,,,104.5763,-83.5904
2000-09-15,0.92,-0.5943,0.8772,,,,,103.9548,-83.6879
2000-09-18,0.9185,-0.163,0.6024,,,,,103.7853,-83.7145
2000-09-19,0.9215,0.3266,-0.7539,,,,,104.1243,-83.6613
2000-09-20,0.9015,-2.1704,-2.8032,,,,,101.8644,-84.016
2000-09-21,0.9255,2.6622,0.0,,,,,104.5763,-83.5904
2000-09-22,0.9195,-0.6483,-0.0544,,,,,103.8983,-83.6968
2000-09-25,0.927,0.8157,0.9254,,,,,104.7458,-83.5638
2000-09-26,0.9165,-1.1327,-0.5426,,,,,103.5593,-83.75
2000-09-27,0.9125,-0.4364,1.2202,,,,,103.1073,-83.8209
2000-09-28,0.911,-0.1644,-1.5667,,,,,102.9379,-83.8475
2000-09-29,0.9155,0.494,-0.435,3.4463,,,,103.4463,-83.7677
2000-10-02,0.895,-2.2392,-3.452,1.1299,,,,101.1299,-84.1312
2000-10-03,0.8985,0.3911,-1.964,1.0686,,,,101.5254,-84.0691
2000-10-04,0.8965,-0.2226,-1.7534,-1.0486,,,,101.2994,-84.1046
2000-10-05,0.9095,1.4501,-0.1647,0.8874,,,,102.7684,-83.8741
2000-10-06,0.9045,-0.5498,-1.2015,-0.1656,,,,102.2034,-83.9628
2000-10-09,0.8925,-1.3267,-0.2793,-2.1382,,,,100.8475,-84.1755
2000-10-10,0.9025,1.1204,0.4452,-1.1501,,,,101.9774,-83.9982
2000-10-11,0.8985,-0.4432,0.2231,-3.231,,,,101.5254,-84.0691
2000-10-12,0.8795,-2.1146,-3.2985,-5.1752,,,,99.3785,-84.406
2000-10-13,0.8895,1.137,-1.6584,-3.8898,,,,100.5085,-84.2287
2000-10-16,0.8915,0.2248,-0.112,-3.0978,,,,100.7345,-84.1933
2000-10-17,0.8805,-1.2339,-2.4377,-4.1372,,,,99.4915,-84.3883
2000-10-18,0.87,-1.1925,-3.172,-5.5887,,,,98.3051,-84.5745
2000-10-19,0.871,0.1149,-0.9665,-3.3832,,,,98.4181,-84.5567
2000-10-20,0.86,-1.2629,-3.3165,-7.0773,,,,97.1751,-84.7518
2000-10-23,0.8655,0.6395,-2.9164,-5.8728,,,,97.7966,-84.6543
2000-10-24,0.8625,-0.3466,-2.0443,-6.9579,,,,97.4576,-84.7074
2000-10-25,0.8505,-1.3913,-2.2414,-7.2013,,,,96.1017,-84.9202
2000-10-26,0.829,-2.5279,-4.822,-9.1507,,,,93.6723,-85.3014
2000-10-27,0.8415,1.5078,-2.1512,-7.629,,,,95.0847,-85.0798
2000-10-30,0.8425,0.1188,-2.6574,-7.9738,,,,95.1977,-85.0621
2000-10-31,0.8465,0.4748,-1.8551,-5.419,,,,95.6497,-84.9911
2000-11-01,0.833,-1.5948,-2.0576,-7.2899,,,,94.1243,-85.2305
2000-11-02,0.836,0.3601,0.8444,-6.7485,,,,94.4633,-85.1773
2000-11-03,0.836,0.0,-0.6536,-8.0814,,,,94.4633,-85.1773
2000-11-06,0.825,-1.3158,-2.0771,-8.7894,,,,93.2203,-85.3723
2000-11-07,0.8285,0.4242,-2.1264,-7.1709,,,,93.6158,-85.3103
2000-11-08,0.8345,0.7242,0.1801,-7.5346,,,,94.2938,-85.2039
2000-11-09,0.838,0.4194,0.2392,-6.7334,,,,94.6893,-85.1418
2000-11-10,0.8365,-0.179,0.0598,-4.8891,,,,94.5198,-85.1684
2000-11-13,0.819,-2.092,-0.7273,-7.9258,,,,92.5424,-85.4787
2000-11-14,0.826,0.8547,-0.3017,-7.3472,,,,93.3333,-85.3546
2000-11-15,0.826,0.0,-1.0186,-6.1897,,,,93.3333,-85.3546
2000-11-16,0.8185,-0.908,-2.327,-5.9195,,,,92.4859,-85.4876
2000-11-17,0.822,0.4276,-1.7334,-5.6257,,,,92.8814,-85.4255
2000-11-20,0.822,0.0,0.3663,-4.4186,,,,92.8814,-85.4255
2000-11-21,0.829,0.8516,0.3632,-4.2172,,,,93.6723,-85.3014
2000-11-22,0.8195,-1.146,-0.7869,-4.9855,,,,92.5989,-85.4699
2000-11-27,0.8465,3.2947,3.4209,-0.4703,,,,95.6497,-84.9911
2000-11-28,0.861,1.7129,4.7445,3.8601,,,,97.2881,-84.734
2000-11-29,0.852,-1.0453,3.6496,1.2478,,,,96.2712,-84.8936
2000-11-30,0.841,-1.2911,1.4475,-0.178,-4.9717,,,95.0283,-85.0887
2000-12-01,0.8595,2.1998,4.881,1.5357,-2.8814,,,97.1186,-84.7606
2000-12-04,0.8605,0.1163,1.6539,3.3013,-3.2059,,,97.2316,-84.7429
2000-12-05,0.869,0.9878,0.9292,3.9474,-4.0839,,,98.1921,-84.5922
2000-12-06,0.877,0.9206,2.9343,4.9043,-2.7177,,,99.096,-84.4504
2000-12-07,0.8785,0.171,4.459,6.4848,-3.0353,,,99.2655,-84.4238
2000-12-08,0.8875,1.0245,3.2577,7.1213,-2.6864,,,100.2825,-84.2642
2000-12-11,0.8895,0.2254,3.3701,6.5908,-2.5739,,,100.5085,-84.2287
2000-12-12,0.8835,-0.6745,1.6686,5.4296,-4.8465,,,99.8305,-84.3351
2000-12-13,0.8805,-0.3396,0.3991,5.26,-5.0674,,,99.4915,-84.3883
2000-12-14,0.889,0.9654,1.1952,8.547,-3.9438,,,100.452,-84.2376
2000-12-15,0.8725,-1.856,-1.6901,5.6295,-5.163,,,98.5876,-84.5301
2000-12-18,0.8745,0.2292,-1.6863,5.8717,-4.7904,,,98.8136,-84.4947
2000-12-19,0.874,-0.0572,-1.0753,6.7807,-5.1546,,,98.7571,-84.5035
2000-12-20,0.863,-1.2586,-1.9875,4.9878,-4.2707,,,97.5141,-84.6986
2000-12-21,0.856,-0.8111,-3.712,4.1363,-7.5095,,,96.7232,-84.8227
2000-12-22,0.86,0.4673,-1.4327,3.7394,-6.4709,,,97.1751,-84.7518
2000-12-26,0.8635,0.407,-1.2579,5.3691,-6.8501,,,97.5706,-84.6897
2000-12-27,0.8475,-1.8529,-3.032,0.1181,-7.5286,,,95.7627,-84.9734
2000-12-28,0.8525,0.59,-1.2167,-0.9872,-6.5753,,,96.3277,-84.8848
2000-12-29,0.8465,-0.7038,-1.1098,-0.6455,-7.0801,,,95.6497,-84.9911
2001-01-02,0.818,-3.3668,-4.8837,-2.7348,-10.6499,,,92.4294,-85.4965
2001-01-03,0.8235,0.6724,-4.6323,-4.1885,-7.9888,,,93.0508,-85.3989
2001-01-04,0.815,-1.0322,-3.8348,-5.2876,-9.2933,,,92.0904,-85.5496
2001-01-05,0.832,2.0859,-2.4047,-4.2578,-7.1946,,,94.0113,-85.2482
2001-01-08,0.833,0.1202,-1.5948,-5.0171,-8.4112,,,94.1243,-85.2305
2001-01-09,0.83,-0.3601,1.467,-5.5208,-8.2366,,,93.7853,-85.2837
2001-01-10,0.831,0.1205,0.9107,-6.3662,-6.8908,,,93.8983,-85.266
2001-01-11,0.8325,0.1805,2.1472,-6.4081,-7.7562,,,94.0678,-85.2394
2001-01-12,0.8445,1.4414,1.5024,-4.4143,-6.01,,,95.4237,-85.0266
2001-01-16,0.825,-2.3091,-0.9604,-6.3032,-6.1967,,,93.2203,-85.3723
2001-01-17,0.8315,0.7879,0.1807,-6.4679,-6.5205,,,93.9548,-85.2571
2001-01-18,0.867,4.2694,4.3321,-0.6304,-2.7482,,,97.9661,-84.6277
2001-01-19,0.853,-1.6148,2.4625,-2.4585,-3.1232,,,96.3842,-84.8759
2001-01-22,0.8495,-0.4103,0.5921,-2.8032,-2.3563,,,95.9887,-84.9379
2001-01-23,0.851,0.1766,3.1515,-1.3905,-2.2962,,,96.1582,-84.9113
2001-01-24,0.84,-1.2926,1.0222,-1.8692,-2.3256,,,94.9153,-85.1064
2001-01-25,0.839,-0.119,-3.2295,-2.4419,-3.0618,,,94.8023,-85.1241
2001-01-26,0.839,0.0,-1.6413,-2.8373,-2.7246,,,94.8023,-85.1241
2001-01-29,0.8335,-0.6555,-1.8835,-1.6519,-1.9988,,,94.1808,-85.2216
2001-01-30,0.8405,0.8398,-1.2338,-1.4076,1.3872,,,94.9718,-85.0975
2001-01-31,0.8485,0.9518,1.0119,0.2363,0.8319,,,95.8757,-84.9557
2001-02-01,0.85,0.1768,1.3111,3.912,0.8902,,,96.0452,-84.9291
2001-02-02,0.844,-0.7059,0.5959,2.4894,-0.2953,,,95.3672,-85.0355
2001-02-05,0.8295,-1.718,-0.4799,1.7791,-0.4202,,,93.7288,-85.2926
2001-02-06,0.831,0.1808,-1.1303,-0.1202,-0.5981,,,93.8983,-85.266
2001-02-07,0.8295,-0.1805,-2.2392,-0.4202,-0.7775,,,93.7288,-85.2926
2001-02-08,0.8295,0.0,-2.4118,-0.0602,0.5455,,,93.7288,-85.2926
2001-02-09,0.82,-1.1453,-2.8436,-1.3237,-1.0259,,,92.6554,-85.461
2001-02-12,0.8175,-0.3049,-1.4467,-1.8018,-2.0372,,,92.3729,-85.5053
2001-02-13,0.8245,0.8563,-0.7822,-2.3683,-1.611,,,93.1638,-85.3812
2001-02-14,0.8215,-0.3639,-0.9644,-0.4242,-1.7932,,,92.8249,-85.4344
2001-02-15,0.827,0.6695,-0.3014,-0.5412,0.9768,,,93.4463,-85.3369
2001-02-16,0.825,-0.2418,0.6098,-4.8443,-0.1211,,,93.2203,-85.3723
2001-02-20,0.819,-0.7273,0.1835,-3.9859,-0.8475,,,92.5424,-85.4787
2001-02-21,0.801,-2.1978,-2.8502,-5.7092,-2.1381,,,90.5085,-85.7979
2001-02-22,0.801,0.0,-2.4954,-5.8754,-2.5547,,,90.5085,-85.7979
2001-02-23,0.7955,-0.6866,-3.809,-5.2976,-3.2238,,,89.887,-85.8954
2001-02-26,0.804,1.0685,-2.5455,-4.1716,-3.0157,,,90.8475,-85.7447
2001-02-27,0.801,-0.3731,-2.1978,-4.5292,-2.2575,,,90.5085,-85.7979
2001-02-28,0.81,1.1236,1.1236,-2.8194,-4.3119,,,91.5254,-85.6383
2001-03-01,0.821,1.358,2.4969,-2.32,-4.6458,,,92.7684,-85.4433
2001-03-02,0.8245,0.4263,3.6455,-2.8285,-3.2277,,,93.1638,-85.3812
2001-03-05,0.8335,1.0916,3.6692,-1.9412,-0.8918,-5.8192,,94.1808,-85.2216
2001-03-06,0.844,1.2597,5.3683,0.0,-1.8034,-4.6328,,95.3672,-85.0355
2001-03-07,0.834,-1.1848,2.963,0.5425,-3.0796,-6.1867,,94.2373,-85.2128
2001-03-08,0.821,-1.5588,0.0,-1.2034,-5.5236,-9.3819,,92.7684,-85.4433
2001-03-09,0.826,0.609,0.1819,-0.4219,-5.8153,-8.3749,,93.3333,-85.3546
2001-03-12,0.821,-0.6053,-1.4997,-1.0247,-6.5452,-9.3819,,92.7684,-85.4433
2001-03-13,0.8115,-1.1571,-3.8507,-1.0366,-8.5634,-11.0197,,91.6949,-85.6117
2001-03-14,0.804,-0.9242,-3.5971,-1.6514,-9.6121,-11.9387,,90.8475,-85.7447
2001-03-15,0.8025,-0.1866,-2.2533,-2.6683,-9.1681,-13.5703,,90.678,-85.7713
2001-03-16,0.7835,-2.3676,-5.1453,-4.6257,-11.0165,-15.5256,,88.5311,-86.1082
2001-03-19,0.791,0.9572,-3.6541,-4.3531,-11.0236,-14.5327,,89.3785,-85.9752
2001-03-20,0.794,0.3793,-2.1565,-3.7576,-8.9971,-13.6957,,89.7175,-85.922
2001-03-21,0.7855,-1.0705,-2.301,-4.0904,-10.1772,-14.4801,,88.7571,-86.0727
2001-03-22,0.7785,-0.8911,-2.9907,-2.809,-10.9268,-15.5182,,87.9661,-86.1968
2001-03-23,0.7805,0.2569,-0.3829,-2.5593,-9.5597,-13.4221,,88.1921,-86.1613
2001-03-26,0.777,-0.4484,-1.7699,-2.3256,-9.229,-16.0454,,87.7966,-86.2234
2001-03-27,0.786,1.1583,-1.0076,-2.2388,-8.6047,-14.5188,,88.8136,-86.0638
2001-03-28,0.7675,-2.3537,-2.2915,-4.1823,-11.1175,-17.206,,86.7232,-86.3918
2001-03-29,0.7695,0.2606,-1.1561,-5.0,-9.2035,-16.0393,,86.9492,-86.3564
2001-03-30,0.7585,-1.4295,-2.8187,-7.6127,-11.0264,-16.8767,,85.7062,-86.5514
2001-04-02,0.755,-0.4614,-2.8314,-8.4294,-10.8092,-17.124,,85.3107,-86.6135
2001-04-03,0.761,0.7947,-3.1807,-8.6983,-6.9682,-16.876,,85.9887,-86.5071
2001-04-04,0.761,0.0,-0.8469,-9.8341,-7.5896,-14.9721,,85.9887,-86.5071
2001-04-05,0.764,0.3942,-0.7148,-8.3933,-6.2577,-14.9694,,86.3277,-86.4539
2001-04-06,0.746,-2.356,-1.648,-9.1352,-10.3365,-16.7875,,84.2938,-86.773
2001-04-09,0.756,1.3405,0.1324,-8.4746,-9.2437,-16.8774,,85.4237,-86.5957
2001-04-10,0.765,1.1905,0.5256,-6.8209,-7.8313,-15.4229,,86.4407,-86.4362
