date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-07-17,179.25,,,,,,,100.0,-59.0286
2000-07-18,180.75,0.8368,,,,,,100.8368,-58.6857
2000-07-19,182.0,0.6916,,,,,,101.5342,-58.4
2000-07-20,186.0,2.1978,,,,,,103.7657,-57.4857
2000-07-21,187.75,0.9409,,,,,,104.742,-57.0857
2000-07-24,184.5,-1.731,2.9289,,,,,102.9289,-57.8286
2000-07-25,182.75,-0.9485,1.1065,,,,,101.9526,-58.2286
2000-07-26,180.5,-1.2312,-0.8242,,,,,100.6974,-58.7429
2000-07-27,181.0,0.277,-2.6882,,,,,100.9763,-58.6286
2000-07-28,180.25,-0.4144,-3.9947,,,,,100.5579,-58.8
2000-07-31,180.25,0.0,-2.3035,,,,,100.5579,-58.8
2000-08-01,179.75,-0.2774,-1.6416,,,,,100.2789,-58.9143
2000-08-02,180.5,0.4172,0.0,,,,,100.6974,-58.7429
2000-08-03,180.0,-0.277,-0.5525,,,,,100.4184,-58.8571
2000-08-04,178.75,-0.6944,-0.8322,,,,,99.7211,-59.1429
2000-08-07,177.75,-0.5594,-1.387,,,,,99.1632,-59.3714
2000-08-08,179.5,0.9845,-0.1391,,,,,100.1395,-58.9714
2000-08-09,178.25,-0.6964,-1.2465,,,,,99.4421,-59.2571
2000-08-10,177.25,-0.561,-1.5278,,,,,98.8842,-59.4857
2000-08-11,174.75,-1.4104,-2.2378,,,,,97.4895,-60.0571
2000-08-14,175.75,0.5722,-1.1252,,,,,98.0474,-59.8286
2000-08-15,175.75,0.0,-2.0891,-1.9526,,,,98.0474,-59.8286
2000-08-16,178.5,1.5647,0.1403,-1.2448,,,,99.5816,-59.2
2000-08-17,178.5,0.0,0.7052,-1.9231,,,,99.5816,-59.2
2000-08-18,177.5,-0.5602,1.5737,-4.5699,,,,99.0237,-59.4286
2000-08-21,176.25,-0.7042,0.2845,-6.1252,,,,98.3264,-59.7143
2000-08-22,175.5,-0.4255,-0.1422,-4.878,,,,97.9079,-59.8857
2000-08-23,175.25,-0.1425,-1.8207,-4.104,,,,97.7685,-59.9429
2000-08-24,176.0,0.428,-1.4006,-2.4931,,,,98.1869,-59.7714
2000-08-25,176.5,0.2841,-0.5634,-2.4862,,,,98.4658,-59.6571
2000-08-28,179.5,1.6997,1.844,-0.4161,,,,100.1395,-58.9714
2000-08-29,184.25,2.6462,4.9858,2.2191,,,,102.7894,-57.8857
2000-08-30,181.5,-1.4925,3.5663,0.9736,,,,101.2552,-58.5143
2000-08-31,182.0,0.2755,3.4091,0.831,,,,101.5342,-58.4
2000-09-01,183.25,0.6868,3.8244,1.8056,,,,102.2315,-58.1143
2000-09-05,183.5,0.1364,2.2284,2.6573,,,,102.371,-58.0571
2000-09-06,186.25,1.4986,1.0855,4.782,,,,103.9052,-57.4286
2000-09-07,181.0,-2.8188,-0.2755,0.8357,,,,100.9763,-58.6286
2000-09-08,181.75,0.4144,-0.1374,1.9635,,,,101.3947,-58.4571
2000-09-11,184.25,1.3755,0.5457,3.9492,,,,102.7894,-57.8857
2000-09-12,186.0,0.9498,1.3624,6.4378,,,,103.7657,-57.4857
2000-09-13,182.5,-1.8817,-2.0134,3.8407,,,,101.8131,-58.2857
2000-09-14,181.0,-0.8219,0.0,2.9872,,,,100.9763,-58.6286
