date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,51.07,,,,,,,100.0,-20.2156
2000-01-04,50.73,-0.6658,,,,,,99.3342,-20.7468
2000-01-05,51.56,1.6361,,,,,,100.9595,-19.4501
2000-01-06,52.08,1.0085,,,,,,101.9777,-18.6377
2000-01-07,53.96,3.6098,,,,,,105.6589,-15.7007
2000-01-10,53.56,-0.7413,4.8757,,,,,104.8757,-16.3256
2000-01-11,54.18,1.1576,6.8007,,,,,106.0897,-15.357
2000-01-12,53.72,-0.849,4.1893,,,,,105.189,-16.0756
2000-01-13,54.75,1.9173,5.1267,,,,,107.2058,-14.4665
2000-01-14,55.12,0.6758,2.1497,,,,,107.9303,-13.8885
2000-01-18,54.76,-0.6531,2.2405,,,,,107.2254,-14.4509
2000-01-19,57.75,5.4602,6.5891,,,,,113.0801,-9.7797
2000-01-20,57.44,-0.5368,6.9248,,,,,112.4731,-10.264
2000-01-21,56.15,-2.2458,2.5571,,,,,109.9471,-12.2793
2000-01-24,56.35,0.3562,2.2315,,,,,110.3387,-11.9669
2000-01-25,57.86,2.6797,5.6611,,,,,113.2955,-9.6079
2000-01-26,57.42,-0.7605,-0.5714,,,,,112.4339,-10.2953
2000-01-27,57.53,0.1916,0.1567,,,,,112.6493,-10.1234
2000-01-28,57.45,-0.1391,2.3152,,,,,112.4927,-10.2484
2000-01-31,57.86,0.7137,2.6797,,,,,113.2955,-9.6079
2000-02-01,57.13,-1.2617,-1.2617,,,,,111.8661,-10.7483
2000-02-02,57.04,-0.1575,-0.6618,11.6898,,,,111.6898,-10.8889
2000-02-03,56.09,-1.6655,-2.503,10.5657,,,,109.8296,-12.3731
2000-02-04,56.08,-0.0178,-2.3847,8.7665,,,,109.8101,-12.3887
2000-02-07,56.18,0.1783,-2.9036,7.8725,,,,110.0059,-12.2325
2000-02-08,55.3,-1.5664,-3.2032,2.4833,,,,108.2827,-13.6073
2000-02-09,55.8,0.9042,-2.1739,4.1822,,,,109.2618,-12.8261
2000-02-10,57.54,3.1183,2.5851,6.2016,,,,112.6689,-10.1078
2000-02-11,56.97,-0.9906,1.587,6.0499,,,,111.5528,-10.9983
2000-02-14,57.26,0.509,1.9224,4.5845,,,,112.1206,-10.5452
2000-02-15,55.74,-2.6546,0.7957,1.1248,,,,109.1443,-12.9199
2000-02-16,55.4,-0.61,-0.7168,1.1687,,,,108.4786,-13.451
2000-02-17,55.47,0.1264,-3.5975,-3.948,,,,108.6156,-13.3417
2000-02-18,57.09,2.9205,0.2106,-0.6093,,,,111.7877,-10.8108
2000-02-22,58.8,2.9953,2.6895,4.7195,,,,115.1361,-8.1394
2000-02-23,58.42,-0.6463,4.808,3.6735,,,,114.392,-8.733
2000-02-24,58.15,-0.4622,4.9639,0.5012,,,,113.8633,-9.1548
2000-02-25,56.88,-2.184,2.5419,-0.9404,,,,111.3765,-11.1389
2000-02-28,57.58,1.2307,0.8583,0.0869,,,,112.7472,-10.0453
2000-02-29,56.6,-1.702,-3.7415,-1.4796,,,,110.8283,-11.5763
2000-03-01,59.5,5.1237,1.8487,2.8344,,,,116.5068,-7.0458
2000-03-02,58.65,-1.4286,0.8598,2.6606,,,,114.8424,-8.3737
2000-03-03,59.05,0.682,3.815,3.5238,,,,115.6256,-7.7488
2000-03-06,59.4,0.5927,3.1608,5.9012,,,,116.3109,-7.202
2000-03-07,59.65,0.4209,5.3887,6.3659,,,,116.8005,-6.8114
2000-03-08,60.5,1.425,1.6807,7.6896,,,,118.4649,-5.4835
2000-03-09,61.01,0.843,4.0239,10.3255,,,,119.4635,-4.6868
2000-03-10,63.6,4.2452,7.7053,13.9785,,,,124.5349,-0.6405
2000-03-13,63.21,-0.6132,6.4141,9.854,,,,123.7713,-1.2498
2000-03-14,63.36,0.2373,6.2196,11.2164,,,,124.065,-1.0155
2000-03-15,63.22,-0.221,4.4959,10.4087,,,,123.7909,-1.2342
2000-03-16,62.54,-1.0756,2.5078,12.1995,,,,122.4594,-2.2965
2000-03-17,62.69,0.2398,-1.4308,13.1588,,,,122.7531,-2.0622
2000-03-20,61.14,-2.4725,-3.2748,10.2217,,,,119.718,-4.4837
2000-03-21,61.38,0.3925,-3.125,7.5145,,,,120.188,-4.1087
2000-03-22,59.86,-2.4764,-5.3148,1.8027,,,,117.2117,-6.4834
2000-03-23,59.04,-1.3699,-5.5964,1.0613,,,,115.606,-7.7644
2000-03-24,58.81,-0.3896,-6.1892,1.135,,,,115.1557,-8.1237
2000-03-27,59.21,0.6802,-3.1567,4.0963,,,,115.9389,-7.4988
2000-03-28,59.15,-0.1013,-3.6331,2.7266,,,,115.8214,-7.5926
2000-03-29,57.95,-2.0287,-3.1908,2.3852,,,,113.4717,-9.4673
2000-03-30,57.57,-0.6557,-2.4898,-3.2437,,,,112.7276,-10.0609
2000-03-31,58.14,0.9901,-1.1393,-0.8696,,,,113.8437,-9.1704
2000-04-03,58.39,0.43,-1.3849,-1.1177,14.3333,,,114.3333,-8.7799
2000-04-04,57.21,-2.0209,-3.2798,-3.6869,12.7735,,,112.0227,-10.6233
2000-04-05,56.4,-1.4158,-2.6747,-5.4484,9.3871,,,110.4367,-11.8888
2000-04-06,55.68,-1.2766,-3.283,-7.9669,6.9124,,,109.0268,-13.0136
2000-04-07,56.29,1.0955,-3.182,-7.7364,4.318,,,110.2213,-12.0606
2000-04-10,55.99,-0.533,-4.1103,-11.9654,4.537,,,109.6338,-12.5293
2000-04-11,54.95,-1.8575,-3.9504,-13.0676,1.4212,,,107.5974,-14.154
