date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,64.7318,,,,
2000-04-01,65.1962,,0.7174,,
2000-07-01,67.7037,,3.8462,,
2000-10-01,67.8895,,0.2743,20.9869,
2001-01-01,68.6325,,1.0944,22.8088,
2001-04-01,69.1897,,0.8119,9.0724,
2001-07-01,69.3754,,0.2685,9.0468,14.8618
2001-10-01,70.0255,,0.9371,8.3696,15.3635
2002-01-01,70.6756,,0.9284,8.8713,8.9718
2002-04-01,71.14,,0.657,10.5689,9.8052
2002-07-01,71.6044,,0.6527,9.3282,8.8478
2002-10-01,72.0687,,0.6485,8.1206,8.4953
2003-01-01,72.9974,12.769,1.2886,10.86,10.7143
2003-04-01,72.9974,11.9658,0.0,8.0122,8.6682
2003-07-01,73.4618,8.5048,0.6361,7.959,8.0398
2003-10-01,73.8333,8.7551,0.5057,4.6595,7.7151
2004-01-01,74.4834,8.525,0.8805,8.3946,8.2032
2004-04-01,74.8549,8.1879,0.4988,7.8038,7.8814
2004-07-01,75.1335,8.2999,0.3722,7.2323,5.9381
2004-10-01,75.6907,8.0902,0.7416,6.6431,7.5153
2005-01-01,76.248,7.8844,0.7362,7.6546,7.7292
2005-04-01,76.7123,7.8329,0.609,8.6741,7.9508
2005-07-01,77.4553,8.1712,0.9685,9.6564,8.1393
2005-10-01,77.8268,7.9897,0.4796,8.5434,8.0981
2006-01-01,78.4769,7.5064,0.8353,9.5233,9.0979
2006-04-01,79.7771,9.2875,1.6568,12.5404,11.089
2006-07-01,80.5201,9.6081,0.9313,14.5778,11.5198
2006-10-01,80.4272,8.9308,-0.1153,10.3176,9.9197
2007-01-01,80.4272,7.98,0.0,3.2996,7.8211
2007-04-01,81.4488,8.8089,1.2702,4.6941,9.5245
2007-07-01,82.006,9.1471,0.6841,8.0864,9.1963
2007-10-01,82.749,9.3252,0.906,12.0571,7.5893
2008-01-01,83.8635,9.9878,1.3468,12.3964,8.4769
2008-04-01,85.0708,10.8959,1.4396,15.8082,11.8807
2008-07-01,86.0924,11.1511,1.2009,17.1677,14.5839
2008-10-01,85.8138,10.2625,-0.3236,9.6319,11.0055
2009-01-01,85.9067,9.4674,0.1082,3.9884,9.7393
2009-04-01,86.2782,8.149,0.4324,0.8658,8.7116
2009-07-01,87.114,8.1892,0.9688,6.1997,7.9022
2009-10-01,87.5784,8.8915,0.533,8.014,5.9821
2010-01-01,88.4142,9.9307,0.9544,10.277,5.4665
2010-04-01,88.9714,9.236,0.6302,8.8055,7.4947
2010-07-01,89.6215,9.2865,0.7307,9.6636,8.8356
2010-10-01,89.993,8.7542,0.4145,7.3364,8.7968
2011-01-01,91.2932,8.8594,1.4448,10.8542,9.825
2011-04-01,92.1291,8.2969,0.9156,11.6703,10.6624
2011-07-01,92.6863,7.6591,0.6048,12.5194,9.8974
2011-10-01,92.6863,8.0087,0.0,6.2449,8.5251
2012-01-01,92.7792,8.0,0.1002,2.8526,7.1708
2012-04-01,93.2436,8.0732,0.5005,2.4266,7.3544
2012-07-01,94.5438,8.5288,1.3944,8.2602,7.2478
2012-10-01,94.7295,8.1654,0.1965,8.6773,5.7248
2013-01-01,95.101,7.563,0.3922,8.2094,5.2783
2013-04-01,95.4725,7.3069,0.3906,3.9876,6.1024
2013-07-01,96.587,7.772,1.1673,8.0768,8.3766
2013-10-01,97.3299,8.1527,0.7692,9.7098,8.957
2014-01-01,97.8872,7.2228,0.5725,10.507,7.1978
2014-04-01,98.3515,6.754,0.4744,7.5104,7.7933
2014-07-01,98.8159,6.6132,0.4721,6.2481,7.9651
2014-10-01,99.0016,6.8136,0.188,4.6325,7.5296
2015-01-01,99.1874,6.9069,0.1876,3.443,5.4571
2015-04-01,99.8375,7.0717,0.6554,4.1999,5.219
2015-07-01,100.3018,6.0903,0.4651,5.3575,4.9944
2015-10-01,100.6733,6.2745,0.3704,6.1284,4.7771
2016-01-01,100.4876,5.6641,-0.1845,2.6303,3.4121
2016-04-01,100.8591,5.6421,0.3697,2.2411,3.7876
2016-07-01,101.602,5.1923,0.7366,3.7413,4.9281
2016-10-01,102.1593,4.9619,0.5485,6.8223,4.7053
2017-01-01,102.6236,4.8387,0.4545,7.1837,4.6832
2017-04-01,102.8094,4.5326,0.181,4.8389,4.2886
2017-07-01,103.4595,4.6993,0.6323,5.1889,6.0024
2017-10-01,104.1096,5.1595,0.6284,5.9191,6.5495
2018-01-01,104.574,5.4308,0.4461,7.0443,5.9358
2018-04-01,104.9454,5.1162,0.3552,5.8698,5.5288
2018-07-01,105.4098,5.0926,0.4425,5.0899,5.5037
2018-10-01,105.967,5.2583,0.5286,5.4357,6.237
2019-01-01,105.967,5.4528,0.0,3.9511,4.906
2019-04-01,106.6171,5.709,0.6135,4.6607,4.875
2019-07-01,107.1744,5.4845,0.5227,4.6361,5.0352
2019-10-01,107.9173,5.6363,0.6932,7.5677,5.7439
2020-01-01,108.2888,5.5204,0.3442,6.4208,5.5371
2020-04-01,106.2456,3.3423,-1.8868,-3.4217,0.5265
2020-07-01,107.9173,4.3087,1.5734,0.0,3.7148
2020-10-01,108.8461,4.5495,0.8607,2.0745,4.225
2021-01-01,109.4962,4.7069,0.5973,12.8112,4.3797
2021-04-01,110.332,5.1328,0.7633,9.2551,4.5252
2021-07-01,111.1679,5.4626,0.7576,8.8093,5.3881
2021-10-01,112.6538,6.3103,1.3366,12.0436,12.4268
2022-01-01,115.0685,8.589,2.1435,18.3096,13.6922
2022-04-01,117.1117,9.8433,1.7756,23.1639,15.7643
2022-07-01,119.2477,11.2651,1.8239,25.55,18.6047
2022-10-01,121.4767,12.5646,1.8692,24.207,21.2224
2023-01-01,123.1484,13.7222,1.3761,22.2683,22.7153
2023-04-01,124.17,16.8707,0.8296,17.5619,21.4903
2023-07-01,125.6559,16.4372,1.1967,14.4879,19.2485
2023-10-01,126.3989,16.1263,0.5913,10.9834,16.4893
2024-01-01,127.6062,16.5394,0.9552,11.5374,14.51
2024-04-01,128.9064,16.835,1.0189,10.7558,12.6064
2024-07-01,129.185,16.2071,0.2161,9.1127,10.0441
2024-10-01,129.4637,14.9217,0.2157,5.951,8.7083
2025-01-01,130.671,13.5593,0.9325,5.5891,8.1416
