date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,37.085,,,,
2000-02-01,37.1333,,0.1301,,
2000-03-01,37.215,,0.2199,,
2000-04-01,37.3714,,0.4202,3.1241,
2000-05-01,37.3751,,0.0099,2.6298,
2000-06-01,37.4611,,0.2303,2.6722,
2000-07-01,38.0644,,1.6103,7.6266,5.3513
2000-08-01,38.563,,1.3099,13.3323,7.8484
2000-09-01,38.6516,,0.2298,13.3303,7.8697
2000-10-01,38.7057,,0.1399,6.9111,7.2682
2000-11-01,38.8296,,0.3201,2.7939,7.9346
2000-12-01,39.0585,,0.5898,4.2784,8.7102
2001-01-01,39.2813,5.9221,0.5702,6.0827,6.4961
2001-02-01,39.462,6.2712,0.4601,6.6763,4.7171
2001-03-01,39.6119,6.4407,0.3798,5.7884,5.0307
2001-04-01,39.8416,6.61,0.5799,5.8289,5.9557
2001-05-01,40.0049,7.0364,0.4099,5.6176,6.1456
2001-06-01,40.213,7.346,0.5202,6.2099,5.999
2001-07-01,40.7478,7.0498,1.3299,9.4136,7.6063
2001-08-01,41.033,6.4051,0.6998,10.6823,8.1203
2001-09-01,41.1478,6.4583,0.2799,9.6275,7.9052
2001-10-01,41.4893,7.1919,0.83,7.4801,8.4426
2001-11-01,41.784,7.6088,0.7102,7.5247,9.0921
2001-12-01,42.0557,7.6734,0.6502,9.1217,9.3744
2002-01-01,42.2745,7.6199,0.5202,7.787,7.6335
2002-02-01,42.4267,7.5127,0.36,6.2957,6.9084
2002-03-01,42.6812,7.7484,0.5999,6.0834,7.5919
2002-04-01,43.0227,7.9844,0.8002,7.27,7.5282
2002-05-01,43.113,7.7691,0.2098,6.6291,6.4623
2002-06-01,43.2939,7.6614,0.4198,5.8673,5.9753
2002-07-01,43.8092,7.513,1.1902,7.5156,7.3927
2002-08-01,44.0939,7.4597,0.6498,9.4166,8.0138
2002-09-01,44.4113,7.9311,0.7198,10.7302,8.2714
2002-10-01,44.9932,8.4452,1.3102,11.2563,9.37
2002-11-01,46.3521,10.9326,3.0202,22.1132,15.5907
2002-12-01,47.3254,12.5303,2.0998,28.9443,19.4907
2003-01-01,48.3903,14.467,2.2503,33.797,22.0072
2003-02-01,49.1501,15.8473,1.5702,26.4219,24.2489
2003-03-01,49.7548,16.5731,1.2301,22.1695,25.5112
2003-04-01,50.2374,16.7694,0.9699,16.1646,24.6695
2003-05-01,50.5438,17.2359,0.6101,11.834,18.9045
2003-06-01,50.468,16.5706,-0.1501,5.8583,13.7218
2003-07-01,50.5689,15.4298,0.2,2.666,9.2069
2003-08-01,50.7408,15.0745,0.34,1.568,6.5775
2003-09-01,51.1366,15.1433,0.7801,5.4059,5.6319
2003-10-01,51.2849,13.9837,0.2899,5.7849,4.2138
2003-11-01,51.4594,11.0185,0.3402,5.7859,3.6555
2003-12-01,51.7269,9.3005,0.5198,4.6975,5.0511
2004-01-01,52.1199,7.7073,0.7598,6.6735,6.2283
2004-02-01,52.4378,6.6889,0.6099,7.8248,6.8005
2004-03-01,52.6842,5.8877,0.4699,7.6106,6.1441
2004-04-01,52.879,5.2584,0.3699,5.9547,6.3135
2004-05-01,53.1486,5.1535,0.5098,5.534,6.6733
2004-06-01,53.5259,6.0591,0.7098,6.5456,7.0768
2004-07-01,54.0129,6.8105,0.9098,8.8567,7.3959
2004-08-01,54.3855,7.1829,0.6899,9.6386,7.5667
2004-09-01,54.5651,6.7045,0.3302,7.9949,7.2678
2004-10-01,54.8052,6.8642,0.4401,5.998,7.4178
2004-11-01,55.1834,7.2368,0.69,5.9988,7.8034
2004-12-01,55.6579,7.5995,0.8598,8.2547,8.1247
2005-01-01,55.9806,7.4073,0.5798,8.8585,7.4188
2005-02-01,56.311,7.3863,0.5902,8.4273,7.2062
2005-03-01,56.6544,7.5358,0.6098,7.3562,7.8045
2005-04-01,57.1471,8.0714,0.8698,8.5996,8.729
2005-05-01,57.4272,8.0501,0.49,8.1678,8.2974
2005-06-01,57.4156,7.2669,-0.0202,5.4839,6.4159
2005-07-01,57.5592,6.5657,0.2501,2.9155,5.7194
2005-08-01,57.6571,6.0156,0.1701,1.6112,4.8382
2005-09-01,57.859,6.0366,0.3501,3.1249,4.2977
2005-10-01,58.2928,6.3636,0.7499,5.1965,4.0498
2005-11-01,58.6135,6.2158,0.5501,6.8016,4.1741
2005-12-01,58.8244,5.6892,0.3598,6.8431,4.9675
2006-01-01,59.1714,5.6999,0.59,6.1668,5.6805
2006-02-01,59.4141,5.5108,0.4101,5.5771,6.1876
2006-03-01,59.6696,5.3222,0.4299,5.8725,6.3567
2006-04-01,59.7949,4.6332,0.21,4.2813,5.2198
2006-05-01,59.8547,4.2272,0.1001,2.9994,4.2803
2006-06-01,59.729,4.0292,-0.2101,0.3987,3.0993
2006-07-01,59.8424,3.9668,0.19,0.3186,2.2808
2006-08-01,59.8724,3.8421,0.05,0.1179,1.5484
2006-09-01,59.9981,3.6972,0.21,1.8146,1.1042
2006-10-01,60.196,3.2649,0.3298,2.3844,1.3463
2006-11-01,60.3826,3.0182,0.3099,3.4523,1.7715
2006-12-01,60.6723,3.1415,0.4799,4.5713,3.1838
2007-01-01,60.9394,2.9878,0.4401,5.0319,3.6997
2007-02-01,61.2076,3.0186,0.4401,5.5785,4.51
2007-03-01,61.434,2.957,0.37,5.117,4.8438
2007-04-01,61.5876,2.9982,0.25,4.3234,4.677
2007-05-01,61.76,3.1832,0.2799,3.6593,4.6145
2007-06-01,61.9329,3.6898,0.2799,3.2877,4.1983
2007-07-01,62.0816,3.7417,0.2401,3.247,3.7838
2007-08-01,62.3734,4.1774,0.4701,4.0326,3.8458
2007-09-01,62.4857,4.1462,0.18,3.6189,3.4532
2007-10-01,62.6732,4.1152,0.3,3.8668,3.5564
2007-11-01,62.9112,4.1878,0.3798,3.4938,3.7629
2007-12-01,63.3769,4.4576,0.7402,5.8279,4.7176
2008-01-01,63.7191,4.5615,0.54,6.8443,5.345
2008-02-01,64.0314,4.6135,0.4901,7.3146,5.3869
2008-03-01,64.3388,4.7283,0.4801,6.2107,6.0192
2008-04-01,64.6926,5.0416,0.5499,6.2528,6.5481
2008-05-01,65.2038,5.576,0.7901,7.5273,7.4209
2008-06-01,65.6864,6.0606,0.7401,8.6446,7.4208
2008-07-01,66.0344,6.3671,0.5298,8.5577,7.3991
2008-08-01,66.2193,6.1658,0.28,6.3768,6.9505
2008-09-01,66.3914,6.2505,0.26,4.3632,6.4824
2008-10-01,66.6903,6.4095,0.4501,4.0327,6.2711
2008-11-01,66.9304,6.3886,0.3601,4.3652,5.3662
2008-12-01,67.1179,5.9027,0.2801,4.4491,4.4061
2009-01-01,67.4399,5.8393,0.4798,4.5726,4.3023
2009-02-01,67.8109,5.9025,0.5501,5.3668,4.8648
2009-03-01,67.9464,5.6071,0.1998,5.0298,4.739
2009-04-01,68.2726,5.5338,0.4801,5.0311,4.8016
2009-05-01,68.5935,5.1986,0.47,4.6968,5.0313
2009-06-01,68.8403,4.8016,0.3599,5.3674,5.1985
2009-07-01,69.0055,4.4994,0.24,4.3638,4.6969
2009-08-01,69.109,4.3638,0.1499,3.0404,3.8653
2009-09-01,69.2749,4.3431,0.24,2.549,3.9487
2009-10-01,69.4688,4.1664,0.28,2.7129,3.535
2009-11-01,69.7538,4.2183,0.4101,3.7844,3.4117
2009-12-01,70.0118,4.3117,0.3699,4.3232,3.4323
2010-01-01,70.5368,4.5921,0.7499,6.2925,4.4874
2010-02-01,71.0869,4.8311,0.7799,7.8669,5.8059
2010-03-01,71.4565,5.166,0.5199,8.5132,6.3976
2010-04-01,71.8639,5.2603,0.5702,7.7408,7.0142
2010-05-01,72.1729,5.2184,0.43,6.2525,7.0567
2010-06-01,72.1729,4.8411,0.0,4.0713,6.2691
2010-07-01,72.1801,4.6005,0.01,1.7718,4.7138
2010-08-01,72.2089,4.4856,0.0399,0.1995,3.1816
2010-09-01,72.5337,4.7042,0.4498,2.0146,3.0378
2010-10-01,73.0778,5.1951,0.7501,5.0681,3.4068
2010-11-01,73.6843,5.6349,0.8299,8.4266,4.2319
2010-12-01,74.1485,5.9087,0.6301,9.207,5.5495
2011-01-01,74.7641,5.993,0.8301,9.5544,7.2878
2011-02-01,75.3622,6.0142,0.8,9.4245,8.9244
2011-03-01,75.9575,6.299,0.79,10.1218,9.6634
2011-04-01,76.5424,6.5102,0.77,9.8595,9.7068
2011-05-01,76.9023,6.5528,0.4701,8.4284,8.9253
2011-06-01,77.0176,6.7126,0.1499,5.7003,7.8884
2011-07-01,77.1408,6.8726,0.16,3.1638,6.459
2011-08-01,77.4262,7.2252,0.3699,2.7529,5.5525
2011-09-01,77.8366,7.3109,0.5301,4.3219,5.0089
2011-10-01,78.1714,6.9701,0.4301,5.452,4.3016
2011-11-01,78.5779,6.6413,0.52,6.0841,4.4052
2011-12-01,78.9707,6.5034,0.4999,5.9566,5.1361
2012-01-01,79.4129,6.218,0.56,6.5057,5.9775
2012-02-01,79.7702,5.8491,0.4499,6.209,6.1465
2012-03-01,79.9377,5.24,0.21,4.9889,5.4716
2012-04-01,80.4493,5.1042,0.64,5.3234,5.9129
2012-05-01,80.7388,4.9889,0.3599,4.9464,5.5758
2012-06-01,80.8033,4.9154,0.0799,4.4024,4.6953
2012-07-01,81.1509,5.1984,0.4301,3.5343,4.425
2012-08-01,81.4836,5.2404,0.41,3.7411,4.342
2012-09-01,81.9481,5.2822,0.57,5.7884,5.0931
2012-10-01,82.4316,5.4498,0.59,6.4637,4.9888
2012-11-01,82.9262,5.5338,0.6001,7.2722,5.4919
2012-12-01,83.5814,5.8386,0.7901,8.2143,6.9944
2013-01-01,84.3002,6.1543,0.86,9.3806,7.9123
2013-02-01,84.806,6.3129,0.6,9.3801,8.321
2013-03-01,85.2046,6.5888,0.47,7.9973,8.1057
2013-04-01,85.6733,6.4935,0.55,6.676,8.0198
2013-05-01,85.9902,6.5041,0.3699,5.7035,7.5261
2013-06-01,86.2139,6.6959,0.2601,4.8229,6.3982
2013-07-01,86.2396,6.2707,0.0299,2.6705,4.6541
2013-08-01,86.4466,6.0907,0.24,2.1398,3.9064
2013-09-01,86.7491,5.8586,0.35,2.5066,3.6582
2013-10-01,87.2435,5.8375,0.5699,4.7384,3.6993
2013-11-01,87.7147,5.7744,0.5401,5.9984,4.0512
2013-12-01,88.5217,5.9107,0.92,8.4273,5.4254
2014-01-01,89.0084,5.5851,0.5499,8.3408,6.5244
2014-02-01,89.6226,5.6795,0.69,8.9882,7.4829
2014-03-01,90.4471,6.1529,0.92,8.9886,8.7076
2014-04-01,91.0532,6.2796,0.67,9.5104,8.924
2014-05-01,91.472,6.3749,0.4599,8.5131,8.7504
2014-06-01,91.8378,6.5233,0.4,6.2935,7.6326
2014-07-01,91.8471,6.5022,0.0101,3.5337,6.4801
2014-08-01,92.0768,6.513,0.2501,2.6714,5.5518
2014-09-01,92.6016,6.7465,0.57,3.3684,4.8208
2014-10-01,92.9905,6.5872,0.4199,5.0732,4.3006
2014-11-01,93.4647,6.5553,0.51,6.167,4.4045
2014-12-01,94.1937,6.4075,0.78,7.0564,5.1963
2015-01-01,95.3616,7.1377,1.2399,10.5964,7.7994
