date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,73.8741,,,,
2000-02-01,74.3482,,0.6417,,
2000-03-01,74.9012,,0.7439,,
2000-04-01,74.6642,,-0.3165,4.3472,
2000-05-01,74.9802,,0.4233,3.4443,
2000-06-01,75.4543,,0.6322,2.9865,
2000-07-01,75.6913,,0.3141,5.6173,4.9803
2000-08-01,75.6123,,-0.1044,3.4149,3.4296
2000-09-01,75.9284,,0.418,2.5369,2.7614
2000-10-01,76.0864,,0.2081,2.1041,3.8458
2000-11-01,76.3234,,0.3115,3.8151,3.6148
2000-12-01,76.4024,,0.1035,2.5208,2.5289
2001-01-01,76.0864,2.9947,-0.4136,0.0,1.0466
2001-02-01,76.4814,2.8693,0.5192,0.8307,2.312
2001-03-01,76.7185,2.4262,0.3099,1.6649,2.092
2001-04-01,77.2715,3.4921,0.7209,6.3776,3.1395
2001-05-01,77.9036,3.8988,0.818,7.6481,4.1837
2001-06-01,77.9826,3.3508,0.1014,6.7559,4.1793
2001-07-01,77.7456,2.714,-0.304,2.4767,4.4089
2001-08-01,77.7456,2.8213,0.0,-0.8089,3.3331
2001-09-01,77.9036,2.6015,0.2033,-0.4047,3.1135
2001-10-01,77.5086,1.8692,-0.5071,-1.214,0.6144
2001-11-01,76.7975,0.6211,-0.9174,-4.7896,-2.8196
2001-12-01,76.9555,0.7239,0.2058,-4.78,-2.6169
2002-01-01,77.1135,1.3499,0.2053,-2.0232,-1.6194
2002-02-01,77.5876,1.4463,0.6148,4.1792,-0.4061
2002-03-01,78.1406,1.8538,0.7128,6.304,0.6094
2002-04-01,78.6147,1.7382,0.6067,8.0172,2.8746
2002-05-01,78.7727,1.1156,0.201,6.2514,5.2102
2002-06-01,78.9307,1.2158,0.2006,4.1062,5.1993
2002-07-01,79.4048,2.1341,0.6006,4.0811,6.0309
2002-08-01,79.7208,2.5406,0.398,4.9021,5.5746
2002-09-01,79.7208,2.3327,0.0,4.0645,4.0854
2002-10-01,79.9579,3.16,0.2973,2.8153,3.4463
2002-11-01,80.1949,4.4239,0.2964,2.3999,3.6434
2002-12-01,79.8788,3.7988,-0.3941,0.7952,2.4168
2003-01-01,80.5899,4.5082,0.8902,3.1998,3.0074
2003-02-01,81.222,4.6843,0.7843,5.2224,3.8016
2003-03-01,81.459,4.2467,0.2918,8.1509,4.4083
2003-04-01,80.906,2.9146,-0.679,1.5779,2.3856
2003-05-01,80.985,2.8084,0.0977,-1.1622,1.9802
2003-06-01,80.985,2.6026,0.0,-2.3076,2.7887
2003-07-01,81.064,2.0896,0.0976,0.7835,1.1799
2003-08-01,81.301,1.9822,0.2924,1.5701,0.1946
2003-09-01,81.459,2.1804,0.1944,2.3621,0.0
2003-10-01,81.222,1.581,-0.291,0.782,0.7828
2003-11-01,81.459,1.5764,0.2918,0.7797,1.1742
2003-12-01,81.5381,2.0772,0.097,0.3885,1.3705
2004-01-01,81.6171,1.2745,0.0969,1.9598,1.3692
2004-02-01,81.7751,0.6809,0.1936,1.561,1.1696
2004-03-01,82.0911,0.7759,0.3865,2.7409,1.5579
2004-04-01,82.2492,1.6602,0.1925,3.134,2.5452
2004-05-01,82.9602,2.439,0.8645,5.9243,3.7197
2004-06-01,83.0392,2.5366,0.0952,4.7004,3.7161
2004-07-01,82.9602,2.3392,-0.0951,3.5033,3.3185
2004-08-01,82.8022,1.8465,-0.1905,-0.7597,2.5279
2004-09-01,82.9602,1.8429,0.1908,-0.38,2.1286
2004-10-01,83.1182,2.3346,0.1905,0.7641,2.1245
2004-11-01,83.4343,2.4248,0.3802,3.0885,1.1461
2004-12-01,83.2763,2.1318,-0.1894,1.5325,0.5717
2005-01-01,83.1973,1.9361,-0.0949,0.3808,0.5722
2005-02-01,83.5133,2.1256,0.3799,0.3793,1.7249
2005-03-01,83.9874,2.3099,0.5676,3.4596,2.4915
2005-04-01,84.2244,2.4015,0.2822,5.0305,2.6793
2005-05-01,84.3034,1.6191,0.0938,3.8384,2.0942
2005-06-01,84.4614,1.7127,0.1874,2.277,2.8666
2005-07-01,84.6194,2.0,0.1871,1.8894,3.448
2005-08-01,84.9355,2.5763,0.3735,3.033,3.4349
2005-09-01,85.6466,3.2381,0.8372,5.7319,3.9901
2005-10-01,85.2515,2.5665,-0.4613,3.0215,2.4539
2005-11-01,85.0935,1.9886,-0.1853,0.7463,1.8832
2005-12-01,85.0145,2.0873,-0.0929,-2.9195,1.3139
2006-01-01,85.4885,2.754,0.5576,1.1168,2.0647
2006-02-01,85.3305,2.176,-0.1848,1.1188,0.9324
2006-03-01,85.8046,2.1637,0.5556,3.7696,0.3693
2006-04-01,86.2786,2.439,0.5525,3.7484,2.4242
2006-05-01,86.6737,2.8116,0.4579,6.4465,3.7485
2006-06-01,86.5157,2.4322,-0.1823,3.3564,3.5628
2006-07-01,86.5947,2.3343,0.0913,1.4733,2.6046
2006-08-01,86.7527,2.1395,0.1825,0.3651,3.3611
2006-09-01,86.2786,0.738,-0.5464,-1.0914,1.108
2006-10-01,86.1206,1.0195,-0.1832,-2.1719,-0.366
2006-11-01,86.2786,1.3928,0.1835,-2.1679,-0.9095
2006-12-01,86.4367,1.6729,0.1832,0.7346,-0.1826
2007-01-01,86.4367,1.1091,0.0,1.476,-0.3646
2007-02-01,87.0687,2.037,0.7313,3.7136,0.7299
2007-03-01,87.7798,2.302,0.8167,6.3621,3.5101
2007-04-01,88.1749,2.1978,0.45,8.2898,4.8275
2007-05-01,88.5699,2.1878,0.448,7.0769,5.3819
2007-06-01,88.4119,2.1918,-0.1784,2.9116,4.6226
2007-07-01,88.4909,2.1898,0.0894,1.4414,4.8097
2007-08-01,88.2539,1.7304,-0.2679,-1.4197,2.7408
2007-09-01,88.4119,2.4725,0.1791,0.0,1.4453
2007-10-01,88.1749,2.3853,-0.2681,-1.4209,0.0
2007-11-01,88.4119,2.4725,0.2688,0.7181,-0.3565
2007-12-01,88.4909,2.3766,0.0894,0.3579,0.1788
2008-01-01,88.3329,2.1938,-0.1786,0.7188,-0.3568
2008-02-01,88.6489,1.8149,0.3578,1.0767,0.8973
2008-03-01,88.965,1.3501,0.3565,2.1601,1.255
2008-04-01,89.6761,1.7025,0.7993,6.2225,3.434
2008-05-01,90.5452,2.2302,0.9692,8.8346,4.884
2008-06-01,91.1772,3.1278,0.6981,10.324,6.1636
2008-07-01,91.4933,3.3929,0.3466,8.3555,7.2837
2008-08-01,91.3353,3.4915,-0.1727,3.5364,6.1525
2008-09-01,91.4143,3.3959,0.0865,1.0439,5.582
2008-10-01,90.4662,2.5986,-1.0372,-4.4155,1.7699
2008-11-01,90.1501,1.966,-0.3493,-5.0902,-0.8707
2008-12-01,89.518,1.1607,-0.7011,-8.0427,-3.6064
2009-01-01,89.281,1.0733,-0.2648,-5.1381,-4.7775
2009-02-01,89.9131,1.426,0.708,-1.0476,-3.09
2009-03-01,90.0711,1.2433,0.1757,2.4943,-2.9171
2009-04-01,89.9921,0.3524,-0.0877,3.2241,-1.0453
2009-05-01,90.6242,0.0873,0.7024,3.2012,1.0545
2009-06-01,90.9402,-0.26,0.3487,3.9159,3.2027
2009-07-01,90.6242,-0.9499,-0.3475,2.8392,3.0315
2009-08-01,90.6242,-0.7785,0.0,0.0,1.588
2009-09-01,90.6242,-0.8643,0.0,-1.3829,1.2318
2009-10-01,90.5452,0.0873,-0.0872,-0.3483,1.2329
2009-11-01,91.0192,0.9641,0.5236,1.7551,0.8737
2009-12-01,90.7032,1.3239,-0.3472,0.3492,-0.5206
2010-01-01,90.9402,1.8584,0.2613,1.7567,0.6987
2010-02-01,91.3353,1.5817,0.4344,1.3961,1.5755
2010-03-01,91.3353,1.4035,0.0,2.8167,1.5755
2010-04-01,91.6513,1.8437,0.346,3.1646,2.4582
2010-05-01,91.8883,1.3949,0.2586,2.4442,1.9188
2010-06-01,91.8093,0.9557,-0.086,2.0924,2.4539
2010-07-01,92.2834,1.8309,0.5163,2.7873,2.9758
2010-08-01,92.2044,1.7437,-0.0856,1.3828,1.9122
2010-09-01,92.3624,1.918,0.1714,2.4315,2.2618
2010-10-01,92.7574,2.4433,0.4277,2.0707,2.4283
2010-11-01,92.8364,1.9965,0.0852,2.7704,2.0743
2010-12-01,92.8364,2.3519,0.0,2.0689,2.25
2011-01-01,93.0735,2.3458,0.2553,1.3698,1.7197
2011-02-01,93.3105,2.1626,0.2547,2.0583,2.4137
2011-03-01,94.3376,3.2872,1.1008,6.6266,4.3229
2011-04-01,94.6537,3.2759,0.335,6.9661,4.1304
2011-05-01,95.2857,3.6973,0.6678,8.7401,5.3462
2011-06-01,94.6537,3.0981,-0.6634,1.3468,3.9532
2011-07-01,94.8117,2.7397,0.1669,0.6695,3.77
2011-08-01,95.0487,3.0848,0.25,-0.9913,3.7603
2011-09-01,95.2857,3.1651,0.2494,2.698,2.0202
2011-10-01,95.4438,2.8961,0.1658,2.6935,1.6764
2011-11-01,95.5228,2.8936,0.0828,2.01,0.4981
2011-12-01,94.9697,2.2979,-0.579,-1.3201,0.6689
2012-01-01,95.3648,2.4618,0.416,-0.3307,1.1701
2012-02-01,95.7598,2.6249,0.4143,0.9963,1.5019
2012-03-01,96.1549,1.9263,0.4125,5.0859,1.8325
2012-04-01,96.5499,2.0033,0.4108,5.0645,2.3313
2012-05-01,96.4709,1.2438,-0.0818,3.0036,1.995
2012-06-01,96.0758,1.5025,-0.4095,-0.3283,2.343
2012-07-01,95.9968,1.25,-0.0822,-2.2717,1.33
2012-08-01,96.2339,1.2469,0.2469,-0.9792,0.9926
2012-09-01,96.3919,1.1609,0.1642,1.3223,0.4936
2012-10-01,96.5499,1.1589,0.1639,2.3245,0.0
2012-11-01,96.3129,0.8271,-0.2455,0.3288,-0.3273
2012-12-01,95.7598,0.8319,-0.5742,-2.5973,-0.6568
2013-01-01,95.8388,0.4971,0.0825,-2.9136,-0.3289
