date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,92.799,,,,
2000-02-01,93.1478,,0.3758,,
2000-03-01,93.116,,-0.0341,,
2000-04-01,93.1974,,0.0874,1.7282,
2000-05-01,93.1516,,-0.0492,0.0164,
2000-06-01,93.4983,,0.3722,1.6525,
2000-07-01,93.5676,,0.0741,1.5983,1.6632
2000-08-01,93.3255,,-0.2587,0.7489,0.382
2000-09-01,93.7932,,0.5012,1.2677,1.4599
2000-10-01,93.6927,,-0.1072,0.5359,1.0657
2000-11-01,94.1394,,0.4767,3.5341,2.132
2000-12-01,94.0687,,-0.0751,1.1799,1.2238
2001-01-01,94.0012,1.2955,-0.0717,1.3238,0.9291
2001-02-01,93.8741,0.7798,-0.1352,-1.1223,1.1791
2001-03-01,94.0247,0.9759,0.1604,-0.187,0.4941
2001-04-01,94.2846,1.1666,0.2764,1.2113,1.2675
2001-05-01,94.7963,1.7657,0.5428,3.9879,1.4006
2001-06-01,94.976,1.5804,0.1895,4.1088,1.9383
2001-07-01,94.8322,1.3516,-0.1514,2.3435,1.7759
2001-08-01,94.3062,1.0508,-0.5547,-2.0524,0.9226
2001-09-01,94.4264,0.675,0.1274,-2.2948,0.8562
2001-10-01,94.2832,0.6303,-0.1516,-2.2957,-0.003
2001-11-01,94.4095,0.287,0.134,0.4391,-0.8145
2001-12-01,94.3746,0.3252,-0.0369,-0.2189,-1.2623
2002-01-01,94.4914,0.5215,0.1237,0.8862,-0.7175
2002-02-01,94.4885,0.6545,-0.0031,0.335,0.3871
2002-03-01,94.5037,0.5095,0.0161,0.5483,0.164
2002-04-01,95.3191,1.0972,0.8628,3.5501,2.2095
2002-05-01,95.4106,0.648,0.096,3.9611,2.132
2002-06-01,95.2855,0.3259,-0.1311,3.3502,1.9397
2002-07-01,94.7833,-0.0516,-0.527,-2.2295,0.6188
2002-08-01,94.7518,0.4726,-0.0332,-2.7334,0.5582
2002-09-01,94.8955,0.4968,0.1516,-1.6273,0.8308
2002-10-01,95.4497,1.2372,0.584,2.8421,0.2743
2002-11-01,95.2738,0.9154,-0.1843,2.2217,-0.2866
2002-12-01,95.2154,0.8908,-0.0613,1.3551,-0.1472
2003-01-01,95.2914,0.8467,0.0799,-0.6617,1.075
2003-02-01,95.3852,0.9491,0.0985,0.4688,1.3415
2003-03-01,95.7692,1.339,0.4025,2.347,1.8498
2003-04-01,95.9595,0.6719,0.1988,2.8341,1.0711
2003-05-01,95.8058,0.4142,-0.1602,1.7751,1.1199
2003-06-01,95.8077,0.548,0.002,0.1609,1.248
2003-07-01,95.0396,0.2704,-0.8016,-3.7798,-0.5278
2003-08-01,95.2609,0.5372,0.2328,-2.2557,-0.2606
2003-09-01,95.3989,0.5305,0.1449,-1.6957,-0.7718
2003-10-01,95.8827,0.4537,0.5072,3.596,-0.16
2003-11-01,95.7622,0.5126,-0.1258,2.1216,-0.091
2003-12-01,95.7807,0.5938,0.0194,1.6105,-0.0563
2004-01-01,95.4558,0.1725,-0.3392,-1.7691,0.8778
2004-02-01,95.4718,0.0907,0.0167,-1.2075,0.4433
2004-03-01,95.6762,-0.097,0.2142,-0.4355,0.5823
2004-04-01,96.4833,0.5458,0.8435,4.3755,1.2566
2004-05-01,96.7063,0.94,0.2312,5.2737,1.9816
2004-06-01,96.8731,1.1121,0.1725,5.0985,2.2941
2004-07-01,95.8593,0.8625,-1.0466,-2.562,0.8471
2004-08-01,96.2146,1.0011,0.3706,-2.0186,1.5621
2004-09-01,96.22,0.8608,0.0057,-2.6695,1.14
2004-10-01,97.1221,1.2926,0.9375,5.3746,1.3286
2004-11-01,97.2154,1.5175,0.096,4.2261,1.0555
2004-12-01,97.0564,1.3319,-0.1635,3.5223,0.3787
2005-01-01,96.6059,1.2048,-0.4642,-2.1093,1.5637
2005-02-01,96.8182,1.4103,0.2198,-1.6242,1.2587
2005-03-01,97.0551,1.4411,0.2447,-0.0054,1.7432
2005-04-01,97.8496,1.4161,0.8186,5.2498,1.5036
2005-05-01,97.7524,1.0817,-0.0993,3.916,1.108
2005-06-01,97.5327,0.6809,-0.2248,1.9832,0.984
2005-07-01,96.9991,1.1891,-0.5471,-3.4315,0.8158
2005-08-01,97.1389,0.9607,0.1441,-2.4872,0.6635
2005-09-01,97.5639,1.3966,0.4375,0.1279,1.0513
2005-10-01,98.417,1.3333,0.8745,5.9765,1.1632
2005-11-01,98.1404,0.9515,-0.2811,4.1883,0.7953
2005-12-01,98.0331,1.0064,-0.1093,1.9377,1.0287
2006-01-01,97.853,1.2909,-0.1838,-2.2729,1.7683
2006-02-01,98.1578,1.3836,0.3115,0.0711,2.1089
2006-03-01,98.0536,1.0288,-0.1062,0.0835,1.0063
2006-04-01,98.886,1.0592,0.8489,4.29,0.9552
2006-05-01,99.0837,1.3619,0.2,3.8269,1.9317
2006-06-01,99.0563,1.5621,-0.0277,4.1536,2.0983
2006-07-01,98.381,1.4247,-0.6817,-2.0268,1.0822
2006-08-01,98.5494,1.4521,0.1712,-2.1395,0.7996
2006-09-01,98.3384,0.7939,-0.2141,-2.8673,0.5819
2006-10-01,98.6716,0.2586,0.3387,1.1864,-0.4332
2006-11-01,98.6288,0.4977,-0.0433,0.3226,-0.9161
2006-12-01,98.6419,0.621,0.0132,1.24,-0.8349
2007-01-01,97.9528,0.102,-0.6985,-2.8819,-0.8686
2007-02-01,98.1466,-0.0114,0.1978,-1.9416,-0.8159
2007-03-01,98.2231,0.1729,0.0779,-1.6875,-0.2345
2007-04-01,99.3348,0.4539,1.1319,5.7642,1.349
2007-05-01,99.5672,0.4879,0.2339,5.9167,1.9118
2007-06-01,99.6812,0.6309,0.1145,6.0714,2.1183
2007-07-01,99.0897,0.7204,-0.5933,-0.9833,2.3348
2007-08-01,98.979,0.4359,-0.1118,-2.3422,1.7034
2007-09-01,99.0732,0.7472,0.0952,-2.4174,1.7385
2007-10-01,99.9191,1.2644,0.8539,3.3903,1.1799
2007-11-01,100.3746,1.77,0.4558,5.7605,1.6284
2007-12-01,100.6187,2.004,0.2432,6.3874,1.8899
2008-01-01,100.3294,2.4262,-0.2875,1.6525,2.5177
2008-02-01,100.4674,2.3646,0.1375,0.3703,3.0302
2008-03-01,100.8072,2.6309,0.3382,0.7515,3.5311
2008-04-01,101.6036,2.284,0.79,5.1777,3.4001
2008-05-01,102.4103,2.8555,0.794,7.9627,4.0973
2008-06-01,102.5836,2.9117,0.1692,7.2372,3.9438
2008-07-01,102.1366,3.0748,-0.4357,2.1149,3.635
2008-08-01,101.8705,2.9213,-0.2605,-2.0918,2.8126
2008-09-01,101.9733,2.9272,0.1009,-2.3586,2.3269
2008-10-01,102.5151,2.5981,0.5313,1.4906,1.8023
2008-11-01,101.8323,1.4523,-0.666,-0.1499,-1.1256
2008-12-01,101.324,0.701,-0.4992,-2.5227,-2.4407
2009-01-01,100.4691,0.1392,-0.8437,-7.7474,-3.2386
2009-02-01,100.7059,0.2374,0.2357,-4.3517,-2.2734
2009-03-01,100.3795,-0.4243,-0.3241,-3.6768,-3.1015
2009-04-01,101.2645,-0.3337,0.8817,3.2045,-2.425
2009-05-01,101.426,-0.9611,0.1595,2.891,-0.7964
2009-06-01,101.608,-0.951,0.1794,4.986,0.5614
2009-07-01,100.9337,-1.1777,-0.6636,-1.3003,0.927
2009-08-01,101.0454,-0.8099,0.1107,-1.4926,0.6754
2009-09-01,101.0325,-0.9226,-0.0128,-2.2464,1.3053
2009-10-01,101.6604,-0.8337,0.6215,2.9112,0.7834
2009-11-01,101.8567,0.024,0.1931,3.2505,0.8511
2009-12-01,101.6104,0.2827,-0.2418,2.3077,0.0047
2010-01-01,101.4975,1.0236,-0.1111,-0.6394,1.1203
2010-02-01,101.6453,0.9328,0.1456,-0.8276,1.1909
2010-03-01,101.7846,1.3998,0.137,0.6875,1.4944
2010-04-01,102.6545,1.3726,0.8546,4.6383,1.9653
2010-05-01,102.5486,1.1068,-0.1032,3.6024,1.3632
2010-06-01,102.1021,0.4863,-0.4354,1.2536,0.9702
2010-07-01,101.3561,0.4185,-0.7306,-4.9641,-0.2784
2010-08-01,101.342,0.2935,-0.0139,-4.624,-0.5959
2010-09-01,101.3185,0.2831,-0.0232,-3.0347,-0.9138
2010-10-01,101.8576,0.194,0.5321,1.9939,-1.5466
2010-11-01,102.1022,0.241,0.2401,3.0345,-0.8687
2010-12-01,102.1384,0.5196,0.0355,3.2764,0.0711
2011-01-01,101.7802,0.2785,-0.3507,-0.3036,0.8386
2011-02-01,102.1638,0.5101,0.3769,0.2415,1.6284
2011-03-01,102.8068,1.0043,0.6294,2.6434,2.9594
2011-04-01,102.9202,0.2588,0.1103,4.5561,2.0973
2011-05-01,102.927,0.369,0.0066,3.0218,1.6222
2011-06-01,102.6783,0.5643,-0.2416,-0.499,1.06
2011-07-01,101.8345,0.472,-0.8218,-4.1533,0.1067
2011-08-01,101.5368,0.1922,-0.2923,-5.2942,-1.2237
2011-09-01,101.8107,0.4858,0.2698,-3.3373,-1.9284
2011-10-01,101.743,-0.1125,-0.0665,-0.3589,-2.2745
2011-11-01,101.5654,-0.5257,-0.1746,0.1127,-2.6283
2011-12-01,101.4084,-0.7147,-0.1546,-1.5712,-2.4583
2012-01-01,100.9767,-0.7894,-0.4257,-2.9788,-1.6776
2012-02-01,101.2612,-0.8835,0.2817,-1.1927,-0.5421
2012-03-01,101.8257,-0.9543,0.5575,1.6562,0.0295
2012-04-01,101.9018,-0.9895,0.0747,3.7153,0.3124
2012-05-01,101.8837,-1.0136,-0.0178,2.4818,0.6278
2012-06-01,101.5963,-1.0538,-0.2821,-0.8981,0.3709
2012-07-01,101.1073,-0.7141,-0.4813,-3.0824,0.2588
2012-08-01,101.0768,-0.453,-0.0302,-3.1305,-0.3639
2012-09-01,101.3918,-0.4114,0.3116,-0.8027,-0.8504
2012-10-01,101.517,-0.2221,0.1235,1.6307,-0.7538
2012-11-01,101.1842,-0.3753,-0.3278,0.4257,-1.3684
2012-12-01,100.9679,-0.4344,-0.2138,-1.6619,-1.2332
2013-01-01,100.7043,-0.2698,-0.2611,-3.164,-0.7956
2013-02-01,101.0018,-0.2562,0.2954,-0.7191,-0.1483
2013-03-01,101.2213,-0.5936,0.2173,1.0077,-0.336
2013-04-01,101.2553,-0.6344,0.0336,2.2066,-0.5149
2013-05-01,101.3667,-0.5074,0.11,1.453,0.3611
2013-06-01,101.4664,-0.1279,0.0984,0.9721,0.9899
2013-07-01,101.1045,-0.0028,-0.3567,-0.5944,0.7964
2013-08-01,101.0317,-0.0446,-0.072,-1.3154,0.0592
2013-09-01,101.3356,-0.0554,0.3008,-0.5146,0.226
2013-10-01,101.2579,-0.2552,-0.0767,0.6083,0.0051
2013-11-01,101.2649,0.0798,0.0069,0.9265,-0.2008
2013-12-01,101.0356,0.0671,-0.2264,-1.1789,-0.8473
2014-01-01,100.7592,0.0545,-0.2736,-1.9555,-0.6819
2014-02-01,100.8593,-0.1411,0.0993,-1.5925,-0.341
2014-03-01,101.2241,0.0028,0.3617,0.7484,-0.2199
2014-04-01,101.2938,0.038,0.0689,2.1392,0.0709
2014-05-01,101.5906,0.2209,0.293,2.932,0.6443
2014-06-01,101.5167,0.0496,-0.0727,1.1613,0.9546
2014-07-01,101.1368,0.0319,-0.3742,-0.6185,0.7509
2014-08-01,101.1042,0.0718,-0.0322,-1.9014,0.4862
2014-09-01,101.2468,-0.0876,0.141,-1.0592,0.0449
2014-10-01,101.245,-0.0127,-0.0018,0.4286,-0.0963
2014-11-01,101.2055,-0.0587,-0.039,0.4014,-0.7567
2014-12-01,100.7038,-0.3284,-0.4957,-2.1281,-1.5951
2015-01-01,100.2702,-0.4853,-0.4306,-3.796,-1.7064
2015-02-01,100.0125,-0.8396,-0.257,-4.6324,-2.1479
2015-03-01,100.3387,-0.8747,0.3262,-1.4423,-1.7858
2015-04-01,100.1567,-1.1226,-0.1814,-0.452,-2.1383
2015-05-01,100.3899,-1.1819,0.2328,1.518,-1.6053
2015-06-01,100.4636,-1.0374,0.0734,0.4988,-0.4765
2015-07-01,99.8463,-1.276,-0.6145,-1.234,-0.8438
2015-08-01,99.6862,-1.4025,-0.1603,-2.7746,-0.6515
2015-09-01,99.7852,-1.4436,0.0994,-2.6738,-1.1002
2015-10-01,99.8682,-1.3598,0.0832,0.088,-0.5752
2015-11-01,99.7962,-1.3925,-0.0721,0.4424,-1.1792
2015-12-01,99.3863,-1.3083,-0.4108,-1.5897,-2.1332
2016-01-01,99.0001,-1.2666,-0.3885,-3.4319,-1.6877
2016-02-01,99.1839,-0.8285,0.1856,-2.4319,-1.0052
2016-03-01,99.4751,-0.8607,0.2936,0.3579,-0.6207
2016-04-01,99.8042,-0.352,0.3308,3.2884,-0.1282
2016-05-01,99.9482,-0.44,0.1443,3.1183,0.3048
2016-06-01,100.0878,-0.3741,0.1397,2.4867,1.4167
2016-07-01,99.6437,-0.2029,-0.4437,-0.6416,1.3043
2016-08-01,99.5435,-0.1431,-0.1005,-1.6097,0.7266
2016-09-01,99.6041,-0.1815,0.0608,-1.9192,0.2595
2016-10-01,99.6557,-0.2128,0.0518,0.0483,-0.2973
2016-11-01,99.4587,-0.3382,-0.1977,-0.3404,-0.9771
2016-12-01,99.3796,-0.0068,-0.0796,-0.8986,-1.4103
2017-01-01,99.3456,0.3489,-0.0342,-1.2391,-0.5975
2017-02-01,99.8246,0.646,0.4822,1.4797,0.5655
2017-03-01,100.0399,0.5678,0.2157,2.6845,0.877
2017-04-01,100.2411,0.4378,0.2011,3.6548,1.1783
2017-05-01,100.4274,0.4794,0.1859,2.4373,1.9574
2017-06-01,100.2852,0.1972,-0.1416,0.9844,1.8309
2017-07-01,99.9718,0.3293,-0.3125,-1.0704,1.2646
2017-08-01,100.0041,0.4627,0.0323,-1.6754,0.3599
2017-09-01,100.2535,0.652,0.2494,-0.1264,0.4275
2017-10-01,100.3144,0.661,0.0607,1.378,0.1463
2017-11-01,100.2415,0.787,-0.0727,0.9529,-0.3699
2017-12-01,100.213,0.8387,-0.0284,-0.1615,-0.1439
2018-01-01,100.0809,0.7402,-0.1318,-0.9278,0.2185
2018-02-01,100.4516,0.6281,0.3704,0.841,0.897
2018-03-01,100.8356,0.7954,0.3823,2.5084,1.1646
2018-04-01,101.0462,0.8032,0.2089,3.9143,1.4643
2018-05-01,101.4309,0.9992,0.3807,3.957,2.3871
2018-06-01,101.4351,1.1466,0.0041,2.3994,2.4539
2018-07-01,101.2017,1.2303,-0.2301,0.617,2.2523
2018-08-01,101.1853,1.1812,-0.0162,-0.965,1.4661
2018-09-01,101.2455,0.9895,0.0595,-0.7456,0.8147
2018-10-01,101.4245,1.1066,0.1768,0.8835,0.7502
2018-11-01,101.1657,0.922,-0.2552,-0.0775,-0.5222
2018-12-01,100.906,0.6915,-0.2567,-1.3346,-1.0405
2019-01-01,100.6415,0.5601,-0.2621,-3.0524,-1.104
2019-02-01,101.0328,0.5786,0.3888,-0.5244,-0.3012
2019-03-01,101.5708,0.7291,0.5325,2.6615,0.6436
2019-04-01,101.7617,0.7081,0.1879,4.5271,0.666
2019-05-01,102.0742,0.6342,0.3071,4.1872,1.8041
2019-06-01,102.0439,0.6002,-0.0297,1.8762,2.2681
2019-07-01,101.5173,0.3119,-0.5161,-0.9572,1.748
2019-08-01,101.507,0.3179,-0.0101,-2.2042,0.9409
2019-09-01,101.3957,0.1484,-0.1096,-2.5168,-0.3445
2019-10-01,101.1677,-0.2532,-0.2249,-1.3704,-1.164
2019-11-01,101.033,-0.1312,-0.1331,-1.8548,-2.0297
2019-12-01,101.0632,0.1558,0.0299,-1.3053,-1.9129
2020-01-01,100.8451,0.2023,-0.2158,-1.2694,-1.3199
2020-02-01,100.97,-0.0622,0.1239,-0.2492,-1.0553
2020-03-01,101.0475,-0.5152,0.0768,-0.0621,-0.6856
2020-04-01,100.68,-1.063,-0.3637,-0.6533,-0.9618
2020-05-01,100.7222,-1.3245,0.0419,-0.9781,-0.6143
2020-06-01,100.7431,-1.2747,0.0208,-1.1995,-0.6325
2020-07-01,100.5834,-0.9199,-0.1585,-0.3832,-0.5183
2020-08-01,100.6277,-0.8662,0.044,-0.3748,-0.6769
2020-09-01,100.5846,-0.7999,-0.0428,-0.6278,-0.9141
2020-10-01,100.5908,-0.5702,0.0062,0.0294,-0.1771
2020-11-01,100.3412,-0.6847,-0.2481,-1.134,-0.7551
2020-12-01,100.2407,-0.8138,-0.1002,-1.3606,-0.9949
2021-01-01,100.2961,-0.5444,0.0553,-1.1667,-0.5705
2021-02-01,100.461,-0.5041,0.1644,0.4784,-0.331
2021-03-01,100.7998,-0.2451,0.3372,2.2498,0.4284
2021-04-01,101.0101,0.3279,0.2086,2.8781,0.8354
2021-05-01,101.2771,0.5509,0.2643,3.2892,1.8741
2021-06-01,101.3521,0.6045,0.0741,2.2097,2.2298
2021-07-01,101.2662,0.6788,-0.0848,1.018,1.9438
2021-08-01,101.5149,0.8817,0.2456,0.9425,2.1091
2021-09-01,101.5325,0.9424,0.0173,0.7139,1.4591
2021-10-01,101.84,1.2419,0.3029,2.2858,1.65
2021-11-01,101.8792,1.5328,0.0385,1.4432,1.1925
2021-12-01,101.7755,1.5311,-0.1018,0.9608,0.8372
2022-01-01,101.9498,1.6488,0.1713,0.432,1.3547
2022-02-01,102.6218,2.1509,0.6591,2.9476,2.1927
2022-03-01,103.205,2.3861,0.5683,5.7377,3.3216
2022-04-01,103.5838,2.548,0.367,6.5668,3.4539
2022-05-01,104.2572,2.9425,0.6501,6.5285,4.7228
2022-06-01,104.7828,3.3849,0.5041,6.2569,5.997
2022-07-01,104.7431,3.4334,-0.0379,4.5525,5.5548
2022-08-01,105.0193,3.4521,0.2637,2.9561,4.7271
2022-09-01,104.8348,3.2525,-0.1757,0.1987,3.1833
2022-10-01,104.8911,2.996,0.0537,0.5664,2.5401
2022-11-01,104.8951,2.9603,0.0038,-0.4722,1.2274
2022-12-01,104.6662,2.8403,-0.2182,-0.6417,-0.2224
2023-01-01,105.2963,3.2825,0.602,1.5542,1.0591
2023-02-01,106.082,3.3718,0.7462,4.6034,2.0341
2023-03-01,106.2447,2.9453,0.1534,6.1704,2.7078
2023-04-01,106.2411,2.5654,-0.0034,3.6377,2.5907
2023-05-01,106.5078,2.1587,0.251,1.6152,3.0985
2023-06-01,106.5755,1.7109,0.0636,1.2513,3.6816
2023-07-01,106.4244,1.6052,-0.1418,0.6919,2.1542
2023-08-01,106.6516,1.5543,0.2135,0.5411,1.0768
2023-09-01,106.5695,1.6547,-0.077,-0.0225,0.6124
2023-10-01,106.6673,1.6934,0.0918,0.9161,0.8039
2023-11-01,106.4094,1.4436,-0.2418,-0.9053,-0.1847
2023-12-01,106.4612,1.715,0.0487,-0.4059,-0.2144
2024-01-01,106.6427,1.2787,0.1705,-0.0922,0.4107
2024-02-01,107.3215,1.1684,0.6365,3.473,1.2602
2024-03-01,107.3549,1.0449,0.0311,3.4004,1.4794
2024-04-01,107.6943,1.3678,0.3161,4.0031,1.9349
2024-05-01,107.9883,1.39,0.273,2.5085,2.9896
2024-06-01,107.9909,1.3281,0.0024,2.3909,2.8944
2024-07-01,107.7979,1.2906,-0.1787,0.3853,2.1782
2024-08-01,107.7825,1.0604,-0.0143,-0.7601,0.8609
2024-09-01,107.4679,0.843,-0.2919,-1.9232,0.2106
2024-10-01,107.3318,0.623,-0.1266,-1.7183,-0.6721
2024-11-01,107.187,0.7308,-0.1349,-2.1918,-1.4785
2024-12-01,107.1281,0.6264,-0.055,-1.2588,-1.5915
2025-01-01,107.0709,0.4015,-0.0534,-0.9688,-1.3443
2025-02-01,107.6701,0.3248,0.5596,1.8151,-0.2085
2025-03-01,107.7224,0.3423,0.0486,2.2376,0.4742
2025-04-01,107.7312,0.0343,0.0082,2.4897,0.7456
