date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,70.9365,,,,
2000-02-01,71.8595,,1.3012,,
2000-03-01,70.8615,,-1.3889,,
2000-04-01,70.4441,,-0.589,-2.7477,
2000-05-01,70.023,,-0.5978,-9.8377,
2000-06-01,69.3874,,-0.9077,-8.0649,
2000-07-01,68.9724,,-0.598,-8.0984,-5.4609
2000-08-01,69.3832,,0.5955,-3.605,-6.7734
2000-09-01,70.7785,,2.011,8.2637,-0.2341
2000-10-01,70.7783,,-0.0003,10.8915,0.951
2000-11-01,70.991,,0.3005,9.5962,2.7839
2000-12-01,71.0619,,0.1,1.6117,4.885
2001-01-01,71.7877,1.2,1.0213,5.8281,8.3302
2001-02-01,71.8595,0.0,0.1,4.9844,7.2655
2001-03-01,71.4284,0.8,-0.6,2.0785,1.8448
2001-04-01,71.5712,1.6,0.2,-1.2009,2.2532
2001-05-01,71.2134,1.7,-0.5,-3.5485,0.6275
2001-06-01,70.3588,1.4,-1.2,-5.8563,-1.9692
2001-07-01,70.007,1.5,-0.5,-8.4597,-4.8995
2001-08-01,70.077,1.0,0.1,-6.2316,-4.8995
2001-09-01,70.7077,-0.1,0.9,1.9984,-2.0076
2001-10-01,70.9198,0.2,0.3,5.3185,-1.812
2001-11-01,70.778,-0.3,-0.2,4.0616,-1.219
2001-12-01,70.8488,-0.3,0.1,0.8004,1.3976
2002-01-01,71.0613,-1.0119,0.3,0.8004,3.0347
2002-02-01,71.843,-0.023,1.1,6.156,5.1036
2002-03-01,70.909,-0.7271,-1.3,0.3407,0.5703
2002-04-01,70.6963,-1.2224,-0.3,-2.0388,-0.6294
2002-05-01,70.4842,-1.0239,-0.3,-7.3533,-0.8284
2002-06-01,69.8498,-0.7234,-0.9,-5.8423,-2.8
2002-07-01,69.3609,-0.9229,-0.7,-7.3443,-4.7285
2002-08-01,69.569,-0.7249,0.3,-5.0937,-6.2303
2002-09-01,70.2647,-0.6266,1.0,2.3967,-1.8091
2002-10-01,70.4052,-0.7256,0.2,6.1598,-0.8218
2002-11-01,70.3348,-0.6262,-0.1,4.4764,-0.4235
2002-12-01,70.5458,-0.4276,0.3,1.61,2.0026
2003-01-01,71.3218,0.3666,1.1,5.3102,5.7341
2003-02-01,71.9637,0.168,0.9,9.5906,7.0029
2003-03-01,71.5319,0.8784,-0.6,5.7096,3.6396
2003-04-01,71.3888,0.9796,-0.2,0.3766,2.8138
2003-05-01,70.8891,0.5745,-0.7,-5.8404,1.5825
2003-06-01,70.0385,0.27,-1.2,-8.0933,-1.4332
2003-07-01,69.6883,0.472,-0.5,-9.1934,-4.5283
2003-08-01,70.1761,0.8727,0.7,-3.9631,-4.9064
2003-09-01,71.0182,1.0724,1.2,5.7139,-1.4312
2003-10-01,71.6574,1.7785,0.9,11.7904,0.7537
2003-11-01,72.3739,2.8992,1.0,13.1285,4.233
2003-12-01,72.8082,3.207,0.6,10.4694,8.0655
2004-01-01,73.6091,3.207,1.1,11.3479,11.5689
2004-02-01,73.4618,2.0818,-0.2,6.1497,9.5836
2004-03-01,73.6822,3.0061,0.3,4.8892,7.6431
2004-04-01,74.0506,3.7286,0.5,2.4213,6.7914
2004-05-01,73.9766,4.3554,-0.1,2.8324,4.4779
2004-06-01,73.4588,4.8835,-0.7,-1.2077,1.7951
2004-07-01,73.3118,5.1997,-0.2,-3.9315,-0.806
2004-08-01,73.825,5.1997,0.7,-0.817,0.9912
2004-09-01,74.6371,5.0957,1.1,6.5724,2.6086
2004-10-01,74.6371,4.1583,0.0,7.4293,1.5902
2004-11-01,74.4132,2.8177,-0.3,3.2251,1.1838
2004-12-01,74.4876,2.3066,0.1,-0.7988,2.8208
2005-01-01,74.9345,1.8007,0.6,1.6036,4.4758
2005-02-01,76.2834,3.8408,1.8,10.4383,6.7708
2005-03-01,75.5968,2.5984,-0.9,6.0908,2.5882
2005-04-01,75.37,1.7817,-0.3,2.3449,1.9736
2005-05-01,75.2193,1.6798,-0.2,-5.464,2.1782
2005-06-01,74.6175,1.5774,-0.8,-5.0818,0.3491
2005-07-01,74.6175,1.781,0.0,-3.9342,-0.8443
2005-08-01,74.7668,1.2756,0.2,-2.3848,-3.9367
2005-09-01,75.2901,0.8749,0.7,3.6546,-0.8097
2005-10-01,75.5913,1.2784,0.4,5.3231,0.588
2005-11-01,75.3645,1.2784,-0.3,3.2366,0.3866
2005-12-01,75.666,1.582,0.4,2.0118,2.8299
2006-01-01,76.6496,2.2888,1.3,5.719,5.5209
2006-02-01,77.0329,0.9825,0.5,9.1533,6.1537
2006-03-01,76.3396,0.9826,-0.9,3.6089,2.8072
2006-04-01,76.4923,1.489,0.2,-0.8187,2.398
2006-05-01,76.4158,1.5907,-0.1,-3.1661,2.8092
2006-06-01,76.0337,1.8979,-0.5,-1.5932,0.9743
2006-07-01,75.8056,1.5922,-0.3,-3.5428,-2.1902
2006-08-01,76.033,1.6936,0.3,-1.9886,-2.5791
2006-09-01,76.4132,1.4916,0.5,2.0114,0.1929
2006-10-01,76.4896,1.1884,0.1,3.6584,-0.007
2006-11-01,76.719,1.7973,0.3,3.6584,0.7954
2006-12-01,77.7931,2.8112,1.4,7.4217,4.6816
2007-01-01,78.3377,2.2023,0.7,10.0204,6.792
2007-02-01,79.121,2.7108,1.0,13.1241,8.2878
2007-03-01,78.8837,3.3326,-0.3,5.7265,6.5707
2007-04-01,78.8048,3.0232,-0.1,2.4066,6.1453
2007-05-01,79.0412,3.4357,0.3,-0.403,6.1453
2007-06-01,79.3574,4.3714,0.4,2.4238,4.062
2007-07-01,80.0716,5.6276,0.9,6.5868,4.4758
2007-08-01,81.0324,6.5754,1.2,10.4642,4.89
2007-09-01,81.2755,6.3633,0.3,10.0247,6.1562
2007-10-01,81.5194,6.5758,0.3,7.431,7.008
2007-11-01,82.09,7.0008,0.7,5.3235,7.8632
2007-12-01,82.9109,6.5787,1.0,8.2947,9.1563
2008-01-01,83.9058,7.1079,1.2,12.2343,9.8064
2008-02-01,86.0874,8.8047,2.6,20.9475,12.8655
2008-03-01,85.4848,8.3682,-0.7,13.0078,10.6262
2008-04-01,85.5703,8.5851,0.1,8.174,10.1854
2008-05-01,85.228,7.8273,-0.4,-3.9338,7.7913
2008-06-01,85.0575,7.1829,-0.2,-1.9842,5.2452
2008-07-01,85.1426,6.3331,0.1,-1.9843,2.9697
2008-08-01,85.0574,4.9671,-0.1,-0.798,-2.3785
2008-09-01,85.0574,4.6532,0.0,-0.0004,-0.9973
2008-10-01,84.8023,4.0271,-0.3,-1.5893,-1.787
2008-11-01,84.1238,2.4776,-0.8,-4.3186,-2.5742
2008-12-01,83.9556,1.26,-0.2,-5.0818,-2.5742
2009-01-01,84.7112,0.9598,0.9,-0.4289,-1.0108
2009-02-01,84.7112,-1.5986,0.0,2.8222,-0.8125
2009-03-01,84.4571,-1.2022,-0.3,2.4107,-1.4067
2009-04-01,84.2882,-1.4983,-0.2,-1.9827,-1.2088
2009-05-01,84.0353,-1.3994,-0.3,-3.1536,-0.2104
2009-06-01,83.6151,-1.6958,-0.5,-3.9284,-0.8095
2009-07-01,83.6151,-1.794,0.0,-3.1559,-2.5711
2009-08-01,84.0332,-1.2042,0.5,-0.01,-1.5944
2009-09-01,84.3693,-0.809,0.4,3.6571,-0.2077
2009-10-01,84.287,-0.6076,-0.0975,3.2533,-0.0027
2009-11-01,84.5407,0.4955,0.3009,2.4375,1.2064
2009-12-01,85.3861,1.7039,1.0001,4.9087,4.281
2010-01-01,85.8934,1.3956,0.5941,7.8441,5.5238
2010-02-01,86.9291,2.6182,1.2058,11.789,7.0112
2010-03-01,86.3162,2.2012,-0.7051,4.4285,4.6683
2010-04-01,86.4923,2.615,0.2041,2.8183,5.3012
2010-05-01,86.4078,2.8232,-0.0978,-2.3776,4.4658
2010-06-01,85.8864,2.7163,-0.6034,-1.9769,1.1751
2010-07-01,86.2316,3.1292,0.402,-1.2002,0.789
2010-08-01,86.7459,3.2282,0.5965,1.5748,-0.421
2010-09-01,87.2673,3.4349,0.601,6.5883,2.216
2010-10-01,87.8803,4.2631,0.7024,7.8698,3.2353
2010-11-01,88.8456,5.0921,1.0984,10.0388,5.7221
2010-12-01,89.2894,4.5713,0.4996,9.5957,8.0815
2011-01-01,90.1842,4.9955,1.0021,10.9063,9.3775
2011-02-01,91.3372,5.0708,1.2784,11.6985,10.8656
2011-03-01,91.1538,5.6046,-0.2007,8.6174,9.1055
2011-04-01,91.2455,5.4955,0.1006,4.7909,7.8052
2011-05-01,91.3372,5.7048,0.1005,0.0,5.6875
2011-06-01,91.6122,6.6667,0.3011,2.0265,5.2704
2011-07-01,92.014,6.7057,0.4387,3.412,4.0991
2011-08-01,92.2755,6.3744,0.2841,4.1728,2.0651
2011-09-01,92.7111,6.2381,0.4722,4.8853,3.446
2011-10-01,92.7983,5.5962,0.094,3.4529,3.4324
2011-11-01,92.624,4.2528,-0.1878,1.5194,2.8376
2011-12-01,92.8854,4.0273,0.2822,0.754,2.7989
2012-01-01,94.2796,4.5411,1.5009,6.5395,4.9849
2012-02-01,94.1924,3.126,-0.0924,6.9473,4.198
2012-03-01,94.3667,3.5246,0.185,6.5332,3.6033
2012-04-01,94.2796,3.3252,-0.0923,0.0,3.218
2012-05-01,94.0181,2.9352,-0.2773,-0.738,3.033
2012-06-01,93.4953,2.0556,-0.5561,-3.6426,1.3177
2012-07-01,93.5825,1.7045,0.0932,-2.9249,-1.4733
2012-08-01,94.193,2.0781,0.6524,0.746,0.0013
2012-09-01,94.4821,1.9102,0.3069,4.289,0.2448
2012-10-01,94.3834,1.7081,-0.1045,3.4675,0.2204
2012-11-01,94.541,2.0696,0.1669,1.4858,1.1152
2012-12-01,95.2366,2.5313,0.7358,3.2327,3.7595
2013-01-01,96.1886,2.0248,0.9996,7.8727,5.6471
2013-02-01,97.2463,3.2422,1.0996,11.9469,6.5881
2013-03-01,96.3719,2.1249,-0.8991,4.8542,4.0403
2013-04-01,96.5624,2.4214,0.1977,1.5638,4.6707
2013-05-01,95.9841,2.091,-0.5989,-5.0916,3.0762
2013-06-01,95.9841,2.6619,0.0,-1.6,1.5758
2013-07-01,96.079,2.6677,0.0989,-1.9877,-0.2277
2013-08-01,96.5623,2.5153,0.503,2.4315,-1.4018
2013-09-01,97.3319,3.0162,0.797,5.7362,2.0022
2013-10-01,97.4296,3.2275,0.1004,5.7427,1.8042
2013-11-01,97.3318,2.952,-0.1004,3.226,2.828
2013-12-01,97.6238,2.5066,0.3,1.2051,3.4459
2014-01-01,98.6,2.507,1.0,4.8924,5.3167
2014-02-01,99.1,1.9062,0.5071,7.4671,5.3252
2014-03-01,98.6,2.312,-0.5045,4.0602,2.6228
2014-04-01,98.2,1.6959,-0.4057,-1.6129,1.5877
2014-05-01,98.3,2.4128,0.1018,-3.1902,1.9994
2014-06-01,98.2,2.3087,-0.1017,-1.6129,1.1839
2014-07-01,98.2,2.2076,0.0,0.0,-0.8097
2014-08-01,98.4,1.9031,0.2037,0.4075,-1.4077
2014-09-01,98.9,1.6111,0.5081,2.882,0.6094
2014-10-01,98.9,1.5092,0.0,2.882,1.4307
2014-11-01,98.6,1.303,-0.3033,0.8155,0.6113
2014-12-01,99.0,1.4097,0.4057,0.4051,1.636
2015-01-01,99.3,0.7099,0.303,1.6276,2.2529
2015-02-01,100.5,1.4127,1.2085,7.9336,4.3138
2015-03-01,99.9,1.3185,-0.597,3.6863,2.0325
