date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,79.4848,,,,
2000-02-01,79.5781,,0.1174,,
2000-03-01,79.5781,,0.0,,
2000-04-01,79.5781,,0.0,0.4703,
2000-05-01,79.4848,,-0.1172,-0.4681,
2000-06-01,79.858,,0.4695,1.4143,
2000-07-01,80.2312,,0.4673,3.3232,1.8868
2000-08-01,80.0446,,-0.2326,2.8468,1.1758
2000-09-01,80.2312,,0.2331,1.8823,1.648
2000-10-01,80.1379,,-0.1163,-0.4643,1.4118
2000-11-01,80.2312,,0.1164,0.9357,1.8868
2000-12-01,80.8842,,0.8139,3.2958,2.5866
2001-01-01,80.6043,1.4084,-0.346,2.3486,0.9324
2001-02-01,81.0708,1.8757,0.5787,4.2522,2.5805
2001-03-01,81.0708,1.8757,0.0,0.9259,2.104
2001-04-01,81.444,2.3447,0.4603,4.2322,3.2861
2001-05-01,81.7238,2.8169,0.3436,3.2613,3.7555
2001-06-01,81.8171,2.4533,0.1142,3.7336,2.3201
2001-07-01,81.9104,2.093,0.114,2.3107,3.267
2001-08-01,81.7238,2.0979,-0.2278,0.0,1.6175
2001-09-01,81.7238,1.8605,0.0,-0.4553,1.6175
2001-10-01,81.6306,1.8626,-0.1142,-1.3598,0.4587
2001-11-01,81.444,1.5116,-0.2286,-1.3629,-0.6838
2001-12-01,82.1903,1.6148,0.9164,2.3027,0.9143
2002-01-01,82.2836,2.0833,0.1135,3.2386,0.9132
2002-02-01,82.5635,1.8412,0.3401,5.6127,2.0654
2002-03-01,82.7501,2.0713,0.226,2.7521,2.5272
2002-04-01,82.6568,1.4891,-0.1127,1.8264,2.5301
2002-05-01,82.7501,1.2557,0.1129,0.907,3.2331
2002-06-01,82.7501,1.1403,0.0,0.0,1.3667
2002-07-01,82.8434,1.139,0.1127,0.906,1.3652
2002-08-01,82.7501,1.2557,-0.1126,0.0,0.4525
2002-09-01,82.7501,1.2557,0.0,0.0,0.0
2002-10-01,82.6568,1.2572,-0.1127,-0.8978,0.0
2002-11-01,82.3769,1.1455,-0.3386,-1.7917,-0.8999
2002-12-01,83.1232,1.1351,0.906,1.8161,0.904
2003-01-01,83.1232,1.0204,0.0,2.2765,0.6768
2003-02-01,83.5897,1.2429,0.5612,6.0204,2.0396
2003-03-01,83.683,1.1274,0.1116,2.7209,2.2675
2003-04-01,83.4031,0.9029,-0.3344,1.3536,1.814
2003-05-01,83.2165,0.5637,-0.2237,-1.7738,2.0489
2003-06-01,83.4964,0.9019,0.3363,-0.8889,0.8999
2003-07-01,83.683,1.0135,0.2235,1.349,1.3513
2003-08-01,83.683,1.1274,0.0,2.2611,0.2233
2003-09-01,83.5897,1.0147,-0.1115,0.4477,-0.2228
2003-10-01,83.5897,1.1287,0.0,-0.4452,0.4479
2003-11-01,83.4031,1.2458,-0.2232,-1.3311,0.4489
2003-12-01,84.0562,1.1223,0.783,2.2509,1.3453
2004-01-01,84.0562,1.1223,0.0,2.2509,0.8939
2004-02-01,84.2427,0.7813,0.222,4.0881,1.3423
2004-03-01,84.5226,1.0033,0.3322,2.2383,2.2446
2004-04-01,84.8025,1.6778,0.3311,3.5992,2.9228
2004-05-01,84.9891,2.13,0.22,3.5911,3.8393
2004-06-01,84.9891,1.7877,0.0,2.2258,2.2321
2004-07-01,85.1756,1.7837,0.2195,1.7718,2.6814
2004-08-01,85.2689,1.8952,0.1095,1.3237,2.4511
2004-09-01,85.0824,1.7857,-0.2188,0.4398,1.3289
2004-10-01,85.1756,1.8973,0.1096,0.0,0.882
2004-11-01,84.9891,1.9016,-0.2191,-1.3064,0.0
2004-12-01,85.922,2.2198,1.0977,4.0062,2.2074
2005-01-01,85.2689,1.4428,-0.76,0.4388,0.2192
2005-02-01,85.6421,1.6611,0.4376,3.1091,0.8772
2005-03-01,86.0153,1.766,0.4357,0.435,2.205
2005-04-01,85.8287,1.2101,-0.2169,2.6518,1.5393
2005-05-01,86.0153,1.2075,0.2174,1.7544,2.4295
2005-06-01,86.1086,1.3172,0.1085,0.4345,0.4348
2005-07-01,86.4817,1.5334,0.4334,3.0784,2.8649
2005-08-01,86.575,1.5317,0.1079,2.6286,2.1905
2005-09-01,86.6683,1.864,0.1078,2.6257,1.5242
2005-10-01,86.7616,1.862,0.1076,1.3008,2.1857
2005-11-01,86.4817,1.7563,-0.3226,-0.4304,1.0875
2005-12-01,87.1348,1.4115,0.7551,2.1703,2.3978
2006-01-01,86.8549,1.86,-0.3212,0.4308,0.8649
2006-02-01,87.2281,1.8519,0.4296,3.497,1.5143
2006-03-01,87.2281,1.41,0.0,0.4289,1.2959
2006-04-01,87.508,1.9565,0.3209,3.0416,1.7278
