date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,79.17,,,,
2000-02-01,79.27,,0.1263,,
2000-03-01,79.64,,0.4668,,
2000-04-01,79.64,,0.0,2.3959,
2000-05-01,79.8,,0.2009,2.7013,
2000-06-01,80.0,,0.2506,1.8204,
2000-07-01,79.87,,-0.1625,1.1602,1.7762
2000-08-01,80.02,,0.1878,1.1073,1.9012
2000-09-01,80.43,,0.5124,2.1674,1.9938
2000-10-01,80.33,,-0.1243,2.3237,1.7403
2000-11-01,80.51,,0.2241,2.472,1.7874
2000-12-01,80.47,,-0.0497,0.1991,1.1785
2001-01-01,80.13,1.2126,-0.4225,-0.9922,0.6521
2001-02-01,80.35,1.3624,0.2746,-0.7926,0.8265
2001-03-01,80.71,1.3435,0.448,1.1983,0.6975
2001-04-01,81.1,1.8332,0.4832,4.9308,1.9263
2001-05-01,81.6,2.2556,0.6165,6.3695,2.7261
2001-06-01,81.65,2.0625,0.0613,4.7407,2.9543
2001-07-01,81.48,2.0158,-0.2082,1.8874,3.3979
2001-08-01,81.48,1.8245,0.0,-0.5869,2.8325
2001-09-01,81.63,1.492,0.1841,-0.0979,2.2928
2001-10-01,81.68,1.6806,0.0613,0.9855,1.4354
2001-11-01,81.46,1.18,-0.2693,-0.0981,-0.3428
2001-12-01,81.56,1.3545,0.1228,-0.3426,-0.2203
2002-01-01,81.94,2.2588,0.4659,1.2794,1.1323
2002-02-01,82.04,2.1033,0.122,2.8786,1.3793
2002-03-01,82.4,2.0939,0.4388,4.1837,1.8955
2002-04-01,82.71,1.9852,0.3762,3.8122,2.5379
2002-05-01,82.81,1.4828,0.1209,3.8075,3.342
2002-06-01,82.8,1.4085,-0.0121,1.9559,3.0638
2002-07-01,82.8,1.62,0.0,0.436,2.1101
2002-08-01,82.99,1.8532,0.2295,0.8723,2.3294
2002-09-01,83.14,1.8498,0.1807,1.6527,1.8042
2002-10-01,83.27,1.9466,0.1564,2.2899,1.3587
2002-11-01,83.27,2.2219,0.0,1.3564,1.1141
2002-12-01,83.41,2.2683,0.1681,1.3054,1.4789
2003-01-01,83.57,1.9893,0.1918,1.4489,1.8686
2003-02-01,84.15,2.5719,0.694,4.2947,2.8151
2003-03-01,84.49,2.5364,0.404,5.2807,3.2739
2003-04-01,84.37,2.007,-0.142,3.8845,2.6595
2003-05-01,84.27,1.7631,-0.1185,0.5716,2.4162
2003-06-01,84.43,1.9686,0.1899,-0.2838,2.4607
2003-07-01,84.34,1.8599,-0.1066,-0.1422,1.8513
2003-08-01,84.54,1.8677,0.2371,1.2878,0.9291
2003-09-01,84.86,2.0688,0.3785,2.0528,0.8778
2003-10-01,85.04,2.1256,0.2121,3.3615,1.5945
2003-11-01,85.14,2.2457,0.1176,2.8693,2.0755
2003-12-01,85.23,2.182,0.1057,1.7555,1.904
2004-01-01,85.23,1.9864,0.0,0.8967,2.1216
2004-02-01,85.59,1.7112,0.4224,2.131,2.4995
2004-03-01,85.93,1.7043,0.3972,3.3259,2.5377
2004-04-01,86.15,2.1098,0.256,4.3881,2.6276
2004-05-01,86.47,2.6107,0.3714,4.1765,3.1487
2004-06-01,86.5,2.4517,0.0347,2.6798,3.0024
2004-07-01,86.36,2.3951,-0.1618,0.9786,2.6692
