date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,35.737,,,,
2000-02-01,35.6541,,-0.232,,
2000-03-01,35.9858,,0.9302,,
2000-04-01,36.3175,,0.9217,6.6566,
2000-05-01,36.4833,,0.4566,9.6318,
2000-06-01,36.6491,,0.4545,7.5796,
2000-07-01,36.8979,,0.6788,6.5476,6.6021
2000-08-01,36.732,,-0.4495,2.7553,6.1379
2000-09-01,36.815,,0.2257,1.8224,4.6614
2000-10-01,37.2295,,1.1261,3.6442,5.0859
2000-11-01,37.3125,,0.2227,6.472,4.5971
2000-12-01,36.9808,,-0.8889,1.814,1.8182
2001-01-01,36.8979,3.2483,-0.2242,-3.5161,0.0
2001-02-01,36.732,3.0232,-0.4495,-6.0786,0.0
2001-03-01,36.8979,2.5346,0.4515,-0.8938,0.451
2001-04-01,37.1466,2.2831,0.6742,2.724,-0.4449
2001-05-01,37.3954,2.5,0.6696,7.4215,0.4449
2001-06-01,37.8929,3.3937,1.3304,11.2307,4.9936
2001-07-01,38.3904,4.0449,1.3129,14.0805,8.2535
2001-08-01,38.6391,5.1919,0.6479,13.9823,10.6533
2001-09-01,38.5562,4.7297,-0.2146,7.1882,9.1907
2001-10-01,38.805,4.2316,0.6451,4.3901,9.1278
2001-11-01,39.1366,4.8889,0.8547,5.2505,9.5295
2001-12-01,38.8879,5.1569,-0.6356,3.4854,5.3205
2002-01-01,38.722,4.9438,-0.4264,-0.8519,1.7353
2002-02-01,38.6391,5.1919,-0.2141,-4.9886,0.0
2002-03-01,38.805,5.1685,0.4292,-0.8502,1.2944
2002-04-01,38.8879,4.6875,0.2137,1.7241,0.4278
2002-05-01,39.1366,4.6563,0.6397,5.2505,0.0
2002-06-01,39.4683,4.1575,0.8475,7.015,3.0074
2002-07-01,39.8829,3.8877,1.0504,10.6341,6.0856
2002-08-01,40.1316,3.8627,0.6237,10.5639,7.8745
2002-09-01,40.2145,4.3011,0.2066,7.7802,7.397
2002-10-01,40.3804,4.0598,0.4124,5.0838,7.8232
2002-11-01,40.5462,3.6017,0.4107,4.1967,7.3331
2002-12-01,40.1316,3.1983,-1.0225,-0.8222,3.3896
2003-01-01,40.0487,3.4261,-0.2066,-3.2451,0.8334
2003-02-01,40.1316,3.8627,0.207,-4.0276,0.0
2003-03-01,40.3804,4.0598,0.6198,2.5025,0.8264
2003-04-01,40.8779,5.1173,1.232,8.5423,2.4792
2003-05-01,40.9608,4.661,0.2028,8.5242,2.0555
2003-06-01,41.2095,4.4118,0.6073,8.4701,5.4441
2003-07-01,41.5412,4.158,0.8048,6.6506,7.5923
2003-08-01,41.3754,3.0992,-0.3992,4.1104,6.2944
2003-09-01,41.3754,2.8866,0.0,1.6194,4.9889
2003-10-01,41.707,3.2854,0.8016,1.6065,4.098
2003-11-01,41.79,3.0675,0.1988,4.0686,4.0895
2003-12-01,41.6241,3.719,-0.3968,2.4266,2.0222
2004-01-01,41.79,4.3478,0.3984,0.7975,1.2012
2004-02-01,41.79,4.1322,0.0,0.0,2.014
2004-03-01,41.79,3.4908,0.0,1.6031,2.014
2004-04-01,41.79,2.2312,0.0,0.0,0.398
2004-05-01,42.1216,2.834,0.7937,3.2126,1.5936
2004-06-01,42.4533,3.0181,0.7874,6.5021,4.0238
2004-07-01,42.8679,3.1936,0.9766,10.7236,5.2253
2004-08-01,43.2824,4.6092,0.9671,11.4877,7.2704
2004-09-01,43.3654,4.8096,0.1916,8.8747,7.6818
2004-10-01,43.6141,4.5726,0.5736,7.1472,8.9207
2004-11-01,43.5312,4.1667,-0.1901,2.3187,6.8049
2004-12-01,43.1995,3.7849,-0.7619,-1.5209,3.5465
2005-01-01,43.6141,4.3651,0.9597,0.0,3.5119
2005-02-01,43.5312,4.1667,-0.1901,0.0,1.1527
2005-03-01,43.5312,4.1667,0.0,3.1065,0.7663
2005-04-01,43.8629,4.9603,0.7619,2.301,1.1439
2005-05-01,43.697,3.7401,-0.3781,1.5325,0.7633
2005-06-01,43.8629,3.3203,0.3795,3.0827,3.0946
2005-07-01,44.6091,4.0619,1.7013,6.9809,4.6148
2005-08-01,44.7749,3.4483,0.3717,10.2384,5.7959
2005-09-01,44.9408,3.6329,0.3704,10.1981,6.581
2005-10-01,45.4383,4.1825,1.107,7.6448,7.3123
2005-11-01,45.8529,5.3333,0.9124,9.9829,10.1106
2005-12-01,45.6041,5.5662,-0.5425,6.036,8.0971
2006-01-01,45.5212,4.3726,-0.1818,0.732,4.131
2006-02-01,45.5212,4.5714,0.0,-2.862,3.3611
2006-03-01,45.5212,4.5714,0.0,-0.7252,2.5997
2006-04-01,45.9037,4.6528,0.8403,3.4039,2.0592
2006-05-01,46.2863,5.9254,0.8333,6.8941,1.8993
2006-06-01,47.0513,7.2691,1.6529,14.1386,6.4475
2006-07-01,47.4338,6.3322,0.813,14.0149,8.5799
2006-08-01,47.4338,5.9384,0.0,10.2923,8.5799
2006-09-01,47.8164,6.3986,0.8064,6.6644,10.3382
2006-10-01,48.5814,6.9174,1.6,10.0344,12.007
2006-11-01,48.5814,5.9508,0.0,10.0344,10.1633
2006-12-01,48.5814,6.5287,0.0,6.5553,6.6098
2007-01-01,48.5814,6.7227,0.0,0.0,4.8973
2007-02-01,48.964,7.563,0.7874,3.187,6.5557
2007-03-01,48.5814,6.7227,-0.7812,0.0,3.2256
2007-04-01,48.964,6.6667,0.7874,3.187,1.581
2007-05-01,49.3465,6.6116,0.7812,3.1618,3.1744
2007-06-01,49.729,5.6911,0.7752,9.7889,4.7802
2007-07-01,50.4941,6.4516,1.5385,13.0982,8.029
2007-08-01,50.8766,7.2581,0.7576,12.992,7.9651
2007-09-01,50.8766,6.4,0.0,9.5552,9.672
2007-10-01,51.2592,5.5118,0.7519,6.1997,9.5947
2007-11-01,51.2592,5.5118,0.0,3.0416,7.9021
2007-12-01,51.2592,5.5118,0.0,3.0416,6.2485
2008-01-01,51.2592,5.5118,0.0,0.0,3.0533
2008-02-01,51.6417,5.4688,0.7463,3.0187,3.0302
2008-03-01,52.4068,7.874,1.4815,9.2605,6.1055
2008-04-01,52.7893,7.8125,0.7299,12.4857,6.0593
2008-05-01,53.1718,7.7519,0.7246,12.389,7.6019
2008-06-01,53.5544,7.6923,0.7194,9.051,9.1557
2008-07-01,54.702,8.3333,2.1429,15.2996,13.884
2008-08-01,55.467,9.0226,1.3986,18.4167,15.3635
2008-09-01,55.8495,9.7744,0.6897,18.2768,13.5702
2008-10-01,56.6146,10.4478,1.3699,14.7367,15.0178
2008-11-01,56.6146,10.4478,0.0,8.5362,13.3689
2008-12-01,56.2321,9.7015,-0.6757,2.768,10.25
2009-01-01,56.6146,10.4478,0.6803,0.0,7.1152
2009-02-01,56.6146,9.6296,0.0,0.0,4.1807
2009-03-01,56.6146,8.0292,0.0,2.749,2.7585
2009-04-01,57.3797,8.6956,1.3513,5.5159,2.721
2009-05-01,57.7622,8.6331,0.6667,8.358,4.0951
2009-06-01,58.5273,9.2857,1.3245,14.2139,8.3299
2009-07-01,61.205,11.8881,4.5752,29.4538,16.8736
2009-08-01,61.97,11.7241,1.25,32.4807,19.8138
2009-09-01,62.3526,11.6438,0.6173,28.8204,21.2975
2009-10-01,63.1176,11.4865,1.227,13.0983,21.0
2009-11-01,64.2652,13.5135,1.8182,15.6583,23.7841
2009-12-01,64.6478,14.966,0.5952,15.557,22.0086
2010-01-01,65.7954,16.2162,1.7752,18.0805,15.5625
2010-02-01,65.0303,14.8649,-1.1628,4.8476,10.1204
2010-03-01,65.0303,14.8649,0.0,2.3879,8.7734
2010-04-01,65.0303,13.3333,0.0,-4.5707,6.1524
2010-05-01,65.7954,13.9073,1.1765,4.7896,4.8186
2010-06-01,66.5604,13.7255,1.1628,9.7492,6.0047
2010-07-01,68.0905,11.25,2.2988,20.1944,7.0984
2010-08-01,68.0905,9.8765,0.0,14.7007,9.6332
2010-09-01,68.4731,9.8159,0.5618,11.9992,10.8685
2010-10-01,69.2381,9.697,1.1173,6.914,13.3599
2010-11-01,69.6207,8.3333,0.5525,9.2964,11.9659
2010-12-01,70.7682,9.4675,1.6483,14.0972,13.0433
2011-01-01,71.9158,9.3023,1.6216,16.3903,11.5516
2011-02-01,70.7682,8.8235,-1.5957,6.7582,8.0198
2011-03-01,70.7682,8.8235,0.0,0.0,6.8163
2011-04-01,71.1508,9.4118,0.5405,-4.1879,5.6012
2011-05-01,71.5333,8.7209,0.5376,4.3949,5.57
2011-06-01,72.2984,8.6207,1.0695,8.9332,4.3711
2011-07-01,73.8285,8.427,2.1164,15.9251,5.3899
2011-08-01,74.211,8.9888,0.5181,15.8352,9.9664
2011-09-01,75.3586,10.0559,1.5464,18.0368,13.3937
