date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,74.0593,,,,
2000-02-01,74.3254,,0.3594,,
2000-03-01,74.5251,,0.2686,,
2000-04-01,74.5916,,0.0893,2.9062,
2000-05-01,74.8578,,0.3568,2.8957,
2000-06-01,75.0574,,0.2667,2.8879,
2000-07-01,75.1905,,0.1773,3.2503,3.0781
2000-08-01,75.257,,0.0885,2.1505,2.5224
2000-09-01,75.3901,,0.1768,1.7849,2.3349
2000-10-01,75.6562,,0.353,2.501,2.875
2000-11-01,75.8559,,0.2639,3.2212,2.6844
2000-12-01,75.9224,,0.0877,2.8545,2.3183
2001-01-01,76.2551,2.9649,0.4382,3.204,2.8519
2001-02-01,76.5213,2.9543,0.3491,3.5553,3.3881
2001-03-01,76.5878,2.7678,0.0869,3.552,3.2026
2001-04-01,76.9205,3.1222,0.4344,3.5364,3.3701
2001-05-01,77.1201,3.0222,0.2595,3.1674,3.3611
2001-06-01,77.3198,3.0142,0.2588,3.878,3.7148
2001-07-01,77.3863,2.9204,0.0861,2.4442,2.9889
2001-08-01,77.3863,2.8294,0.0,1.3877,2.2736
2001-09-01,77.3863,2.6478,0.0,0.3447,2.096
2001-10-01,77.5194,2.4626,0.172,0.6897,1.5631
2001-11-01,77.6525,2.3684,0.1717,1.3829,1.3853
2001-12-01,77.719,2.3663,0.0857,1.7308,1.0354
2002-01-01,78.0517,2.356,0.4281,2.7752,1.7271
2002-02-01,78.3179,2.3478,0.341,3.4719,2.422
2002-03-01,78.5175,2.5196,0.2549,4.1734,2.9449
2002-04-01,78.7171,2.3356,0.2542,3.4539,3.114
2002-05-01,78.9167,2.3296,0.2536,3.0939,3.2827
2002-06-01,78.9833,2.1515,0.0843,2.3941,3.2799
2002-07-01,79.1164,2.2356,0.1685,2.0443,2.7467
2002-08-01,79.2494,2.4076,0.1682,1.697,2.3931
2002-09-01,79.3825,2.5795,0.1679,2.0373,2.2155
2002-10-01,79.5821,2.6609,0.2515,2.3758,2.2099
2002-11-01,79.8483,2.8278,0.3344,3.0571,2.3748
2002-12-01,79.9148,2.8253,0.0833,2.7094,2.3728
2003-01-01,80.2475,2.8133,0.4163,3.3866,2.88
2003-02-01,80.3806,2.6338,0.1658,2.6934,2.8751
2003-03-01,80.6468,2.7119,0.3311,3.7142,3.2106
2003-04-01,80.8464,2.705,0.2475,3.0186,3.2025
2003-05-01,81.046,2.6981,0.2469,3.3526,3.0225
2003-06-01,81.1126,2.6959,0.0821,2.3304,3.02
2003-07-01,81.2456,2.6913,0.1641,1.99,2.503
2003-08-01,81.4452,2.7708,0.2457,1.985,2.6665
2003-09-01,81.5783,2.7661,0.1634,2.3168,2.3236
2003-10-01,81.6449,2.592,0.0816,1.9801,1.9851
2003-11-01,81.8445,2.5,0.2445,1.9753,1.9802
2003-12-01,81.911,2.4979,0.0813,1.6413,1.9785
2004-01-01,82.0441,2.2388,0.1625,1.9704,1.9752
2004-02-01,82.2437,2.3179,0.2433,1.9655,1.9704
2004-03-01,82.5099,2.3102,0.3236,2.9567,2.2969
2004-04-01,82.7095,2.3045,0.2419,3.2838,2.625
2004-05-01,82.9091,2.2989,0.2414,3.2757,2.6185
2004-06-01,83.0422,2.379,0.1605,2.6057,2.7811
2004-07-01,83.1088,2.2932,0.0801,1.9448,2.6122
2004-08-01,83.3084,2.2876,0.2402,1.9401,2.6057
2004-09-01,83.3084,2.1207,0.0,1.2882,1.9448
2004-10-01,83.3084,2.0375,0.0,0.9642,1.4533
2004-11-01,83.3749,1.8699,0.0799,0.3199,1.1267
2004-12-01,83.5745,2.0309,0.2394,1.2841,1.2862
2005-01-01,83.5745,1.8654,0.0,1.2841,1.124
2005-02-01,83.8407,1.9418,0.3185,2.2535,1.2821
2005-03-01,84.1069,1.9355,0.3174,2.5722,1.9261
2005-04-01,84.2399,1.8504,0.1582,3.2229,2.2489
2005-05-01,84.5061,1.9262,0.316,3.2125,2.7319
2005-06-01,84.5061,1.7628,0.0,1.9123,2.2417
2005-07-01,84.8388,2.0817,0.3937,2.8741,3.0484
2005-08-01,84.9719,1.9968,0.1569,2.2231,2.7166
2005-09-01,84.9719,1.9968,0.0,2.2231,2.0676
2005-10-01,85.1715,2.2364,0.2349,1.5779,2.2239
2005-11-01,85.238,2.2346,0.0781,1.2588,1.7398
2005-12-01,85.238,1.9904,0.0,1.2588,1.7398
2006-01-01,85.4377,2.2293,0.2342,1.2559,1.4167
2006-02-01,85.6373,2.1428,0.2336,1.8868,1.5723
2006-03-01,85.8369,2.057,0.2331,2.8401,2.0464
2006-04-01,86.1031,2.2117,0.3101,3.1518,2.1995
2006-05-01,86.3692,2.2047,0.3091,3.4629,2.6718
2006-06-01,86.4358,2.2835,0.0771,2.8201,2.8301
2006-07-01,86.7019,2.1961,0.3079,2.8112,2.9814
2006-08-01,86.835,2.1926,0.1535,2.1747,2.8168
2006-09-01,86.7685,2.1143,-0.0766,1.5485,2.1823
2006-10-01,86.7019,1.7969,-0.0767,0.0,1.3959
2006-11-01,86.7685,1.7955,0.0767,-0.3062,0.9266
2006-12-01,86.835,1.8735,0.0767,0.3071,0.9259
2007-01-01,86.9016,1.7134,0.0766,0.9241,0.461
2007-02-01,87.1677,1.7871,0.3063,1.8533,0.7678
2007-03-01,87.3008,1.7054,0.1527,2.163,1.2308
2007-04-01,87.4339,1.5456,0.1524,2.4729,1.6956
2007-05-01,87.7,1.5408,0.3044,2.4652,2.1588
2007-06-01,87.8997,1.6936,0.2276,2.7723,2.4672
2007-07-01,88.0993,1.6117,0.2271,3.0791,2.7755
2007-08-01,88.2324,1.6092,0.1511,2.4501,2.4577
2007-09-01,88.2324,1.6871,0.0,1.5226,2.1455
2007-10-01,88.4985,2.0721,0.3017,1.825,2.4501
2007-11-01,88.8312,2.3773,0.3759,2.7427,2.5963
2007-12-01,89.0974,2.6054,0.2996,3.9796,2.7438
2008-01-01,89.4966,2.9862,0.4481,4.5882,3.1974
2008-02-01,89.6962,2.9008,0.223,3.9524,3.3458
2008-03-01,90.162,3.2774,0.5193,4.8661,4.4219
2008-04-01,90.3616,3.3486,0.2214,3.9226,4.2549
2008-05-01,90.8274,3.566,0.5155,5.1408,4.5449
2008-06-01,91.2267,3.785,0.4396,4.8075,4.8368
2008-07-01,91.6924,4.0785,0.5106,6.0224,4.9673
2008-08-01,91.8255,4.0724,0.1451,4.4686,4.8041
2008-09-01,91.5594,3.7707,-0.2899,1.4668,3.1236
2008-10-01,91.5594,3.4586,0.0,-0.5793,2.6685
2008-11-01,91.2267,2.6966,-0.3634,-2.5833,0.881
2008-12-01,91.0936,2.2405,-0.1459,-2.0194,-0.2915
2009-01-01,90.9605,1.6357,-0.1461,-2.5907,-1.5901
2009-02-01,91.1601,1.6321,0.2195,-0.2914,-1.444
2009-03-01,91.2267,1.1808,0.073,0.5856,-0.7254
2009-04-01,91.4263,1.1782,0.2188,2.0641,-0.2905
2009-05-01,91.6259,0.8791,0.2183,2.0595,0.8772
2009-06-01,91.6924,0.5106,0.0726,2.058,1.3191
2009-07-01,91.6924,0.0,0.0,1.1696,1.6158
2009-08-01,91.9586,0.1449,0.2903,1.4604,1.7595
2009-09-01,91.759,0.218,-0.2171,0.2906,1.1705
2009-10-01,91.8255,0.2907,0.0725,0.5818,0.8753
2009-11-01,91.8255,0.6565,0.0,-0.5776,0.4362
2009-12-01,92.0252,1.0226,0.2174,1.1653,0.727
2010-01-01,92.1582,1.3167,0.1446,1.4572,1.0185
2010-02-01,92.2248,1.1679,0.0722,1.7505,0.5797
2010-03-01,92.4909,1.3859,0.2886,2.04,1.6017
2010-04-01,92.8236,1.5284,0.3597,2.9195,2.1857
2010-05-01,92.8902,1.3798,0.0717,2.9174,2.3323
2010-06-01,92.8902,1.3062,0.0,1.7378,1.8888
2010-07-01,93.2229,1.6691,0.3582,1.7316,2.3238
2010-08-01,93.4225,1.5919,0.2141,2.3121,2.6143
2010-09-01,93.2229,1.5954,-0.2137,1.4404,1.589
2010-10-01,93.4225,1.7391,0.2141,0.8593,1.2945
2010-11-01,93.4225,1.7391,0.0,0.0,1.1494
2010-12-01,93.7552,1.88,0.3561,2.3037,1.8712
2011-01-01,94.1395,2.1499,0.4099,3.1056,1.9762
2011-02-01,94.4186,2.3788,0.2964,4.3336,2.1438
2011-03-01,94.7907,2.4865,0.3941,4.4916,3.3919
2011-04-01,95.2558,2.6202,0.4907,4.8281,3.9633
2011-05-01,95.3488,2.6469,0.0977,3.9995,4.1664
2011-06-01,95.4419,2.747,0.0976,2.7762,3.6304
2011-07-01,95.7209,2.6797,0.2924,1.9675,3.3879
2011-08-01,96.0,2.759,0.2915,2.7598,3.3778
2011-09-01,96.0,2.979,0.0,2.3598,2.5678
2011-10-01,96.5581,3.3564,0.5814,3.5447,2.7531
