date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,99.1601,,,,
2000-02-01,98.8547,,-0.308,,
2000-03-01,99.0583,,0.206,,
2000-04-01,99.2619,,0.2056,0.4113,
2000-05-01,99.3637,,0.1026,2.0757,
2000-06-01,99.1601,,-0.2049,0.4118,
2000-07-01,98.8547,,-0.308,-1.631,-0.6151
2000-08-01,99.1601,,0.309,-0.8171,0.6189
2000-09-01,99.0583,,-0.1027,-0.4101,0.0
2000-10-01,99.0583,,0.0,0.8264,-0.4098
2000-11-01,98.7529,,-0.3083,-1.6327,-1.2257
2000-12-01,98.8547,,0.1031,-0.8197,-0.6151
2001-01-01,98.8547,-0.308,0.0,-0.8197,0.0
2001-02-01,98.5492,-0.309,-0.309,-0.8222,-1.2283
2001-03-01,98.4474,-0.6166,-0.1033,-1.6376,-1.2295
2001-04-01,98.5492,-0.7179,0.1034,-1.2301,-1.0251
2001-05-01,98.651,-0.7172,0.1033,0.4138,-0.2061
2001-06-01,98.4474,-0.7187,-0.2064,0.0,-0.8222
2001-07-01,98.142,-0.7209,-0.3102,-1.6427,-1.4366
2001-08-01,98.4474,-0.7187,0.3112,-0.823,-0.2065
2001-09-01,98.3456,-0.7194,-0.1034,-0.413,-0.2067
2001-10-01,98.3456,-0.7194,0.0,0.8324,-0.4128
2001-11-01,97.8366,-0.9278,-0.5176,-2.4589,-1.6444
2001-12-01,97.7348,-1.1329,-0.1041,-2.4614,-1.4425
2002-01-01,97.5312,-1.3388,-0.2083,-3.2717,-1.2409
2002-02-01,97.0221,-1.5496,-0.5219,-3.2885,-2.8746
2002-03-01,97.2258,-1.241,0.2099,-2.0671,-2.2645
2002-04-01,97.5312,-1.0331,0.3141,0.0,-1.6494
2002-05-01,97.8366,-0.8256,0.3132,3.4004,0.0
2002-06-01,97.7348,-0.7239,-0.1041,2.1108,0.0
2002-07-01,97.3276,-0.8299,-0.4167,-0.8324,-0.4171
2002-08-01,97.633,-0.8273,0.3138,-0.8299,1.2632
2002-09-01,97.633,-0.7246,0.0,-0.416,0.8395
2002-10-01,97.4294,-0.9317,-0.2086,0.419,-0.2087
2002-11-01,97.4294,-0.4162,0.0,-0.8316,-0.8307
2002-12-01,97.4294,-0.3125,0.0,-0.8316,-0.624
2003-01-01,97.1239,-0.4175,-0.3135,-1.248,-0.418
2003-02-01,96.8185,-0.2099,-0.3145,-2.4843,-1.6615
2003-03-01,97.1239,-0.1047,0.3155,-1.248,-1.04
2003-04-01,97.4294,-0.1044,0.3145,1.2638,0.0
2003-05-01,97.633,-0.2081,0.209,3.4076,0.4184
2003-06-01,97.3276,-0.4167,-0.3128,0.8412,-0.2089
2003-07-01,97.1239,-0.2092,-0.2092,-1.248,0.0
2003-08-01,97.3276,-0.3128,0.2096,-1.2454,1.0543
2003-09-01,97.4294,-0.2086,0.1046,0.419,0.6299
2003-10-01,97.4294,0.0,0.0,1.2638,0.0
2003-11-01,96.9203,-0.5225,-0.5225,-1.6632,-1.4545
2003-12-01,97.0221,-0.418,0.105,-1.6614,-0.6266
2004-01-01,96.8185,-0.3145,-0.2099,-2.4843,-0.6279
2004-02-01,96.8185,0.0,0.0,-0.4195,-1.0433
2004-03-01,97.0221,-0.1048,0.2103,0.0,-0.8342
2004-04-01,97.0221,-0.418,0.0,0.8439,-0.8342
2004-05-01,97.1239,-0.5214,0.1049,1.2678,0.4206
2004-06-01,97.3276,0.0,0.2096,1.2652,0.6306
2004-07-01,97.0221,-0.1048,-0.3138,0.0,0.421
2004-08-01,97.1239,-0.2092,0.1049,0.0,0.6319
2004-09-01,97.4294,0.0,0.3145,0.419,0.8412
2004-10-01,97.9384,0.5225,0.5225,3.8314,1.8977
2004-11-01,97.7348,0.8403,-0.2079,2.5395,1.2618
2004-12-01,97.2258,0.2099,-0.5208,-0.8334,-0.2091
2005-01-01,97.0221,0.2103,-0.2094,-3.69,0.0
2005-02-01,96.7167,-0.1052,-0.3148,-4.102,-0.8368
2005-03-01,97.0221,0.0,0.3158,-0.8351,-0.8342
2005-04-01,97.1239,0.1049,0.1049,0.4204,-1.6563
2005-05-01,97.2258,0.1048,0.1048,2.1219,-1.039
2005-06-01,96.8185,-0.523,-0.4188,-0.8368,-0.8359
2005-07-01,96.7167,-0.3148,-0.1052,-1.6666,-0.6286
2005-08-01,96.8185,-0.3145,0.1053,-1.6649,0.2106
2005-09-01,97.1239,-0.3135,0.3155,1.2678,0.21
2005-10-01,97.1239,-0.8316,0.0,1.6949,0.0
2005-11-01,96.7167,-1.0417,-0.4193,-0.42,-1.0444
2005-12-01,96.8185,-0.4188,0.1053,-1.2519,0.0
2006-01-01,96.9203,-0.1049,0.1051,-0.836,0.4215
2006-02-01,96.6149,-0.1053,-0.3151,-0.4204,-0.4202
2006-03-01,96.8185,-0.2099,0.2108,0.0,-0.6279
2006-04-01,97.0221,-0.1048,0.2103,0.4208,-0.2095
2006-05-01,97.3276,0.1047,0.3148,2.9833,1.2672
2006-06-01,97.3276,0.5258,0.0,2.1197,1.0543
2006-07-01,97.0221,0.3158,-0.3138,0.0,0.2102
2006-08-01,97.7348,0.9464,0.7345,1.6841,2.3317
2006-09-01,97.7348,0.6289,0.0,1.6841,1.9017
2006-10-01,97.5312,0.4193,-0.2083,2.1152,1.0521
2006-11-01,97.0221,0.3158,-0.5219,-2.8849,-0.6266
2006-12-01,97.1239,0.3155,0.1049,-2.4767,-0.418
2007-01-01,96.9203,0.0,-0.2096,-2.4818,-0.2098
2007-02-01,96.4113,-0.2107,-0.5252,-2.4947,-2.69
