date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,65.8395,,,,
2000-02-01,66.0409,,0.3058,,
2000-03-01,66.373,,0.5028,,
2000-04-01,66.1063,,-0.4018,1.6302,
2000-05-01,65.7731,,-0.5039,-1.6119,
2000-06-01,66.1063,,0.5065,-1.5977,
2000-07-01,66.373,,0.4035,1.6236,1.6269
2000-08-01,66.705,,0.5003,5.7889,2.0214
2000-09-01,67.5705,,1.2975,9.1587,3.6411
2000-10-01,67.5041,,-0.0983,6.9931,4.2738
2000-11-01,67.1046,,-0.5919,2.4174,4.0895
2000-12-01,67.3702,,0.3959,-1.1804,3.8606
2001-01-01,68.1039,3.4392,1.0891,3.602,5.2839
2001-02-01,68.436,3.6267,0.4876,8.1757,5.2572
2001-03-01,69.0358,4.0119,0.8765,10.262,4.3841
2001-04-01,69.3015,4.8334,0.3848,7.2213,5.3961
2001-05-01,69.235,5.2634,-0.0958,4.7529,6.4506
2001-06-01,69.4343,5.0344,0.2878,2.3289,6.2214
2001-07-01,69.5671,4.8124,0.1913,1.5422,4.3431
2001-08-01,69.8338,4.6905,0.3834,3.5045,4.1268
2001-09-01,69.7674,3.2513,-0.0951,1.9329,2.1307
2001-10-01,69.7674,3.3529,0.0,1.1566,1.3492
2001-11-01,69.3689,3.3744,-0.5712,-2.6364,0.3871
2001-12-01,69.5018,3.1639,0.1915,-1.5144,0.1944
2002-01-01,69.9002,2.6376,0.5733,0.7637,0.96
2002-02-01,70.2334,2.6263,0.4766,5.0784,1.1475
2002-03-01,70.6329,2.3134,0.5689,6.6706,2.4964
2002-04-01,71.0324,2.4977,0.5656,6.638,3.6592
2002-05-01,71.2981,2.9797,0.374,6.2032,5.6393
2002-06-01,71.2317,2.5886,-0.0931,3.4343,5.04
2002-07-01,71.0324,2.1063,-0.2797,0.0,3.2657
2002-08-01,71.4984,2.3836,0.656,1.1284,3.6347
2002-09-01,71.8989,3.0552,0.5603,3.8002,3.617
2002-10-01,71.6976,2.7666,-0.28,3.7988,1.8817
2002-11-01,71.7651,3.4542,0.0941,1.5005,1.3143
2002-12-01,72.0961,3.7327,0.4612,1.1012,2.4418
2003-01-01,72.5641,3.811,0.6492,4.9227,4.3592
2003-02-01,72.9626,3.886,0.5491,6.8437,4.1378
2003-03-01,73.8281,4.5237,1.1862,9.9613,5.4382
2003-04-01,73.6953,3.7488,-0.1799,6.3825,5.6501
2003-05-01,73.5624,3.1759,-0.1802,3.3292,5.0718
2003-06-01,73.3621,2.9909,-0.2723,-2.5007,3.543
2003-07-01,73.2968,3.1878,-0.0891,-2.1454,2.0295
2003-08-01,73.6288,2.9798,0.453,0.3616,1.8346
2003-09-01,74.2951,3.3326,0.9049,5.1846,1.2691
2003-10-01,74.3604,3.714,0.088,5.9323,1.8134
2003-11-01,74.2276,3.4314,-0.1786,3.2928,1.8167
2003-12-01,74.5618,3.42,0.4502,1.4437,3.2972
2004-01-01,75.0277,3.3951,0.6249,3.6381,4.7789
2004-02-01,75.3598,3.2855,0.4426,6.2422,4.7571
2004-03-01,76.0914,3.0657,0.9708,8.4618,4.8941
2004-04-01,76.0914,3.2514,0.0,5.7925,4.7098
2004-05-01,76.026,3.349,-0.0859,3.5835,4.9044
2004-06-01,76.026,3.6312,0.0,-0.3431,3.9662
2004-07-01,76.492,4.3593,0.6129,2.1225,3.9413
