date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,51.259,,,,
2000-02-01,51.7136,,0.887,,
2000-03-01,52.0004,,0.5544,,
2000-04-01,52.2962,,0.569,8.3431,
2000-05-01,52.4917,,0.3738,6.1554,
2000-06-01,52.8026,,0.5923,6.3156,
2000-07-01,53.0086,,0.3901,5.5613,6.9432
2000-08-01,53.2999,,0.5495,6.3021,6.2288
2000-09-01,53.6892,,0.7305,6.8875,6.6012
2000-10-01,54.0589,,0.6886,8.1644,6.8549
2000-11-01,54.5212,,0.855,9.4852,7.8819
2000-12-01,55.1114,,1.0826,11.024,8.9361
2001-01-01,55.4169,8.1117,0.5544,10.4332,9.2929
2001-02-01,55.3803,7.0902,-0.0662,6.4534,7.9587
2001-03-01,55.7311,7.1745,0.6336,4.5745,7.751
2001-04-01,56.0123,7.1058,0.5044,4.3668,7.3572
2001-05-01,56.1408,6.9517,0.2295,5.6073,6.0295
2001-06-01,56.2736,6.5734,0.2365,3.9505,4.262
2001-07-01,56.1274,5.8835,-0.2598,0.8246,2.5804
2001-08-01,56.4599,5.9288,0.5925,2.2932,3.937
2001-09-01,56.9855,6.1395,0.9309,5.1572,4.5521
2001-10-01,57.243,5.89,0.4519,8.1911,4.4429
2001-11-01,57.4587,5.3878,0.3767,7.2659,4.75
2001-12-01,57.5382,4.4035,0.1385,3.9368,4.5452
2002-01-01,58.0694,4.7864,0.9231,5.9006,7.0398
2002-02-01,58.0321,4.7883,-0.0643,4.0518,5.6466
2002-03-01,58.3289,4.6612,0.5115,5.6109,4.7705
2002-04-01,58.6475,4.7048,0.5463,4.0423,4.9673
2002-05-01,58.7664,4.6768,0.2027,5.1585,4.6037
2002-06-01,59.0529,4.939,0.4876,5.0584,5.3343
2002-07-01,59.2224,5.5144,0.2871,3.9792,4.0107
2002-08-01,59.4476,5.2917,0.3802,4.718,4.938
2002-09-01,59.8052,4.9481,0.6015,5.1937,5.126
2002-10-01,60.0688,4.9364,0.4408,5.8401,4.9055
2002-11-01,60.5546,5.3881,0.8088,7.6591,6.1784
2002-12-01,60.8182,5.7005,0.4353,6.9495,6.068
2003-01-01,61.0641,5.1571,0.4043,6.7941,6.316
2003-02-01,61.2337,5.517,0.2778,4.5618,6.0991
2003-03-01,61.6202,5.6427,0.6312,5.3801,6.1619
2003-04-01,61.7254,5.2481,0.1707,4.4031,5.5918
2003-05-01,61.5262,4.6963,-0.3227,1.9248,3.2349
2003-06-01,61.5771,4.2744,0.0826,-0.2797,2.5111
2003-07-01,61.6663,4.1266,0.1449,-0.3824,1.9822
2003-08-01,61.8513,4.0434,0.3,2.1301,2.0274
2003-09-01,62.2195,4.037,0.5953,4.239,1.9546
2003-10-01,62.4476,3.9602,0.3667,5.1653,2.3538
2003-11-01,62.966,3.9821,0.83,7.4059,4.7348
2003-12-01,63.2366,3.9765,0.4299,6.7011,5.4629
2004-01-01,63.6297,4.2015,0.6215,7.789,6.4691
2004-02-01,64.0103,4.5344,0.5982,6.8011,7.1031
2004-03-01,64.2272,4.2307,0.3389,6.4144,6.5577
2004-04-01,64.3241,4.2101,0.1509,4.4376,6.1001
2004-05-01,64.1628,4.2852,-0.2508,0.9563,3.8376
2004-06-01,64.2656,4.3661,0.1603,0.2394,3.2808
2004-07-01,64.434,4.4883,0.2621,0.6854,2.5443
2004-08-01,64.8318,4.8188,0.6173,4.2366,2.5833
2004-09-01,65.3679,5.0601,0.8268,7.0391,3.5835
2004-10-01,65.8206,5.4012,0.6926,8.8893,4.707
2004-11-01,66.3821,5.4253,0.853,9.9133,7.0373
2004-12-01,66.5192,5.1909,0.2066,7.2334,7.1362
2005-01-01,66.5215,4.5448,0.0035,4.3283,6.5844
2005-02-01,66.7432,4.2694,0.3332,2.1938,5.9833
2005-03-01,67.044,4.3857,0.4507,3.1934,5.194
2005-04-01,67.2828,4.5996,0.3561,4.6565,4.4923
2005-05-01,67.1137,4.5992,-0.2512,2.2394,2.2166
2005-06-01,67.0493,4.3316,-0.096,0.0317,1.6003
2005-07-01,67.3117,4.4661,0.3914,0.1723,2.3899
2005-08-01,67.3921,3.9491,0.1194,1.6694,1.954
2005-09-01,67.6622,3.5099,0.4008,3.7067,1.8527
2005-10-01,67.8283,3.0502,0.2455,3.1051,1.6281
2005-11-01,68.3164,2.914,0.7197,5.6003,3.6162
2005-12-01,68.7361,3.3327,0.6142,6.5013,5.0947
2006-01-01,69.1392,3.935,0.5864,7.9576,5.5035
