date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,74.5,,,,
2000-02-01,74.8,,0.4027,,
2000-03-01,74.9,,0.1337,,
2000-04-01,75.1,,0.267,3.2606,
2000-05-01,75.2,,0.1332,2.1563,
2000-06-01,75.6,,0.5319,3.7911,
2000-07-01,75.3,,-0.3968,1.0695,2.1592
2000-08-01,75.3,,0.0,0.533,1.3414
2000-09-01,76.0,,0.9296,2.1333,2.9588
2000-10-01,76.0,,0.0,3.7706,2.4112
2000-11-01,76.4,,0.5263,5.9726,3.217
2000-12-01,76.3,,-0.1309,1.5883,1.8604
2001-01-01,76.9,3.2215,0.7864,4.8216,4.2948
2001-02-01,77.5,3.6096,0.7802,5.8847,5.9287
2001-03-01,77.7,3.7383,0.2581,7.5439,4.5237
2001-04-01,78.0,3.8615,0.3861,5.8457,5.3324
2001-05-01,78.4,4.2553,0.5128,4.7267,5.3041
2001-06-01,78.4,3.7037,0.0,3.6526,5.5803
2001-07-01,77.4,2.7888,-1.2755,-3.0416,1.3046
2001-08-01,77.3,2.656,-0.1292,-5.4952,-0.5155
2001-09-01,77.7,2.2368,0.5175,-3.5239,0.0
2001-10-01,77.7,2.2368,0.0,1.5594,-0.7678
2001-11-01,77.7,1.7016,0.0,2.086,-1.7777
2001-12-01,77.9,2.097,0.2574,1.0336,-1.2714
2002-01-01,78.0,1.4304,0.1284,1.5534,1.5564
2002-02-01,78.1,0.7742,0.1282,2.0752,2.0806
2002-03-01,78.4,0.9009,0.3841,2.5922,1.8099
2002-04-01,78.5,0.641,0.1276,2.5889,2.0698
2002-05-01,78.7,0.3827,0.2548,3.1086,2.5906
2002-06-01,78.7,0.3827,0.0,1.5394,2.0645
2002-07-01,78.6,1.5504,-0.1271,0.5105,1.5444
2002-08-01,78.3,1.2937,-0.3817,-2.0176,0.5128
2002-09-01,78.8,1.4157,0.6386,0.5092,1.023
2002-10-01,79.1,1.8018,0.3807,2.5689,1.5345
2002-11-01,79.4,2.1879,0.3793,5.7389,1.7868
2002-12-01,80.0,2.6958,0.7557,6.2319,3.331
2003-01-01,81.9,5.0,2.375,14.929,8.5732
2003-02-01,82.0,4.9936,0.1221,13.7558,9.6741
2003-03-01,81.4,3.8265,-0.7317,7.1859,6.7079
2003-04-01,80.8,2.9299,-0.7371,-5.2651,4.3445
2003-05-01,80.3,2.033,-0.6188,-8.0383,2.2799
2003-06-01,80.1,1.7789,-0.2491,-6.2368,0.2502
2003-07-01,79.8,1.5267,-0.3745,-4.8593,-5.0625
2003-08-01,80.0,2.1711,0.2506,-1.486,-4.8186
2003-09-01,80.4,2.0305,0.5,1.5066,-2.4419
2003-10-01,80.4,1.6435,0.0,3.0416,-0.9876
2003-11-01,80.5,1.3854,0.1244,2.5235,0.4988
2003-12-01,80.5,0.625,0.0,0.4984,1.0012
2004-01-01,80.4,-1.8315,-0.1242,0.0,1.5094
2004-02-01,80.5,-1.8293,0.1244,0.0,1.2539
2004-03-01,80.9,-0.6143,0.4969,2.0024,1.2476
2004-04-01,81.0,0.2475,0.1236,3.0187,1.4981
2004-05-01,81.1,0.9963,0.1235,3.0149,1.4962
