date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,82.2797,,,,
2000-02-01,82.669,,0.4732,,
2000-03-01,83.0648,,0.4787,,
2000-04-01,82.9914,,-0.0884,3.505,
2000-05-01,83.3871,,0.4768,3.5199,
2000-06-01,83.3711,,-0.0191,1.4835,
2000-07-01,82.9754,,-0.4747,-0.0769,1.6983
2000-08-01,83.0329,,0.0692,-1.6885,0.8821
2000-09-01,83.6201,,0.7072,1.1997,1.3415
2000-10-01,83.802,,0.2175,4.0446,1.963
2000-11-01,83.8498,,0.0571,3.9942,1.113
2000-12-01,83.7669,,-0.099,0.7041,0.9516
2001-01-01,83.5179,1.5049,-0.2972,-1.3489,1.312
2001-02-01,83.8211,1.3936,0.363,-0.137,1.9077
2001-03-01,84.4403,1.6559,0.7386,3.2545,1.9713
2001-04-01,85.1743,2.6303,0.8693,8.1719,3.3019
2001-05-01,85.7519,2.8359,0.6782,9.5371,4.5883
2001-06-01,85.6274,2.7063,-0.1452,5.7435,4.4916
2001-07-01,85.1902,2.6692,-0.5106,0.075,4.0447
2001-08-01,85.4008,2.8519,0.2472,-1.6275,3.8048
2001-09-01,86.1189,2.9883,0.8408,2.3157,4.0155
2001-10-01,85.8859,2.4868,-0.2705,3.3069,1.6781
2001-11-01,85.9178,2.4663,0.0372,2.4436,0.3874
2001-12-01,85.9944,2.6592,0.0891,-0.5768,0.8591
2002-01-01,85.7838,2.713,-0.2449,-0.4748,1.3984
2002-02-01,85.9912,2.589,0.2418,0.3422,1.3874
2002-03-01,86.7284,2.7098,0.8573,3.4582,1.4206
2002-04-01,87.105,2.2668,0.4342,6.3045,2.859
2002-05-01,87.3284,1.8385,0.2565,6.3667,3.3105
2002-06-01,87.2008,1.8374,-0.1462,2.1963,2.8253
2002-07-01,86.8912,1.9967,-0.355,-0.9783,2.5985
2002-08-01,86.9423,1.8049,0.0588,-1.757,2.2242
2002-09-01,87.6029,1.7232,0.7598,1.8573,2.0267
2002-10-01,87.8869,2.3298,0.3242,4.6631,1.8033
2002-11-01,87.6731,2.0429,-0.2433,3.405,0.7909
2002-12-01,87.7848,2.0819,0.1274,0.8332,1.344
2003-01-01,88.0688,2.6637,0.3235,0.8305,2.7289
2003-02-01,88.8475,3.3216,0.8842,5.4668,4.4308
2003-03-01,89.3039,2.9695,0.5137,7.1036,3.9211
2003-04-01,88.9879,2.1617,-0.3538,4.2404,2.5212
2003-05-01,88.8826,1.7797,-0.1184,0.1581,2.7782
2003-06-01,88.6369,1.6469,-0.2765,-2.9542,1.9507
2003-07-01,88.3305,1.6565,-0.3456,-2.9225,0.5952
2003-08-01,88.305,1.5674,-0.0289,-2.5743,-1.2175
2003-09-01,88.9464,1.5337,0.7264,1.4043,-0.7989
2003-10-01,89.0071,1.2746,0.0682,3.0992,0.043
2003-11-01,88.822,1.3104,-0.208,2.3625,-0.1364
2003-12-01,88.9018,1.2724,0.0898,-0.2008,0.5986
2004-01-01,88.7071,0.7248,-0.219,-1.3414,0.8545
2004-02-01,88.4933,-0.3987,-0.241,-1.4721,0.4269
2004-03-01,89.1603,-0.1608,0.7537,1.1682,0.4814
2004-04-01,89.1794,0.2152,0.0215,2.1469,0.3876
2004-05-01,89.3996,0.5817,0.2469,4.1602,1.3049
2004-06-01,89.0103,0.4213,-0.4355,-0.6712,0.2443
2004-07-01,88.8762,0.6178,-0.1506,-1.3529,0.3817
2004-08-01,88.7709,0.5276,-0.1185,-2.7835,0.6285
2004-09-01,89.4188,0.531,0.7298,1.8484,0.5807
2004-10-01,89.6836,0.7601,0.2962,3.6837,1.134
2004-11-01,89.1698,0.3916,-0.5729,1.8097,-0.5134
2004-12-01,89.1507,0.28,-0.0215,-1.1938,0.3158
2005-01-01,88.6848,-0.0252,-0.5226,-4.3813,-0.4304
2005-02-01,89.1028,0.6888,0.4714,-0.3003,0.7492
2005-03-01,89.2784,0.1324,0.197,0.574,-0.3138
2005-04-01,89.4092,0.2577,0.1466,3.3077,-0.6111
2005-05-01,89.4698,0.0785,0.0678,1.6577,0.674
2005-06-01,89.5018,0.5521,0.0357,1.0047,0.7891
2005-07-01,89.1698,0.3304,-0.3708,-1.0665,1.097
2005-08-01,89.3422,0.6435,0.1933,-0.5695,0.538
2005-09-01,89.9549,0.5996,0.6858,2.0408,1.5214
2005-10-01,90.1145,0.4804,0.1774,4.3053,1.5839
2005-11-01,89.8975,0.816,-0.2408,2.5094,0.9582
2005-12-01,89.939,0.8842,0.0461,-0.071,0.9794
2006-01-01,89.2273,0.6118,-0.7913,-3.8803,0.1289
2006-02-01,89.6454,0.6089,0.4685,-1.1171,0.6798
2006-03-01,90.2804,1.1224,0.7084,1.5274,0.725
2006-04-01,90.7368,1.4849,0.5055,6.9407,1.3859
2006-05-01,90.8772,1.573,0.1548,5.611,2.1916
2006-06-01,90.8517,1.5083,-0.0281,2.5551,2.04
2006-07-01,90.6953,1.7107,-0.1721,-0.1828,3.3176
2006-08-01,90.756,1.5824,0.0669,-0.5328,2.4931
2006-09-01,91.2857,1.4794,0.5837,1.9247,2.2394
2006-10-01,91.2953,1.3103,0.0105,2.6725,1.2348
2006-11-01,91.4102,1.6827,0.1258,2.9148,1.1764
2006-12-01,91.4102,1.6358,0.0,0.5465,1.2333
2007-01-01,90.957,1.9386,-0.4958,-1.474,0.5779
2007-02-01,91.4166,1.9758,0.5052,0.0279,1.4611
2007-03-01,92.0165,1.923,0.6563,2.6798,1.6076
2007-04-01,92.4825,1.9239,0.5064,6.8792,2.6177
2007-05-01,92.3835,1.6575,-0.107,4.2987,2.141
2007-06-01,92.5335,1.8512,0.1624,2.2664,2.4729
2007-07-01,92.3867,1.8649,-0.1586,-0.4134,3.1685
2007-08-01,92.3612,1.7688,-0.0276,-0.0966,2.0774
2007-09-01,93.2835,2.1885,0.9986,3.2816,2.7728
2007-10-01,93.7782,2.7196,0.5303,6.1619,2.8217
2007-11-01,94.3845,3.2538,0.6466,9.0548,4.3788
2007-12-01,94.5664,3.4528,0.1927,5.6157,4.4421
2008-01-01,93.8643,3.1964,-0.7424,0.368,3.2243
2008-02-01,94.2537,3.1035,0.4148,-0.5534,4.14
2008-03-01,95.1536,3.4093,0.9548,2.507,4.0498
2008-04-01,95.5717,3.3404,0.4394,7.4769,3.8616
2008-05-01,95.9483,3.8587,0.394,7.388,3.3411
2008-06-01,96.4047,4.1835,0.4756,5.3635,3.9255
2008-07-01,96.2068,4.1349,-0.2052,2.6846,5.0534
2008-08-01,96.3728,4.3433,0.1725,1.7813,4.5471
2008-09-01,97.3621,4.3722,1.0266,4.0321,4.6957
2008-10-01,97.5153,3.985,0.1573,5.5522,4.1085
2008-11-01,96.7174,2.4717,-0.8182,1.4382,1.6096
2008-12-01,95.4185,0.901,-1.343,-7.7489,-2.0354
2009-01-01,95.0643,1.2784,-0.3712,-9.681,-2.361
2009-02-01,95.0866,0.8837,0.0235,-6.5758,-2.6512
2009-03-01,95.3579,0.2146,0.2853,-0.254,-4.0746
2009-04-01,95.5047,-0.0701,0.154,1.866,-4.0811
2009-05-01,95.259,-0.7184,-0.2573,0.7269,-2.9932
2009-06-01,95.4888,-0.9501,0.2412,0.5501,0.1472
2009-07-01,95.0483,-1.2041,-0.4612,-1.8977,-0.0336
2009-08-01,95.2462,-1.169,0.2082,-0.0536,0.3359
2009-09-01,95.5398,-1.8717,0.3083,0.214,0.3819
2009-10-01,95.7792,-1.7803,0.2505,3.1113,0.5756
2009-11-01,95.7568,-0.9932,-0.0233,2.1617,1.048
2009-12-01,95.9674,0.5753,0.22,1.8025,1.0051
2010-01-01,95.3611,0.3122,-0.6318,-1.7346,0.6592
2010-02-01,95.9355,0.8928,0.6024,0.7486,1.4527
2010-03-01,96.1653,0.8467,0.2395,0.8273,1.3137
2010-04-01,96.1781,0.7051,0.0133,3.4712,0.8347
2010-05-01,96.3568,1.1525,0.1858,1.7681,1.2571
2010-06-01,96.3728,0.9258,0.0166,0.8656,0.8464
2010-07-01,96.076,1.0812,-0.308,-0.4241,1.5049
2010-08-01,96.0823,0.8779,0.0067,-1.1345,0.3063
2010-09-01,96.8929,1.4163,0.8437,2.1766,1.519
2010-10-01,97.2025,1.4861,0.3195,4.7734,2.1416
2010-11-01,97.5248,1.8464,0.3316,6.1418,2.4391
2010-12-01,98.211,2.3378,0.7036,5.5533,3.8512
2011-01-01,97.7036,2.4564,-0.5167,2.0778,3.4169
2011-02-01,98.3003,2.465,0.6108,3.2189,4.6701
2011-03-01,98.9673,2.9138,0.6785,3.1163,4.3277
2011-04-01,99.3918,3.3414,0.4289,7.0929,4.5553
2011-05-01,99.5769,3.3418,0.1862,5.2966,4.2525
2011-06-01,99.3407,3.0797,-0.2372,1.5177,2.3139
2011-07-01,99.2928,3.3483,-0.0482,-0.3975,3.2798
2011-08-01,99.3248,3.3746,0.0321,-1.0089,2.0951
2011-09-01,100.0205,3.2279,0.7005,2.7654,2.1396
2011-10-01,100.0237,2.9024,0.0032,2.9769,1.2756
2011-11-01,100.2598,2.8044,0.236,3.8191,1.3763
2011-12-01,100.4577,2.2876,0.1974,1.7599,2.2614
2012-01-01,99.5226,1.8618,-0.9308,-1.9888,0.4634
2012-02-01,100.1832,1.9154,0.6637,-0.3053,1.736
2012-03-01,100.4641,1.5124,0.2804,0.0255,0.889
2012-04-01,100.6843,1.3004,0.2192,4.7514,1.3252
2012-05-01,100.6013,1.0288,-0.0824,1.6798,0.6824
