date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,72.6,,,,
2000-02-01,72.8,,0.2755,,
2000-03-01,73.0,,0.2747,,
2000-04-01,73.3,,0.411,3.9129,
2000-05-01,73.5,,0.2729,3.902,
2000-06-01,73.6,,0.1361,3.3284,
2000-07-01,73.3,,-0.4076,0.0,1.9377
2000-08-01,73.3,,0.0,-1.084,1.3783
2000-09-01,73.8,,0.6821,1.0914,2.2038
2000-10-01,73.8,,0.0,2.7566,1.3689
2000-11-01,74.0,,0.271,3.875,1.3652
2000-12-01,74.0,,0.0,1.0884,1.0899
2001-01-01,73.5,1.2397,-0.6757,-1.6161,0.5464
2001-02-01,73.7,1.2363,0.2721,-1.6118,1.0944
2001-03-01,73.9,1.2329,0.2714,-0.5394,0.2712
2001-04-01,74.4,1.5007,0.6766,4.9887,1.6326
2001-05-01,74.9,1.9048,0.672,6.6737,2.4472
2001-06-01,75.0,1.9022,0.1335,6.0883,2.721
2001-07-01,74.5,1.6371,-0.6667,0.5387,2.7396
2001-08-01,74.8,2.0464,0.4027,-0.533,3.0074
2001-09-01,75.0,1.626,0.2674,0.0,2.9992
2001-10-01,74.9,1.4905,-0.1333,2.165,1.3486
2001-11-01,74.9,1.2162,0.0,0.5358,0.0
2001-12-01,75.0,1.3514,0.1335,0.0,0.0
2002-01-01,74.8,1.7687,-0.2667,-0.533,0.807
2002-02-01,75.0,1.7639,0.2674,0.5351,0.5355
2002-03-01,75.2,1.7591,0.2667,1.0709,0.534
2002-04-01,75.6,1.6129,0.5319,4.3472,1.8779
2002-05-01,75.8,1.2016,0.2646,4.3354,2.4176
2002-06-01,75.8,1.0667,0.0,3.2299,2.1447
2002-07-01,75.6,1.4765,-0.2639,0.0,2.1505
2002-08-01,75.8,1.3369,0.2646,0.0,2.1447
2002-09-01,76.0,1.3333,0.2639,1.0596,2.139
2002-10-01,76.1,1.6021,0.1316,2.6719,1.3271
2002-11-01,76.1,1.6021,0.0,1.5925,0.7931
2002-12-01,76.3,1.7333,0.2628,1.5883,1.3236
2003-01-01,75.9,1.4706,-0.5242,-1.0471,0.7952
2003-02-01,76.1,1.4667,0.2635,0.0,0.7931
2003-03-01,76.4,1.5957,0.3942,0.5253,1.0554
2003-04-01,76.8,1.5873,0.5236,4.8281,1.8481
2003-05-01,76.8,1.3193,0.0,3.7304,1.8481
2003-06-01,76.7,1.1873,-0.1302,1.58,1.0512
2003-07-01,76.6,1.3228,-0.1304,-1.0376,1.853
2003-08-01,76.8,1.3193,0.2611,0.0,1.8481
2003-09-01,77.0,1.3158,0.2604,1.5737,1.5768
2003-10-01,77.1,1.3141,0.1299,2.6366,0.7828
2003-11-01,77.1,1.3141,0.0,1.5717,0.7828
2003-12-01,77.3,1.3106,0.2594,1.5676,1.5707
2004-01-01,77.0,1.4493,-0.3881,-0.5178,1.0471
2004-02-01,77.2,1.4455,0.2597,0.5198,1.0444
2004-03-01,77.3,1.178,0.1295,0.0,0.7807
2004-04-01,77.6,1.0417,0.3881,3.1535,1.3012
2004-05-01,77.9,1.4323,0.3866,3.6766,2.086
2004-06-01,77.9,1.5645,0.0,3.1411,1.5584
2004-07-01,77.7,1.436,-0.2567,0.5165,1.8264
2004-08-01,77.9,1.4323,0.2574,0.0,1.8217
2004-09-01,77.9,1.1688,0.0,0.0,1.5584
