date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,169.3,,,,
2000-02-01,170.0,,0.4135,,
2000-03-01,171.0,,0.5882,,
2000-04-01,170.9,,-0.0585,3.8342,
2000-05-01,171.2,,0.1755,2.8536,
2000-06-01,172.2,,0.5841,2.8367,
2000-07-01,172.7,,0.2904,4.28,4.0569
2000-08-01,172.7,,0.0,3.551,3.2017
2000-09-01,173.6,,0.5211,3.2919,3.0641
2000-10-01,173.9,,0.1728,2.8085,3.5416
2000-11-01,174.2,,0.1725,3.5198,3.5354
2000-12-01,174.6,,0.2296,2.3241,2.8069
2001-01-01,175.6,3.7212,0.5727,3.968,3.3866
2001-02-01,176.0,3.5294,0.2278,4.1977,3.8582
2001-03-01,176.1,2.9825,0.0568,3.481,2.9009
2001-04-01,176.4,3.2183,0.1704,1.8348,2.8959
2001-05-01,177.3,3.5631,0.5102,2.9874,3.5908
2001-06-01,177.7,3.194,0.2256,3.6841,3.5825
2001-07-01,177.4,2.7215,-0.1688,2.2869,2.0606
2001-08-01,177.4,2.7215,0.0,0.2258,1.5972
2001-09-01,178.1,2.5922,0.3946,0.9034,2.2843
2001-10-01,177.6,2.1277,-0.2807,0.4517,1.3652
2001-11-01,177.5,1.8944,-0.0563,0.2257,0.2257
2001-12-01,177.4,1.6037,-0.0563,-1.5629,-0.3374
2002-01-01,177.7,1.1959,0.1691,0.2254,0.3385
2002-02-01,178.0,1.1364,0.1688,1.1315,0.6776
2002-03-01,178.5,1.3629,0.2809,2.5034,0.4497
2002-04-01,179.3,1.644,0.4482,3.6505,1.9236
2002-05-01,179.5,1.2408,0.1115,3.4136,2.2662
2002-06-01,179.6,1.0692,0.0557,2.4879,2.4956
2002-07-01,180.0,1.4656,0.2227,1.5708,2.6054
2002-08-01,180.5,1.7475,0.2778,2.2471,2.8287
2002-09-01,180.8,1.516,0.1662,2.6995,2.5936
2002-10-01,181.2,2.027,0.2212,2.6935,2.1306
2002-11-01,181.5,2.2535,0.1656,2.2346,2.2408
2002-12-01,181.8,2.4803,0.1653,2.2308,2.4649
2003-01-01,182.6,2.7575,0.44,3.1265,2.9098
2003-02-01,183.6,3.1461,0.5476,4.709,3.4644
2003-03-01,183.9,3.0252,0.1634,4.7011,3.4586
2003-04-01,183.2,2.1751,-0.3806,1.3208,2.2197
2003-05-01,182.9,1.8942,-0.1638,-1.5164,1.5486
2003-06-01,183.1,1.9488,0.1093,-1.7288,1.4353
2003-07-01,183.7,2.0556,0.3277,1.0962,1.2084
2003-08-01,184.5,2.2161,0.4355,3.5454,0.9828
2003-09-01,185.1,2.3783,0.3252,4.4413,1.3093
2003-10-01,184.9,2.0419,-0.108,2.6387,1.8645
2003-11-01,185.0,1.9284,0.0541,1.0884,2.3095
2003-12-01,185.5,2.0352,0.2703,0.8672,2.6387
2004-01-01,186.3,2.0263,0.4313,3.0632,2.8507
2004-02-01,186.7,1.6885,0.2147,3.7267,2.399
2004-03-01,187.1,1.7401,0.2142,3.495,2.1727
2004-04-01,187.4,2.2926,0.1603,2.3828,2.7224
2004-05-01,188.2,2.8978,0.4269,3.2526,3.4894
2004-06-01,188.9,3.1677,0.3719,3.9041,3.6994
2004-07-01,189.1,2.9396,0.1059,3.6783,3.0285
2004-08-01,189.2,2.5474,0.0529,2.1424,2.696
2004-09-01,189.8,2.5392,0.3171,1.9194,2.907
2004-10-01,190.8,3.1909,0.5269,3.6448,3.6615
2004-11-01,191.7,3.6216,0.4717,5.3911,3.754
2004-12-01,191.7,3.3423,0.0,4.0647,2.9865
2005-01-01,191.6,2.8449,-0.0522,1.6877,2.6616
2005-02-01,192.4,3.053,0.4175,1.4686,3.4113
2005-03-01,193.1,3.2068,0.3638,2.9534,3.5076
2005-04-01,193.7,3.3618,0.3107,4.4567,3.0629
2005-05-01,193.6,2.8693,-0.0516,2.5182,1.9921
2005-06-01,193.7,2.541,0.0517,1.2487,2.0975
2005-07-01,194.9,3.0672,0.6195,2.5012,3.4743
