date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,44.6354,,,,
2000-02-01,44.4972,,-0.3096,,
2000-03-01,44.9578,,1.0352,,
2000-04-01,45.5566,,1.332,8.515,
2000-05-01,45.7409,,0.4045,11.6577,
2000-06-01,46.0173,,0.6042,9.7647,
2000-07-01,46.4318,,0.9009,7.9089,8.2115
2000-08-01,46.6161,,0.3968,7.876,9.7506
2000-09-01,46.8464,,0.4941,7.4043,8.5781
2000-10-01,46.9846,,0.295,4.8476,6.3672
2000-11-01,47.0767,,0.1961,4.0116,5.9262
2000-12-01,47.2149,,0.2935,3.1839,5.273
2001-01-01,47.8137,7.1207,1.2683,7.2479,6.041
2001-02-01,47.9519,7.764,0.289,7.6463,5.8134
2001-03-01,48.2744,7.377,0.6724,9.2822,6.1893
2001-04-01,48.5047,6.4712,0.4771,5.9069,6.5753
2001-05-01,48.6889,6.4451,0.3799,6.2911,6.9666
2001-06-01,48.9193,6.3063,0.473,5.4516,7.3498
2001-07-01,48.8732,5.2579,-0.0942,3.0738,4.4807
2001-08-01,48.7811,4.6443,-0.1885,0.759,3.4881
2001-09-01,48.9193,4.4248,0.2833,0.0,2.6896
2001-10-01,48.8732,4.0196,-0.0942,0.0,1.5253
2001-11-01,49.1035,4.3053,0.4712,2.6703,1.7102
2001-12-01,49.3799,4.5854,0.5629,3.82,1.8921
2002-01-01,50.209,5.0096,1.6791,11.3895,5.5412
2002-02-01,50.8152,5.9711,1.2073,14.6897,8.5137
2002-03-01,51.3249,6.3192,1.0031,16.7114,10.0771
2002-04-01,52.1998,7.618,1.7045,16.8279,14.0763
2002-05-01,52.4546,7.7342,0.4883,13.5431,14.115
2002-06-01,52.9024,8.1422,0.8536,12.8721,14.7757
2002-07-01,53.7427,9.9636,1.5885,12.3583,14.5713
2002-08-01,54.032,10.7644,0.5383,12.5824,13.0617
2002-09-01,54.5074,11.4231,0.8797,12.6989,12.7855
2002-10-01,55.3202,13.1912,1.4912,12.2677,12.313
2002-11-01,55.9814,14.007,1.1954,15.2314,13.8992
2002-12-01,56.0503,13.5084,0.123,11.813,12.2551
2003-01-01,56.505,12.5394,0.8111,8.8459,10.5436
2003-02-01,56.443,11.075,-0.1097,3.3387,9.1231
2003-03-01,56.7736,10.616,0.5858,5.2624,8.4883
2003-04-01,56.9045,9.0129,0.2305,2.8584,5.8098
2003-05-01,56.9045,8.4833,0.0,3.311,3.3249
2003-06-01,56.8012,7.3698,-0.1816,0.1942,2.6971
2003-07-01,56.5118,5.1525,-0.5093,-2.7316,0.0244
2003-08-01,56.6358,4.819,0.2194,-1.8751,0.6846
2003-09-01,56.2501,3.1973,-0.6811,-3.8245,-1.8357
2003-10-01,55.8161,0.8965,-0.7715,-4.8342,-3.7886
2003-11-01,55.1824,-1.4273,-1.1354,-9.8767,-5.961
2003-12-01,55.1342,-1.6345,-0.0874,-7.7023,-5.7834
2004-01-01,55.3753,-1.9993,0.4373,-3.1221,-3.982
2004-02-01,55.5475,-1.5865,0.311,2.6728,-3.8064
2004-03-01,55.8092,-1.6986,0.4712,4.9882,-1.5614
2004-04-01,55.8712,-1.8158,0.1111,3.631,0.1976
2004-05-01,55.8781,-1.8037,0.0123,2.4022,2.5374
2004-06-01,55.9264,-1.5401,0.0863,0.842,2.8942
2004-07-01,56.0366,-0.841,0.1971,1.1888,2.4026
2004-08-01,55.9264,-1.2527,-0.1967,0.3457,1.3687
2004-09-01,55.9401,-0.5511,0.0246,0.0985,0.4696
2004-10-01,56.0986,0.506,0.2832,0.4432,0.8153
2004-11-01,56.4292,2.2594,0.5894,3.6452,1.9821
2004-12-01,56.3465,2.1989,-0.1465,2.9379,1.5083
2005-01-01,56.5187,2.0649,0.3056,3.0299,1.7284
2005-02-01,56.5463,1.7981,0.0488,0.8327,2.2293
2005-03-01,56.8907,1.9378,0.6091,3.9194,3.4275
2005-04-01,57.0629,2.1329,0.3027,3.9073,3.4677
2005-05-01,56.9252,1.8738,-0.2414,2.707,1.7655
2005-06-01,56.808,1.5765,-0.2057,-0.5799,1.6449
2005-07-01,57.2282,2.1266,0.7397,1.1639,2.5264
2005-08-01,57.3247,2.5003,0.1685,2.8371,2.772
2005-09-01,57.3729,2.5613,0.0841,4.0369,1.7023
2005-10-01,57.4418,2.3944,0.1201,1.5009,1.3323
2005-11-01,57.428,1.77,-0.024,0.7229,1.7745
2005-12-01,57.4831,2.0171,0.096,0.7707,2.3908
2006-01-01,57.7035,2.0963,0.3835,1.8352,1.6679
2006-02-01,57.7793,2.1805,0.1313,2.4694,1.5924
2006-03-01,57.9515,1.8646,0.298,3.2994,2.0272
2006-04-01,58.0893,1.7986,0.2377,2.7009,2.2672
2006-05-01,58.3097,2.4322,0.3795,3.7228,3.0942
2006-06-01,58.7368,3.3952,0.7324,5.5314,4.4094
2006-07-01,59.1432,3.3462,0.6919,7.4571,5.0521
2006-08-01,59.5496,3.8813,0.6872,8.7808,6.2217
2006-09-01,59.7012,4.0581,0.2545,6.7309,6.1294
2006-10-01,60.018,4.4849,0.5307,6.0492,6.7508
2006-11-01,60.018,4.51,0.0,3.1836,5.9452
2006-12-01,60.2522,4.8173,0.3902,3.7436,5.2267
2007-01-01,60.6931,5.1809,0.7317,4.5755,5.3098
2007-02-01,60.6173,4.9118,-0.1248,4.0543,3.618
2007-03-01,61.0375,5.3251,0.6932,5.316,4.5268
2007-04-01,61.5541,5.9647,0.8464,5.7966,5.1843
2007-05-01,61.8365,6.0484,0.4588,8.2914,6.1517
2007-06-01,62.2774,6.0279,0.7129,8.3765,6.8352
2007-07-01,62.8147,6.2078,0.8627,8.4466,7.1134
2007-08-01,63.2142,6.1538,0.636,9.214,8.7517
2007-09-01,63.5724,6.4844,0.5666,8.5807,8.4786
2007-10-01,64.1579,6.8977,0.921,8.8319,8.6391
2007-11-01,64.3577,7.2306,0.3114,7.4342,8.3204
2007-12-01,64.8123,7.5683,0.7064,8.0327,8.3064
2008-01-01,65.7147,8.2737,1.3923,10.0648,9.4466
2008-02-01,65.8719,8.6684,0.2392,9.7486,8.5852
2008-03-01,66.8152,9.4658,1.432,12.9459,10.462
2008-04-01,67.2868,9.3132,0.7059,9.9183,9.9915
2008-05-01,67.7584,9.5767,0.7009,11.9575,10.8475
2008-06-01,68.7017,10.3156,1.3921,11.7815,12.3622
2008-07-01,69.8022,11.124,1.6018,15.8129,12.8271
2008-08-01,70.2738,11.1678,0.6757,15.6967,13.8117
2008-09-01,70.5882,11.036,0.4474,11.4447,11.613
2008-10-01,70.9027,10.5128,0.4454,6.457,11.0364
2008-11-01,70.9027,10.1697,0.0,3.6278,9.4961
2008-12-01,70.7454,9.1544,-0.2217,0.8939,6.0382
2009-01-01,71.2171,8.3732,0.6667,1.7857,4.0951
2009-02-01,71.8459,9.0692,0.883,5.4286,4.5243
2009-03-01,72.9464,9.1765,1.5317,13.0373,6.7931
2009-04-01,73.2608,8.8785,0.431,11.9826,6.7625
2009-05-01,73.418,8.3527,0.2146,9.0442,7.2212
2009-06-01,73.7325,7.3227,0.4283,4.3805,8.6227
2009-07-01,74.3613,6.5315,0.8529,6.1454,9.0249
2009-08-01,74.6757,6.264,0.4228,7.0304,8.0326
2009-09-01,74.833,6.0134,0.2105,6.1051,5.2393
2009-10-01,74.833,5.5432,0.0,2.5612,4.3379
2009-11-01,74.833,5.5432,0.0,0.8448,3.8915
2009-12-01,75.1474,6.2222,0.4202,1.6913,3.8748
2010-01-01,75.3046,5.7395,0.2092,2.545,2.5531
2010-02-01,75.7762,5.4705,0.6263,5.1382,2.9691
2010-03-01,76.4051,4.7414,0.8299,6.8645,4.2458
2010-04-01,76.4051,4.2918,0.0,5.9749,4.2458
2010-05-01,76.5623,4.2827,0.2058,4.2143,4.6752
2010-06-01,76.5623,3.8379,0.0,0.8256,3.8011
2010-07-01,77.1911,3.8055,0.8214,4.1792,5.0732
2010-08-01,77.1911,3.3684,0.0,3.3262,3.7693
2010-09-01,77.1911,3.1513,0.0,3.3262,2.0682
2010-10-01,77.3484,3.3614,0.2037,0.8171,2.4844
2010-11-01,77.5056,3.5714,0.2032,1.6393,2.4793
2010-12-01,77.6628,3.3473,0.2028,2.4664,2.8954
2011-01-01,78.1344,3.7578,0.6073,4.1274,2.4589
2011-02-01,78.4488,3.527,0.4024,4.9577,3.2852
2011-03-01,79.3921,3.9095,1.2024,9.2088,5.7839
2011-04-01,79.7065,4.321,0.396,8.2945,6.1905
2011-05-01,80.021,4.5175,0.3945,8.2602,6.5962
2011-06-01,80.4926,5.1335,0.5894,5.6609,7.4202
2011-07-01,81.1214,5.0916,0.7812,7.2919,7.792
2011-08-01,81.1214,5.0916,0.0,5.6155,6.9297
2011-09-01,81.7503,5.9063,0.7752,6.398,6.0288
2011-10-01,82.2219,6.3008,0.5769,5.5378,6.4112
2011-11-01,82.2219,6.0852,0.0,5.5378,5.5766
2011-12-01,82.5364,6.2753,0.3824,3.9019,5.1426
2012-01-01,82.8508,6.0362,0.381,3.0946,4.309
2012-02-01,83.3224,6.2124,0.5693,5.4622,5.5
2012-03-01,84.2657,6.1386,1.1321,8.6481,6.2485
2012-04-01,84.7373,6.3116,0.5597,9.424,6.2122
2012-05-01,84.7373,5.8939,0.0,6.9674,6.2122
2012-06-01,85.0518,5.6641,0.3711,3.7839,6.1881
2012-07-01,85.0518,4.845,0.0,1.4925,5.3837
2012-08-01,85.5234,5.4264,0.5545,3.7625,5.3528
2012-09-01,86.1522,5.3846,0.7353,5.2769,4.5277
2012-10-01,86.7811,5.5449,0.7299,8.3845,4.8819
2012-11-01,86.9383,5.7361,0.1812,6.7837,5.2622
2012-12-01,87.2527,5.7143,0.3617,5.2082,5.2426
2013-01-01,87.5672,5.6926,0.3604,3.6728,6.0025
2013-02-01,88.3532,6.0377,0.8977,6.6706,6.7271
2013-03-01,89.4537,6.1567,1.2456,10.4783,7.8111
2013-04-01,89.6109,5.7514,0.1757,9.6676,6.6281
2013-05-01,89.4537,5.5659,-0.1754,5.0761,5.8703
2013-06-01,89.6109,5.3604,0.1757,0.7048,5.4784
