date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-12,2.88,,,,
2023-06-13,2.77,-0.11,,,
2023-06-14,2.77,0.0,,,
2023-06-15,2.82,0.05,,,
2023-06-16,2.75,-0.07,,,
2023-06-19,2.76,0.01,-0.12,,
2023-06-20,2.79,0.03,0.02,,
2023-06-21,2.8,0.01,0.03,,
2023-06-22,2.74,-0.06,-0.08,,
2023-06-23,2.78,0.04,0.03,,
2023-06-26,2.81,0.03,0.05,,
2023-06-27,2.77,-0.04,-0.02,,
2023-06-28,2.82,0.05,0.02,,
2023-06-29,2.71,-0.11,-0.03,,
2023-06-30,2.73,0.02,-0.05,,
2023-07-03,2.68,-0.05,-0.13,,
2023-07-04,2.68,0.0,-0.09,,
2023-07-05,2.65,-0.03,-0.17,,
2023-07-06,2.64,-0.01,-0.07,,
2023-07-07,2.68,0.04,-0.05,,
2023-07-10,2.74,0.06,0.06,,
2023-07-11,2.7,-0.04,0.02,-0.18,
2023-07-12,2.76,0.06,0.11,-0.01,
2023-07-13,2.76,0.0,0.12,-0.01,
2023-07-14,2.68,-0.08,0.0,-0.14,
2023-07-17,2.7,0.02,-0.04,-0.05,
2023-07-18,2.68,-0.02,-0.02,-0.08,
2023-07-19,2.7,0.02,-0.06,-0.09,
2023-07-20,2.66,-0.04,-0.1,-0.14,
2023-07-21,2.67,0.01,-0.01,-0.07,
2023-07-24,2.64,-0.03,-0.06,-0.14,
2023-07-25,2.66,0.02,-0.02,-0.15,
2023-07-26,2.69,0.03,-0.01,-0.08,
2023-07-27,2.56,-0.13,-0.1,-0.26,
2023-07-28,2.59,0.03,-0.08,-0.12,
2023-07-31,2.56,-0.03,-0.08,-0.17,
2023-08-01,2.53,-0.03,-0.13,-0.15,
2023-08-02,2.56,0.03,-0.13,-0.12,
2023-08-03,2.56,0.0,0.0,-0.09,
2023-08-04,2.64,0.08,0.05,0.0,
2023-08-07,2.62,-0.02,0.06,-0.06,
2023-08-08,2.62,0.0,0.09,-0.12,
2023-08-09,2.6,-0.02,0.04,-0.1,
2023-08-10,2.54,-0.06,-0.02,-0.22,
2023-08-11,2.52,-0.02,-0.12,-0.24,
2023-08-14,2.54,0.02,-0.08,-0.14,
2023-08-15,2.59,0.05,-0.03,-0.11,
2023-08-16,2.57,-0.02,-0.03,-0.11,
2023-08-17,2.64,0.07,0.1,-0.06,
2023-08-18,2.67,0.03,0.15,0.01,
2023-08-21,2.67,0.0,0.13,0.0,
2023-08-22,2.66,-0.01,0.07,0.02,
2023-08-23,2.71,0.05,0.14,0.05,
2023-08-24,2.64,-0.07,0.0,-0.05,
2023-08-25,2.65,0.01,-0.02,0.09,
2023-08-28,2.67,0.02,0.0,0.08,
2023-08-29,2.72,0.05,0.06,0.16,
2023-08-30,2.68,-0.04,-0.03,0.15,
2023-08-31,2.64,-0.04,0.0,0.08,
2023-09-01,2.59,-0.05,-0.06,0.03,
2023-09-04,2.59,0.0,-0.08,-0.05,
2023-09-05,2.56,-0.03,-0.16,-0.06,
2023-09-06,2.54,-0.02,-0.14,-0.08,
2023-09-07,2.59,0.05,-0.05,-0.01,
2023-09-08,2.57,-0.02,-0.02,0.03,
2023-09-11,2.58,0.01,-0.01,0.06,
2023-09-12,2.58,0.0,0.02,0.04,
2023-09-13,2.61,0.03,0.07,0.02,
2023-09-14,2.56,-0.05,-0.03,-0.01,
2023-09-15,2.56,0.0,-0.01,-0.08,
2023-09-18,2.56,0.0,-0.02,-0.11,
2023-09-19,2.52,-0.04,-0.06,-0.15,
2023-09-20,2.5,-0.02,-0.11,-0.16,
2023-09-21,2.52,0.02,-0.04,-0.19,
2023-09-22,2.56,0.04,0.0,-0.08,
2023-09-25,2.53,-0.03,-0.03,-0.12,
2023-09-26,2.55,0.02,0.03,-0.12,
2023-09-27,2.51,-0.04,0.01,-0.21,
2023-09-28,2.6,0.09,0.08,-0.08,
2023-09-29,2.57,-0.03,0.01,-0.07,
2023-09-30,2.58,0.01,0.05,-0.01,
2023-10-02,2.56,-0.02,0.01,-0.03,
2023-10-03,2.56,0.0,0.05,0.0,
2023-10-04,2.69,0.13,0.09,0.15,
2023-10-05,2.7,0.01,0.13,0.11,
2023-10-06,2.66,-0.04,0.08,0.09,
2023-10-09,2.68,0.02,0.12,0.1,
2023-10-10,2.74,0.06,0.18,0.16,
2023-10-11,2.7,-0.04,0.01,0.09,
2023-10-12,2.63,-0.07,-0.07,0.07,
2023-10-13,2.69,0.06,0.03,0.13,
2023-10-16,2.68,-0.01,0.0,0.12,
2023-10-17,2.62,-0.06,-0.12,0.1,
2023-10-18,2.63,0.01,-0.07,0.13,
2023-10-19,2.68,0.05,0.05,0.16,
2023-10-20,2.74,0.06,0.05,0.18,
2023-10-23,2.79,0.05,0.11,0.26,
2023-10-24,2.73,-0.06,0.11,0.18,
2023-10-25,2.67,-0.06,0.04,0.16,
2023-10-26,2.77,0.1,0.09,0.17,
2023-10-27,2.77,0.0,0.03,0.2,
2023-10-30,2.75,-0.02,-0.04,0.17,
2023-10-31,2.71,-0.04,-0.02,0.15,
2023-11-01,2.81,0.1,0.14,0.25,
2023-11-02,2.71,-0.1,-0.06,0.02,
2023-11-03,2.76,0.05,-0.01,0.06,
2023-11-06,2.67,-0.09,-0.08,0.01,
2023-11-07,2.71,0.04,0.0,0.03,
2023-11-08,2.71,0.0,-0.1,-0.03,
