date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-26,6.41,,,,
2023-06-27,6.32,-0.09,,,
2023-06-28,6.38,0.06,,,
2023-06-29,6.28,-0.1,,,
2023-06-30,6.12,-0.16,,,
2023-07-03,6.04,-0.08,-0.37,,
2023-07-04,6.05,0.01,-0.27,,
2023-07-05,6.01,-0.04,-0.37,,
2023-07-06,6.02,0.01,-0.26,,
2023-07-07,6.06,0.04,-0.06,,
2023-07-10,6.13,0.07,0.09,,
2023-07-11,6.09,-0.04,0.04,,
2023-07-12,6.11,0.02,0.1,,
2023-07-13,6.09,-0.02,0.07,,
2023-07-14,5.97,-0.12,-0.09,,
2023-07-17,6.0,0.03,-0.13,,
2023-07-18,6.0,0.0,-0.09,,
2023-07-19,6.03,0.03,-0.08,,
2023-07-20,6.01,-0.02,-0.08,,
2023-07-21,5.99,-0.02,0.02,,
2023-07-24,5.94,-0.05,-0.06,,
2023-07-25,6.0,0.06,0.0,-0.41,
2023-07-26,6.03,0.03,0.0,-0.29,
2023-07-27,5.81,-0.22,-0.2,-0.57,
2023-07-28,5.77,-0.04,-0.22,-0.51,
2023-07-31,5.67,-0.1,-0.27,-0.45,
2023-08-01,5.67,0.0,-0.33,-0.37,
2023-08-02,5.74,0.07,-0.29,-0.31,
2023-08-03,5.73,-0.01,-0.08,-0.28,
2023-08-04,5.8,0.07,0.03,-0.22,
2023-08-07,5.8,0.0,0.13,-0.26,
2023-08-08,5.81,0.01,0.14,-0.32,
2023-08-09,5.79,-0.02,0.05,-0.3,
2023-08-10,5.68,-0.11,-0.05,-0.43,
2023-08-11,5.65,-0.03,-0.15,-0.44,
2023-08-14,5.68,0.03,-0.12,-0.29,
2023-08-15,5.72,0.04,-0.09,-0.28,
2023-08-16,5.74,0.02,-0.05,-0.26,
2023-08-17,5.84,0.1,0.16,-0.19,
2023-08-18,5.89,0.05,0.24,-0.12,
2023-08-21,5.88,-0.01,0.2,-0.11,
2023-08-22,5.85,-0.03,0.13,-0.09,
2023-08-23,5.87,0.02,0.13,-0.13,
2023-08-24,5.79,-0.08,-0.05,-0.24,
2023-08-25,5.78,-0.01,-0.11,-0.03,
2023-08-28,5.77,-0.01,-0.11,0.0,
2023-08-29,5.82,0.05,-0.03,0.15,
2023-08-30,5.79,-0.03,-0.08,0.12,
2023-08-31,5.69,-0.1,-0.1,-0.05,
2023-09-01,5.63,-0.06,-0.15,-0.1,
2023-09-04,5.63,0.0,-0.14,-0.17,
2023-09-05,5.57,-0.06,-0.25,-0.23,
2023-09-06,5.54,-0.03,-0.25,-0.27,
2023-09-07,5.58,0.04,-0.11,-0.21,
2023-09-08,5.55,-0.03,-0.08,-0.13,
2023-09-11,5.54,-0.01,-0.09,-0.11,
2023-09-12,5.55,0.01,-0.02,-0.13,
