date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-13,1.48,,,,
2023-06-14,1.49,0.01,,,
2023-06-15,1.56,0.07,,,
2023-06-16,1.49,-0.07,,,
2023-06-19,1.5,0.01,,,
2023-06-20,1.53,0.03,0.05,,
2023-06-21,1.53,0.0,0.04,,
2023-06-22,1.47,-0.06,-0.09,,
2023-06-23,1.51,0.04,0.02,,
2023-06-26,1.53,0.02,0.03,,
2023-06-27,1.5,-0.03,-0.03,,
2023-06-28,1.54,0.04,0.01,,
2023-06-29,1.43,-0.11,-0.04,,
2023-06-30,1.51,0.08,0.0,,
2023-07-03,1.48,-0.03,-0.05,,
2023-07-04,1.48,0.0,-0.02,,
2023-07-05,1.44,-0.04,-0.1,,
2023-07-06,1.43,-0.01,0.0,,
2023-07-07,1.46,0.03,-0.05,,
2023-07-10,1.52,0.06,0.04,,
2023-07-11,1.48,-0.04,0.0,,
2023-07-12,1.56,0.08,0.12,0.08,
2023-07-13,1.56,0.0,0.13,0.07,
2023-07-14,1.49,-0.07,0.03,-0.07,
2023-07-17,1.51,0.02,-0.01,0.02,
2023-07-18,1.49,-0.02,0.01,-0.01,
2023-07-19,1.51,0.02,-0.05,-0.02,
2023-07-20,1.47,-0.04,-0.09,-0.06,
2023-07-21,1.49,0.02,0.0,0.02,
2023-07-24,1.46,-0.03,-0.05,-0.05,
2023-07-25,1.47,0.01,-0.02,-0.06,
2023-07-26,1.5,0.03,-0.01,0.0,
2023-07-27,1.39,-0.11,-0.08,-0.15,
2023-07-28,1.44,0.05,-0.05,0.01,
2023-07-31,1.44,0.0,-0.02,-0.07,
2023-08-01,1.4,-0.04,-0.07,-0.08,
2023-08-02,1.42,0.02,-0.08,-0.06,
2023-08-03,1.42,0.0,0.03,-0.02,
2023-08-04,1.51,0.09,0.07,0.08,
2023-08-07,1.47,-0.04,0.03,0.01,
2023-08-08,1.47,0.0,0.07,-0.05,
2023-08-09,1.46,-0.01,0.04,-0.02,
2023-08-10,1.41,-0.05,-0.01,-0.15,
2023-08-11,1.39,-0.02,-0.12,-0.17,
2023-08-14,1.41,0.02,-0.06,-0.08,
2023-08-15,1.46,0.05,-0.01,-0.05,
2023-08-16,1.43,-0.03,-0.03,-0.06,
2023-08-17,1.49,0.06,0.08,-0.02,
2023-08-18,1.52,0.03,0.13,0.05,
2023-08-21,1.52,0.0,0.11,0.03,
2023-08-22,1.51,-0.01,0.05,0.05,
2023-08-23,1.57,0.06,0.14,0.1,
2023-08-24,1.51,-0.06,0.02,0.01,
2023-08-25,1.52,0.01,0.0,0.13,
2023-08-28,1.55,0.03,0.03,0.11,
2023-08-29,1.61,0.06,0.1,0.17,
2023-08-30,1.56,-0.05,-0.01,0.16,
2023-08-31,1.56,0.0,0.05,0.14,
2023-09-01,1.5,-0.06,-0.02,0.08,
2023-09-04,1.51,0.01,-0.04,0.0,
2023-09-05,1.48,-0.03,-0.13,0.01,
2023-09-06,1.47,-0.01,-0.09,0.0,
2023-09-07,1.52,0.05,-0.04,0.06,
2023-09-08,1.5,-0.02,0.0,0.09,
2023-09-11,1.52,0.02,0.01,0.13,
2023-09-12,1.52,0.0,0.04,0.11,
2023-09-13,1.55,0.03,0.08,0.09,
2023-09-14,1.5,-0.05,-0.02,0.07,
2023-09-15,1.5,0.0,0.0,0.01,
2023-09-18,1.5,0.0,-0.02,-0.02,
2023-09-19,1.47,-0.03,-0.05,-0.05,
2023-09-20,1.46,-0.01,-0.09,-0.05,
2023-09-21,1.46,0.0,-0.04,-0.11,
2023-09-22,1.5,0.04,0.0,-0.01,
2023-09-25,1.47,-0.03,-0.03,-0.05,
2023-09-26,1.48,0.01,0.01,-0.07,
2023-09-27,1.44,-0.04,-0.02,-0.17,
2023-09-28,1.52,0.08,0.06,-0.04,
2023-09-29,1.48,-0.04,-0.02,-0.08,
2023-09-30,1.49,0.01,0.02,-0.01,
2023-10-02,1.47,-0.02,-0.01,-0.04,
2023-10-03,1.45,-0.02,0.01,-0.03,
2023-10-04,1.57,0.12,0.05,0.1,
2023-10-05,1.55,-0.02,0.07,0.03,
2023-10-06,1.51,-0.04,0.02,0.01,
2023-10-09,1.52,0.01,0.05,0.0,
2023-10-10,1.6,0.08,0.15,0.08,
2023-10-11,1.57,-0.03,0.0,0.02,
2023-10-12,1.5,-0.07,-0.05,0.0,
2023-10-13,1.56,0.06,0.05,0.06,
2023-10-16,1.54,-0.02,0.02,0.04,
2023-10-17,1.48,-0.06,-0.12,0.01,
2023-10-18,1.51,0.03,-0.06,0.05,
2023-10-19,1.55,0.04,0.05,0.09,
2023-10-20,1.59,0.04,0.03,0.09,
2023-10-23,1.64,0.05,0.1,0.17,
2023-10-24,1.59,-0.05,0.11,0.11,
2023-10-25,1.53,-0.06,0.02,0.09,
2023-10-26,1.63,0.1,0.08,0.11,
2023-10-27,1.62,-0.01,0.03,0.14,
2023-10-30,1.59,-0.03,-0.05,0.1,
2023-10-31,1.53,-0.06,-0.06,0.06,
2023-11-01,1.64,0.11,0.11,0.19,
2023-11-02,1.57,-0.07,-0.06,0.0,
2023-11-03,1.62,0.05,0.0,0.07,
2023-11-06,1.52,-0.1,-0.07,0.01,
2023-11-07,1.57,0.05,0.04,0.05,
2023-11-08,1.56,-0.01,-0.08,-0.04,
2023-11-09,1.47,-0.09,-0.1,-0.1,
2023-11-10,1.5,0.03,-0.12,0.0,
2023-11-13,1.53,0.03,0.01,-0.03,
2023-11-14,1.62,0.09,0.05,0.08,
2023-11-15,1.47,-0.15,-0.09,-0.01,
2023-11-16,1.53,0.06,0.06,0.02,
2023-11-17,1.49,-0.04,-0.01,-0.06,
2023-11-20,1.51,0.02,-0.02,-0.08,
2023-11-21,1.48,-0.03,-0.14,-0.16,
2023-11-22,1.45,-0.03,-0.02,-0.14,
2023-11-23,1.45,0.0,-0.08,-0.08,
2023-11-24,1.42,-0.03,-0.07,-0.21,
2023-11-27,1.48,0.06,-0.03,-0.14,
2023-11-28,1.51,0.03,0.03,-0.08,
2023-11-29,1.47,-0.04,0.02,-0.06,
2023-11-30,1.38,-0.09,-0.07,-0.26,
2023-12-01,1.48,0.1,0.06,-0.09,
2023-12-04,1.41,-0.07,-0.07,-0.21,
2023-12-05,1.44,0.03,-0.07,-0.08,
2023-12-06,1.43,-0.01,-0.04,-0.14,
2023-12-07,1.41,-0.02,0.03,-0.15,
2023-12-08,1.35,-0.06,-0.13,-0.12,
2023-12-11,1.39,0.04,-0.02,-0.11,
2023-12-12,1.38,-0.01,-0.06,-0.15,
2023-12-13,1.53,0.15,0.1,-0.09,
2023-12-14,1.4,-0.13,-0.01,-0.07,
2023-12-15,1.37,-0.03,0.02,-0.16,
2023-12-18,1.36,-0.01,-0.03,-0.13,
2023-12-19,1.37,0.01,-0.01,-0.14,
2023-12-20,1.39,0.02,-0.14,-0.09,
2023-12-21,1.38,-0.01,-0.02,-0.07,
2023-12-22,1.37,-0.01,0.0,-0.08,
2023-12-26,1.37,0.0,0.01,-0.05,
2023-12-27,1.43,0.06,0.06,-0.05,
2023-12-28,1.37,-0.06,-0.02,-0.14,
2023-12-29,1.36,-0.01,-0.02,-0.11,
