date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-26,4.54,,,,
2023-06-27,4.47,-0.07,,,
2023-06-28,4.5,0.03,,,
2023-06-29,4.42,-0.08,,,
2023-06-30,4.46,0.04,,,
2023-07-03,4.38,-0.08,-0.16,,
2023-07-04,4.38,0.0,-0.09,,
2023-07-05,4.4,0.02,-0.1,,
2023-07-06,4.37,-0.03,-0.05,,
2023-07-07,4.43,0.06,-0.03,,
2023-07-10,4.44,0.01,0.06,,
2023-07-11,4.41,-0.03,0.03,,
2023-07-12,4.38,-0.03,-0.02,,
2023-07-13,4.34,-0.04,-0.03,,
2023-07-14,4.31,-0.03,-0.12,,
2023-07-17,4.38,0.07,-0.06,,
2023-07-18,4.45,0.07,0.04,,
2023-07-19,4.4,-0.05,0.02,,
2023-07-20,4.35,-0.05,0.01,,
2023-07-21,4.38,0.03,0.07,,
2023-07-24,4.41,0.03,0.03,,
2023-07-25,4.39,-0.02,-0.06,-0.15,
2023-07-26,4.34,-0.05,-0.06,-0.13,
2023-07-27,4.3,-0.04,-0.05,-0.2,
2023-07-28,4.3,0.0,-0.08,-0.12,
2023-07-31,4.38,0.08,-0.03,-0.08,
2023-08-01,4.32,-0.06,-0.07,-0.06,
2023-08-02,4.4,0.08,0.06,0.02,
2023-08-03,4.43,0.03,0.13,0.03,
2023-08-04,4.44,0.01,0.14,0.07,
2023-08-07,4.44,0.0,0.06,0.01,
2023-08-08,4.54,0.1,0.22,0.1,
2023-08-09,4.48,-0.06,0.08,0.07,
2023-08-10,4.44,-0.04,0.01,0.06,
2023-08-11,4.39,-0.05,-0.05,0.05,
2023-08-14,4.38,-0.01,-0.06,0.07,
2023-08-15,4.38,0.0,-0.16,0.0,
2023-08-16,4.42,0.04,-0.06,-0.03,
2023-08-17,4.46,0.04,0.02,0.06,
2023-08-18,4.53,0.07,0.14,0.18,
2023-08-21,4.49,-0.04,0.11,0.11,
2023-08-22,4.5,0.01,0.12,0.09,
2023-08-23,4.59,0.09,0.17,0.2,
2023-08-24,4.56,-0.03,0.1,0.22,
2023-08-25,4.52,-0.04,-0.01,0.22,
2023-08-28,4.51,-0.01,0.02,0.21,
2023-08-29,4.48,-0.03,-0.02,0.1,
2023-08-30,4.47,-0.01,-0.12,0.15,
2023-08-31,4.5,0.03,-0.06,0.1,
2023-09-01,4.47,-0.03,-0.05,0.04,
2023-09-04,4.41,-0.06,-0.1,-0.03,
2023-09-05,4.39,-0.02,-0.09,-0.05,
2023-09-06,4.35,-0.04,-0.12,-0.19,
2023-09-07,4.35,0.0,-0.15,-0.13,
2023-09-08,4.36,0.01,-0.11,-0.08,
2023-09-11,4.3,-0.06,-0.11,-0.09,
2023-09-12,4.28,-0.02,-0.11,-0.1,
2023-09-13,4.24,-0.04,-0.11,-0.14,
2023-09-14,4.23,-0.01,-0.12,-0.19,
2023-09-15,4.15,-0.08,-0.21,-0.31,
2023-09-18,4.12,-0.03,-0.18,-0.41,
2023-09-19,4.1,-0.02,-0.18,-0.39,
2023-09-20,4.12,0.02,-0.12,-0.38,
2023-09-21,4.18,0.06,-0.05,-0.41,
2023-09-22,4.21,0.03,0.06,-0.35,
2023-09-25,4.24,0.03,0.12,-0.28,
2023-09-26,4.31,0.07,0.21,-0.2,
