date,value,chg_1d,chg_1w,chg_1m,chg_1y
2000-01-07,8.15,,,,
2000-01-14,8.18,0.03,,,
2000-01-21,8.26,0.08,,,
2000-01-28,8.25,-0.01,,,
2000-02-04,8.25,0.0,,,
2000-02-11,8.36,0.11,0.21,,
2000-02-18,8.38,0.02,0.2,,
2000-02-25,8.31,-0.07,0.05,,
2000-03-03,8.27,-0.04,0.02,,
2000-03-10,8.23,-0.04,-0.02,,
2000-03-17,8.24,0.01,-0.12,,
2000-03-24,8.23,-0.01,-0.15,,
2000-03-31,8.23,0.0,-0.08,,
2000-04-07,8.2,-0.03,-0.07,,
2000-04-14,8.12,-0.08,-0.11,,
2000-04-21,8.16,0.04,-0.08,,
2000-04-28,8.13,-0.03,-0.1,,
2000-05-05,8.28,0.15,0.05,,
2000-05-12,8.52,0.24,0.32,,
2000-05-19,8.64,0.12,0.52,,
2000-05-26,8.62,-0.02,0.46,,
2000-06-02,8.54,-0.08,0.41,0.39,
2000-06-09,8.32,-0.22,0.04,0.14,
2000-06-16,8.22,-0.1,-0.3,-0.04,
2000-06-23,8.14,-0.08,-0.5,-0.11,
2000-06-30,8.22,0.08,-0.4,-0.03,
2000-07-07,8.16,-0.06,-0.38,-0.2,
2000-07-14,8.09,-0.07,-0.23,-0.29,
2000-07-21,8.21,0.12,-0.01,-0.1,
2000-07-28,8.13,-0.08,-0.01,-0.14,
2000-08-04,8.12,-0.01,-0.1,-0.11,
2000-08-11,8.04,-0.08,-0.12,-0.2,
2000-08-18,7.96,-0.08,-0.13,-0.27,
2000-08-25,7.99,0.03,-0.22,-0.24,
2000-09-01,7.96,-0.03,-0.17,-0.24,
2000-09-08,7.94,-0.02,-0.18,-0.18,
2000-09-15,7.88,-0.06,-0.16,-0.28,
2000-09-22,7.9,0.02,-0.06,-0.23,
2000-09-29,7.88,-0.02,-0.11,-0.4,
2000-10-06,7.83,-0.05,-0.13,-0.69,
2000-10-13,7.84,0.01,-0.1,-0.8,
2000-10-20,7.83,-0.01,-0.05,-0.79,
2000-10-27,7.68,-0.15,-0.22,-0.86,
2000-11-03,7.73,0.05,-0.15,-0.59,
2000-11-10,7.79,0.06,-0.04,-0.43,
2000-11-17,7.73,-0.06,-0.11,-0.41,
2000-11-24,7.73,0.0,-0.1,-0.49,
2000-12-01,7.65,-0.08,-0.03,-0.51,
2000-12-08,7.54,-0.11,-0.19,-0.55,
2000-12-15,7.42,-0.12,-0.37,-0.79,
2000-12-22,7.17,-0.25,-0.56,-0.96,
2000-12-29,7.13,-0.04,-0.6,-0.99,
2001-01-05,7.07,-0.06,-0.58,-0.97,
2001-01-12,6.89,-0.18,-0.65,-1.07,
2001-01-19,7.02,0.13,-0.4,-0.97,
2001-01-26,7.15,0.13,-0.02,-0.81,
2001-02-02,7.09,-0.06,-0.04,-0.85,
2001-02-09,6.98,-0.11,-0.09,-0.9,
2001-02-16,7.01,0.03,0.12,-0.89,
2001-02-23,7.12,0.11,0.1,-0.76,
2001-03-02,7.03,-0.09,-0.12,-0.8,
2001-03-09,6.97,-0.06,-0.12,-0.87,
2001-03-16,6.96,-0.01,-0.02,-0.87,
2001-03-23,6.89,-0.07,-0.12,-0.79,
2001-03-30,6.91,0.02,-0.21,-0.82,
2001-04-06,7.01,0.1,-0.02,-0.78,
2001-04-13,7.04,0.03,0.07,-0.69,
2001-04-20,7.14,0.1,0.18,-0.59,
2001-04-27,7.12,-0.02,0.23,-0.53,
2001-05-04,7.14,0.02,0.23,-0.4,
2001-05-11,7.1,-0.04,0.09,-0.32,
2001-05-18,7.14,0.04,0.1,-0.03,
2001-05-25,7.2,0.06,0.06,0.07,
2001-06-01,7.24,0.04,0.12,0.17,
2001-06-08,7.2,-0.04,0.06,0.31,
2001-06-15,7.14,-0.06,0.04,0.12,
2001-06-22,7.11,-0.03,-0.03,-0.04,
2001-06-29,7.11,0.0,-0.09,0.02,
2001-07-06,7.19,0.08,-0.05,0.21,
2001-07-13,7.21,0.02,0.01,0.2,
2001-07-20,7.08,-0.13,-0.06,-0.04,
2001-07-27,7.03,-0.05,-0.08,0.0,
2001-08-03,7.0,-0.03,-0.11,0.03,
2001-08-10,7.0,0.0,-0.19,0.04,
2001-08-17,6.92,-0.08,-0.29,0.03,
2001-08-24,6.91,-0.01,-0.17,0.0,
2001-08-31,6.92,0.01,-0.11,-0.09,
2001-09-07,6.89,-0.03,-0.11,-0.15,
2001-09-14,6.86,-0.03,-0.14,-0.28,
2001-09-21,6.8,-0.06,-0.12,-0.32,
2001-09-28,6.72,-0.08,-0.19,-0.42,
2001-10-05,6.64,-0.08,-0.28,-0.46,
2001-10-12,6.58,-0.06,-0.31,-0.56,
2001-10-19,6.61,0.03,-0.25,-0.59,
2001-10-26,6.64,0.03,-0.16,-0.6,
2001-11-02,6.56,-0.08,-0.16,-0.64,
2001-11-09,6.45,-0.11,-0.19,-0.69,
2001-11-16,6.51,0.06,-0.07,-0.6,
2001-11-23,6.75,0.24,0.14,-0.36,
2001-11-30,7.02,0.27,0.38,-0.17,
2001-12-07,6.84,-0.18,0.28,-0.37,
2001-12-14,7.09,0.25,0.64,0.01,
2001-12-21,7.17,0.08,0.66,0.14,
2001-12-28,7.16,-0.01,0.41,0.16,
2002-01-04,7.14,-0.02,0.12,0.14,
2002-01-11,7.06,-0.08,0.22,0.14,
2002-01-18,6.83,-0.23,-0.26,-0.08,
2002-01-25,6.96,0.13,-0.21,0.04,
2002-02-01,7.02,0.06,-0.14,0.13,
2002-02-08,6.88,-0.14,-0.26,0.02,
2002-02-15,6.86,-0.02,-0.2,0.06,
2002-02-22,6.81,-0.05,-0.02,0.09,
2002-03-01,6.8,-0.01,-0.16,0.16,
2002-03-08,6.87,0.07,-0.15,0.29,
2002-03-15,7.08,0.21,0.2,0.47,
2002-03-22,7.14,0.06,0.28,0.5,
2002-03-29,7.18,0.04,0.37,0.62,
2002-04-05,7.13,-0.05,0.33,0.68,
2002-04-12,6.99,-0.14,0.12,0.48,
2002-04-19,6.94,-0.05,-0.14,0.19,
2002-04-26,6.88,-0.06,-0.26,-0.14,
2002-05-03,6.78,-0.1,-0.4,-0.06,
2002-05-10,6.79,0.01,-0.34,-0.3,
2002-05-17,6.89,0.1,-0.1,-0.28,
2002-05-24,6.81,-0.08,-0.13,-0.35,
2002-05-31,6.76,-0.05,-0.12,-0.38,
2002-06-07,6.71,-0.05,-0.07,-0.35,
2002-06-14,6.71,0.0,-0.08,-0.12,
2002-06-21,6.63,-0.08,-0.26,-0.33,
2002-06-28,6.55,-0.08,-0.26,-0.47,
2002-07-05,6.57,0.02,-0.19,-0.31,
2002-07-12,6.54,-0.03,-0.17,-0.32,
2002-07-19,6.49,-0.05,-0.22,-0.32,
2002-07-26,6.34,-0.15,-0.29,-0.46,
2002-08-02,6.43,0.09,-0.12,-0.44,
2002-08-09,6.31,-0.12,-0.26,-0.77,
2002-08-16,6.22,-0.09,-0.32,-0.92,
2002-08-23,6.27,0.05,-0.22,-0.91,
2002-08-30,6.22,-0.05,-0.12,-0.91,
2002-09-06,6.15,-0.07,-0.28,-0.84,
2002-09-13,6.18,0.03,-0.13,-0.76,
2002-09-20,6.05,-0.13,-0.17,-0.83,
2002-09-27,5.99,-0.06,-0.28,-0.79,
