date,value,chg_1d,chg_1w,chg_1m,chg_1y
2000-01-04,0.77,,,,
2000-01-05,0.75,-0.02,,,
2000-01-06,0.78,0.03,,,
2000-01-07,0.81,0.03,,,
2000-01-10,0.79,-0.02,,,
2000-01-11,0.76,-0.03,-0.01,,
2000-01-12,0.75,-0.01,0.0,,
2000-01-13,0.79,0.04,0.01,,
2000-01-14,0.79,0.0,-0.02,,
2000-01-18,0.8,0.01,0.01,,
2000-01-19,0.69,-0.11,-0.07,,
2000-01-20,0.72,0.03,-0.03,,
2000-01-21,0.73,0.01,-0.06,,
2000-01-24,0.72,-0.01,-0.07,,
2000-01-25,0.64,-0.08,-0.16,,
2000-01-26,0.63,-0.01,-0.06,,
2000-01-27,0.62,-0.01,-0.1,,
2000-01-28,0.57,-0.05,-0.16,,
2000-01-31,0.55,-0.02,-0.17,,
2000-02-01,0.55,0.0,-0.09,,
2000-02-02,0.61,0.06,-0.02,,
2000-02-03,0.64,0.03,0.02,-0.13,
2000-02-04,0.59,-0.05,0.02,-0.16,
2000-02-07,0.63,0.04,0.08,-0.15,
2000-02-08,0.58,-0.05,0.03,-0.23,
2000-02-09,0.61,0.03,0.0,-0.18,
2000-02-10,0.6,-0.01,-0.04,-0.16,
2000-02-11,0.61,0.01,0.02,-0.14,
2000-02-14,0.62,0.01,-0.01,-0.17,
2000-02-15,0.51,-0.11,-0.07,-0.28,
2000-02-16,0.53,0.02,-0.08,-0.27,
2000-02-17,0.52,-0.01,-0.08,-0.17,
2000-02-18,0.53,0.01,-0.08,-0.19,
2000-02-22,0.51,-0.02,-0.11,-0.22,
2000-02-23,0.47,-0.04,-0.04,-0.25,
2000-02-24,0.48,0.01,-0.05,-0.16,
2000-02-25,0.48,0.0,-0.04,-0.15,
2000-02-28,0.47,-0.01,-0.06,-0.15,
2000-02-29,0.49,0.02,-0.02,-0.08,
2000-03-01,0.51,0.02,0.04,-0.04,
2000-03-02,0.52,0.01,0.04,-0.03,
2000-03-03,0.49,-0.03,0.01,-0.12,
2000-03-06,0.46,-0.03,-0.01,-0.18,
2000-03-07,0.46,0.0,-0.03,-0.13,
2000-03-08,0.46,0.0,-0.05,-0.17,
2000-03-09,0.48,0.02,-0.04,-0.1,
2000-03-10,0.44,-0.04,-0.05,-0.17,
2000-03-13,0.44,0.0,-0.02,-0.16,
2000-03-14,0.45,0.01,-0.01,-0.16,
2000-03-15,0.48,0.03,0.02,-0.14,
2000-03-16,0.49,0.01,0.01,-0.02,
2000-03-17,0.49,0.0,0.05,-0.04,
2000-03-20,0.49,0.0,0.05,-0.03,
2000-03-21,0.5,0.01,0.05,-0.03,
2000-03-22,0.51,0.01,0.03,0.0,
2000-03-23,0.52,0.01,0.03,0.05,
2000-03-24,0.51,-0.01,0.02,0.03,
2000-03-27,0.59,0.08,0.1,0.11,
2000-03-28,0.56,-0.03,0.06,0.09,
2000-03-29,0.55,-0.01,0.04,0.06,
2000-03-30,0.58,0.03,0.06,0.07,
2000-03-31,0.57,-0.01,0.06,0.05,
2000-04-03,0.6,0.03,0.01,0.11,
2000-04-04,0.62,0.02,0.06,0.16,
2000-04-05,0.57,-0.05,0.02,0.11,
2000-04-06,0.55,-0.02,-0.03,0.09,
2000-04-07,0.55,0.0,-0.02,0.07,
2000-04-10,0.58,0.03,-0.02,0.14,
2000-04-11,0.61,0.03,-0.01,0.17,
2000-04-12,0.61,0.0,0.04,0.16,
2000-04-13,0.63,0.02,0.08,0.15,
2000-04-14,0.63,0.0,0.08,0.14,
2000-04-17,0.63,0.0,0.05,0.14,
2000-04-18,0.64,0.01,0.03,0.15,
2000-04-19,0.66,0.02,0.05,0.16,
2000-04-20,0.69,0.03,0.06,0.18,
2000-04-25,0.7,0.01,0.07,0.18,
2000-04-26,0.79,0.09,0.16,0.28,
2000-04-27,0.8,0.01,0.16,0.21,
2000-04-28,0.84,0.04,0.18,0.28,
2000-05-02,0.82,-0.02,0.13,0.27,
2000-05-03,0.86,0.04,0.16,0.28,
2000-05-04,0.92,0.06,0.13,0.35,
2000-05-05,0.88,-0.04,0.08,0.28,
2000-05-08,0.83,-0.05,-0.01,0.21,
2000-05-09,0.76,-0.07,-0.06,0.19,
2000-05-10,0.76,0.0,-0.1,0.21,
2000-05-11,0.76,0.0,-0.16,0.21,
2000-05-12,0.77,0.01,-0.11,0.19,
2000-05-15,0.82,0.05,-0.01,0.21,
2000-05-16,0.74,-0.08,-0.02,0.13,
2000-05-17,0.93,0.19,0.17,0.3,
2000-05-18,1.07,0.14,0.31,0.44,
2000-05-19,1.11,0.04,0.34,0.48,
2000-05-22,1.11,0.0,0.29,0.47,
2000-05-23,0.98,-0.13,0.24,0.32,
2000-05-24,1.07,0.09,0.14,0.38,
2000-05-25,1.15,0.08,0.08,0.45,
2000-05-26,1.18,0.03,0.07,0.39,
2000-05-30,1.24,0.06,0.13,0.44,
2000-05-31,1.38,0.14,0.4,0.54,
2000-06-01,1.3,-0.08,0.23,0.48,
2000-06-02,1.15,-0.15,0.0,0.29,
2000-06-05,1.07,-0.08,-0.11,0.15,
2000-06-06,0.97,-0.1,-0.27,0.09,
2000-06-07,1.05,0.08,-0.33,0.22,
2000-06-08,1.06,0.01,-0.24,0.3,
2000-06-09,1.06,0.0,-0.09,0.3,
2000-06-12,1.12,0.06,0.05,0.36,
2000-06-13,1.09,-0.03,0.12,0.32,
2000-06-14,1.13,0.04,0.08,0.31,
2000-06-15,1.11,-0.02,0.05,0.37,
2000-06-16,1.12,0.01,0.06,0.19,
2000-06-19,1.12,0.0,0.0,0.05,
2000-06-20,1.13,0.01,0.04,0.02,
2000-06-21,1.11,-0.02,-0.02,0.0,
2000-06-22,1.1,-0.01,-0.01,0.12,
2000-06-23,1.08,-0.02,-0.04,0.01,
2000-06-26,1.11,0.03,-0.01,-0.04,
2000-06-27,1.11,0.0,-0.02,-0.07,
2000-06-28,1.13,0.02,0.02,-0.11,
2000-06-29,1.1,-0.03,0.0,-0.28,
2000-06-30,1.06,-0.04,-0.02,-0.24,
2000-07-03,1.02,-0.04,-0.09,-0.13,
2000-07-05,0.92,-0.1,-0.19,-0.15,
2000-07-06,0.89,-0.03,-0.24,-0.08,
2000-07-07,0.87,-0.02,-0.23,-0.18,
2000-07-10,0.83,-0.04,-0.23,-0.23,
2000-07-11,0.8,-0.03,-0.22,-0.26,
