date,value,chg_1d,chg_1w,chg_1m,chg_1y
2000-01-03,1.6145,,,,
2000-01-04,1.5835,-0.031,,,
2000-01-05,1.6203,0.0368,,,
2000-01-06,1.6068,-0.0135,,,
2000-01-07,1.5914,-0.0154,,,
2000-01-10,1.6065,0.0151,-0.008,,
2000-01-11,1.6424,0.0359,0.0589,,
2000-01-12,1.6662,0.0238,0.0459,,
2000-01-13,1.6337,-0.0325,0.0269,,
2000-01-14,1.6421,0.0084,0.0507,,
2000-01-18,1.6664,0.0243,0.0599,,
2000-01-19,1.6629,-0.0035,0.0205,,
2000-01-20,1.6674,0.0045,0.0012,,
2000-01-21,1.6618,-0.0056,0.0281,,
2000-01-24,1.6282,-0.0336,-0.0139,,
2000-01-25,1.6158,-0.0124,-0.0506,,
2000-01-26,1.6055,-0.0103,-0.0574,,
2000-01-27,1.6014,-0.0041,-0.066,,
2000-01-28,1.5854,-0.016,-0.0764,,
2000-01-31,1.5888,0.0034,-0.0394,,
2000-02-01,1.5709,-0.0179,-0.0449,,
2000-02-02,1.5641,-0.0068,-0.0414,-0.0504,
2000-02-03,1.527,-0.0371,-0.0744,-0.0565,
2000-02-04,1.5335,0.0065,-0.0519,-0.0868,
2000-02-07,1.5752,0.0417,-0.0136,-0.0316,
2000-02-08,1.5559,-0.0193,-0.015,-0.0355,
2000-02-09,1.5724,0.0165,0.0083,-0.0341,
2000-02-10,1.6013,0.0289,0.0743,-0.0411,
2000-02-11,1.5952,-0.0061,0.0617,-0.071,
2000-02-14,1.565,-0.0302,-0.0102,-0.0687,
2000-02-15,1.5639,-0.0011,0.008,-0.0782,
2000-02-16,1.5646,0.0007,-0.0078,-0.1018,
2000-02-17,1.5714,0.0068,-0.0299,-0.0915,
2000-02-18,1.536,-0.0354,-0.0592,-0.1314,
2000-02-22,1.4792,-0.0568,-0.0858,-0.1826,
2000-02-23,1.4938,0.0146,-0.0701,-0.1344,
2000-02-24,1.4656,-0.0282,-0.099,-0.1502,
2000-02-25,1.458,-0.0076,-0.1134,-0.1475,
2000-02-28,1.4623,0.0043,-0.0737,-0.1391,
2000-02-29,1.4812,0.0189,0.002,-0.1042,
2000-03-01,1.4776,-0.0036,-0.0162,-0.1112,
2000-03-02,1.476,-0.0016,0.0104,-0.0949,
2000-03-03,1.4676,-0.0084,0.0096,-0.0965,
2000-03-06,1.4774,0.0098,0.0151,-0.0496,
2000-03-07,1.4672,-0.0102,-0.014,-0.0663,
2000-03-08,1.4652,-0.002,-0.0124,-0.11,
2000-03-09,1.4551,-0.0101,-0.0209,-0.1008,
2000-03-10,1.4682,0.0131,0.0006,-0.1042,
2000-03-13,1.4565,-0.0117,-0.0209,-0.1448,
2000-03-14,1.4298,-0.0267,-0.0374,-0.1654,
2000-03-15,1.4125,-0.0173,-0.0527,-0.1525,
2000-03-16,1.3935,-0.019,-0.0616,-0.1704,
2000-03-17,1.3685,-0.025,-0.0997,-0.1961,
2000-03-20,1.3564,-0.0121,-0.1001,-0.215,
2000-03-21,1.3356,-0.0208,-0.0942,-0.2004,
2000-03-22,1.329,-0.0066,-0.0835,-0.1502,
2000-03-23,1.3143,-0.0147,-0.0792,-0.1795,
2000-03-24,1.3526,0.0383,-0.0159,-0.113,
2000-03-27,1.3628,0.0102,0.0064,-0.0952,
2000-03-28,1.3494,-0.0134,0.0138,-0.1129,
2000-03-29,1.3456,-0.0038,0.0166,-0.1356,
2000-03-30,1.301,-0.0446,-0.0133,-0.1766,
2000-03-31,1.2759,-0.0251,-0.0767,-0.2001,
2000-04-03,1.2593,-0.0166,-0.1035,-0.2083,
2000-04-04,1.2127,-0.0466,-0.1367,-0.2647,
2000-04-05,1.2051,-0.0076,-0.1405,-0.2621,
2000-04-06,1.2119,0.0068,-0.0891,-0.2533,
2000-04-07,1.1918,-0.0201,-0.0841,-0.2633,
2000-04-10,1.1692,-0.0226,-0.0901,-0.299,
2000-04-11,1.2018,0.0326,-0.0109,-0.2547,
2000-04-12,1.2448,0.043,0.0397,-0.185,
2000-04-13,1.2433,-0.0015,0.0314,-0.1692,
2000-04-14,1.2105,-0.0328,0.0187,-0.183,
2000-04-17,1.2652,0.0547,0.096,-0.1033,
2000-04-18,1.2881,0.0229,0.0863,-0.0683,
2000-04-19,1.2689,-0.0192,0.0241,-0.0667,
2000-04-20,1.2632,-0.0057,0.0199,-0.0658,
2000-04-24,1.2654,0.0022,0.0549,-0.0489,
2000-04-25,1.3164,0.051,0.0512,-0.0362,
2000-04-26,1.3335,0.0171,0.0454,-0.0293,
2000-04-27,1.3744,0.0409,0.1055,0.025,
2000-04-28,1.3783,0.0039,0.1151,0.0327,
2000-05-01,1.3867,0.0084,0.1213,0.0857,
2000-05-02,1.3936,0.0069,0.0772,0.1177,
2000-05-03,1.4231,0.0295,0.0896,0.1638,
2000-05-04,1.4534,0.0303,0.079,0.2407,
2000-05-05,1.4764,0.023,0.0981,0.2713,
2000-05-08,1.4962,0.0198,0.1095,0.2843,
2000-05-09,1.4754,-0.0208,0.0818,0.2836,
2000-05-10,1.4382,-0.0372,0.0151,0.269,
2000-05-11,1.4163,-0.0219,-0.0371,0.2145,
2000-05-12,1.4432,0.0269,-0.0332,0.1984,
2000-05-15,1.4293,-0.0139,-0.0669,0.186,
2000-05-16,1.4088,-0.0205,-0.0666,0.1983,
2000-05-17,1.4292,0.0204,-0.009,0.164,
2000-05-18,1.48,0.0508,0.0637,0.1919,
