date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-30,0.86,,,,
2023-07-03,0.85,-0.01,,,
2023-07-04,0.85,0.0,,,
2023-07-05,0.84,-0.01,,,
2023-07-06,0.83,-0.01,,,
2023-07-07,0.82,-0.01,-0.04,,
2023-07-10,0.83,0.01,-0.02,,
2023-07-11,0.82,-0.01,-0.03,,
2023-07-12,0.81,-0.01,-0.03,,
2023-07-13,0.8,-0.01,-0.03,,
2023-07-14,0.83,0.03,0.01,,
2023-07-17,0.84,0.01,0.01,,
2023-07-18,0.84,0.0,0.02,,
2023-07-19,0.83,-0.01,0.02,,
2023-07-20,0.82,-0.01,0.02,,
2023-07-21,0.82,0.0,-0.01,,
2023-07-24,0.81,-0.01,-0.03,,
2023-07-25,0.81,0.0,-0.03,,
2023-07-26,0.79,-0.02,-0.04,,
2023-07-27,0.77,-0.02,-0.05,,
2023-07-28,0.76,-0.01,-0.06,,
2023-07-31,0.75,-0.01,-0.06,-0.11,
2023-08-01,0.75,0.0,-0.06,-0.1,
2023-08-02,0.77,0.02,-0.02,-0.08,
2023-08-03,0.78,0.01,0.01,-0.06,
2023-08-04,0.77,-0.01,0.01,-0.06,
2023-08-07,0.77,0.0,0.02,-0.05,
2023-08-08,0.78,0.01,0.03,-0.05,
2023-08-09,0.79,0.01,0.02,-0.03,
2023-08-10,0.79,0.0,0.01,-0.02,
2023-08-11,0.8,0.01,0.03,0.0,
2023-08-14,0.81,0.01,0.04,-0.02,
2023-08-15,0.82,0.01,0.04,-0.02,
2023-08-16,0.84,0.02,0.05,0.0,
2023-08-17,0.85,0.01,0.06,0.02,
2023-08-18,0.86,0.01,0.06,0.04,
2023-08-21,0.87,0.01,0.06,0.05,
2023-08-22,0.86,-0.01,0.04,0.05,
2023-08-23,0.86,0.0,0.02,0.05,
2023-08-24,0.84,-0.02,-0.01,0.05,
2023-08-25,0.84,0.0,-0.02,0.07,
2023-08-28,0.83,-0.01,-0.04,0.07,
2023-08-29,0.83,0.0,-0.03,0.08,
2023-08-30,0.83,0.0,-0.03,0.08,
2023-08-31,0.82,-0.01,-0.02,0.05,
2023-09-01,0.83,0.01,-0.01,0.05,
2023-09-04,0.83,0.0,0.0,0.06,
2023-09-05,0.83,0.0,0.0,0.06,
2023-09-06,0.84,0.01,0.01,0.06,
2023-09-07,0.84,0.0,0.02,0.05,
2023-09-08,0.84,0.0,0.01,0.05,
2023-09-11,0.84,0.0,0.01,0.04,
2023-09-12,0.85,0.01,0.02,0.04,
2023-09-13,0.86,0.01,0.02,0.04,
2023-09-14,0.85,-0.01,0.01,0.01,
2023-09-15,0.85,0.0,0.01,0.0,
2023-09-18,0.85,0.0,0.01,-0.01,
2023-09-19,0.84,-0.01,-0.01,-0.03,
2023-09-20,0.84,0.0,-0.02,-0.02,
2023-09-21,0.84,0.0,-0.01,-0.02,
2023-09-22,0.84,0.0,-0.01,0.0,
2023-09-25,0.85,0.01,0.0,0.01,
2023-09-26,0.86,0.01,0.02,0.03,
2023-09-27,0.87,0.01,0.03,0.04,
2023-09-28,0.88,0.01,0.04,0.05,
2023-09-29,0.88,0.0,0.04,0.06,
2023-09-30,0.9,0.02,0.05,0.07,
2023-10-02,0.9,0.0,0.04,0.07,
2023-10-03,0.93,0.03,0.06,0.1,
2023-10-04,0.94,0.01,0.06,0.1,
2023-10-05,0.93,-0.01,0.05,0.09,
2023-10-06,0.93,0.0,0.03,0.09,
2023-10-09,0.94,0.01,0.04,0.1,
2023-10-10,0.97,0.03,0.04,0.12,
2023-10-11,0.93,-0.04,-0.01,0.07,
2023-10-12,0.92,-0.01,-0.01,0.07,
2023-10-13,0.93,0.01,0.0,0.08,
2023-10-16,0.94,0.01,0.0,0.09,
2023-10-17,0.95,0.01,-0.02,0.11,
2023-10-18,0.97,0.02,0.04,0.13,
2023-10-19,0.97,0.0,0.05,0.13,
2023-10-20,0.99,0.02,0.06,0.15,
2023-10-23,0.99,0.0,0.05,0.14,
2023-10-24,0.97,-0.02,0.02,0.11,
2023-10-25,0.97,0.0,0.0,0.1,
2023-10-26,0.96,-0.01,-0.01,0.08,
2023-10-27,0.97,0.01,-0.02,0.09,
2023-10-30,0.98,0.01,-0.01,0.08,
2023-10-31,0.99,0.01,0.02,0.09,
2023-11-01,0.99,0.0,0.02,0.06,
2023-11-02,0.96,-0.03,0.0,0.02,
2023-11-03,0.95,-0.01,-0.02,0.02,
2023-11-06,0.97,0.02,-0.01,0.04,
2023-11-07,0.97,0.0,-0.02,0.03,
2023-11-08,0.97,0.0,-0.02,0.0,
2023-11-09,0.97,0.0,0.01,0.04,
2023-11-10,0.97,0.0,0.02,0.05,
2023-11-13,0.97,0.0,0.0,0.04,
2023-11-14,0.93,-0.04,-0.04,-0.01,
2023-11-15,0.93,0.0,-0.04,-0.02,
2023-11-16,0.92,-0.01,-0.05,-0.05,
2023-11-17,0.92,0.0,-0.05,-0.05,
2023-11-20,0.9,-0.02,-0.07,-0.09,
2023-11-21,0.89,-0.01,-0.04,-0.1,
2023-11-22,0.87,-0.02,-0.06,-0.1,
2023-11-23,0.87,0.0,-0.05,-0.1,
2023-11-24,0.87,0.0,-0.05,-0.09,
2023-11-27,0.86,-0.01,-0.04,-0.11,
2023-11-28,0.86,0.0,-0.03,-0.12,
2023-11-29,0.82,-0.04,-0.05,-0.17,
2023-11-30,0.83,0.01,-0.04,-0.16,
2023-12-01,0.82,-0.01,-0.05,-0.14,
2023-12-04,0.83,0.01,-0.03,-0.12,
2023-12-05,0.82,-0.01,-0.04,-0.15,
2023-12-06,0.83,0.01,0.01,-0.14,
2023-12-07,0.83,0.0,0.0,-0.14,
2023-12-08,0.83,0.0,0.01,-0.14,
2023-12-11,0.85,0.02,0.02,-0.12,
2023-12-12,0.83,-0.02,0.01,-0.14,
2023-12-13,0.81,-0.02,-0.02,-0.12,
2023-12-14,0.76,-0.05,-0.07,-0.17,
2023-12-15,0.78,0.02,-0.05,-0.14,
2023-12-18,0.78,0.0,-0.07,-0.14,
2023-12-19,0.78,0.0,-0.05,-0.12,
2023-12-20,0.78,0.0,-0.03,-0.11,
2023-12-21,0.78,0.0,0.02,-0.09,
2023-12-22,0.78,0.0,0.0,-0.09,
2023-12-26,0.78,0.0,0.0,-0.09,
2023-12-27,0.76,-0.02,-0.02,-0.1,
2023-12-28,0.75,-0.01,-0.03,-0.11,
2023-12-29,0.75,0.0,-0.03,-0.07,
2023-12-31,0.76,0.01,-0.02,-0.07,
2024-01-02,0.78,0.02,0.0,-0.04,
2024-01-03,0.8,0.02,0.04,-0.03,
2024-01-04,0.8,0.0,0.05,-0.02,
2024-01-05,0.8,0.0,0.05,-0.03,
2024-01-08,0.79,-0.01,0.03,-0.04,
2024-01-09,0.78,-0.01,0.0,-0.05,
2024-01-10,0.77,-0.01,-0.03,-0.08,
2024-01-11,0.75,-0.02,-0.05,-0.08,
2024-01-12,0.74,-0.01,-0.06,-0.07,
2024-01-15,0.74,0.0,-0.05,-0.02,
2024-01-16,0.74,0.0,-0.04,-0.04,
2024-01-17,0.75,0.01,-0.02,-0.03,
2024-01-18,0.74,-0.01,-0.01,-0.04,
2024-01-19,0.74,0.0,0.0,-0.04,
2024-01-22,0.75,0.01,0.01,-0.03,
2024-01-23,0.74,-0.01,0.0,-0.04,
2024-01-24,0.72,-0.02,-0.03,-0.06,
2024-01-25,0.71,-0.01,-0.03,-0.05,
2024-01-26,0.71,0.0,-0.03,-0.04,
2024-01-29,0.7,-0.01,-0.05,-0.05,
2024-01-30,0.72,0.02,-0.02,-0.04,
2024-01-31,0.73,0.01,0.01,-0.05,
2024-02-01,0.75,0.02,0.04,-0.05,
2024-02-02,0.73,-0.02,0.02,-0.07,
2024-02-05,0.72,-0.01,0.02,-0.08,
2024-02-06,0.71,-0.01,-0.01,-0.08,
2024-02-07,0.71,0.0,-0.02,-0.07,
2024-02-08,0.7,-0.01,-0.05,-0.07,
2024-02-09,0.7,0.0,-0.03,-0.05,
2024-02-12,0.69,-0.01,-0.03,-0.05,
2024-02-13,0.67,-0.02,-0.04,-0.07,
2024-02-14,0.66,-0.01,-0.05,-0.08,
2024-02-15,0.65,-0.01,-0.05,-0.1,
2024-02-16,0.66,0.01,-0.04,-0.08,
2024-02-19,0.66,0.0,-0.03,-0.08,
2024-02-20,0.66,0.0,-0.01,-0.09,
2024-02-21,0.65,-0.01,-0.01,-0.09,
2024-02-22,0.63,-0.02,-0.02,-0.09,
2024-02-23,0.64,0.01,-0.02,-0.07,
2024-02-26,0.66,0.02,0.0,-0.05,
2024-02-27,0.66,0.0,0.0,-0.04,
2024-02-28,0.67,0.01,0.02,-0.05,
2024-02-29,0.68,0.01,0.05,-0.05,
2024-03-01,0.69,0.01,0.05,-0.06,
2024-03-04,0.67,-0.02,0.01,-0.06,
2024-03-05,0.67,0.0,0.01,-0.05,
2024-03-06,0.67,0.0,0.0,-0.04,
2024-03-07,0.66,-0.01,-0.02,-0.05,
2024-03-08,0.65,-0.01,-0.04,-0.05,
2024-03-11,0.65,0.0,-0.02,-0.05,
2024-03-12,0.65,0.0,-0.02,-0.04,
2024-03-13,0.63,-0.02,-0.04,-0.04,
2024-03-14,0.63,0.0,-0.03,-0.03,
2024-03-15,0.63,0.0,-0.02,-0.02,
2024-03-18,0.61,-0.02,-0.04,-0.05,
2024-03-19,0.61,0.0,-0.04,-0.05,
2024-03-20,0.6,-0.01,-0.03,-0.06,
2024-03-21,0.6,0.0,-0.03,-0.05,
2024-03-22,0.6,0.0,-0.03,-0.03,
2024-03-25,0.61,0.01,0.0,-0.03,
2024-03-26,0.61,0.0,0.0,-0.05,
2024-03-27,0.61,0.0,0.01,-0.05,
2024-03-28,0.63,0.02,0.03,-0.04,
2024-03-31,0.64,0.01,0.04,-0.04,
2024-04-01,0.62,-0.02,0.01,-0.07,
2024-04-02,0.62,0.0,0.01,-0.05,
2024-04-03,0.61,-0.01,0.0,-0.06,
2024-04-04,0.6,-0.01,-0.03,-0.07,
2024-04-05,0.62,0.02,-0.02,-0.04,
2024-04-08,0.62,0.0,0.0,-0.03,
2024-04-09,0.61,-0.01,-0.01,-0.04,
2024-04-10,0.61,0.0,0.0,-0.04,
2024-04-11,0.6,-0.01,0.0,-0.03,
2024-04-12,0.61,0.01,-0.01,-0.02,
2024-04-15,0.62,0.01,0.0,-0.01,
2024-04-16,0.65,0.03,0.04,0.04,
2024-04-17,0.65,0.0,0.04,0.04,
2024-04-18,0.65,0.0,0.05,0.05,
2024-04-19,0.64,-0.01,0.03,0.04,
2024-04-22,0.64,0.0,0.02,0.04,
2024-04-23,0.62,-0.02,-0.03,0.01,
2024-04-24,0.62,0.0,-0.03,0.01,
2024-04-25,0.62,0.0,-0.03,0.01,
2024-04-26,0.61,-0.01,-0.03,-0.02,
2024-04-29,0.6,-0.01,-0.04,-0.04,
2024-04-30,0.61,0.01,-0.01,-0.01,
2024-05-01,0.59,-0.02,-0.03,-0.03,
2024-05-02,0.58,-0.01,-0.04,-0.03,
2024-05-03,0.56,-0.02,-0.05,-0.04,
2024-05-06,0.57,0.01,-0.03,-0.05,
2024-05-07,0.56,-0.01,-0.05,-0.06,
2024-05-08,0.57,0.01,-0.02,-0.04,
2024-05-09,0.56,-0.01,-0.02,-0.05,
2024-05-10,0.57,0.01,0.01,-0.03,
2024-05-13,0.58,0.01,0.01,-0.03,
2024-05-14,0.58,0.0,0.02,-0.04,
2024-05-15,0.57,-0.01,0.0,-0.08,
2024-05-16,0.57,0.0,0.01,-0.08,
2024-05-17,0.57,0.0,0.0,-0.08,
2024-05-20,0.57,0.0,-0.01,-0.07,
2024-05-21,0.57,0.0,-0.01,-0.07,
2024-05-22,0.58,0.01,0.01,-0.04,
2024-05-23,0.57,-0.01,0.0,-0.05,
2024-05-24,0.58,0.01,0.01,-0.04,
2024-05-27,0.58,0.0,0.01,-0.03,
2024-05-28,0.57,-0.01,0.0,-0.03,
2024-05-29,0.57,0.0,-0.01,-0.04,
2024-05-30,0.58,0.01,0.01,-0.01,
2024-05-31,0.57,-0.01,-0.01,-0.01,
2024-06-03,0.56,-0.01,-0.02,0.0,
2024-06-04,0.57,0.01,0.0,0.0,
2024-06-05,0.57,0.0,0.0,0.01,
2024-06-06,0.58,0.01,0.0,0.01,
2024-06-07,0.59,0.01,0.02,0.03,
2024-06-10,0.59,0.0,0.03,0.02,
2024-06-11,0.59,0.0,0.02,0.01,
2024-06-12,0.59,0.0,0.02,0.01,
2024-06-13,0.59,0.0,0.01,0.02,
2024-06-14,0.61,0.02,0.02,0.04,
2024-06-17,0.64,0.03,0.05,0.07,
2024-06-18,0.63,-0.01,0.04,0.06,-0.23
2024-06-19,0.64,0.01,0.05,0.07,-0.21
2024-06-20,0.64,0.0,0.05,0.06,-0.21
2024-06-21,0.63,-0.01,0.02,0.06,-0.21
2024-06-24,0.64,0.01,0.0,0.06,-0.19
2024-06-25,0.65,0.01,0.02,0.07,-0.17
2024-06-26,0.65,0.0,0.01,0.08,-0.18
2024-06-27,0.64,-0.01,0.0,0.07,-0.18
2024-06-28,0.64,0.0,0.01,0.06,-0.17
2024-06-30,0.64,0.0,0.0,0.07,-0.16
2024-07-01,0.62,-0.02,-0.03,0.06,-0.21
2024-07-02,0.61,-0.01,-0.04,0.04,-0.23
2024-07-03,0.6,-0.01,-0.04,0.03,-0.24
2024-07-04,0.6,0.0,-0.04,0.02,-0.23
2024-07-05,0.59,-0.01,-0.05,0.0,-0.23
2024-07-08,0.59,0.0,-0.03,0.0,-0.23
2024-07-09,0.59,0.0,-0.02,0.0,-0.22
2024-07-10,0.59,0.0,-0.01,0.0,-0.22
2024-07-11,0.59,0.0,-0.01,0.0,-0.2
2024-07-12,0.58,-0.01,-0.01,-0.03,-0.19
2024-07-15,0.58,0.0,-0.01,-0.06,-0.18
2024-07-16,0.58,0.0,-0.01,-0.05,-0.17
2024-07-17,0.59,0.01,0.0,-0.05,-0.16
2024-07-18,0.6,0.01,0.01,-0.04,-0.17
2024-07-19,0.6,0.0,0.02,-0.03,-0.18
2024-07-22,0.6,0.0,0.02,-0.04,-0.17
2024-07-23,0.6,0.0,0.02,-0.05,-0.17
2024-07-24,0.62,0.02,0.03,-0.03,-0.16
2024-07-25,0.61,-0.01,0.01,-0.03,-0.18
2024-07-26,0.61,0.0,0.01,-0.03,-0.18
2024-07-29,0.6,-0.01,0.0,-0.04,-0.2
2024-07-30,0.61,0.01,0.01,-0.01,-0.2
2024-07-31,0.61,0.0,-0.01,0.0,-0.21
2024-08-01,0.62,0.01,0.01,0.02,-0.22
2024-08-02,0.68,0.06,0.07,0.08,-0.17
2024-08-05,0.74,0.06,0.14,0.15,-0.12
2024-08-06,0.71,-0.03,0.1,0.12,-0.16
2024-08-07,0.7,-0.01,0.09,0.11,-0.16
2024-08-08,0.69,-0.01,0.07,0.1,-0.17
2024-08-09,0.69,0.0,0.01,0.1,-0.15
2024-08-12,0.69,0.0,-0.05,0.11,-0.15
2024-08-13,0.68,-0.01,-0.03,0.1,-0.15
2024-08-14,0.67,-0.01,-0.03,0.09,-0.16
2024-08-15,0.65,-0.02,-0.04,0.06,-0.18
2024-08-16,0.64,-0.01,-0.05,0.04,-0.18
2024-08-19,0.64,0.0,-0.05,0.04,-0.19
2024-08-20,0.64,0.0,-0.04,0.04,-0.19
2024-08-21,0.64,0.0,-0.03,0.04,-0.19
2024-08-22,0.63,-0.01,-0.02,0.01,-0.21
2024-08-23,0.62,-0.01,-0.02,0.01,-0.22
2024-08-26,0.61,-0.01,-0.03,0.0,-0.23
2024-08-27,0.61,0.0,-0.03,0.01,-0.23
2024-08-28,0.61,0.0,-0.03,0.0,-0.24
2024-08-29,0.6,-0.01,-0.03,-0.01,-0.26
2024-08-30,0.6,0.0,-0.02,-0.02,-0.25
2024-08-31,0.61,0.01,0.0,-0.07,-0.24
2024-09-02,0.61,0.0,0.0,-0.13,-0.24
2024-09-03,0.61,0.0,0.0,-0.1,-0.23
2024-09-04,0.62,0.01,0.02,-0.08,-0.22
2024-09-05,0.62,0.0,0.02,-0.07,-0.22
2024-09-06,0.62,0.0,0.01,-0.07,-0.22
2024-09-09,0.62,0.0,0.01,-0.07,-0.23
2024-09-10,0.62,0.0,0.01,-0.06,-0.24
2024-09-11,0.63,0.01,0.01,-0.04,-0.24
2024-09-12,0.62,-0.01,0.0,-0.03,-0.26
2024-09-13,0.62,0.0,0.0,-0.02,-0.26
2024-09-16,0.62,0.0,0.0,-0.02,-0.28
2024-09-17,0.62,0.0,0.0,-0.02,-0.28
2024-09-18,0.62,0.0,-0.01,-0.02,-0.31
2024-09-19,0.6,-0.02,-0.02,-0.03,-0.34
2024-09-20,0.6,0.0,-0.02,-0.02,-0.33
2024-09-23,0.6,0.0,-0.02,-0.01,-0.33
2024-09-24,0.59,-0.01,-0.03,-0.02,-0.35
2024-09-25,0.6,0.01,-0.02,-0.01,-0.37
2024-09-26,0.6,0.0,0.0,0.0,-0.33
2024-09-27,0.59,-0.01,-0.01,-0.01,-0.33
