date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-27,4.54,,,,
2023-06-28,4.51,-0.03,,,
2023-06-29,4.35,-0.16,,,
2023-06-30,4.28,-0.07,,,
2023-07-03,4.21,-0.07,,,
2023-07-04,4.21,0.0,-0.33,,
2023-07-05,4.22,0.01,-0.29,,
2023-07-06,4.33,0.11,-0.02,,
2023-07-07,4.3,-0.03,0.02,,
2023-07-10,4.35,0.05,0.14,,
2023-07-11,4.27,-0.08,0.06,,
2023-07-12,4.16,-0.11,-0.06,,
2023-07-13,4.19,0.03,-0.14,,
2023-07-14,4.12,-0.07,-0.18,,
2023-07-17,4.21,0.09,-0.14,,
2023-07-18,4.13,-0.08,-0.14,,
2023-07-19,4.12,-0.01,-0.04,,
2023-07-20,4.12,0.0,-0.07,,
2023-07-21,4.1,-0.02,-0.02,,
2023-07-24,4.02,-0.08,-0.19,,
2023-07-25,4.03,0.01,-0.1,,
2023-07-26,4.11,0.08,-0.01,-0.43,
2023-07-27,3.98,-0.13,-0.14,-0.53,
2023-07-28,4.02,0.04,-0.08,-0.33,
2023-07-31,3.96,-0.06,-0.06,-0.32,
2023-08-01,4.0,0.04,-0.03,-0.21,
2023-08-02,4.14,0.14,0.03,-0.07,
2023-08-03,4.16,0.02,0.18,-0.06,
2023-08-04,4.18,0.02,0.16,-0.15,
2023-08-07,4.13,-0.05,0.17,-0.17,
2023-08-08,4.17,0.04,0.17,-0.18,
2023-08-09,4.1,-0.07,-0.04,-0.17,
2023-08-10,3.97,-0.13,-0.19,-0.19,
2023-08-11,3.96,-0.01,-0.22,-0.23,
2023-08-14,3.92,-0.04,-0.21,-0.2,
2023-08-15,3.98,0.06,-0.19,-0.23,
2023-08-16,3.94,-0.04,-0.16,-0.19,
2023-08-17,4.09,0.15,0.12,-0.03,
2023-08-18,4.17,0.08,0.21,0.05,
2023-08-21,4.11,-0.06,0.19,0.01,
2023-08-22,4.06,-0.05,0.08,0.04,
2023-08-23,4.05,-0.01,0.11,0.02,
2023-08-24,4.04,-0.01,-0.05,-0.07,
