date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-26,2.95,,,,
2023-06-27,2.81,-0.14,,,
2023-06-28,2.8,-0.01,,,
2023-06-29,2.69,-0.11,,,
2023-06-30,2.64,-0.05,,,
2023-07-03,2.59,-0.05,-0.36,,
2023-07-04,2.59,0.0,-0.22,,
2023-07-05,2.61,0.02,-0.19,,
2023-07-06,2.69,0.08,0.0,,
2023-07-07,2.66,-0.03,0.02,,
2023-07-10,2.71,0.05,0.12,,
2023-07-11,2.64,-0.07,0.05,,
2023-07-12,2.54,-0.1,-0.07,,
2023-07-13,2.58,0.04,-0.11,,
2023-07-14,2.52,-0.06,-0.14,,
2023-07-17,2.56,0.04,-0.15,,
2023-07-18,2.5,-0.06,-0.14,,
2023-07-19,2.5,0.0,-0.04,,
2023-07-20,2.52,0.02,-0.06,,
2023-07-21,2.51,-0.01,-0.01,,
2023-07-24,2.45,-0.06,-0.11,,
2023-07-25,2.48,0.03,-0.02,-0.47,
2023-07-26,2.54,0.06,0.04,-0.27,
2023-07-27,2.42,-0.12,-0.1,-0.38,
2023-07-28,2.47,0.05,-0.04,-0.22,
2023-07-31,2.45,-0.02,0.0,-0.19,
2023-08-01,2.47,0.02,-0.01,-0.12,
2023-08-02,2.58,0.11,0.04,-0.01,
2023-08-03,2.6,0.02,0.18,-0.01,
2023-08-04,2.64,0.04,0.17,-0.05,
2023-08-07,2.61,-0.03,0.16,-0.05,
2023-08-08,2.66,0.05,0.19,-0.05,
2023-08-09,2.61,-0.05,0.03,-0.03,
2023-08-10,2.5,-0.11,-0.1,-0.04,
2023-08-11,2.51,0.01,-0.13,-0.07,
2023-08-14,2.5,-0.01,-0.11,-0.02,
2023-08-15,2.55,0.05,-0.11,-0.01,
2023-08-16,2.51,-0.04,-0.1,0.01,
2023-08-17,2.64,0.13,0.14,0.14,
2023-08-18,2.7,0.06,0.19,0.18,
2023-08-21,2.66,-0.04,0.16,0.15,
2023-08-22,2.62,-0.04,0.07,0.17,
2023-08-23,2.62,0.0,0.11,0.14,
2023-08-24,2.61,-0.01,-0.03,0.07,
2023-08-25,2.6,-0.01,-0.1,0.18,
2023-08-28,2.57,-0.03,-0.09,0.1,
2023-08-29,2.59,0.02,-0.03,0.14,
2023-08-30,2.52,-0.07,-0.1,0.05,
2023-08-31,2.56,0.04,-0.05,-0.02,
2023-09-01,2.51,-0.05,-0.09,-0.09,
2023-09-04,2.52,0.01,-0.05,-0.12,
2023-09-05,2.54,0.02,-0.05,-0.07,
2023-09-06,2.56,0.02,0.04,-0.1,
2023-09-07,2.6,0.04,0.04,-0.01,
2023-09-08,2.56,-0.04,0.05,0.06,
2023-09-11,2.54,-0.02,0.02,0.03,
2023-09-12,2.56,0.02,0.02,0.06,
2023-09-13,2.58,0.02,0.02,0.03,
2023-09-14,2.52,-0.06,-0.08,0.01,
2023-09-15,2.55,0.03,-0.01,-0.09,
2023-09-18,2.58,0.03,0.04,-0.12,
2023-09-19,2.58,0.0,0.02,-0.08,
2023-09-20,2.54,-0.04,-0.04,-0.08,
2023-09-21,2.63,0.09,0.11,0.01,
2023-09-22,2.67,0.04,0.12,0.06,
2023-09-25,2.69,0.02,0.11,0.09,
2023-09-26,2.76,0.07,0.18,0.19,
2023-09-27,2.73,-0.03,0.19,0.14,
2023-09-28,2.8,0.07,0.17,0.28,
2023-09-29,2.74,-0.06,0.07,0.18,
2023-09-30,2.75,0.01,0.06,0.24,
2023-10-02,2.81,0.06,0.05,0.29,
2023-10-03,2.92,0.11,0.19,0.38,
2023-10-04,3.02,0.1,0.22,0.46,
2023-10-05,3.03,0.01,0.29,0.43,
2023-10-06,2.97,-0.06,0.22,0.41,
2023-10-09,2.97,0.0,0.16,0.43,
2023-10-10,2.91,-0.06,-0.01,0.35,
2023-10-11,2.9,-0.01,-0.12,0.32,
2023-10-12,2.89,-0.01,-0.14,0.37,
2023-10-13,2.93,0.04,-0.04,0.38,
2023-10-16,2.92,-0.01,-0.05,0.34,
2023-10-17,2.88,-0.04,-0.03,0.3,
2023-10-18,2.94,0.06,0.04,0.4,
2023-10-19,2.98,0.04,0.09,0.35,
2023-10-20,3.11,0.13,0.18,0.44,
2023-10-23,3.1,-0.01,0.18,0.41,
2023-10-24,3.0,-0.1,0.12,0.24,
2023-10-25,2.96,-0.04,0.02,0.23,
2023-10-26,3.06,0.1,0.08,0.26,
2023-10-27,3.08,0.02,-0.03,0.34,
2023-10-30,3.03,-0.05,-0.07,0.28,
2023-10-31,2.92,-0.11,-0.08,0.11,
2023-11-01,2.93,0.01,-0.03,0.01,
2023-11-02,2.66,-0.27,-0.4,-0.36,
2023-11-03,2.56,-0.1,-0.52,-0.47,
2023-11-06,2.52,-0.04,-0.51,-0.45,
2023-11-07,2.61,0.09,-0.31,-0.36,
2023-11-08,2.62,0.01,-0.31,-0.29,
2023-11-09,2.57,-0.05,-0.09,-0.33,
2023-11-10,2.56,-0.01,0.0,-0.33,
2023-11-13,2.57,0.01,0.05,-0.36,
2023-11-14,2.49,-0.08,-0.12,-0.43,
2023-11-15,2.48,-0.01,-0.14,-0.4,
2023-11-16,2.59,0.11,0.02,-0.35,
2023-11-17,2.56,-0.03,0.0,-0.42,
2023-11-20,2.51,-0.05,-0.06,-0.6,
2023-11-21,2.53,0.02,0.04,-0.57,
2023-11-22,2.48,-0.05,0.0,-0.52,
2023-11-23,2.48,0.0,-0.11,-0.48,
2023-11-24,2.43,-0.05,-0.13,-0.63,
2023-11-27,2.48,0.05,-0.03,-0.6,
2023-11-28,2.48,0.0,-0.05,-0.55,
2023-11-29,2.39,-0.09,-0.09,-0.53,
2023-11-30,2.36,-0.03,-0.12,-0.57,
2023-12-01,2.4,0.04,-0.03,-0.26,
2023-12-04,2.34,-0.06,-0.14,-0.22,
2023-12-05,2.34,0.0,-0.14,-0.18,
2023-12-06,2.34,0.0,-0.05,-0.27,
2023-12-07,2.32,-0.02,-0.04,-0.3,
2023-12-08,2.31,-0.01,-0.09,-0.26,
2023-12-11,2.34,0.03,0.0,-0.22,
2023-12-12,2.33,-0.01,-0.01,-0.24,
2023-12-13,2.37,0.04,0.03,-0.12,
2023-12-14,2.1,-0.27,-0.22,-0.38,
2023-12-15,2.14,0.04,-0.17,-0.45,
2023-12-18,2.15,0.01,-0.19,-0.41,
2023-12-19,2.11,-0.04,-0.22,-0.4,
2023-12-20,2.11,0.0,-0.26,-0.42,
2023-12-21,2.1,-0.01,0.0,-0.38,
2023-12-22,2.07,-0.03,-0.07,-0.41,
2023-12-26,2.06,-0.01,-0.09,-0.37,
2023-12-27,2.04,-0.02,-0.07,-0.44,
2023-12-28,2.02,-0.02,-0.09,-0.46,
2023-12-29,2.04,0.02,-0.06,-0.35,
2023-12-31,2.05,0.01,-0.02,-0.31,
2024-01-02,2.17,0.12,0.11,-0.23,
2024-01-03,2.31,0.14,0.27,-0.03,
