date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-26,10.01,,,,
2023-06-27,9.85,-0.16,,,
2023-06-28,9.81,-0.04,,,
2023-06-29,9.64,-0.17,,,
2023-06-30,9.43,-0.21,,,
2023-07-03,9.36,-0.07,-0.65,,
2023-07-04,9.36,0.0,-0.49,,
2023-07-05,9.39,0.03,-0.42,,
2023-07-06,9.49,0.1,-0.15,,
2023-07-07,9.49,0.0,0.06,,
2023-07-10,9.57,0.08,0.21,,
2023-07-11,9.49,-0.08,0.13,,
2023-07-12,9.32,-0.17,-0.07,,
2023-07-13,9.29,-0.03,-0.2,,
2023-07-14,9.16,-0.13,-0.33,,
2023-07-17,9.27,0.11,-0.3,,
2023-07-18,9.22,-0.05,-0.27,,
2023-07-19,9.18,-0.04,-0.14,,
2023-07-20,9.13,-0.05,-0.16,,
2023-07-21,9.14,0.01,-0.02,,
2023-07-24,9.1,-0.04,-0.17,,
2023-07-25,9.08,-0.02,-0.14,-0.93,
2023-07-26,9.17,0.09,-0.01,-0.68,
2023-07-27,8.99,-0.18,-0.14,-0.82,
2023-07-28,9.0,0.01,-0.14,-0.64,
2023-07-31,9.06,0.06,-0.04,-0.37,
2023-08-01,9.1,0.04,0.02,-0.26,
2023-08-02,9.27,0.17,0.1,-0.09,
2023-08-03,9.33,0.06,0.34,-0.06,
2023-08-04,9.38,0.05,0.38,-0.11,
2023-08-07,9.32,-0.06,0.26,-0.17,
2023-08-08,9.27,-0.05,0.17,-0.3,
2023-08-09,9.14,-0.13,-0.13,-0.35,
2023-08-10,9.03,-0.11,-0.3,-0.29,
2023-08-11,9.04,0.01,-0.34,-0.25,
2023-08-14,8.91,-0.13,-0.41,-0.25,
2023-08-15,8.95,0.04,-0.32,-0.32,
2023-08-16,8.9,-0.05,-0.24,-0.32,
2023-08-17,9.06,0.16,0.03,-0.12,
2023-08-18,9.13,0.07,0.09,0.0,
2023-08-21,9.09,-0.04,0.18,-0.05,
2023-08-22,9.07,-0.02,0.12,-0.03,
2023-08-23,9.03,-0.04,0.13,-0.05,
2023-08-24,9.02,-0.01,-0.04,-0.15,
2023-08-25,9.01,-0.01,-0.12,0.02,
2023-08-28,8.99,-0.02,-0.1,-0.01,
2023-08-29,8.97,-0.02,-0.1,-0.09,
2023-08-30,8.9,-0.07,-0.13,-0.2,
2023-08-31,9.0,0.1,-0.02,-0.27,
2023-09-01,8.94,-0.06,-0.07,-0.39,
2023-09-04,8.95,0.01,-0.04,-0.43,
2023-09-05,8.98,0.03,0.01,-0.34,
2023-09-06,9.0,0.02,0.1,-0.27,
2023-09-07,9.02,0.02,0.02,-0.12,
2023-09-08,8.96,-0.06,0.02,-0.07,
2023-09-11,8.91,-0.05,-0.04,-0.13,
2023-09-12,8.91,0.0,-0.07,0.0,
2023-09-13,8.9,-0.01,-0.1,-0.05,
2023-09-14,8.77,-0.13,-0.25,-0.13,
2023-09-15,8.77,0.0,-0.19,-0.29,
2023-09-18,8.81,0.04,-0.1,-0.32,
2023-09-19,8.81,0.0,-0.1,-0.28,
2023-09-20,8.75,-0.06,-0.15,-0.32,
2023-09-21,8.94,0.19,0.17,-0.09,
2023-09-22,8.98,0.04,0.21,-0.04,
2023-09-25,9.06,0.08,0.25,0.05,
2023-09-26,9.17,0.11,0.36,0.18,
2023-09-27,9.22,0.05,0.47,0.25,
2023-09-28,9.25,0.03,0.31,0.35,
2023-09-29,9.19,-0.06,0.21,0.19,
2023-09-30,9.23,0.04,0.17,0.29,
2023-10-02,9.36,0.13,0.19,0.41,
2023-10-03,9.64,0.28,0.42,0.66,
2023-10-04,9.76,0.12,0.51,0.76,
2023-10-05,9.81,0.05,0.62,0.79,
2023-10-06,9.76,-0.05,0.53,0.8,
2023-10-09,9.78,0.02,0.42,0.87,
2023-10-10,9.66,-0.12,0.02,0.75,
2023-10-11,9.61,-0.05,-0.15,0.71,
2023-10-12,9.67,0.06,-0.14,0.9,
2023-10-13,9.72,0.05,-0.04,0.95,
2023-10-16,9.7,-0.02,-0.08,0.89,
2023-10-17,9.69,-0.01,0.03,0.88,
2023-10-18,9.79,0.1,0.18,1.04,
2023-10-19,9.91,0.12,0.24,0.97,
2023-10-20,10.11,0.2,0.39,1.13,
2023-10-23,10.14,0.03,0.44,1.08,
2023-10-24,10.04,-0.1,0.35,0.87,
2023-10-25,10.01,-0.03,0.22,0.79,
2023-10-26,10.26,0.25,0.35,1.01,
2023-10-27,10.34,0.08,0.23,1.15,
2023-10-30,10.41,0.07,0.27,1.18,
2023-10-31,10.4,-0.01,0.36,1.04,
2023-11-01,10.57,0.17,0.56,0.93,
2023-11-02,10.12,-0.45,-0.14,0.36,
2023-11-03,10.1,-0.02,-0.24,0.29,
2023-11-06,10.17,0.07,-0.24,0.41,
2023-11-07,10.11,-0.06,-0.29,0.33,
2023-11-08,10.18,0.07,-0.39,0.52,
2023-11-09,10.07,-0.11,-0.05,0.46,
2023-11-10,10.1,0.03,0.0,0.43,
2023-11-13,10.12,0.02,-0.05,0.4,
2023-11-14,9.87,-0.25,-0.24,0.17,
2023-11-15,9.77,-0.1,-0.41,0.08,
2023-11-16,9.93,0.16,-0.14,0.14,
2023-11-17,9.89,-0.04,-0.21,-0.02,
2023-11-20,9.81,-0.08,-0.31,-0.3,
2023-11-21,9.83,0.02,-0.04,-0.31,
2023-11-22,9.82,-0.01,0.05,-0.22,
2023-11-23,9.82,0.0,-0.11,-0.19,
2023-11-24,9.77,-0.05,-0.12,-0.49,
2023-11-27,9.76,-0.01,-0.05,-0.58,
2023-11-28,9.75,-0.01,-0.08,-0.66,
2023-11-29,9.6,-0.15,-0.22,-0.8,
2023-11-30,9.76,0.16,-0.06,-0.81,
2023-12-01,9.79,0.03,0.02,-0.33,
2023-12-04,9.73,-0.06,-0.03,-0.37,
2023-12-05,9.65,-0.08,-0.1,-0.52,
2023-12-06,9.61,-0.04,0.01,-0.5,
2023-12-07,9.6,-0.01,-0.16,-0.58,
2023-12-08,9.55,-0.05,-0.24,-0.52,
2023-12-11,9.62,0.07,-0.11,-0.48,
2023-12-12,9.54,-0.08,-0.11,-0.58,
2023-12-13,9.53,-0.01,-0.08,-0.34,
2023-12-14,9.03,-0.5,-0.57,-0.74,
