date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-09,4.29,,,,
2023-06-12,4.34,0.05,,,
2023-06-13,4.18,-0.16,,,
2023-06-14,4.18,0.0,,,
2023-06-15,4.21,0.03,,,
2023-06-16,4.15,-0.06,-0.14,,
2023-06-19,4.15,0.0,-0.19,,
2023-06-20,4.22,0.07,0.04,,
2023-06-21,4.32,0.1,0.14,,
2023-06-22,4.3,-0.02,0.09,,
2023-06-23,4.4,0.1,0.25,,
2023-06-26,4.45,0.05,0.3,,
2023-06-27,4.3,-0.15,0.08,,
2023-06-28,4.27,-0.03,-0.05,,
2023-06-29,4.14,-0.13,-0.16,,
2023-06-30,4.05,-0.09,-0.35,,
2023-07-03,3.99,-0.06,-0.46,,
2023-07-04,3.99,0.0,-0.31,,
2023-07-05,4.01,0.02,-0.26,,
2023-07-06,4.1,0.09,-0.04,,
2023-07-07,4.08,-0.02,0.03,,
2023-07-10,4.13,0.05,0.14,-0.16,
2023-07-11,4.05,-0.08,0.06,-0.29,
2023-07-12,3.95,-0.1,-0.06,-0.23,
2023-07-13,3.97,0.02,-0.13,-0.21,
2023-07-14,3.9,-0.07,-0.18,-0.31,
2023-07-17,3.97,0.07,-0.16,-0.18,
2023-07-18,3.9,-0.07,-0.15,-0.25,
2023-07-19,3.89,-0.01,-0.06,-0.33,
2023-07-20,3.9,0.01,-0.07,-0.42,
2023-07-21,3.89,-0.01,-0.01,-0.41,
2023-07-24,3.82,-0.07,-0.15,-0.58,
2023-07-25,3.84,0.02,-0.06,-0.61,
2023-07-26,3.91,0.07,0.02,-0.39,
2023-07-27,3.78,-0.13,-0.12,-0.49,
2023-07-28,3.82,0.04,-0.07,-0.32,
2023-07-31,3.79,-0.03,-0.03,-0.26,
2023-08-01,3.82,0.03,-0.02,-0.17,
2023-08-02,3.96,0.14,0.05,-0.03,
2023-08-03,3.98,0.02,0.2,-0.03,
2023-08-04,4.01,0.03,0.19,-0.09,
2023-08-07,3.97,-0.04,0.18,-0.11,
2023-08-08,4.0,0.03,0.18,-0.13,
2023-08-09,3.94,-0.06,-0.02,-0.11,
2023-08-10,3.83,-0.11,-0.15,-0.12,
2023-08-11,3.83,0.0,-0.18,-0.14,
2023-08-14,3.79,-0.04,-0.18,-0.11,
2023-08-15,3.85,0.06,-0.15,-0.12,
2023-08-16,3.81,-0.04,-0.13,-0.09,
2023-08-17,3.95,0.14,0.12,0.06,
2023-08-18,4.02,0.07,0.19,0.12,
2023-08-21,3.97,-0.05,0.18,0.08,
2023-08-22,3.93,-0.04,0.08,0.11,
2023-08-23,3.92,-0.01,0.11,0.08,
2023-08-24,3.91,-0.01,-0.04,0.0,
2023-08-25,3.9,-0.01,-0.12,0.12,
2023-08-28,3.86,-0.04,-0.11,0.04,
2023-08-29,3.87,0.01,-0.06,0.08,
2023-08-30,3.8,-0.07,-0.12,-0.02,
2023-08-31,3.85,0.05,-0.06,-0.11,
2023-09-01,3.81,-0.04,-0.09,-0.17,
2023-09-04,3.81,0.0,-0.05,-0.2,
2023-09-05,3.83,0.02,-0.04,-0.14,
2023-09-06,3.86,0.03,0.06,-0.14,
2023-09-07,3.9,0.04,0.05,-0.04,
2023-09-08,3.85,-0.05,0.04,0.02,
2023-09-11,3.82,-0.03,0.01,-0.01,
2023-09-12,3.84,0.02,0.01,0.05,
2023-09-13,3.85,0.01,-0.01,0.0,
2023-09-14,3.78,-0.07,-0.12,-0.03,
2023-09-15,3.79,0.01,-0.06,-0.16,
2023-09-18,3.82,0.03,0.0,-0.2,
2023-09-19,3.82,0.0,-0.02,-0.15,
2023-09-20,3.77,-0.05,-0.08,-0.16,
2023-09-21,3.89,0.12,0.11,-0.03,
2023-09-22,3.93,0.04,0.14,0.02,
2023-09-25,3.97,0.04,0.15,0.07,
2023-09-26,4.04,0.07,0.22,0.18,
2023-09-27,4.03,-0.01,0.26,0.16,
2023-09-28,4.09,0.06,0.2,0.29,
2023-09-29,4.03,-0.06,0.1,0.18,
2023-09-30,4.03,0.0,0.06,0.22,
2023-10-02,4.11,0.08,0.07,0.3,
2023-10-03,4.26,0.15,0.23,0.43,
2023-10-04,4.37,0.11,0.28,0.51,
2023-10-05,4.38,0.01,0.35,0.48,
2023-10-06,4.33,-0.05,0.3,0.48,
2023-10-09,4.34,0.01,0.23,0.52,
2023-10-10,4.26,-0.08,0.0,0.42,
2023-10-11,4.25,-0.01,-0.12,0.4,
2023-10-12,4.25,0.0,-0.13,0.47,
2023-10-13,4.3,0.05,-0.03,0.51,
2023-10-16,4.27,-0.03,-0.07,0.45,
2023-10-17,4.25,-0.02,-0.01,0.43,
2023-10-18,4.32,0.07,0.07,0.55,
2023-10-19,4.37,0.05,0.12,0.48,
2023-10-20,4.52,0.15,0.22,0.59,
2023-10-23,4.51,-0.01,0.24,0.54,
2023-10-24,4.41,-0.1,0.16,0.37,
2023-10-25,4.37,-0.04,0.05,0.34,
2023-10-26,4.5,0.13,0.13,0.41,
2023-10-27,4.53,0.03,0.01,0.5,
2023-10-30,4.5,-0.03,-0.01,0.47,
2023-10-31,4.42,-0.08,0.01,0.31,
2023-11-01,4.47,0.05,0.1,0.21,
2023-11-02,4.15,-0.32,-0.35,-0.22,
2023-11-03,4.04,-0.11,-0.49,-0.34,
2023-11-06,4.0,-0.04,-0.5,-0.33,
2023-11-07,4.08,0.08,-0.34,-0.26,
2023-11-08,4.08,0.0,-0.39,-0.18,
2023-11-09,4.04,-0.04,-0.11,-0.21,
2023-11-10,4.03,-0.01,-0.01,-0.22,
2023-11-13,4.03,0.0,0.03,-0.27,
2023-11-14,3.92,-0.11,-0.16,-0.35,
2023-11-15,3.89,-0.03,-0.19,-0.36,
2023-11-16,4.02,0.13,-0.02,-0.3,
2023-11-17,3.99,-0.03,-0.04,-0.38,
2023-11-20,3.92,-0.07,-0.11,-0.6,
2023-11-21,3.95,0.03,0.03,-0.56,
2023-11-22,3.9,-0.05,0.01,-0.51,
2023-11-23,3.9,0.0,-0.12,-0.47,
2023-11-24,3.85,-0.05,-0.14,-0.65,
2023-11-27,3.89,0.04,-0.03,-0.64,
2023-11-28,3.9,0.01,-0.05,-0.6,
2023-11-29,3.8,-0.1,-0.1,-0.62,
2023-11-30,3.84,0.04,-0.06,-0.63,
2023-12-01,3.87,0.03,0.02,-0.28,
2023-12-04,3.8,-0.07,-0.09,-0.24,
2023-12-05,3.8,0.0,-0.1,-0.2,
2023-12-06,3.79,-0.01,-0.01,-0.29,
2023-12-07,3.77,-0.02,-0.07,-0.31,
2023-12-08,3.75,-0.02,-0.12,-0.29,
2023-12-11,3.79,0.04,-0.01,-0.24,
2023-12-12,3.76,-0.03,-0.04,-0.27,
2023-12-13,3.79,0.03,0.0,-0.13,
2023-12-14,3.47,-0.32,-0.3,-0.42,
2023-12-15,3.51,0.04,-0.24,-0.51,
2023-12-18,3.51,0.0,-0.28,-0.48,
2023-12-19,3.46,-0.05,-0.3,-0.46,
2023-12-20,3.43,-0.03,-0.36,-0.52,
2023-12-21,3.41,-0.02,-0.06,-0.49,
2023-12-22,3.39,-0.02,-0.12,-0.51,
2023-12-26,3.37,-0.02,-0.14,-0.48,
2023-12-27,3.34,-0.03,-0.12,-0.55,
2023-12-28,3.32,-0.02,-0.11,-0.58,
2023-12-29,3.34,0.02,-0.07,-0.46,
