date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-06-12,1.74,,,,
2023-06-13,1.71,-0.03,,,
2023-06-14,1.7,-0.01,,,
2023-06-15,1.7,0.0,,,
2023-06-16,1.67,-0.03,,,
2023-06-19,1.67,0.0,-0.07,,
2023-06-20,1.66,-0.01,-0.05,,
2023-06-21,1.67,0.01,-0.03,,
2023-06-22,1.66,-0.01,-0.04,,
2023-06-23,1.67,0.01,0.0,,
2023-06-26,1.67,0.0,0.0,,
2023-06-27,1.66,-0.01,0.0,,
2023-06-28,1.65,-0.01,-0.02,,
2023-06-29,1.62,-0.03,-0.04,,
2023-06-30,1.61,-0.01,-0.06,,
2023-07-03,1.6,-0.01,-0.07,,
2023-07-04,1.6,0.0,-0.06,,
2023-07-05,1.58,-0.02,-0.07,,
2023-07-06,1.59,0.01,-0.03,,
2023-07-07,1.58,-0.01,-0.03,,
2023-07-10,1.59,0.01,-0.01,,
2023-07-11,1.58,-0.01,-0.02,-0.16,
2023-07-12,1.56,-0.02,-0.02,-0.15,
2023-07-13,1.56,0.0,-0.03,-0.14,
2023-07-14,1.57,0.01,-0.01,-0.13,
2023-07-17,1.58,0.01,-0.01,-0.09,
2023-07-18,1.58,0.0,0.0,-0.09,
2023-07-19,1.57,-0.01,0.01,-0.09,
2023-07-20,1.56,-0.01,0.0,-0.11,
2023-07-21,1.55,-0.01,-0.02,-0.11,
2023-07-24,1.53,-0.02,-0.05,-0.14,
2023-07-25,1.52,-0.01,-0.06,-0.15,
2023-07-26,1.52,0.0,-0.05,-0.14,
2023-07-27,1.48,-0.04,-0.08,-0.17,
2023-07-28,1.48,0.0,-0.07,-0.14,
2023-07-31,1.47,-0.01,-0.06,-0.14,
2023-08-01,1.47,0.0,-0.05,-0.13,
2023-08-02,1.5,0.03,-0.02,-0.1,
2023-08-03,1.51,0.01,0.03,-0.07,
2023-08-04,1.51,0.0,0.03,-0.08,
2023-08-07,1.51,0.0,0.04,-0.07,
2023-08-08,1.52,0.01,0.05,-0.07,
2023-08-09,1.52,0.0,0.02,-0.06,
2023-08-10,1.51,-0.01,0.0,-0.05,
2023-08-11,1.51,0.0,0.0,-0.05,
2023-08-14,1.51,0.0,0.0,-0.06,
2023-08-15,1.52,0.01,0.0,-0.06,
2023-08-16,1.53,0.01,0.01,-0.05,
2023-08-17,1.55,0.02,0.04,-0.02,
2023-08-18,1.56,0.01,0.05,0.0,
2023-08-21,1.55,-0.01,0.04,0.0,
2023-08-22,1.54,-0.01,0.02,0.01,
2023-08-23,1.54,0.0,0.01,0.02,
2023-08-24,1.52,-0.02,-0.03,0.0,
