date,value,chg_1d,chg_1w,chg_1m,chg_1y
2023-05-23,1.44,,,,
2023-05-24,1.44,0.0,,,
2023-05-25,1.42,-0.02,,,
2023-05-26,1.41,-0.01,,,
2023-05-29,1.41,0.0,,,
2023-05-30,1.4,-0.01,-0.04,,
2023-05-31,1.42,0.02,-0.02,,
2023-06-01,1.42,0.0,0.0,,
2023-06-02,1.39,-0.03,-0.02,,
2023-06-05,1.39,0.0,-0.02,,
2023-06-06,1.39,0.0,-0.01,,
2023-06-07,1.39,0.0,-0.03,,
2023-06-08,1.4,0.01,-0.02,,
2023-06-09,1.4,0.0,0.01,,
2023-06-12,1.41,0.01,0.02,,
2023-06-13,1.39,-0.02,0.0,,
2023-06-14,1.38,-0.01,-0.01,,
2023-06-15,1.37,-0.01,-0.03,,
2023-06-16,1.35,-0.02,-0.05,,
2023-06-19,1.35,0.0,-0.06,,
2023-06-20,1.35,0.0,-0.04,,
2023-06-21,1.35,0.0,-0.03,-0.09,
2023-06-22,1.34,-0.01,-0.03,-0.1,
2023-06-23,1.35,0.01,0.0,-0.07,
2023-06-26,1.36,0.01,0.01,-0.05,
2023-06-27,1.34,-0.02,-0.01,-0.07,
2023-06-28,1.34,0.0,-0.01,-0.06,
2023-06-29,1.31,-0.03,-0.03,-0.11,
2023-06-30,1.3,-0.01,-0.05,-0.12,
2023-07-03,1.29,-0.01,-0.07,-0.1,
2023-07-04,1.29,0.0,-0.05,-0.1,
2023-07-05,1.28,-0.01,-0.06,-0.11,
2023-07-06,1.29,0.01,-0.02,-0.1,
2023-07-07,1.28,-0.01,-0.02,-0.12,
2023-07-10,1.29,0.01,0.0,-0.11,
2023-07-11,1.28,-0.01,-0.01,-0.13,
2023-07-12,1.27,-0.01,-0.01,-0.12,
2023-07-13,1.27,0.0,-0.02,-0.11,
2023-07-14,1.28,0.01,0.0,-0.09,
2023-07-17,1.29,0.01,0.0,-0.06,
2023-07-18,1.28,-0.01,0.0,-0.07,
2023-07-19,1.28,0.0,0.01,-0.07,
2023-07-20,1.27,-0.01,0.0,-0.08,
2023-07-21,1.26,-0.01,-0.02,-0.08,
2023-07-24,1.25,-0.01,-0.04,-0.1,
2023-07-25,1.24,-0.01,-0.04,-0.12,
2023-07-26,1.23,-0.01,-0.05,-0.11,
2023-07-27,1.2,-0.03,-0.07,-0.14,
2023-07-28,1.19,-0.01,-0.07,-0.12,
2023-07-31,1.19,0.0,-0.06,-0.11,
2023-08-01,1.19,0.0,-0.05,-0.1,
2023-08-02,1.21,0.02,-0.02,-0.08,
2023-08-03,1.22,0.01,0.02,-0.06,
2023-08-04,1.22,0.0,0.03,-0.07,
2023-08-07,1.22,0.0,0.03,-0.06,
2023-08-08,1.23,0.01,0.04,-0.06,
2023-08-09,1.23,0.0,0.02,-0.05,
2023-08-10,1.22,-0.01,0.0,-0.05,
2023-08-11,1.22,0.0,0.0,-0.05,
2023-08-14,1.22,0.0,0.0,-0.06,
2023-08-15,1.23,0.01,0.0,-0.06,
2023-08-16,1.25,0.02,0.02,-0.03,
2023-08-17,1.26,0.01,0.04,-0.02,
2023-08-18,1.27,0.01,0.05,0.0,
2023-08-21,1.26,-0.01,0.04,0.0,
2023-08-22,1.25,-0.01,0.02,0.0,
2023-08-23,1.25,0.0,0.0,0.01,
2023-08-24,1.23,-0.02,-0.03,0.0,
2023-08-25,1.23,0.0,-0.04,0.03,
2023-08-28,1.22,-0.01,-0.04,0.03,
2023-08-29,1.22,0.0,-0.03,0.03,
2023-08-30,1.22,0.0,-0.03,0.03,
2023-08-31,1.22,0.0,-0.01,0.01,
2023-09-01,1.22,0.0,-0.01,0.0,
2023-09-04,1.22,0.0,0.0,0.0,
2023-09-05,1.22,0.0,0.0,0.0,
2023-09-06,1.23,0.01,0.01,0.0,
2023-09-07,1.23,0.0,0.01,0.0,
2023-09-08,1.23,0.0,0.01,0.01,
2023-09-11,1.23,0.0,0.01,0.01,
2023-09-12,1.23,0.0,0.01,0.01,
2023-09-13,1.24,0.01,0.01,0.01,
2023-09-14,1.23,-0.01,0.0,-0.02,
2023-09-15,1.22,-0.01,-0.01,-0.04,
2023-09-18,1.22,0.0,-0.01,-0.05,
2023-09-19,1.21,-0.01,-0.02,-0.05,
2023-09-20,1.2,-0.01,-0.04,-0.05,
2023-09-21,1.2,0.0,-0.03,-0.05,
2023-09-22,1.2,0.0,-0.02,-0.03,
2023-09-25,1.19,-0.01,-0.03,-0.04,
2023-09-26,1.2,0.01,-0.01,-0.02,
